time,Open,High,Low,close,volumeto,Market Cap
2017-06-16,0.22482,0.22482,0.057829,0.057829,73,1068227
2017-06-17,0.057829,0.749402,0.022482,0.119904,1226,2214894
2017-06-18,0.12222,0.208084,0.100688,0.10661,4848,1969324
2017-06-19,0.082441,1.01,0.07103,0.110411,4662,2591592
2017-06-20,0.110363,0.219852,0.092895,0.124133,7331,2913678
2017-06-21,0.166806,0.192425,0.140054,0.16446,33780,3860242
2017-06-22,0.16446,0.16621,0.125009,0.134563,43321,3158493
2017-06-23,0.134566,0.164862,0.126035,0.12606,22142,2958909
2017-06-24,0.126083,0.149805,0.115576,0.126575,10445,2970997
2017-06-25,0.126597,0.140137,0.070186,0.074463,9379,1747808
2017-06-26,0.074328,0.124785,0.074328,0.082449,11251,1935252
2017-06-27,0.091517,0.108745,0.053405,0.078831,12414,1850332
2017-06-28,0.089838,0.08992,0.073315,0.085875,5869,2015680
2017-06-29,0.093685,0.099252,0.082326,0.084566,4709,1984952
2017-06-30,0.094543,0.115188,0.089916,0.090202,8813,2117244
2017-07-01,0.084698,0.089977,0.073505,0.086315,4574,2026005
2017-07-02,0.084447,0.090714,0.068097,0.080337,8969,1885690
2017-07-03,0.088235,0.094768,0.072328,0.086239,10418,2024212
2017-07-04,0.085422,0.095532,0.071814,0.079029,2012,1854979
2017-07-05,0.093746,0.094025,0.068556,0.080762,2483,1895668
2017-07-06,0.083358,0.084996,0.067994,0.069555,6652,1632613
2017-07-07,0.070369,0.078651,0.059707,0.063371,7649,1487454
2017-07-08,0.056097,0.068861,0.046762,0.068861,1789,1616318
2017-07-09,0.070644,0.079328,0.056963,0.056963,3953,1337046
2017-07-10,0.059476,0.06691,0.053774,0.062663,2536,1470845
2017-07-11,0.067721,0.07596,0.038116,0.044926,1856,1054520
2017-07-12,0.044715,0.067727,0.04371,0.064878,2192,1522836
2017-07-13,0.065258,0.082963,0.063018,0.068608,3667,1610392
2017-07-14,0.065614,0.075251,0.058606,0.064322,1758,1509785
2017-07-15,0.064053,0.065457,0.04559,0.04559,2641,1070089
2017-07-16,0.04523,0.047287,0.038181,0.038255,690,897921
2017-07-17,0.037345,0.049461,0.032482,0.047948,1922,1125439
2017-07-18,0.057218,0.062765,0.051242,0.056493,4465,1326019
2017-07-19,0.05554,0.068084,0.052913,0.056638,3073,1329420
2017-07-20,0.053794,0.078318,0.05351,0.076244,1800,1789623
2017-07-21,0.07512,0.085593,0.07512,0.078073,1173,1832540
2017-07-22,0.075002,0.107283,0.07329,0.083398,1227,1957546
2017-07-23,0.085855,0.085855,0.053846,0.081289,1688,1908034
2017-07-24,0.084653,0.087463,0.059695,0.060185,1083,1412666
2017-07-25,0.080061,0.08119,0.057757,0.06864,3759,1611124
