time,Open,High,Low,close,volumeto,Market Cap
2019-01-09,0.026793,0.033648,0.026793,0.028202,408164,
2019-01-10,0.029393,0.029544,0.023336,0.023851,101372,
2019-01-11,0.03102,0.03102,0.023167,0.023424,40989,
2019-01-12,0.023451,0.025636,0.023311,0.023893,71585,
2019-01-13,0.023869,0.026316,0.021698,0.022123,37032,
2019-01-14,0.022141,0.025336,0.020014,0.02275,293342,
2019-01-15,0.025194,0.026557,0.020587,0.020876,149274,
2019-01-16,0.020845,0.025808,0.020792,0.024752,218504,
2019-01-17,0.024725,0.024796,0.021361,0.021746,129813,
2019-01-18,0.021736,0.024613,0.020981,0.021737,78854,
2019-01-19,0.021831,0.021914,0.020141,0.020256,168,
2019-01-20,0.02024,0.02044,0.01917,0.019193,,
2019-01-21,0.019193,0.019193,0.01631,0.016406,24,
2019-01-22,0.016386,0.018615,0.016052,0.018578,39,
2019-01-23,0.018578,0.023651,0.017555,0.017925,9557,
2019-01-24,0.017932,0.022478,0.01753,0.017846,5093,
2019-01-25,0.017873,0.020885,0.017431,0.01751,160,
2019-01-26,0.01751,0.021243,0.017389,0.018945,1615,
2019-01-27,0.018954,0.018995,0.015996,0.016404,277,
2019-01-28,0.016392,0.018445,0.015294,0.015578,3795,
2019-01-29,0.015589,0.020572,0.015421,0.020371,3693,
2019-01-30,0.020385,0.020439,0.015071,0.015132,25,
2019-01-31,0.015133,0.0156,0.014954,0.015008,36,
2019-02-01,0.015025,0.018195,0.01465,0.018029,43246,
2019-02-02,0.018006,0.018984,0.009007,0.009941,88618,
2019-02-03,0.009939,0.016625,0.008702,0.01589,71463,
2019-02-04,0.015877,0.016677,0.006698,0.008778,32693,
2019-02-05,0.008771,0.016616,0.008733,0.014776,24847,
2019-02-06,0.014793,0.015024,0.004552,0.010856,3979,
2019-02-07,0.010858,0.012913,0.006143,0.010827,35844,
2019-02-08,0.010802,0.016326,0.009019,0.014204,47385,
2019-02-09,0.014221,0.017038,0.009711,0.01321,25477,
2019-02-10,0.01319,0.015295,0.011435,0.013955,4357,
2019-02-11,0.013945,0.013945,0.011472,0.011527,591,
2019-02-12,0.011508,0.013238,0.002725,0.009881,5490,205589
2019-02-13,0.009913,0.011033,0.008771,0.010803,127983,224778
2019-02-14,0.010847,0.011054,0.010584,0.010742,57385,223497
2019-02-15,0.010768,0.010937,0.010592,0.010892,23369,226615
2019-02-16,0.010594,0.015243,0.010366,0.010678,12422,222159
2019-02-17,0.015493,0.016239,0.00836,0.011326,15925,235658
2019-02-18,0.011324,0.016824,0.009597,0.01287,69247,267783
2019-02-19,0.012879,0.013986,0.012408,0.013193,25757,274497
2019-02-20,0.013181,0.01554,0.00695,0.010317,17927,214668
2019-02-21,0.010332,0.013441,0.006778,0.012791,28949,266136
2019-02-22,0.012794,0.012899,0.011438,0.01271,61240,264438
2019-02-23,0.012686,0.012862,0.010005,0.011376,7719,236689
2019-02-24,0.011453,0.012369,0.007346,0.007346,0,152846
2019-02-25,0.007296,0.012471,0.007296,0.009737,160557,202597
2019-02-26,0.009742,0.010381,0.008573,0.009798,89695,203853
2019-02-27,0.009796,0.011632,0.009636,0.011294,126629,234979
2019-02-28,0.011289,0.012331,0.010933,0.012276,133373,255409
2019-03-01,0.012275,0.013235,0.012167,0.012566,125646,261442
2019-03-02,0.012553,0.012628,0.011936,0.01196,26,248846
2019-03-03,0.012003,0.013012,0.011693,0.012961,375,269662
2019-03-04,0.012951,0.012986,0.011522,0.011597,232313,241292
2019-03-05,0.011645,0.016697,0.011594,0.016541,213574,344163
2019-03-06,0.016555,0.016956,0.01635,0.01668,230023,347052
2019-03-07,0.016699,0.016988,0.016502,0.016809,187940,349726
2019-03-08,0.016841,0.018259,0.016296,0.016662,357651,346670
2019-03-09,0.016636,0.01784,0.016124,0.016174,170,336513
2019-03-10,0.016217,0.016225,0.015689,0.015815,127,329048
2019-03-11,0.015823,0.018229,0.015537,0.015772,314805,328154
2019-03-12,0.015785,0.0165,0.015498,0.015635,369397,325312
2019-03-13,0.015652,0.016048,0.013954,0.013974,179409,290740
2019-03-14,0.013966,0.014262,0.013951,0.014098,242891,293325
2019-03-15,0.014085,0.014521,0.014085,0.014421,250105,300046
2019-03-16,0.014437,0.015105,0.014437,0.014918,10060,310382
2019-03-17,0.015278,0.015286,0.014629,0.014702,2,305901
2019-03-18,0.014657,0.015267,0.014482,0.014583,315093,303421
2019-03-19,0.014587,0.014775,0.014463,0.014605,160939,303878
2019-03-20,0.014607,0.014715,0.014406,0.014568,215995,303104
2019-03-21,0.014583,0.01475,0.01423,0.014286,194632,297239
2019-03-22,0.014273,0.01528,0.014204,0.014302,217376,297577
2019-03-23,0.014286,0.014473,0.014061,0.014291,19,297334
2019-03-24,0.014298,0.014682,0.014194,0.014402,120466,299655
2019-03-25,0.014419,0.014936,0.014102,0.014915,361474,310333
2019-03-26,0.014914,0.014945,0.01437,0.014776,300399,307428
2019-03-27,0.014781,0.016714,0.014238,0.014506,36686,301816
2019-03-28,0.0145,0.014546,0.014151,0.014238,74529,296246
2019-03-29,0.014239,0.015043,0.014229,0.015043,105486,312986
2019-03-30,0.015049,0.015805,0.014491,0.014586,43,303484
2019-03-31,0.014586,0.017648,0.01446,0.017634,109444,366900
2019-04-01,0.017622,0.018517,0.017001,0.017134,130091,356504
2019-04-02,0.017135,0.02015,0.01711,0.019988,109708,415879
2019-04-03,0.019992,0.021289,0.017597,0.018333,112202,381438
2019-04-04,0.018356,0.019924,0.018229,0.019067,178042,396719
2019-04-05,0.019068,0.020202,0.018835,0.020025,100302,416644
2019-04-06,0.020023,0.020591,0.019319,0.019806,51,412081
2019-04-07,0.019806,0.021018,0.019687,0.02086,209819,434013
2019-04-08,0.020892,0.022041,0.020826,0.021349,99,444191
2019-04-09,0.021349,0.021462,0.020781,0.021032,209034,437602
2019-04-10,0.021032,0.021899,0.020945,0.021219,255544,441478
2019-04-11,0.021159,0.021247,0.019431,0.019845,81971,412910
2019-04-12,0.019823,0.019834,0.019309,0.019657,19,408995
2019-04-13,0.019641,0.019853,0.019395,0.019616,15,408138
2019-04-14,0.019616,0.020196,0.019419,0.020109,152773,418384
2019-04-15,0.020109,0.020222,0.019113,0.019373,133108,403075
2019-04-16,0.019373,0.02366,0.011038,0.019304,195959,401645
2019-04-17,0.019293,0.019497,0.016198,0.018836,43384,391915
