time,Open,High,Low,close,volumeto,Market Cap
2018-01-24,0.38647,0.454806,0.370399,0.437652,1024180,
2018-01-25,0.438958,0.459069,0.379545,0.40398,925553,20035907
2018-01-26,0.402575,0.423525,0.358683,0.389605,560182,19322961
2018-01-27,0.389635,0.636184,0.378248,0.588911,842619,29207798
2018-01-28,0.575345,0.757418,0.575345,0.635554,1745270,31521118
2018-01-29,0.635285,0.639537,0.489442,0.565557,586946,28049526
2018-01-30,0.561,0.58385,0.402787,0.425836,287412,21119884
2018-01-31,0.427308,0.46178,0.402514,0.429662,177145,21309639
2018-02-01,0.430482,0.466178,0.308291,0.3724,181672,18469657
2018-02-02,0.371037,0.371037,0.251644,0.324689,159291,16103368
2018-02-03,0.326261,0.40209,0.309588,0.365578,194770,18131311
2018-02-04,0.354858,0.372019,0.277119,0.28241,87646,14006487
2018-02-05,0.279674,0.319267,0.188838,0.236033,85824,11706360
2018-02-06,0.236874,0.288245,0.168062,0.283536,295204,14062332
2018-02-07,0.283239,0.294565,0.241712,0.243453,118334,12074364
2018-02-08,0.242831,0.283476,0.239646,0.264401,155448,13113307
2018-02-09,0.26473,0.311062,0.258432,0.306333,80067,15192979
2018-02-10,0.307089,0.324885,0.235626,0.264313,127310,13108943
2018-02-11,0.263885,0.287326,0.240665,0.274033,48383,13591019
2018-02-12,0.275212,0.310195,0.271983,0.285474,164851,14158450
2018-02-13,0.285875,0.306943,0.264196,0.289559,90628,14361065
2018-02-14,0.289433,0.318487,0.277551,0.317813,51601,15762360
2018-02-15,0.317977,0.33166,0.30743,0.331112,78841,16488297
2018-02-16,0.330876,0.439052,0.289365,0.411478,453345,20490265
2018-02-17,0.411716,0.65671,0.37395,0.598584,2596670,29927252
2018-02-18,0.604231,0.656367,0.496841,0.557521,2450970,27874236
2018-02-19,0.558772,0.685039,0.546989,0.685039,2024430,34249721
2018-02-20,0.691316,0.854753,0.674695,0.797946,4672240,41453819
2018-02-21,0.800963,0.800963,0.598887,0.673773,2335180,35002950
2018-02-22,0.672119,0.719904,0.54373,0.54373,1243960,28247130
2018-02-23,0.543494,0.590827,0.454131,0.537044,1310100,27899788
2018-02-24,0.530937,0.568053,0.479614,0.521017,578056,27067175
