time,Open,High,Low,close,volumeto,Market Cap
2018-01-12,0.16179,0.988592,0.16179,0.446615,198033,
2018-01-13,0.461659,0.465602,0.270787,0.457049,83475,
2018-01-14,0.457825,0.457825,0.299177,0.343267,19265,
2018-01-15,0.346681,0.37104,0.244326,0.304125,19867,9899269
2018-01-16,0.304668,0.309002,0.196505,0.270858,8096,8816428
2018-01-17,0.269695,0.279272,0.174664,0.238365,5805,7758781
2018-01-18,0.283264,0.322243,0.224843,0.262096,7368,8531225
2018-01-19,0.288148,0.319233,0.245499,0.285845,11061,9304255
2018-01-20,0.287797,0.298048,0.205393,0.205393,4254,6685542
2018-01-21,0.205849,0.228454,0.189484,0.206639,2568,6726099
2018-01-22,0.208031,0.360577,0.181746,0.298744,3898,9724117
2018-01-23,0.297955,0.30497,0.17508,0.218764,3150,7120768
2018-01-24,0.21867,0.245194,0.163794,0.196243,12683,6387710
2018-01-25,0.202297,0.22253,0.128332,0.182795,18362,5949977
2018-01-26,0.182266,0.194824,0.077958,0.077958,11572,2537520
2018-01-27,0.159843,0.160437,0.107702,0.115602,7662,3762845
2018-01-28,0.127164,0.23519,0.127164,0.211004,12573,6868180
2018-01-29,0.210709,0.210709,0.146985,0.149042,3485,4851317
2018-01-30,0.146548,0.162108,0.114738,0.15212,4153,4951506
2018-01-31,0.152637,0.171212,0.138608,0.139256,4775,4532783
2018-02-01,0.131502,0.144983,0.098398,0.100512,4986,3271666
2018-02-02,0.10022,0.101785,0.078996,0.091251,6774,2970233
2018-02-03,0.091681,0.104241,0.080285,0.098727,6027,3213557
2018-02-04,0.098739,0.10097,0.070702,0.078226,2188,2546240
2018-02-05,0.077467,0.132764,0.055836,0.087003,7797,2831964
2018-02-06,0.087126,0.202216,0.053656,0.088633,16531,2885011
2018-02-07,0.088529,0.125566,0.053985,0.069493,9745,2262007
2018-02-08,0.069301,0.105074,0.065851,0.09848,5307,3205527
2018-02-09,0.098624,0.117074,0.078532,0.110795,595,3606377
2018-02-10,0.110866,0.110866,0.055482,0.064168,5541,2088685
