time,Open,High,Low,close,volumeto,Market Cap
2016-01-16,0.008758,0.008983,0.008758,0.008913,60,
2016-01-17,0.008904,0.016155,0.008884,0.014137,417,
2016-01-18,0.014116,0.015308,0.00904,0.013899,661,
2016-01-19,0.013894,0.014734,0.007451,0.007451,223,
2016-01-20,0.007443,0.014672,0.004547,0.014498,1008,
2016-01-21,0.014477,0.014589,0.008541,0.008624,0,
2016-01-22,0.008613,0.015574,0.007761,0.015047,656,144787
2016-01-23,0.015045,0.015521,0.008591,0.013833,900,134115
2016-01-24,0.013855,0.013857,0.008433,0.008462,43,82563
2016-01-25,0.008449,0.008594,0.007782,0.007838,35,76954
2016-01-26,0.007844,0.007959,0.006213,0.006235,159,61569
2016-01-27,0.00624,0.00631,0.00615,0.006162,102,61267
2016-01-28,0.006164,0.012304,0.005742,0.012165,96,121789
2016-01-29,0.01216,0.01216,0.011691,0.011986,4,120231
2016-01-30,0.011758,0.011847,0.011732,0.011764,1,119345
2016-01-31,0.011765,0.011829,0.004782,0.004794,153,48969
2016-02-01,0.004802,0.011267,0.002439,0.011192,199,115121
2016-02-02,0.010624,0.010863,0.003745,0.006336,222,65422
2016-02-03,0.006339,0.006344,0.006248,0.006254,37,64777
2016-02-04,0.00628,0.009786,0.00628,0.009736,161,101212
2016-02-05,0.009719,0.009773,0.006613,0.006629,63,69151
2016-02-06,0.00663,0.007353,0.003836,0.003841,27,40197
2016-02-07,0.00384,0.007495,0.003777,0.007111,202,74678
2016-02-08,0.007113,0.007172,0.006608,0.00661,66,69662
2016-02-09,0.00661,0.00661,0.003953,0.004512,63,47721
2016-02-10,0.004514,0.00916,0.004509,0.007442,1504,78971
2016-02-11,0.007451,0.007471,0.007336,0.007399,1,78776
2016-02-12,0.0074,0.007462,0.007398,0.007455,1,79492
2016-02-13,0.00581,0.007383,0.003924,0.007383,51,79095
2016-02-14,0.007403,0.013031,0.007403,0.013031,241,140087
2016-02-15,0.013042,0.013132,0.008004,0.009965,351,107467
2016-02-16,0.009996,0.014066,0.006229,0.011463,3630,124074
2016-02-17,0.011468,0.021843,0.0067,0.016361,2815,177713
2016-02-18,0.016367,0.021783,0.012805,0.013639,1092,148681
2016-02-19,0.013651,0.021177,0.013621,0.018834,1091,206043
2016-02-20,0.01887,0.024533,0.013519,0.01352,1373,148353
2016-02-21,0.013539,0.019722,0.01352,0.015236,638,167571
2016-02-22,0.015426,0.042333,0.015426,0.030383,5624,335107
2016-02-23,0.03042,0.034502,0.021161,0.025879,2627,286372
2016-02-24,0.025893,0.028789,0.015684,0.021565,2090,239335
2016-02-25,0.021567,0.037011,0.020031,0.030175,4024,336024
2016-02-26,0.036582,0.037488,0.022248,0.026439,3598,295480
2016-02-27,0.026481,0.033693,0.023049,0.023049,2450,258481
2016-02-28,0.023224,0.026093,0.018938,0.019492,2612,219375
2016-02-29,0.019489,0.032481,0.017267,0.023146,2764,261331
2016-03-01,0.023157,0.028409,0.017672,0.020109,1487,227790
2016-03-02,0.020109,0.02297,0.016983,0.016983,710,192996
2016-03-03,0.01698,0.021878,0.016003,0.016174,943,184306
2016-03-04,0.01618,0.020426,0.009943,0.014168,2046,161889
2016-03-05,0.014163,0.019134,0.014073,0.019019,754,217893
2016-03-06,0.019017,0.021297,0.015663,0.019153,1007,219978
2016-03-07,0.019153,0.046656,0.01887,0.033503,4150,385841
2016-03-08,0.033332,0.040091,0.02441,0.034051,9630,393147
2016-03-09,0.033394,0.036137,0.029169,0.033886,5077,392242
2016-03-10,0.03388,0.034527,0.029113,0.030049,3425,350538
2016-03-11,0.030088,0.032074,0.024428,0.027422,3887,319408
2016-03-12,0.027415,0.029363,0.023256,0.023256,2104,271402
2016-03-13,0.023256,0.026975,0.020044,0.020804,2892,243122
2016-03-14,0.020287,0.024156,0.007844,0.019467,2435,227818
2016-03-15,0.019469,0.019469,0.014438,0.017155,1020,201029
2016-03-16,0.017157,0.017157,0.012452,0.013546,672,158929
2016-03-17,0.013574,0.015237,0.011993,0.012458,1178,146336
2016-03-18,0.012455,0.014112,0.011913,0.013648,632,160670
2016-03-19,0.013636,0.013641,0.012585,0.012885,340,151834
2016-03-20,0.012885,0.013339,0.012334,0.01324,639,156178
2016-03-21,0.013229,0.014652,0.012588,0.013215,416,156052
2016-03-22,0.013208,0.017028,0.013189,0.014086,438,166523
2016-03-23,0.014089,0.018078,0.014089,0.014381,473,170182
2016-03-24,0.014394,0.014466,0.012607,0.014204,456,168233
2016-03-25,0.014054,0.017333,0.011463,0.0153,756,181391
2016-03-26,0.015426,0.01597,0.011248,0.011997,1157,142352
2016-03-27,0.012005,0.013537,0.011668,0.011702,564,138968
2016-03-28,0.011695,0.01295,0.010807,0.010919,388,129812
2016-03-29,0.010925,0.013371,0.00932,0.010217,579,121559
2016-03-30,0.010225,0.011249,0.009987,0.009996,336,119026
2016-03-31,0.010006,0.012135,0.010006,0.012076,222,143934
2016-04-01,0.012086,0.01211,0.008501,0.008571,458,102265
2016-04-02,0.008581,0.011368,0.008545,0.008746,410,104469
2016-04-03,0.008753,0.010485,0.008531,0.00884,761,105700
2016-04-04,0.008848,0.019459,0.008843,0.014861,2373,177892
2016-04-05,0.014874,0.015861,0.011841,0.014131,1043,169367
2016-04-06,0.01414,0.015603,0.012639,0.01282,348,153826
2016-04-07,0.012827,0.015998,0.012677,0.013427,263,160509
2016-04-08,0.013431,0.01655,0.013295,0.015393,562,184182
2016-04-09,0.015416,0.016278,0.013291,0.013291,295,159153
2016-04-10,0.013297,0.015701,0.013296,0.013352,321,160031
2016-04-11,0.013362,0.015205,0.01036,0.011225,474,134651
2016-04-12,0.011235,0.013133,0.01078,0.011783,278,141460
2016-04-13,0.011781,0.011811,0.010527,0.010786,266,129612
2016-04-14,0.010792,0.011012,0.010325,0.010755,218,129332
2016-04-15,0.010775,0.011559,0.010426,0.010685,294,128599
2016-04-16,0.010686,0.012044,0.009883,0.011178,168,134629
2016-04-17,0.01118,0.011901,0.009805,0.010454,289,126019
2016-04-18,0.010459,0.012233,0.010368,0.011208,156,135207
2016-04-19,0.011211,0.012672,0.01087,0.012075,337,145759
2016-04-20,0.012074,0.012653,0.01154,0.011967,96,144536
2016-04-21,0.011966,0.012915,0.011154,0.011343,370,137221
2016-04-22,0.01135,0.015833,0.01121,0.014633,324,177324
2016-04-23,0.014637,0.015063,0.012889,0.013687,143,166128
2016-04-24,0.013695,0.018195,0.013343,0.017447,390,212077
2016-04-25,0.017469,0.017476,0.013851,0.016136,349,196443
2016-04-26,0.016144,0.017796,0.013832,0.01483,406,180802
2016-04-27,0.014835,0.017588,0.013918,0.015166,304,186579
2016-04-28,0.015178,0.016619,0.014297,0.016017,245,197208
2016-04-29,0.016017,0.020419,0.014556,0.018514,1771,228080
2016-04-30,0.018514,0.029012,0.018235,0.023106,2455,284685
2016-05-01,0.023119,0.045178,0.023119,0.043916,19083,541135
2016-05-02,0.043922,0.044161,0.02362,0.030767,7263,379154
2016-05-03,0.029775,0.030928,0.02272,0.030899,2203,380818
2016-05-04,0.030946,0.036632,0.030795,0.031864,3418,392754
2016-05-05,0.031864,0.045217,0.03153,0.045181,15152,556930
2016-05-06,0.045177,0.058944,0.036327,0.036327,17734,447853
2016-05-07,0.03633,0.056314,0.029829,0.055978,7660,690191
2016-05-08,0.055978,0.05612,0.017792,0.01985,6791,244762
2016-05-09,0.019835,0.021822,0.016691,0.016695,1242,205882
2016-05-10,0.016696,0.023638,0.015748,0.015783,1022,194656
2016-05-11,0.015782,0.019509,0.015782,0.018112,679,223415
2016-05-12,0.018112,0.065642,0.016106,0.0443,35238,546514
2016-05-13,0.044308,0.047139,0.029913,0.041456,44493,511487
2016-05-14,0.041469,0.047148,0.03924,0.041465,32598,511666
2016-05-15,0.041478,0.042567,0.029749,0.029751,24080,367159
2016-05-16,0.029745,0.032838,0.010299,0.018507,7197,228421
2016-05-17,0.018501,0.023403,0.017712,0.01908,1459,235523
2016-05-18,0.018955,0.019893,0.013439,0.016875,5201,208332
2016-05-19,0.016873,0.017293,0.013946,0.014174,1131,175007
2016-05-20,0.013679,0.018285,0.013679,0.017399,1300,214857
2016-05-21,0.017404,0.017411,0.013036,0.013164,2121,162567
2016-05-22,0.013162,0.01569,0.012413,0.012547,1850,154968
2016-05-23,0.012544,0.013453,0.007417,0.008872,4007,109593
2016-05-24,0.00887,0.017552,0.008315,0.01287,2970,158994
2016-05-25,0.012871,0.013253,0.007875,0.009236,1051,114105
2016-05-26,0.009237,0.01126,0.009034,0.010904,267,134721
2016-05-27,0.010904,0.014921,0.010904,0.014522,1497,179438
2016-05-28,0.014514,0.015386,0.014017,0.015037,376,185828
2016-05-29,0.01502,0.015589,0.014095,0.014535,598,179645
2016-05-30,0.014553,0.014656,0.011796,0.012683,3654,156762
2016-05-31,0.012663,0.012725,0.010515,0.011288,1192,139534
2016-06-01,0.011287,0.013423,0.010278,0.010736,415,132720
2016-06-02,0.010709,0.013192,0.008773,0.009856,672,121864
2016-06-03,0.009856,0.011112,0.009493,0.010974,396,135687
2016-06-04,0.010975,0.02832,0.010834,0.019172,407,237088
2016-06-05,0.019157,0.019523,0.011365,0.013028,215,161122
2016-06-06,0.013027,0.016143,0.010754,0.011773,532,145609
2016-06-07,0.011773,0.013245,0.011154,0.011835,176,146402
2016-06-08,0.011837,0.013652,0.011409,0.012216,88,151117
2016-06-09,0.012212,0.013185,0.011366,0.011868,71,146829
2016-06-10,0.011867,0.012955,0.010128,0.012368,92,153036
2016-06-11,0.012366,0.013524,0.01064,0.013524,53,167352
2016-06-12,0.013515,0.01392,0.010249,0.010316,148,127670
2016-06-13,0.010324,0.010551,0.006945,0.009569,1413,118434
2016-06-14,0.00957,0.010393,0.007527,0.00938,210,116107
2016-06-15,0.009378,0.009883,0.007817,0.009883,160,122347
2016-06-16,0.009889,0.010555,0.006835,0.00988,62,122317
2016-06-17,0.009882,0.011935,0.008395,0.010542,1513,130529
2016-06-18,0.010536,0.017397,0.010256,0.014788,1176,183119
2016-06-19,0.014783,0.019387,0.013659,0.019057,306,235997
2016-06-20,0.014685,0.019381,0.011327,0.011614,263,143838
2016-06-21,0.011636,0.070751,0.009039,0.054745,7120,678103
2016-06-22,0.054746,0.055299,0.009606,0.022976,168,284619
2016-06-23,0.023284,0.03014,0.010376,0.013473,1874,166915
2016-06-24,0.013475,0.016115,0.008652,0.008753,189,108446
2016-06-25,0.008731,0.014353,0.008712,0.012689,78,157231
2016-06-26,0.012685,0.013013,0.009332,0.010432,131,129276
2016-06-27,0.010421,0.013073,0.010263,0.010859,53,134568
2016-06-28,0.011009,0.011025,0.009581,0.009993,225,123846
2016-06-29,0.009991,0.012044,0.006509,0.008713,1148,108002
2016-06-30,0.008725,0.012493,0.008528,0.011865,373,147081
2016-07-01,0.011853,0.012905,0.01169,0.0119,141,147521
2016-07-02,0.011906,0.013811,0.010394,0.011489,183,142433
2016-07-03,0.011509,0.011813,0.008209,0.009087,111,112674
2016-07-04,0.009106,0.010752,0.008766,0.009282,144,115089
2016-07-05,0.009286,0.012379,0.009248,0.010899,175,135142
2016-07-06,0.0109,0.011485,0.01076,0.01142,187,141610
2016-07-07,0.011425,0.011468,0.009051,0.010557,49,130926
2016-07-08,0.010572,0.011229,0.009223,0.010773,80,133601
2016-07-09,0.01077,0.011592,0.009884,0.011538,88,143099
2016-07-10,0.011539,0.011826,0.010425,0.010473,16,129906
2016-07-11,0.010943,0.011961,0.010875,0.011233,142,139349
2016-07-12,0.011064,0.011413,0.010065,0.01045,303,129643
2016-07-13,0.01049,0.011049,0.009568,0.009578,43,118825
2016-07-14,0.009561,0.009788,0.008624,0.00863,212,107068
2016-07-15,0.008633,0.00968,0.008633,0.009406,52,116712
2016-07-16,0.009398,0.010472,0.008855,0.009906,99,122923
2016-07-17,0.009885,0.011095,0.009814,0.011027,58,136835
2016-07-18,0.011037,0.011126,0.009593,0.009896,186,122801
2016-07-19,0.009891,0.011221,0.009229,0.010994,428,136436
2016-07-20,0.010993,0.011163,0.008938,0.00975,155,121011
2016-07-21,0.009748,0.010992,0.009515,0.010836,36,134491
2016-07-22,0.010834,0.010839,0.009131,0.009166,32,113770
2016-07-23,0.009167,0.009844,0.008685,0.008686,71,107821
2016-07-24,0.008685,0.009574,0.008191,0.009573,327,118839
2016-07-25,0.009574,0.011056,0.005389,0.006692,1725,83085
2016-07-26,0.006694,0.008051,0.005707,0.005835,595,72441
2016-07-27,0.005832,0.008606,0.003908,0.00495,383,61456
2016-07-28,0.00495,0.012646,0.004046,0.006636,2017,82399
2016-07-29,0.006636,0.008274,0.005929,0.006678,120,82925
2016-07-30,0.006679,0.0092,0.006679,0.007897,110,98063
2016-07-31,0.007897,0.009491,0.007107,0.007114,33,88346
2016-08-01,0.00711,0.009142,0.006822,0.007056,35,87631
2016-08-02,0.00706,0.008133,0.005061,0.00571,189,70906
2016-08-03,0.005747,0.006422,0.004937,0.005777,81,71740
2016-08-04,0.005776,0.005843,0.005048,0.00511,24,63466
2016-08-05,0.00511,0.033189,0.00343,0.011731,2068,145710
2016-08-06,0.011727,0.011905,0.006238,0.007529,157,93522
2016-08-07,0.007529,0.007884,0.00672,0.007179,58,89186
2016-08-08,0.00718,0.007309,0.006283,0.006894,71,85648
2016-08-09,0.006895,0.007765,0.006468,0.007743,28,96195
2016-08-10,0.00774,0.00774,0.006007,0.00602,189,74789
2016-08-11,0.006022,0.006748,0.006016,0.006736,114,83691
2016-08-12,0.006733,0.006993,0.006396,0.006434,61,79953
2016-08-13,0.006434,0.010819,0.006404,0.008952,615,111237
2016-08-14,0.008952,0.012749,0.008943,0.010121,1492,125778
2016-08-15,0.010127,0.010767,0.008607,0.010684,434,132775
2016-08-16,0.010756,0.010769,0.008912,0.009635,223,119749
2016-08-17,0.009641,0.010704,0.009221,0.010416,108,129454
2016-08-18,0.010413,0.011792,0.009969,0.009972,58,123949
2016-08-19,0.009975,0.010568,0.008832,0.009872,112,122709
2016-08-20,0.009871,0.009926,0.009166,0.009168,52,113962
2016-08-21,0.009167,0.010136,0.008464,0.009233,77,114781
2016-08-22,0.009231,0.009527,0.008819,0.008966,36,111461
2016-08-23,0.008572,0.009172,0.008094,0.008655,70,107606
2016-08-24,0.008655,0.008872,0.007957,0.00825,213,102574
