time,Open,High,Low,close,volumeto,Market Cap
2017-09-25,11.76,12.19,10.92,10.94,23084,
2017-09-26,10.81,12.08,6.46,9.9,31593,
2017-09-27,9.89,12.29,6.44,9.58,31515,
2017-09-28,9.64,12.75,7.97,12.75,20886,
2017-09-29,12.73,14.75,10.53,12.0,15703,
2017-09-30,12.0,12.81,11.25,12.42,9639,
2017-10-01,12.42,17.19,8.66,11.84,11666,
2017-10-02,11.84,12.24,7.82,9.21,5285,
2017-10-03,9.21,12.18,8.21,8.6,11275,
2017-10-04,8.62,9.98,8.11,8.18,12062,
2017-10-05,8.18,10.05,2.31,10.0,41860,
2017-10-06,10.0,10.72,8.41,10.34,12943,
2017-10-07,10.32,10.44,7.68,7.8,4680,
2017-10-08,7.79,10.96,7.17,9.13,8484,
2017-10-09,9.13,10.4,7.47,7.47,10435,
2017-10-10,7.49,27.31,7.37,8.69,18820,
2017-10-11,8.69,10.55,2.99,7.99,12768,
2017-10-12,7.99,8.13,6.75,7.55,8116,
2017-10-13,7.54,7.54,0.718863,4.71,12068,
2017-10-14,4.72,8.05,3.24,7.3,18630,
2017-10-15,7.33,13.15,5.48,7.51,4334,
2017-10-16,7.53,7.82,6.34,6.41,2747,
2017-10-17,6.43,7.33,4.76,5.86,7109,
2017-10-18,5.85,6.08,4.7,4.9,8672,
2017-10-19,4.89,9.25,4.84,4.92,2299,
2017-10-20,4.92,10.59,4.92,6.07,7265,
2017-10-21,6.06,6.06,4.87,5.44,3389,
2017-10-22,5.44,5.89,3.51,4.04,15593,
2017-10-23,4.03,4.09,2.4,3.28,12076,
2017-10-24,3.28,10.05,3.23,4.34,11199,
2017-10-25,4.34,5.84,4.21,4.66,3761,
2017-10-26,4.65,5.57,3.76,5.29,15718,
2017-10-27,5.29,5.87,3.99,5.31,15041,
2017-10-28,5.33,6.17,5.0,5.87,5870,
2017-10-29,5.87,5.97,4.78,5.9,2649,
2017-10-30,5.89,6.02,5.04,5.09,7107,
2017-10-31,5.08,5.69,4.93,5.46,6828,
2017-11-01,5.45,5.59,4.78,4.78,3324,
2017-11-02,4.79,5.26,3.47,3.69,25871,
2017-11-03,3.71,4.39,3.38,4.13,6140,
2017-11-04,4.13,4.16,3.38,3.84,7531,
2017-11-05,3.84,4.6,3.84,4.46,4642,
2017-11-06,4.47,4.5,3.65,3.93,3483,
2017-11-07,3.93,4.86,3.88,4.0,19631,
2017-11-08,4.64,4.84,3.75,4.25,4651,
2017-11-09,4.23,4.94,4.2,4.74,10750,
2017-11-10,4.74,4.94,3.91,3.91,11398,
2017-11-11,3.9,4.54,3.9,4.33,5125,
2017-11-12,4.33,4.5,3.56,3.58,5981,
2017-11-13,3.59,3.9,3.56,3.67,4078,
2017-11-14,3.67,4.82,3.65,4.35,1837,
2017-11-15,4.36,4.8,4.09,4.56,8108,
2017-11-16,4.56,4.8,4.36,4.67,1382,
2017-11-17,4.73,5.16,4.31,4.39,766,
2017-11-18,4.38,4.78,4.18,4.75,3674,
2017-11-19,4.74,4.74,3.9,4.39,7053,
2017-11-20,4.39,4.39,3.41,3.86,3510,
2017-11-21,3.85,4.51,3.27,4.1,882,
2017-11-22,4.1,4.17,2.91,3.86,1388,
2017-11-23,3.87,4.7,3.83,4.55,2377,
2017-11-24,4.53,6.01,3.62,5.92,2768,
2017-11-25,5.92,6.15,4.12,4.27,2840,
2017-11-26,4.27,5.17,4.05,5.14,1387,
2017-11-27,5.14,5.19,2.83,3.77,4488,
2017-11-28,3.76,4.19,3.6,4.03,1729,
2017-11-29,4.04,4.14,2.65,2.83,3919,
2017-11-30,2.87,3.92,2.86,2.96,2237,
2017-12-01,2.95,3.56,2.91,3.14,3893,
2017-12-02,3.13,5.77,2.92,3.66,2706,
2017-12-03,3.66,5.96,3.43,4.22,1528,
2017-12-04,4.25,6.84,4.14,6.84,2099,
