time,Open,High,Low,close,volumeto,Market Cap
2017-06-24,0.00028,0.00028,0.000229,0.000231,1901,274460
2017-06-25,0.000257,0.000393,0.000231,0.000379,3341,449662
2017-06-26,0.000378,0.000692,0.000343,0.000665,2507,789911
2017-06-27,0.000679,0.001197,0.000477,0.000835,29840,991717
2017-06-28,0.000688,0.001293,0.000655,0.001075,11069,1276523
2017-06-29,0.001074,0.001768,0.001005,0.001138,9977,1351750
2017-06-30,0.00114,0.001147,0.000549,0.000949,4911,1127963
2017-07-01,0.000949,0.000953,0.000264,0.000509,7363,605157
2017-07-02,0.000509,0.000579,0.000369,0.000401,1310,476878
2017-07-03,0.0004,0.000522,0.000383,0.000432,2436,513853
2017-07-04,0.000431,0.000446,0.000258,0.000338,3416,401640
2017-07-05,0.000338,0.000408,0.00031,0.000363,2561,432282
2017-07-06,0.000364,0.000395,0.000311,0.000388,2181,462008
2017-07-07,0.000389,0.000457,0.000331,0.00035,3105,416526
2017-07-08,0.00035,0.000377,0.000275,0.000357,2663,424460
2017-07-09,0.000357,0.000362,0.000329,0.000349,438,415096
2017-07-10,0.000349,0.000378,0.000297,0.000305,494,363099
2017-07-11,0.000304,0.000373,0.000297,0.00035,1050,416372
2017-07-12,0.000349,0.000349,0.000192,0.000309,3445,367445
2017-07-13,0.000285,0.000336,0.000215,0.000309,1413,367285
2017-07-14,0.000308,0.000378,0.000285,0.000333,3391,396837
2017-07-15,0.000333,0.000776,0.000309,0.000424,7143,504294
2017-07-16,0.000422,0.000524,0.000336,0.000371,1644,442019
2017-07-17,0.000371,0.000503,0.000357,0.000468,2108,558071
2017-07-18,0.00047,0.000545,0.000375,0.000467,4128,555897
2017-07-19,0.000467,0.000548,0.00041,0.000479,1221,582295
2017-07-20,0.000478,0.000541,0.000304,0.000515,5243,625982
2017-07-21,0.000518,0.000522,0.00033,0.000483,867,587362
2017-07-22,0.000483,0.000512,0.000281,0.000342,3741,417091
2017-07-23,0.000342,0.000441,0.000249,0.000357,2970,434961
2017-07-24,0.000356,0.000496,0.000278,0.00047,3995,573098
2017-07-25,0.00047,0.000473,0.00028,0.000356,5043,434195
2017-07-26,0.000356,0.00045,0.000312,0.00045,4072,548207
2017-07-27,0.000451,0.000697,0.000368,0.000556,15704,678061
2017-07-28,0.000559,0.00059,0.000415,0.000452,2443,551453
2017-07-29,0.000425,0.000522,0.000417,0.000435,792,530473
2017-07-30,0.000435,0.000519,0.000368,0.000438,2281,534904
2017-07-31,0.000439,0.000532,0.00038,0.000457,3211,557878
2017-08-01,0.000457,0.000526,0.00041,0.000438,1908,534639
2017-08-02,0.000465,0.000467,0.000402,0.000431,1529,526417
2017-08-03,0.000432,0.000467,0.000408,0.000423,1005,517238
2017-08-04,0.000423,0.000453,0.00037,0.000374,1697,458035
2017-08-05,0.000374,0.000461,0.000374,0.000455,761,556313
2017-08-06,0.000455,0.000459,0.000379,0.000418,1533,516053
2017-08-07,0.000417,0.00047,0.000371,0.000405,1754,499978
2017-08-08,0.000406,0.000451,0.000377,0.000377,624,465555
2017-08-09,0.000377,0.000442,0.000363,0.000368,316,454074
2017-08-10,0.000368,0.000449,0.000339,0.000413,981,508995
2017-08-11,0.000412,0.000459,0.000366,0.000435,662,536970
2017-08-12,0.000435,0.000437,0.000306,0.00039,2064,482246
2017-08-13,0.00039,0.000422,0.000282,0.000395,2415,489679
2017-08-14,0.000395,0.000433,0.000301,0.000433,871,537688
2017-08-15,0.000434,0.000443,0.000323,0.000415,283,515224
2017-08-16,0.000415,0.000438,0.000295,0.000437,1070,543271
2017-08-17,0.000437,0.000438,0.000281,0.000345,391,429089
2017-08-18,0.000344,0.000385,0.000283,0.000329,546,409201
2017-08-19,0.000329,0.000415,0.000318,0.000414,388,516771
2017-08-20,0.000412,0.000415,0.000327,0.000366,103,457422
2017-08-21,0.000365,0.000444,0.000357,0.0004,242,499018
2017-08-22,0.000401,0.00055,0.000294,0.000486,2495,607328
2017-08-23,0.000484,0.000548,0.000413,0.000451,477,563949
2017-08-24,0.000452,0.000504,0.000425,0.000478,1020,597770
2017-08-25,0.000478,0.000483,0.00035,0.000437,817,546131
2017-08-26,0.000438,0.00048,0.000388,0.00048,122,599494
2017-08-27,0.00048,0.0005,0.00042,0.000475,686,594265
2017-08-28,0.000476,0.0005,0.0004,0.000473,737,591738
2017-08-29,0.000474,0.000512,0.000412,0.000508,672,635216
2017-08-30,0.000508,0.00051,0.000456,0.000463,648,579298
2017-08-31,0.000462,0.000524,0.000462,0.000522,1422,653434
2017-09-01,0.000522,0.000579,0.000469,0.000543,649,680161
2017-09-02,0.000544,0.000591,0.000449,0.000506,776,634717
2017-09-03,0.000506,0.000564,0.000464,0.000484,141,606870
2017-09-04,0.000479,0.000488,0.000416,0.000472,119,592658
2017-09-05,0.000474,0.000495,0.000422,0.000486,1043,610576
2017-09-06,0.000486,0.000559,0.000457,0.000558,533,700780
2017-09-07,0.000556,0.000564,0.000374,0.000464,3966,583008
2017-09-08,0.000464,0.00047,0.000414,0.000432,164,543557
2017-09-09,0.000433,0.000444,0.00038,0.000442,18,560845
2017-09-10,0.000443,0.000443,0.000367,0.000424,847,538323
2017-09-11,0.000426,0.000437,0.000384,0.000424,258,537946
2017-09-12,0.000424,0.000436,0.000369,0.000375,53,475673
2017-09-13,0.000375,0.000396,0.00034,0.000387,335,490942
2017-09-14,0.000387,0.000403,0.000299,0.000309,201,391627
2017-09-15,0.000309,0.000376,0.000281,0.000335,4550,425616
2017-09-16,0.000334,0.000387,0.000306,0.000372,841,472191
2017-09-17,0.000371,0.000375,0.000297,0.00037,412,470369
2017-09-18,0.000369,0.000413,0.000308,0.000327,846,416055
2017-09-19,0.000328,0.000404,0.000309,0.000353,981,448139
2017-09-20,0.000352,0.000363,0.000308,0.000351,1786,445910
2017-09-21,0.000349,0.000352,0.000286,0.00029,282,368458
2017-09-22,0.00029,0.00033,0.000282,0.00029,1090,368944
2017-09-23,0.000289,0.000307,0.000268,0.000304,691,385947
2017-09-24,0.000232,0.000308,0.000188,0.000294,2869,374097
2017-09-25,0.000294,0.000295,0.000187,0.000281,265,357444
2017-09-26,0.000283,0.000354,0.000274,0.000352,3531,447518
2017-09-27,0.000351,0.00038,0.000287,0.000379,857,481910
2017-09-28,0.000379,0.000421,0.000294,0.000378,1539,480846
2017-09-29,0.000419,0.000465,0.000364,0.000456,1209,579606
2017-09-30,0.000456,0.000523,0.000421,0.000477,841,607406
2017-10-01,0.000478,0.00056,0.000471,0.00056,2624,712177
2017-10-02,0.00056,0.000614,0.000525,0.000536,2369,682327
2017-10-03,0.000535,0.00063,0.000517,0.00056,2953,712789
2017-10-04,0.000561,0.000587,0.000505,0.000505,3145,643380
2017-10-05,0.000506,0.000645,0.000498,0.000609,1378,775174
2017-10-06,0.000609,0.000717,0.000492,0.000611,641,778541
2017-10-07,0.000608,0.000642,0.000545,0.000545,252,694427
2017-10-08,0.000544,0.000623,0.000513,0.000515,168,655866
2017-10-09,0.000515,0.000609,0.000508,0.00053,5328,674954
2017-10-10,0.00053,0.000737,0.000507,0.000717,369,913899
2017-10-11,0.000717,0.000734,0.000445,0.000513,2003,727713
2017-10-12,0.000514,0.000587,0.000428,0.000573,1012,812050
2017-10-13,0.000574,0.000631,0.000421,0.000509,1762,721501
2017-10-14,0.000509,0.000533,0.000453,0.000532,71,754880
2017-10-15,0.000533,0.000575,0.000493,0.000569,347,806986
2017-10-16,0.000569,0.000685,0.000448,0.000636,6269,901845
2017-10-17,0.000636,0.00068,0.000609,0.000672,1736,953549
2017-10-18,0.000672,0.000768,0.000572,0.000765,1321,1086018
2017-10-19,0.000763,0.000775,0.000685,0.000685,2682,971926
2017-10-20,0.000685,0.000732,0.000373,0.000604,10282,856888
2017-10-21,0.000602,0.000742,0.000492,0.000666,2247,944996
2017-10-22,0.000666,0.000672,0.000493,0.000616,773,874763
2017-10-23,0.000615,0.000637,0.00052,0.000582,23,826342
2017-10-24,0.000579,0.000649,0.000409,0.000598,918,848709
2017-10-25,0.000598,0.000681,0.000499,0.0006,168,852996
2017-10-26,0.0006,0.000696,0.000537,0.000694,300,985501
2017-10-27,0.000693,0.000767,0.000515,0.000626,44,890132
2017-10-28,0.000628,0.000639,0.000531,0.000605,327,859812
2017-10-29,0.000599,0.000662,0.000522,0.000624,174,886952
2017-10-30,0.000621,0.000725,0.000577,0.000581,121,824956
2017-10-31,0.000579,0.000666,0.000572,0.00059,159,838406
2017-11-01,0.000588,0.000676,0.000477,0.000484,577,687947
2017-11-02,0.000481,0.000696,0.000481,0.000621,275,882343
2017-11-03,0.00062,0.000684,0.00052,0.000675,280,959633
2017-11-04,0.000674,0.000821,0.000555,0.000662,2869,940251
2017-11-05,0.00066,0.00078,0.0006,0.000706,768,1002749
2017-11-06,0.000707,0.000731,0.000594,0.000701,914,995382
2017-11-07,0.000699,0.00073,0.000503,0.000648,2177,920480
2017-11-08,0.000646,0.00071,0.000569,0.000591,1294,839423
2017-11-09,0.00059,0.000753,0.000507,0.000662,648,940466
2017-11-10,0.000664,0.000762,0.000541,0.000629,300,893596
