time,Open,High,Low,close,volumeto,Market Cap
2017-10-25,4e-06,8e-06,3e-06,5e-06,32400,
2017-10-26,5e-06,5e-06,4e-06,4e-06,10101,
2017-10-27,4e-06,4e-06,1e-06,2e-06,5679,
2017-10-28,3e-06,3e-06,1e-06,2e-06,2539,
2017-10-29,2e-06,2e-06,1e-06,2e-06,1444,
2017-10-30,2e-06,2e-06,1e-06,1e-06,910,
2017-10-31,1e-06,3e-06,1e-06,3e-06,1232,
2017-11-01,3e-06,3e-06,1e-06,1e-06,802,
2017-11-02,1e-06,1e-06,85000000.0,85000000.0,1158,
2017-11-03,85000000.0,1e-06,85000000.0,1e-06,416,
2017-11-04,1e-06,2e-06,89000000.0,90000000.0,790,
2017-11-05,90000000.0,1e-06,89000000.0,1e-06,875,
2017-11-06,1e-06,1e-06,89000000.0,89000000.0,310,
2017-11-07,89000000.0,1e-06,87000000.0,88000000.0,338,
2017-11-08,88000000.0,1e-06,87000000.0,93000000.0,494,
2017-11-09,92000000.0,1e-06,64000000.0,64000000.0,873,
2017-11-10,64000000.0,96000000.0,58000000.0,89000000.0,442,
2017-11-11,89000000.0,92000000.0,60000000.0,63000000.0,310,
2017-11-12,63000000.0,94000000.0,60000000.0,61000000.0,69,
2017-11-13,61000000.0,96000000.0,61000000.0,63000000.0,111,
2017-11-14,63000000.0,99000000.0,63000000.0,67000000.0,105,
2017-11-15,67000000.0,1e-06,65000000.0,66000000.0,276,
2017-11-16,66000000.0,1000000.0,64000000.0,66000000.0,203,
2017-11-17,66000000.0,1e-06,65000000.0,66000000.0,150,
2017-11-18,66000000.0,1e-06,65000000.0,69000000.0,179,
2017-11-19,69000000.0,1e-06,69000000.0,1e-06,250,
2017-11-20,1e-06,1e-06,71000000.0,74000000.0,525,
2017-11-21,74000000.0,75000000.0,36000000.0,72000000.0,114,
2017-11-22,72000000.0,76000000.0,37000000.0,38000000.0,58,
2017-11-23,38000000.0,85000000.0,38000000.0,41000000.0,36,
2017-11-24,41000000.0,95000000.0,40000000.0,94000000.0,139,
2017-11-25,94000000.0,2e-06,46000000.0,93000000.0,1148,
2017-11-26,93000000.0,1e-06,90000000.0,94000000.0,528,
2017-11-27,94000000.0,1e-06,47000000.0,1e-06,392,
2017-11-28,1e-06,1e-06,46000000.0,93000000.0,62,
2017-11-29,93000000.0,1e-06,46000000.0,85000000.0,334,
2017-11-30,86000000.0,92000000.0,43000000.0,87000000.0,398,
2017-12-01,87000000.0,93000000.0,46000000.0,46000000.0,95,
2017-12-02,46000000.0,93000000.0,46000000.0,92000000.0,211,
2017-12-03,92000000.0,92000000.0,45000000.0,46000000.0,43,
2017-12-04,46000000.0,1e-06,46000000.0,1e-06,348,
2017-12-05,1e-06,1e-06,1e-06,1e-06,31,
2017-12-06,1e-06,1e-06,1e-06,1e-06,25,
2017-12-07,1e-06,1e-06,1e-06,1e-06,71,
2017-12-08,1e-06,1e-06,1e-06,1e-06,22,
2017-12-09,1e-06,1e-06,92000000.0,95000000.0,64,
2017-12-10,95000000.0,95000000.0,44000000.0,87000000.0,41,
2017-12-11,88000000.0,2e-06,87000000.0,2e-06,463,
2017-12-12,2e-06,2e-06,1e-06,2e-06,553,
2017-12-13,2e-06,2e-06,1e-06,1e-06,671,
2017-12-14,1e-06,2e-06,1e-06,1e-06,98,
2017-12-15,1e-06,5e-06,1e-06,3e-06,2038,
2017-12-16,3e-06,4e-06,2e-06,2e-06,847,
2017-12-17,3e-06,4e-06,2e-06,3e-06,3000,
2017-12-18,3e-06,4e-06,2e-06,2e-06,2584,
2017-12-19,2e-06,4e-06,2e-06,4e-06,1668,
2017-12-20,4e-06,4e-06,3e-06,3e-06,875,
2017-12-21,3e-06,3e-06,3e-06,3e-06,196,
2017-12-22,3e-06,3e-06,2e-06,2e-06,495,
2017-12-23,2e-06,4e-06,2e-06,3e-06,1764,
2017-12-24,4e-06,4e-06,2e-06,3e-06,1245,
2017-12-25,3e-06,4e-06,3e-06,4e-06,1205,
2017-12-26,4e-06,8e-06,3e-06,8e-06,6793,
2017-12-27,8e-06,1.4e-05,7e-06,1.2e-05,12301,
2017-12-28,1.2e-05,1.2e-05,4e-06,9e-06,7470,
2017-12-29,9e-06,1.1e-05,7e-06,1e-05,9495,
2017-12-30,9e-06,1e-05,6e-06,9e-06,11060,
2017-12-31,9e-06,5.3e-05,8e-06,4.9e-05,43342,
2018-01-01,4.4e-05,4.7e-05,2e-05,2.6e-05,61985,
2018-01-02,2.6e-05,3.4e-05,2e-05,3.4e-05,33615,
2018-01-03,4e-05,4.7e-05,3e-05,4e-05,29826,
2018-01-04,4e-05,5.9e-05,3.9e-05,5.6e-05,45320,
2018-01-05,5.7e-05,6e-05,4.5e-05,5.2e-05,50165,
2018-01-06,5.1e-05,0.000102,5e-05,9.6e-05,88081,
2018-01-07,9.6e-05,0.000191,9.5e-05,0.000145,219788,
2018-01-08,0.000146,0.000178,0.000123,0.000147,108924,
2018-01-09,0.000147,0.000162,0.000134,0.000136,79302,
2018-01-10,0.000142,0.000142,0.000106,0.000115,98935,
2018-01-11,0.000115,0.000122,6.4e-05,6.9e-05,51627,
2018-01-12,7e-05,0.000115,6.8e-05,0.000115,64125,
2018-01-13,0.000105,0.000125,9.1e-05,0.000116,71455,
2018-01-14,0.000113,0.000115,7.9e-05,8.9e-05,58879,
2018-01-15,8.9e-05,0.000101,7e-05,8.2e-05,28080,
2018-01-16,8.2e-05,8.2e-05,4.4e-05,5.5e-05,25536,
2018-01-17,5.5e-05,6.5e-05,4.6e-05,6.2e-05,24957,9240
2018-01-18,6.2e-05,0.000103,6.1e-05,7.3e-05,63130,10935
2018-01-19,7.2e-05,9.8e-05,6.4e-05,7.7e-05,38297,11561
2018-01-20,7.8e-05,9.5e-05,7.6e-05,9.3e-05,45288,13910
2018-01-21,9e-05,0.000104,7.1e-05,9.5e-05,111445,14232
2018-01-22,9.5e-05,0.000101,7.3e-05,8.2e-05,63796,12343
2018-01-23,8.2e-05,8.9e-05,6.9e-05,8e-05,43459,12006
2018-01-24,8e-05,8.7e-05,7.2e-05,8.4e-05,31306,12603
2018-01-25,8.5e-05,8.8e-05,6e-05,6.4e-05,26336,9664
2018-01-26,6.4e-05,8.9e-05,6.4e-05,7.7e-05,44895,11524
2018-01-27,7.7e-05,9.4e-05,7.7e-05,9.4e-05,78439,14030
2018-01-28,9.4e-05,0.000115,8.2e-05,8.7e-05,152846,13095
2018-01-29,8.7e-05,0.000105,7.5e-05,8.4e-05,61970,12561
