time,Open,High,Low,close,volumeto,Market Cap
2018-09-14,0.005754,0.005857,0.005625,0.005642,3785,
2018-09-15,0.005633,0.006049,0.005577,0.006021,76,
2018-09-16,0.006249,0.006676,0.005927,0.005958,307,
2018-09-17,0.005951,0.006518,0.004945,0.00495,6287,
2018-09-18,0.00495,0.005539,0.004903,0.005467,4188,
2018-09-19,0.005458,0.006825,0.005064,0.006206,2240,
2018-09-20,0.006205,0.006245,0.005444,0.005891,3109,
2018-09-21,0.00589,0.006408,0.005356,0.006347,1717,
2018-09-22,0.006367,0.006604,0.00629,0.006491,774,
2018-09-23,0.006495,0.006503,0.006425,0.006449,200,
2018-09-24,0.005865,0.006248,0.005778,0.005811,2165,
2018-09-25,0.005813,0.005813,0.005114,0.005461,2201,
2018-09-26,0.00547,0.006366,0.005264,0.00576,46773,
2018-09-27,0.005766,0.007354,0.004493,0.004495,35786,
2018-09-28,0.004497,0.007356,0.004497,0.00598,23191,
2018-09-29,0.005976,0.006014,0.005788,0.005891,5179,
2018-09-30,0.005952,0.006007,0.005849,0.005935,5955,
2018-10-01,0.005919,0.006004,0.00581,0.005941,4126,
2018-10-02,0.005924,0.005949,0.005832,0.00587,2983,
2018-10-03,0.005873,0.005913,0.005721,0.005777,5195,
2018-10-04,0.005784,0.005981,0.005766,0.005829,5665,
2018-10-05,0.005844,0.005993,0.005815,0.00588,5801,
2018-10-06,0.005893,0.006018,0.005815,0.005835,1121,
2018-10-07,0.005857,0.005993,0.005832,0.005901,632,
2018-10-08,0.005928,0.00705,0.005509,0.006999,14598,
2018-10-09,0.007022,0.007032,0.006199,0.006312,16953,
2018-10-10,0.006288,0.006559,0.005885,0.006083,19905,
2018-10-11,0.006063,0.006069,0.005359,0.005403,36078,
2018-10-12,0.005518,0.005707,0.00492,0.005364,11046,
2018-10-13,0.005421,0.005444,0.005174,0.005238,33916,
2018-10-14,0.00524,0.005492,0.005173,0.005323,35436,
2018-10-15,0.005329,0.006249,0.005195,0.005783,12285,
2018-10-16,0.005839,0.005961,0.005461,0.005712,26592,
2018-10-17,0.005731,0.005937,0.005449,0.005865,32765,
2018-10-18,0.005888,0.006609,0.005544,0.005999,34648,2221539
2018-10-19,0.005998,0.00621,0.005426,0.005718,63995,2117539
2018-10-20,0.005718,0.006277,0.005414,0.006147,61719,2276384
2018-10-21,0.006146,0.006438,0.005462,0.00629,52331,2329647
2018-10-22,0.006352,0.006352,0.005545,0.005992,57404,2210210
2018-10-23,0.005992,0.006275,0.005594,0.005684,24967,2096440
2018-10-24,0.005848,0.006504,0.005475,0.006466,51896,2378587
2018-10-25,0.006469,0.006472,0.005545,0.006122,91266,2252086
2018-10-26,0.00611,0.006313,0.005912,0.006077,37518,2235312
2018-10-27,0.006052,0.006342,0.005992,0.006244,37848,2296933
2018-10-28,0.006117,0.006292,0.006114,0.006254,8098,2300373
2018-10-29,0.006251,0.006319,0.005664,0.006312,72034,2321774
2018-10-30,0.006313,0.006319,0.005351,0.005728,25395,2106916
2018-10-31,0.005745,0.006284,0.005288,0.006089,10430,2239715
2018-11-01,0.006089,0.006323,0.005505,0.006135,45723,2256551
2018-11-02,0.006135,0.006197,0.005614,0.005614,23147,2064941
2018-11-03,0.005614,0.006249,0.005547,0.005866,26201,2157814
2018-11-04,0.005802,0.005986,0.005604,0.005921,25502,2177858
2018-11-05,0.005985,0.006255,0.005667,0.006044,15758,2223803
2018-11-06,0.00601,0.006211,0.005674,0.005903,40204,2166533
2018-11-07,0.005903,0.005971,0.005085,0.005622,68061,2068571
2018-11-08,0.005618,0.009475,0.005492,0.008172,59242,3006786
2018-11-09,0.008234,0.008338,0.006837,0.007599,8067,2796027
2018-11-10,0.007597,0.007796,0.007585,0.007644,8842,2812706
2018-11-11,0.007703,0.007714,0.006998,0.007606,4936,2798754
2018-11-12,0.007653,0.007788,0.007394,0.00755,59379,2777928
2018-11-13,0.007517,0.007551,0.007009,0.007185,39607,2643790
2018-11-14,0.007173,0.01071,0.006998,0.008322,257409,3061934
2018-11-15,0.008253,0.008465,0.006615,0.007092,39734,2609406
2018-11-16,0.00709,0.007407,0.006683,0.006895,30713,2536965
2018-11-17,0.006914,0.006957,0.00435,0.006817,24698,2508335
2018-11-18,0.006786,0.007115,0.006737,0.007022,29441,2583826
2018-11-19,0.00708,0.008339,0.004937,0.005038,25075,1853732
2018-11-20,0.005025,0.005292,0.00422,0.004441,12163,1633962
2018-11-21,0.004444,0.004572,0.00424,0.00447,21343,1649220
2018-11-22,0.004456,0.004709,0.004259,0.00427,23262,1575568
2018-11-23,0.004206,0.004679,0.004126,0.004468,19138,1648560
2018-11-24,0.004376,0.004596,0.003828,0.003943,16682,1454816
2018-11-25,0.003945,0.004296,0.003668,0.004115,18771,1518053
2018-11-26,0.004133,0.004334,0.003819,0.003958,20551,1460136
2018-11-27,0.003955,0.004162,0.003758,0.004122,8632,1520750
2018-11-28,0.004126,0.004695,0.003882,0.004548,30734,1678134
2018-11-29,0.004525,0.004828,0.004357,0.004663,23885,1720261
2018-11-30,0.004716,0.00472,0.004213,0.004333,22638,1598734
2018-12-01,0.004346,0.004529,0.004169,0.00427,14434,1575484
2018-12-02,0.004308,0.004438,0.004156,0.004261,441,1572253
2018-12-03,0.004288,0.004288,0.003604,0.003877,20428,1430333
2018-12-04,0.003874,0.004097,0.003798,0.003956,20537,1459447
2018-12-05,0.003955,0.004004,0.003469,0.003524,18633,1300311
2018-12-06,0.003523,0.003686,0.003401,0.003411,12941,1258545
2018-12-07,0.003405,0.003405,0.002877,0.003078,14456,1135486
2018-12-08,0.003076,0.003177,0.002946,0.003063,11216,1129952
2018-12-09,0.003053,0.003324,0.003053,0.003147,9880,1160943
2018-12-10,0.003142,0.003616,0.003096,0.003433,5037,1266613
2018-12-11,0.003425,0.003521,0.00319,0.003253,22718,1200311
2018-12-12,0.003317,0.003359,0.0032,0.003314,15106,1222788
2018-12-13,0.003316,0.003317,0.002602,0.002648,18647,977018
2018-12-14,0.002646,0.003067,0.002614,0.003012,22445,1111128
2018-12-15,0.002949,0.003031,0.002866,0.002912,6108,1074234
