time,Open,High,Low,close,volumeto,Market Cap
2018-04-23,0.048122,0.056362,0.047869,0.056362,818400,
2018-04-24,0.058427,0.110061,0.054543,0.110061,424374,
2018-04-25,0.111826,0.211274,0.06763,0.072183,199969,
2018-04-26,0.073043,0.094708,0.069665,0.089916,301170,
2018-04-27,0.09002,0.098489,0.081229,0.09452,324094,
2018-04-28,0.093808,0.11372,0.091926,0.093304,296391,
2018-04-29,0.094705,0.116259,0.090386,0.100641,273846,
2018-04-30,0.100897,0.103519,0.081141,0.095434,309921,
2018-05-01,0.09592,0.110569,0.084426,0.096982,1364170,
2018-05-02,0.098047,0.107761,0.085015,0.085426,393363,
2018-05-03,0.085071,0.096603,0.081155,0.081724,254580,
2018-05-04,0.081899,0.148211,0.067203,0.103816,1729840,
2018-05-05,0.103831,0.117375,0.098064,0.103122,380559,
2018-05-06,0.103495,0.106478,0.094742,0.099345,550012,
2018-05-07,0.09882,0.098936,0.066902,0.073682,433030,
2018-05-08,0.074002,0.075989,0.070948,0.071871,407940,
2018-05-09,0.071696,0.078452,0.069706,0.078452,755492,
2018-05-10,0.079527,0.089499,0.067302,0.067548,619969,14527258
2018-05-11,0.067594,0.079949,0.062234,0.065813,667492,14154097
2018-05-12,0.064792,0.066664,0.059984,0.06618,451799,14232962
2018-05-13,0.066195,0.06734,0.061196,0.063409,495630,13636993
2018-05-14,0.063979,0.065241,0.055869,0.058284,455781,12534997
2018-05-15,0.057188,0.080526,0.050862,0.079959,1906500,17196546
2018-05-16,0.073951,0.081183,0.058929,0.06299,1152190,13546924
2018-05-17,0.06297,0.066129,0.055506,0.058358,1118530,12550739
2018-05-18,0.05802,0.060491,0.050367,0.055433,581377,11921737
2018-05-19,0.054217,0.059765,0.050455,0.054919,458303,11811150
2018-05-20,0.055055,0.056815,0.0495,0.050152,473897,10785996
2018-05-21,0.050274,0.054862,0.047429,0.050289,1176740,10815525
2018-05-22,0.050231,0.054635,0.046209,0.047801,444009,10280398
2018-05-23,0.04795,0.066658,0.040246,0.054225,1671760,11662024
2018-05-24,0.05639,0.058866,0.045936,0.05425,950052,12764885
2018-05-25,0.054569,0.076987,0.047645,0.053033,304112,12478622
2018-05-26,0.053097,0.057888,0.047291,0.048878,538655,11500796
2018-05-27,0.048745,0.062628,0.046347,0.053931,507401,12689778
2018-05-28,0.053081,0.055239,0.045487,0.050109,499414,11790565
2018-05-29,0.0498,0.050752,0.045719,0.049855,439459,11730800
2018-05-30,0.050859,0.052022,0.044529,0.044657,438191,10507794
2018-05-31,0.044636,0.049827,0.04436,0.046888,398376,11032625
2018-06-01,0.047069,0.047526,0.043642,0.045325,349694,10664738
2018-06-02,0.045312,0.048871,0.040217,0.041622,304673,9793643
2018-06-03,0.04146,0.045343,0.041444,0.042454,394601,9989316
2018-06-04,0.043321,0.053616,0.041714,0.043611,380905,10261579
2018-06-05,0.04362,0.04664,0.041683,0.04434,489413,10433134
2018-06-06,0.044289,0.044418,0.039949,0.043563,503595,10250144
2018-06-07,0.048258,0.048459,0.041678,0.045218,586109,10639725
2018-06-08,0.045196,0.047496,0.042758,0.047095,473970,11104761
2018-06-09,0.047151,0.047939,0.042278,0.043117,550135,10166901
2018-06-10,0.043733,0.043733,0.036743,0.037518,583921,8846600
2018-06-11,0.037686,0.040349,0.03654,0.040283,624800,9498580
2018-06-12,0.040275,0.040281,0.035423,0.036179,587041,8530962
2018-06-13,0.036301,0.036301,0.03153,0.03365,587832,7934583
2018-06-14,0.033684,0.044638,0.032345,0.040532,756705,9557388
2018-06-15,0.039827,0.040238,0.035666,0.037124,698657,8753696
2018-06-16,0.037004,0.038828,0.035721,0.037816,705706,8928293
2018-06-17,0.037809,0.038006,0.031118,0.032584,590558,7693223
