time,Open,High,Low,close,volumeto,Market Cap
2017-07-03,0.319194,0.407327,0.319194,0.398896,407237,3590064
2017-07-04,0.397822,0.412491,0.314171,0.352353,164658,3171177
2017-07-05,0.359997,0.36328,0.316613,0.322811,166801,3212644
2017-07-06,0.324299,0.346789,0.318993,0.325151,204865,3235932
2017-07-07,0.325288,0.326247,0.303366,0.308598,189102,3071195
2017-07-08,0.308627,0.33208,0.304102,0.317655,141577,3161331
2017-07-09,0.317959,0.326625,0.308712,0.309844,135518,3083595
2017-07-10,0.309548,0.327054,0.282836,0.310305,171065,3088183
2017-07-11,0.309697,0.312205,0.271511,0.278658,163492,2773229
2017-07-12,0.280312,0.289572,0.255028,0.266258,176443,2649823
2017-07-13,0.257677,0.366146,0.179127,0.299804,171929,2983676
2017-07-14,0.298116,0.298832,0.190464,0.225095,132537,2240165
2017-07-15,0.224728,0.225143,0.17191,0.193864,69401,1929352
2017-07-16,0.193344,0.195453,0.138462,0.174047,60215,1732131
2017-07-17,0.169739,0.193096,0.155336,0.19171,74791,1907915
2017-07-18,0.19284,0.214525,0.171335,0.193749,67338,1162494
2017-07-19,0.20238,0.209201,0.169538,0.18122,97922,1087320
2017-07-20,0.180675,0.220024,0.175203,0.209246,114440,1255476
2017-07-21,0.211504,0.213835,0.154718,0.194273,85373,1165638
2017-07-22,0.195032,0.200895,0.1716,0.184715,120156,1108290
2017-07-23,0.184441,0.191366,0.168344,0.176783,114236,1060698
2017-07-24,0.175141,0.186522,0.16897,0.170689,76520,1698712
2017-07-25,0.172679,0.176116,0.125061,0.132958,67427,1323210
2017-07-26,0.133017,0.166105,0.124663,0.149603,64514,1488862
2017-07-27,0.158922,0.171488,0.137127,0.156147,69409,1553989
2017-07-28,0.156435,0.163412,0.109056,0.115751,54160,1151964
2017-07-29,0.11638,0.121108,0.076818,0.105225,39046,1047209
2017-07-30,0.096529,0.112964,0.096529,0.109059,44330,1085365
2017-07-31,0.109442,0.122808,0.106142,0.114393,51907,1138449
2017-08-01,0.118425,0.121981,0.102055,0.110087,47028,1095596
2017-08-02,0.110128,0.140834,0.106097,0.110214,50255,1096860
2017-08-03,0.112865,0.117632,0.104097,0.110586,47280,1100562
2017-08-04,0.110553,0.112266,0.089904,0.092953,46812,925080
2017-08-05,0.092901,0.104623,0.087838,0.101564,50714,1010774
2017-08-06,0.098417,0.127081,0.094258,0.118755,51163,1181860
2017-08-07,0.11902,0.131997,0.107503,0.123685,64105,1230924
2017-08-08,0.118245,0.161563,0.106996,0.142502,61777,1418193
2017-08-09,0.14237,0.174942,0.136502,0.169145,52183,1683346
2017-08-10,0.16923,0.183325,0.152435,0.17382,56514,1729872
2017-08-11,0.172877,0.199663,0.159355,0.180938,122593,1800711
2017-08-12,0.183248,0.32228,0.176267,0.25192,166430,2507130
2017-08-13,0.252649,0.277435,0.192597,0.225296,128824,2242166
2017-08-14,0.22657,0.261143,0.220854,0.241343,135108,2401867
2017-08-15,0.250851,0.260934,0.206014,0.223591,139519,2225198
2017-08-16,0.218826,0.231111,0.204093,0.22476,110737,2236832
2017-08-17,0.227493,0.232546,0.212468,0.218358,44400,2173118
2017-08-18,0.214866,0.220399,0.184935,0.201688,110544,2007217
2017-08-19,0.203581,0.234615,0.201875,0.20978,111591,2087749
2017-08-20,0.208984,0.214596,0.202501,0.208902,73583,2079011
2017-08-21,0.207458,0.229075,0.19814,0.198795,101461,1978426
2017-08-22,0.199365,0.209809,0.179818,0.207991,96404,2069945
2017-08-23,0.203999,0.213559,0.202972,0.206443,110114,2054539
2017-08-24,0.206683,0.223018,0.204146,0.21892,107882,2178711
2017-08-25,0.218744,0.22781,0.185094,0.203037,113812,2020642
2017-08-26,0.197018,0.203563,0.180704,0.191108,94574,1901924
2017-08-27,0.191048,0.194728,0.184044,0.187154,87150,1862573
2017-08-28,0.188601,0.190703,0.18141,0.189996,91125,1890857
2017-08-29,0.189236,0.209805,0.186177,0.195345,93428,1944091
2017-08-30,0.195404,0.201224,0.191595,0.197322,96268,1963766
2017-08-31,0.194904,0.203967,0.19487,0.20283,111107,2018582
2017-09-01,0.202393,0.44934,0.19832,0.340904,162639,3392707
2017-09-02,0.341429,0.349095,0.238498,0.280967,194736,2796209
2017-09-03,0.26594,0.283261,0.223069,0.233939,210307,2328182
2017-09-04,0.240098,0.240098,0.206481,0.216768,164305,2157294
2017-09-05,0.215996,0.221352,0.193737,0.219202,160573,2181518
2017-09-06,0.218657,0.238982,0.21106,0.230784,214184,2296783
2017-09-07,0.225739,0.239659,0.212545,0.224511,214990,2234353
2017-09-08,0.225389,0.237653,0.180121,0.186407,183471,1855139
2017-09-09,0.190573,0.210181,0.173542,0.183104,208735,1822267
2017-09-10,0.183931,0.196946,0.169306,0.191278,186190,1903616
2017-09-11,0.192423,0.198275,0.157719,0.176601,171416,1757549
2017-09-12,0.177481,0.194518,0.156091,0.165742,187118,1649479
2017-09-13,0.169124,0.183387,0.155106,0.163252,178097,1624698
2017-09-14,0.169673,0.172729,0.140124,0.147563,254280,1468560
2017-09-15,0.142087,0.179244,0.128839,0.147465,387907,1467585
2017-09-16,0.170499,0.178234,0.14493,0.173372,330189,1725414
2017-09-17,0.169396,0.175948,0.127974,0.165324,259560,1645319
2017-09-18,0.16395,0.187377,0.16253,0.169416,38878,1686043
2017-09-19,0.169826,0.170729,0.151722,0.158706,75040,1579456
2017-09-20,0.156421,0.200401,0.156421,0.19376,134162,1928317
2017-09-21,0.192809,0.199198,0.167278,0.172225,131731,1713999
2017-09-22,0.177377,0.187589,0.156589,0.172477,140421,1716506
2017-09-23,0.171993,0.184767,0.170128,0.181017,119453,1801497
2017-09-24,0.18089,0.184584,0.172582,0.176031,136572,1751876
2017-09-25,0.174837,0.197527,0.173509,0.188815,126352,1879104
2017-09-26,0.187208,0.197492,0.184104,0.190467,98089,1895545
2017-09-27,0.193465,0.203504,0.180399,0.201598,188098,2006321
2017-09-28,0.201609,0.218861,0.196569,0.205503,289578,2045184
2017-09-29,0.206878,0.237892,0.19432,0.207183,298286,2061904
2017-09-30,0.206732,0.226264,0.202058,0.211087,289082,2100757
2017-10-01,0.211076,0.255826,0.200093,0.22259,180923,2215235
2017-10-02,0.222813,0.247659,0.202553,0.213193,191938,2121716
2017-10-03,0.213719,0.234821,0.195541,0.217043,187859,2160031
2017-10-04,0.220695,0.223795,0.160162,0.200863,182322,1999006
2017-10-05,0.201368,0.216927,0.168374,0.184424,182223,1835404
2017-10-06,0.189939,0.219027,0.157162,0.180843,165887,1799766
2017-10-07,0.182224,0.221625,0.179441,0.207119,74900,2061267
2017-10-08,0.206644,0.221406,0.202385,0.218444,35921,2173974
2017-10-09,0.218504,0.22318,0.194592,0.205666,47265,2046806
2017-10-10,0.204634,0.21003,0.18645,0.18971,17747,1888011
2017-10-11,0.191162,0.225929,0.152991,0.190384,77636,1894719
2017-10-12,0.190557,0.245086,0.163158,0.23362,57255,2325007
2017-10-13,0.236251,0.273057,0.203301,0.224297,110504,2232224
2017-10-14,0.223297,0.250488,0.177579,0.232817,105419,2317016
2017-10-15,0.232285,0.233738,0.173645,0.192043,79687,1911229
2017-10-16,0.214597,0.269398,0.188573,0.239479,92600,2383316
2017-10-17,0.238351,0.262542,0.199662,0.239843,92818,2386939
2017-10-18,0.23997,0.23997,0.161113,0.233875,94050,2327545
2017-10-19,0.234149,0.239229,0.173796,0.183305,63187,1824268
2017-10-20,0.227515,0.26136,0.183231,0.256666,73420,2554363
2017-10-21,0.256286,0.258718,0.217862,0.234364,107112,2332411
2017-10-22,0.231066,0.243721,0.215599,0.235701,92965,2345717
2017-10-23,0.232132,0.236958,0.209976,0.225067,96239,2239887
2017-10-24,0.224087,0.224553,0.173992,0.206104,63744,2051165
2017-10-25,0.206198,0.221194,0.17224,0.196482,105856,1955406
2017-10-26,0.218256,0.226499,0.184774,0.187542,35380,1866435
2017-10-27,0.187595,0.216009,0.185334,0.195332,1497,1943961
2017-10-28,0.195836,0.199856,0.184568,0.184995,742,1841087
2017-10-29,0.184742,0.216814,0.174322,0.215895,117627,2148606
2017-10-30,0.214646,0.214646,0.185381,0.209522,95401,2085182
2017-10-31,0.208837,0.236995,0.187299,0.196342,109060,1954013
2017-11-01,0.196199,0.24932,0.1931,0.246748,96904,2455658
2017-11-02,0.247405,0.256573,0.209204,0.223304,112219,2222341
2017-11-03,0.223019,0.258861,0.214143,0.219027,124514,2179776
2017-11-04,0.220607,0.25903,0.217338,0.225587,77023,2245062
2017-11-05,0.225161,0.235405,0.218351,0.220727,2289,2196695
2017-11-06,0.221202,0.228218,0.205863,0.20893,7015,2079290
2017-11-07,0.208623,0.222632,0.20573,0.215214,4181,2141829
2017-11-08,0.214542,0.221988,0.172959,0.195081,4058,1941463
2017-11-09,0.194841,0.204985,0.147021,0.183603,5740,1827233
2017-11-10,0.184166,0.186482,0.126002,0.127597,1058,1269857
2017-11-11,0.127142,0.155432,0.121819,0.127983,361,1273698
2017-11-12,0.127889,0.146084,0.113244,0.129437,927,1288169
2017-11-13,0.129626,0.163716,0.1284,0.138653,3045,1379887
2017-11-14,0.138946,0.165491,0.13268,0.13268,348,1320443
2017-11-15,0.132771,0.172799,0.132771,0.156154,2207,1554059
2017-11-16,0.156972,0.196741,0.147421,0.188834,1260,1879293
2017-11-17,0.188524,0.199377,0.139264,0.182808,404,1819321
2017-11-18,0.182162,0.182162,0.14213,0.155757,731,1550108
2017-11-19,0.155164,0.1741,0.138478,0.171071,952,1702514
2017-11-20,0.170991,0.198476,0.161884,0.162788,7631,1620081
2017-11-21,0.163171,0.194149,0.154965,0.172456,3062,1716297
2017-11-22,0.167531,0.171767,0.145721,0.145829,3230,1451303
2017-11-23,0.145772,0.16243,0.145772,0.158743,7967,1579824
2017-11-24,0.158552,0.167262,0.154569,0.166725,1354,1659262
2017-11-25,0.166389,0.192931,0.164748,0.170701,1494,1698832
2017-11-26,0.170683,0.181837,0.15526,0.177949,19827,1770964
2017-11-27,0.178199,0.185519,0.171883,0.184599,20280,1837146
2017-11-28,0.184926,0.204969,0.178372,0.191952,16683,1910323
2017-11-29,0.192272,0.22342,0.180514,0.191466,11296,1905487
2017-11-30,0.19376,0.342517,0.179622,0.338894,27590,3372703
2017-12-01,0.337218,0.756538,0.306192,0.654388,68286,6512528
2017-12-02,0.654186,0.787078,0.320466,0.458009,165278,4558146
2017-12-03,0.409396,0.416881,0.195758,0.236291,25280,2351589
2017-12-04,0.241905,0.305805,0.226315,0.253171,5868,2519580
2017-12-05,0.253928,0.475397,0.252139,0.440239,13497,4381298
2017-12-06,0.439219,0.471431,0.302641,0.357424,49564,3557115
2017-12-07,0.322012,0.402514,0.30336,0.367012,38156,3652536
2017-12-08,0.36783,0.410574,0.258894,0.407553,3456,4056004
2017-12-09,0.407134,0.571723,0.29572,0.298806,5233,2973744
2017-12-10,0.301987,1.44,0.291707,0.717157,30114,7137210
2017-12-11,0.714371,0.81314,0.546666,0.775131,40689,7714173
2017-12-12,0.776612,0.992261,0.595972,0.947647,38428,9431067
2017-12-13,0.948468,1.27,0.584453,0.588604,15506,5857839
2017-12-14,0.590283,0.672135,0.45784,0.599305,16115,5964337
2017-12-15,0.600206,0.76879,0.39307,0.40854,31044,4065826
2017-12-16,0.409109,0.665829,0.40797,0.510769,12550,5083219
2017-12-17,0.510827,0.676129,0.427415,0.578589,16085,5758169
2017-12-18,0.580335,0.637485,0.399697,0.588655,17082,5858347
2017-12-19,0.58926,0.634697,0.379012,0.459927,12544,4577234
2017-12-20,0.45943,0.688756,0.403296,0.485574,52634,4832476
2017-12-21,0.486784,0.547752,0.420147,0.502839,17803,5004298
