time,Open,High,Low,close,volumeto,Market Cap
2018-06-11,0.10224,0.103709,0.102125,0.103401,176215,
2018-06-12,0.103386,0.10351,0.083072,0.084994,170406,
2018-06-13,0.085129,0.153564,0.081994,0.152292,229632,
2018-06-14,0.152249,0.152745,0.074258,0.077854,74152,
2018-06-15,0.077737,0.0781,0.068481,0.0712,152440,
2018-06-16,0.071009,0.072711,0.070373,0.072112,3202,
2018-06-17,0.072231,0.073905,0.071476,0.071695,171004,
2018-06-18,0.071562,0.07965,0.070074,0.075513,134620,
2018-06-19,0.075461,0.076011,0.054463,0.061773,127635,
2018-06-20,0.061775,0.063303,0.051204,0.063065,107101,
2018-06-21,0.063043,0.063949,0.050905,0.054805,140760,
2018-06-22,0.054765,0.054765,0.045024,0.045722,169307,
2018-06-23,0.045722,0.046695,0.044421,0.045191,165030,
2018-06-24,0.045218,0.045333,0.040071,0.043553,170959,
2018-06-25,0.043424,0.045143,0.042662,0.045059,162542,
2018-06-26,0.044923,0.047193,0.040916,0.040943,110769,
2018-06-27,0.040872,0.047313,0.040485,0.047029,166860,
2018-06-28,0.047078,0.069464,0.046804,0.052951,170690,
2018-06-29,0.052988,0.080764,0.052988,0.067848,88063,
2018-06-30,0.067897,0.111751,0.067897,0.111179,115617,
2018-07-01,0.111321,0.115047,0.084017,0.084017,151025,
2018-07-02,0.084087,0.090919,0.081437,0.088479,146628,
2018-07-03,0.088329,0.090434,0.087434,0.087675,142684,
2018-07-04,0.087616,0.091197,0.08641,0.088438,157414,
2018-07-05,0.088677,0.090197,0.086496,0.087463,126246,
2018-07-06,0.087448,0.089051,0.085267,0.088489,126524,
2018-07-07,0.088382,0.091664,0.086111,0.091564,162220,
2018-07-08,0.091594,0.092608,0.085919,0.085919,146100,
2018-07-09,0.086083,0.088358,0.080369,0.082307,106807,
2018-07-10,0.082216,0.082305,0.042869,0.05532,127624,
2018-07-11,0.055423,0.070014,0.045966,0.06062,149724,
2018-07-12,0.060685,0.064346,0.052328,0.058749,142979,
2018-07-13,0.058868,0.061141,0.047579,0.055263,110924,
2018-07-14,0.055255,0.055511,0.043204,0.045084,74514,
2018-07-15,0.045123,0.055636,0.045115,0.048436,137752,
2018-07-16,0.048542,0.052374,0.046382,0.051351,154279,
2018-07-17,0.051297,0.051549,0.045463,0.050127,199722,
2018-07-18,0.050114,0.051424,0.048008,0.048565,149143,
2018-07-19,0.048545,0.049436,0.045536,0.04568,154141,
2018-07-20,0.045699,0.049718,0.043135,0.043669,119390,
2018-07-21,0.043664,0.045527,0.043153,0.045037,136393,
