time,Open,High,Low,close,volumeto,Market Cap
2017-09-19,0.377946,0.449293,0.284728,0.33512,12334,
2017-09-20,0.33482,0.425665,0.298196,0.341565,3684,
2017-09-21,0.340369,0.420068,0.284911,0.335396,8161,
2017-09-22,0.335275,0.346989,0.026311,0.263575,10223,
2017-09-23,0.316613,0.339086,0.093195,0.314717,2697,
2017-09-24,0.314726,0.314965,0.174105,0.189288,820,
2017-09-25,0.189687,0.256487,0.189657,0.212678,631,
2017-09-26,0.212602,0.260381,0.182224,0.220121,5088,
2017-09-27,0.219905,0.402067,0.176193,0.195791,3050,
2017-09-28,0.195684,0.268955,0.191159,0.23586,3556,
2017-09-29,0.235417,0.238274,0.18065,0.198978,1685,
2017-09-30,0.199027,2.42,0.196565,0.288856,19496,
2017-10-01,0.289,0.690393,0.24021,0.382567,28184,
2017-10-02,0.382291,0.383814,0.194055,0.318876,11156,
2017-10-03,0.332665,0.383535,0.271196,0.287979,19787,
2017-10-04,0.288231,0.854711,0.263819,0.580998,17085,
2017-10-05,0.579261,0.579271,0.237093,0.267727,16653,4474794
2017-10-06,0.267779,0.298317,0.240966,0.267033,9877,4463195
2017-10-07,0.266871,0.470433,0.256295,0.42687,110881,7134714
2017-10-08,0.425637,0.505473,0.308287,0.320468,102827,5356308
2017-10-09,0.320527,0.329404,0.195539,0.222045,50768,3711264
2017-10-10,0.222302,0.259524,0.171529,0.237,22698,3961223
2017-10-11,0.236968,0.368976,0.182146,0.315747,49978,5277402
2017-10-12,0.311449,0.311518,0.196145,0.251137,26458,4197509
2017-10-13,0.251857,0.291984,0.184577,0.234793,11686,3924335
2017-10-14,0.2349,0.235164,0.100326,0.203442,15035,3400334
2017-10-15,0.210293,0.24442,0.176123,0.243114,5070,4063412
2017-10-16,0.243195,0.316276,0.209513,0.240186,15020,4014474
2017-10-17,0.235157,0.247761,0.211647,0.215831,10729,3607404
2017-10-18,0.215814,0.430226,0.192259,0.217361,11056,3632976
2017-10-19,0.217051,0.357361,0.210657,0.246237,18000,4115610
2017-10-20,0.246225,0.252565,0.103924,0.208398,10664,3483168
2017-10-21,0.208064,0.211001,0.140815,0.180515,4929,3017131
2017-10-22,0.180524,0.236295,0.180524,0.202526,8773,3385024
2017-10-23,0.202281,0.22304,0.157501,0.206165,10266,3445846
2017-10-24,0.205234,0.27803,0.194683,0.219548,11195,3669530
2017-10-25,0.219667,0.256489,0.211887,0.241972,15289,4044325
2017-10-26,0.241761,0.33518,0.230954,0.299195,36492,5000751
2017-10-27,0.299199,0.344226,0.28192,0.29639,52057,4953868
2017-10-28,0.307488,0.458664,0.307488,0.367411,107602,6140915
2017-10-29,0.367108,0.457989,0.36709,0.385664,29782,6445996
2017-10-30,0.388873,0.455024,0.379537,0.428822,84368,7167339
2017-10-31,0.432984,0.647143,0.406474,0.514868,287682,8605514
2017-11-01,0.526184,0.663585,0.454172,0.652659,407078,10908555
2017-11-02,0.678372,0.776193,0.176435,0.283708,1072130,4741901
2017-11-03,0.28337,0.292103,0.190483,0.213294,31731,3565000
2017-11-04,0.212861,0.258135,0.209817,0.244475,22382,4086160
2017-11-05,0.244383,0.244765,0.189161,0.198561,23330,3318752
2017-11-06,0.198859,0.229752,0.196856,0.199366,8912,3332207
2017-11-07,0.199324,0.215679,0.199324,0.213019,6219,3560404
2017-11-08,0.212579,0.226589,0.193288,0.20064,10614,3353501
2017-11-09,0.200113,0.226404,0.184407,0.226404,10952,3784121
2017-11-10,0.226937,0.227231,0.174474,0.175161,8845,2927644
2017-11-11,0.174596,0.197904,0.172762,0.185624,13596,3102523
2017-11-12,0.185587,0.188584,0.142855,0.152679,9306,2551880
2017-11-13,0.152912,0.183854,0.152912,0.165846,7079,2771953
2017-11-14,0.166077,0.176939,0.133226,0.134128,20297,2241818
2017-11-15,0.134217,0.180457,0.134217,0.180099,5709,3010178
2017-11-16,0.180982,0.181053,0.148914,0.155888,5790,2605515
2017-11-17,0.155707,0.168091,0.154099,0.158039,11733,2641467
2017-11-18,0.157492,0.173214,0.15402,0.170758,3522,2854053
2017-11-19,0.170424,0.197374,0.155081,0.170242,18998,2845428
2017-11-20,0.170161,0.190303,0.168325,0.179431,6960,2999013
2017-11-21,0.179406,0.192268,0.164113,0.191443,13485,3199782
2017-11-22,0.191889,0.199314,0.175564,0.175766,3434,2937756
2017-11-23,0.175972,0.189231,0.160001,0.160001,14607,2674260
2017-11-24,0.159535,0.163166,0.145146,0.159878,8579,2672204
2017-11-25,0.163324,0.165169,0.151322,0.160486,9550,2682366
2017-11-26,0.160236,0.186623,0.158353,0.162878,31193,2722346
2017-11-27,0.162893,0.194818,0.162893,0.183798,32205,3072003
2017-11-28,0.184309,0.196815,0.175479,0.176612,9652,2951896
2017-11-29,0.183272,0.196793,0.121024,0.144867,6542,2421310
2017-11-30,0.149739,0.174938,0.131199,0.152172,11038,2543406
2017-12-01,0.15164,0.169947,0.143631,0.169213,8087,2828229
2017-12-02,0.16914,0.1734,0.161036,0.164988,6777,2757613
2017-12-03,0.165077,0.178554,0.151919,0.159837,8327,2671519
2017-12-04,0.159551,0.175381,0.137806,0.140214,1714,2343540
2017-12-05,0.140406,0.178868,0.139559,0.155524,6852,2599431
2017-12-06,0.155185,0.189989,0.152113,0.189989,7968,3175480
2017-12-07,0.194761,0.289294,0.173188,0.229408,24887,3834330
2017-12-08,0.229836,0.340241,0.196928,0.340167,6561,5685558
2017-12-09,0.339996,0.344858,0.159681,0.16871,3297,2819822
2017-12-10,0.169341,0.212333,0.148062,0.172922,1182,2890222
2017-12-11,0.171805,0.224462,0.171127,0.205138,4386,3428681
2017-12-12,0.205609,0.226104,0.17301,0.226104,8314,3779107
2017-12-13,0.226291,0.234407,0.15995,0.16103,4095,2691459
2017-12-14,0.16058,0.193134,0.159383,0.161019,8632,2691275
2017-12-15,0.161252,0.234991,0.161235,0.179939,6019,3007504
2017-12-16,0.180174,0.182095,0.149253,0.172841,6259,2888868
2017-12-17,0.172931,0.269889,0.171262,0.218364,15826,3649740
2017-12-18,0.218775,0.294821,0.209062,0.226953,7944,3793297
2017-12-19,0.227005,1.31,0.215352,0.24198,47844,4044458
2017-12-20,0.241762,0.66356,0.22417,0.277927,64354,4645277
2017-12-21,0.279658,0.291297,0.230602,0.241731,6816,4040297
2017-12-22,0.242565,0.250567,0.17692,0.212805,7623,3556827
2017-12-23,0.214948,0.285438,0.214948,0.267562,8110,4472037
2017-12-24,0.232162,0.250173,0.200435,0.228179,5889,3813788
2017-12-25,0.225015,0.325461,0.223399,0.268546,8152,4488483
2017-12-26,0.268295,0.329259,0.264496,0.310008,6430,5181480
2017-12-27,0.310301,0.431417,0.282768,0.301956,16238,5046899
2017-12-28,0.301368,0.309173,0.26017,0.305935,28302,5113404
2017-12-29,0.308818,0.396931,0.289436,0.345785,17953,5779457
2017-12-30,0.344956,0.345004,0.265121,0.287734,17709,4809192
2017-12-31,0.284735,0.36254,0.254006,0.332334,32952,5554637
2018-01-01,0.337878,0.362222,0.242356,0.360756,28122,6029683
2018-01-02,0.360771,0.566855,0.360771,0.474407,91673,7929248
2018-01-03,0.472845,0.538476,0.388212,0.506848,54926,8471467
2018-01-04,0.509575,0.560657,0.430638,0.560657,43727,9370832
2018-01-05,0.560763,0.672376,0.491256,0.656938,66007,10980075
2018-01-06,0.695813,1.08,0.573979,0.944733,171405,15790286
2018-01-07,0.944068,1.21,0.77958,0.919839,125497,15374207
2018-01-08,0.885582,1.03,0.707611,0.896198,102191,14979071
2018-01-09,0.89376,1.2,0.838617,1.17,212105,19636132
2018-01-10,1.15,1.21,0.806786,0.922931,60789,15425887
2018-01-11,0.921888,0.94458,0.700871,0.830017,68216,13872920
2018-01-12,0.835007,1.19,0.792522,1.11,115341,18509774
2018-01-13,1.11,1.15,0.801246,0.996428,71717,16654317
2018-01-14,0.997081,1.01,0.801217,0.846838,30776,14154067
2018-01-15,0.840887,0.89559,0.659508,0.724287,76658,12105747
2018-01-16,0.66575,0.72369,0.477205,0.541197,32142,9045577
2018-01-17,0.538491,0.57835,0.415204,0.558038,17510,9327058
2018-01-18,0.560216,0.697037,0.496237,0.558042,18517,9327125
2018-01-19,0.552176,0.695053,0.524939,0.621374,21310,10385657
2018-01-20,0.628126,0.724157,0.609196,0.668142,14441,11167339
2018-01-21,0.669697,0.71236,0.530728,0.5409,42079,9040613
