time,Open,High,Low,close,volumeto,Market Cap
2018-03-25,0.01726,0.017417,0.016999,0.01711,118105,
2018-03-26,0.017081,0.021157,0.016968,0.020358,66291,
2018-03-27,0.020329,0.020329,0.016917,0.016917,20001,
2018-03-28,0.016813,0.018458,0.016668,0.01777,11129,
2018-03-29,0.017775,0.017964,0.014555,0.014619,3291,
2018-03-30,0.014592,0.015568,0.013808,0.015362,5558,
2018-03-31,0.015352,0.017044,0.015352,0.016166,6691,
2018-04-01,0.016171,0.016333,0.014548,0.015542,3286,
2018-04-02,0.015514,0.018088,0.015259,0.017079,14513,
2018-04-03,0.017088,0.018505,0.016967,0.018461,4940,
2018-04-04,0.018475,0.018475,0.016108,0.016269,7257,
2018-04-05,0.016236,0.01768,0.015208,0.017039,6256,
2018-04-06,0.016777,0.016922,0.014959,0.015629,12543,
2018-04-07,0.015557,0.016706,0.015557,0.016142,6235,
2018-04-08,0.016151,0.016952,0.015827,0.016089,12226,
2018-04-09,0.016131,0.016664,0.01528,0.01556,26921,
2018-04-10,0.015593,0.015893,0.014762,0.015871,8648,
2018-04-11,0.015895,0.016747,0.01477,0.016462,16657,
2018-04-12,0.016476,0.019841,0.015739,0.019139,7777,
2018-04-13,0.01916,0.0197,0.016895,0.019106,2900,
2018-04-14,0.019055,0.019806,0.016195,0.017189,4153,
2018-04-15,0.017196,0.020724,0.017196,0.019918,1084,
2018-04-16,0.019916,0.020106,0.018881,0.019334,7374,
2018-04-17,0.019336,0.020091,0.018838,0.018889,7728,
2018-04-18,0.018897,0.019404,0.018881,0.019219,1859,
2018-04-19,0.019229,0.021066,0.018983,0.020512,9575,
2018-04-20,0.020525,0.036955,0.020519,0.026743,79470,
2018-04-21,0.026759,0.028655,0.023779,0.028655,49678,
2018-04-22,0.028674,0.032895,0.026768,0.03228,46095,
2018-04-23,0.032284,0.034463,0.031212,0.033798,57765,
2018-04-24,0.033856,0.045044,0.033856,0.044971,157102,9921793
2018-04-25,0.044916,0.044916,0.037647,0.0412,51619,9089770
2018-04-26,0.041606,0.045393,0.039477,0.044826,63267,9889824
2018-04-27,0.044444,0.049564,0.042441,0.044957,31154,12538162
2018-04-28,0.045423,0.063593,0.045192,0.048676,306609,13563750
2018-04-29,0.050357,0.051111,0.041259,0.042288,58052,11792154
2018-04-30,0.042337,0.043917,0.040491,0.041722,27917,11609606
2018-05-01,0.041764,0.04209,0.034211,0.037305,28729,10378476
2018-05-02,0.037287,0.041636,0.036989,0.040333,26809,11212708
2018-05-03,0.040191,0.046487,0.03752,0.042244,20829,11673751
2018-05-04,0.042226,0.045782,0.039986,0.043137,18279,11920606
2018-05-05,0.043115,0.046217,0.019836,0.036976,106725,10217931
2018-05-06,0.036992,0.040638,0.033303,0.035898,44615,9940441
2018-05-07,0.035908,0.036014,0.031156,0.03184,27359,8824600
2018-05-08,0.031848,0.033725,0.028425,0.03334,13480,9242660
2018-05-09,0.033361,0.036707,0.029982,0.036707,21700,10179000
2018-05-10,0.036714,0.037488,0.032649,0.034841,53134,9662574
2018-05-11,0.034864,0.034906,0.027338,0.028131,70274,7801738
2018-05-12,0.028081,0.028598,0.025549,0.028357,12874,7864248
2018-05-13,0.028354,0.035131,0.026105,0.026519,49114,7354653
2018-05-14,0.026461,0.028074,0.025077,0.027185,23643,7539383
2018-05-15,0.027167,0.027994,0.026165,0.026503,4949,7350104
2018-05-16,0.026486,0.027763,0.024765,0.025443,5057,7056078
2018-05-17,0.025473,0.02606,0.023825,0.024003,16400,6656777
2018-05-18,0.024012,0.025526,0.023013,0.025177,7925,6987482
2018-05-19,0.025184,0.025544,0.022588,0.023919,12322,6641908
2018-05-20,0.023938,0.025417,0.023779,0.025111,1574,6972959
2018-05-21,0.025124,0.025157,0.020562,0.022294,19218,6190676
2018-05-22,0.022279,0.031167,0.021573,0.023817,25253,6616276
2018-05-23,0.023821,0.025751,0.019332,0.020387,7621,5663641
2018-05-24,0.02035,0.021488,0.019366,0.020979,11730,5828253
2018-05-25,0.020999,0.021356,0.019571,0.020848,8262,5791749
2018-05-26,0.020755,0.021327,0.019289,0.02055,6862,5708933
2018-05-27,0.020568,0.020582,0.018212,0.018865,4451,5243651
2018-05-28,0.018798,0.021375,0.018142,0.020115,12807,5591242
2018-05-29,0.020054,0.022404,0.019333,0.022105,32460,6145462
2018-05-30,0.022269,0.024383,0.020559,0.021918,17367,6095418
2018-05-31,0.021916,0.02472,0.020596,0.021335,59019,5936486
