time,Open,High,Low,close,volumeto,Market Cap
2019-05-08,0.000589,0.000596,0.000589,0.000594,2034452,
2019-05-09,0.000594,0.000618,0.000546,0.000617,3328518,
2019-05-10,0.000617,0.000635,0.000561,0.000584,2165419,
2019-05-11,0.000585,0.000685,0.000582,0.000648,1354012,
2019-05-12,0.000647,0.000675,0.000613,0.000627,215635,
2019-05-13,0.000627,0.000728,0.000619,0.000703,677254,
2019-05-14,0.000703,0.000746,0.00069,0.000718,163,
2019-05-15,0.000718,0.000728,0.000631,0.000655,312658,
2019-05-16,0.000654,0.000654,0.000615,0.00063,83,
2019-05-17,0.00063,0.000659,0.000565,0.000659,53770,
2019-05-18,0.000659,0.000669,0.000579,0.00058,25125,
2019-05-19,0.00058,0.00066,0.000579,0.000656,357169,
2019-05-20,0.000656,0.000656,0.000612,0.000638,200844,
2019-05-21,0.000638,0.000645,0.000626,0.000636,118559,
2019-05-22,0.000636,0.00064,0.000607,0.000612,121965,
2019-05-23,0.000612,0.000635,0.000601,0.00063,122957,
2019-05-24,0.00063,0.000651,0.000624,0.000639,128356,
2019-05-25,0.000639,0.000649,0.000636,0.000645,139621,
2019-05-26,0.000644,0.000695,0.000633,0.000694,275,
2019-05-27,0.000694,0.000712,0.000694,0.000704,130874,
2019-05-28,0.000704,0.000704,0.000692,0.000698,126842,
