time,Open,High,Low,close,volumeto,Market Cap
2018-01-31,0.251421,0.302473,0.157354,0.205122,29538,
2018-02-01,0.205355,0.338709,0.156227,0.208774,94045,
2018-02-02,0.208403,0.221491,0.119709,0.142645,80795,
2018-02-03,0.14324,0.222687,0.140599,0.177769,101163,
2018-02-04,0.177797,0.194515,0.151534,0.170224,54672,
2018-02-05,0.168629,0.205359,0.119959,0.13644,114711,
2018-02-06,0.136713,0.144819,0.118092,0.12814,66145,
2018-02-07,0.127568,0.165558,0.114137,0.11879,85757,
2018-02-08,0.118501,0.154299,0.117522,0.137196,51265,
2018-02-09,0.137197,0.141901,0.122761,0.129206,33373,
2018-02-10,0.138631,0.14376,0.122355,0.142551,31550,
2018-02-11,0.142202,0.142202,0.106258,0.110749,29117,
2018-02-12,0.112488,0.147365,0.103485,0.132624,62068,
2018-02-13,0.132812,0.151187,0.109347,0.131643,49048,
2018-02-14,0.131404,0.142848,0.108198,0.112488,30827,
2018-02-15,0.125582,0.126414,0.108516,0.12233,30264,
2018-02-16,0.121986,0.137869,0.119662,0.119693,19703,8951179
2018-02-17,0.119693,0.139109,0.111241,0.119353,15178,8930928
2018-02-18,0.117967,0.139428,0.117711,0.119761,20152,8966613
2018-02-19,0.1193,0.131711,0.112286,0.13154,32833,9854175
2018-02-20,0.13163,0.133873,0.113378,0.117693,30775,8821897
2018-02-21,0.118182,0.159798,0.113795,0.129703,115392,9727720
2018-02-22,0.135814,0.14121,0.105224,0.105345,32435,7905355
2018-02-23,0.105294,0.120082,0.102914,0.109363,21894,8211534
2018-02-24,0.109682,0.110169,0.076933,0.094937,19371,7132424
2018-02-25,0.094696,0.111277,0.092197,0.102397,41232,7697279
2018-02-26,0.097829,0.141845,0.093363,0.136317,76692,10252987
2018-02-27,0.136671,0.149619,0.116037,0.139437,82751,10493616
2018-02-28,0.139348,0.146129,0.121418,0.12564,16334,9460712
2018-03-01,0.125742,0.133461,0.114598,0.127672,30364,9619158
2018-03-02,0.124095,0.129092,0.110329,0.112181,27100,8456802
2018-03-03,0.112072,0.120706,0.098272,0.114522,20887,8638230
2018-03-04,0.106437,0.113163,0.075705,0.113163,23071,8540531
2018-03-05,0.113191,0.113191,0.093909,0.102699,12900,7755149
2018-03-06,0.102555,0.11989,0.094812,0.104275,38253,7878720
2018-03-07,0.104223,0.104766,0.075074,0.085397,16968,6455908
2018-03-08,0.085273,0.136414,0.075754,0.097924,121179,7407278
2018-03-09,0.097427,0.098496,0.076847,0.089672,43688,6786919
2018-03-10,0.089703,0.091317,0.073358,0.073714,7529,5582228
2018-03-11,0.073468,0.088387,0.073272,0.086117,7849,6525177
2018-03-12,0.085877,0.087825,0.069113,0.074907,13343,5679038
2018-03-13,0.074592,0.082168,0.069264,0.072523,14044,5501358
2018-03-14,0.072536,0.078206,0.066665,0.070125,11640,5322439
2018-03-15,0.07008,0.070552,0.058145,0.06861,20077,5210386
2018-03-16,0.068557,0.097369,0.066317,0.074097,20035,5630198
2018-03-17,0.074297,0.078921,0.05748,0.062397,12360,4743896
2018-03-18,0.062258,0.063595,0.050421,0.052578,12412,3999588
2018-03-19,0.052438,0.062718,0.044982,0.058165,24878,4427067
2018-03-20,0.058987,0.058987,0.045897,0.050932,11724,3878684
2018-03-21,0.051158,0.058176,0.041388,0.052671,14126,4013454
2018-03-22,0.052709,0.053425,0.042027,0.051471,11375,3924182
2018-03-23,0.051461,0.053692,0.043492,0.053692,6629,4095788
2018-03-24,0.054437,0.055331,0.046757,0.046998,9514,3587222
2018-03-25,0.046372,0.050758,0.044962,0.048008,4228,3666323
2018-03-26,0.04795,0.051576,0.0453,0.046966,8616,3588787
2018-03-27,0.046911,0.049908,0.039105,0.039434,6628,3014950
2018-03-28,0.039434,0.050334,0.039187,0.047879,6883,3662669
2018-03-29,0.047939,0.048019,0.028382,0.036938,15762,2827272
2018-03-30,0.037941,0.038097,0.031108,0.032428,7496,2483402
2018-03-31,0.032426,0.037445,0.032426,0.035967,8438,2755965
2018-04-01,0.035971,0.036385,0.031114,0.033741,5253,2586858
2018-04-02,0.033751,0.083328,0.032004,0.066897,60297,5131806
2018-04-03,0.066902,0.077666,0.049853,0.072722,51689,5581748
2018-04-04,0.073699,0.100828,0.061847,0.071503,31497,5491299
2018-04-05,0.071527,0.073431,0.061399,0.067997,12553,5224934
2018-04-06,0.067667,0.074773,0.058676,0.069421,13481,5337366
2018-04-07,0.069435,0.081221,0.063667,0.068973,26001,5305861
2018-04-08,0.06902,0.082804,0.06902,0.082318,11405,6335946
2018-04-09,0.082448,0.082986,0.063027,0.067468,19433,5195815
2018-04-10,0.06756,0.075998,0.06607,0.075998,27295,5856082
2018-04-11,0.0761,0.081896,0.070017,0.073177,61708,5641788
2018-04-12,0.072997,0.094779,0.072629,0.090137,72983,6953170
2018-04-13,0.090245,0.099602,0.084346,0.096235,113325,7427644
2018-04-14,0.096234,0.103933,0.091156,0.101715,41395,7855089
2018-04-15,0.101764,0.108609,0.094899,0.100287,39662,7749149
2018-04-16,0.100255,0.104838,0.096451,0.100708,28039,7785989
2018-04-17,0.100737,0.118708,0.100064,0.104431,43837,8078318
2018-04-18,0.104518,0.129453,0.104401,0.125632,44054,9723717
2018-04-19,0.125709,0.214926,0.125286,0.181189,326057,14031387
2018-04-20,0.181285,0.196955,0.143194,0.150924,89758,11694137
2018-04-21,0.150995,0.165422,0.13792,0.145764,33547,11300419
2018-04-22,0.145766,0.169058,0.137604,0.14831,28074,11504279
2018-04-23,0.148051,0.174163,0.12378,0.123919,42386,9617579
2018-04-24,0.124011,0.145294,0.108114,0.135603,63254,10530150
2018-04-25,0.134877,0.134877,0.097103,0.114104,32398,8865575
2018-04-26,0.115051,0.129152,0.095998,0.128255,36048,9970534
2018-04-27,0.124102,0.124102,0.096474,0.098405,25995,7654148
2018-04-28,0.097967,0.109157,0.097449,0.109098,15454,8490571
2018-04-29,0.109034,0.110136,0.098706,0.100973,9765,7862532
2018-04-30,0.101,0.101172,0.094145,0.094704,11933,7378395
2018-05-01,0.094841,0.106249,0.091667,0.105038,23800,8188062
2018-05-02,0.104886,0.113984,0.09913,0.104794,15241,8173535
2018-05-03,0.104795,0.106035,0.097295,0.103679,20130,8090949
2018-05-04,0.098987,0.111658,0.088611,0.111437,35071,8701137
2018-05-05,0.107451,0.109484,0.090598,0.091373,16830,7138490
2018-05-06,0.091418,0.101979,0.076976,0.087541,13773,6842897
2018-05-07,0.087267,0.101621,0.078942,0.080574,11623,6301709
2018-05-08,0.080819,0.099762,0.067997,0.090066,26670,7047951
2018-05-09,0.089869,0.089869,0.075861,0.076399,2449,5981740
2018-05-10,0.077311,0.099598,0.07375,0.076663,18975,6005617
2018-05-11,0.076748,0.081364,0.060381,0.060885,7041,4772239
2018-05-12,0.060783,0.071461,0.059654,0.062838,11559,4927973
2018-05-13,0.062801,0.066935,0.05774,0.066414,13722,5211290
2018-05-14,0.06643,0.071933,0.049679,0.058859,21545,4620914
2018-05-15,0.058783,0.063941,0.057145,0.058561,7905,4600011
2018-05-16,0.058538,0.061352,0.053412,0.054383,14871,4274158
2018-05-17,0.054379,0.055813,0.051925,0.053163,11073,4180582
2018-05-18,0.053184,0.05711,0.052617,0.054848,7352,4315401
2018-05-19,0.054813,0.05834,0.052447,0.056784,12359,4470126
2018-05-20,0.056827,0.08225,0.053226,0.077818,34834,6128756
2018-05-21,0.07792,0.080098,0.068625,0.079593,10818,6270531
2018-05-22,0.079575,0.103764,0.073007,0.082432,21974,6494199
2018-05-23,0.082345,0.114892,0.076148,0.086966,120851,6851494
2018-05-24,0.086767,0.105475,0.082215,0.104794,77270,8256124
2018-05-25,0.104967,0.106542,0.080322,0.085109,24487,6705293
2018-05-26,0.085022,0.086623,0.073711,0.073987,7990,5829083
2018-05-27,0.074045,0.078128,0.069656,0.072113,6875,5681537
2018-05-28,0.072129,0.076834,0.062927,0.070211,11648,5531691
2018-05-29,0.070185,0.081727,0.062553,0.070082,13994,5521626
2018-05-30,0.070127,0.08517,0.066573,0.067097,7277,5286500
2018-05-31,0.067071,0.079392,0.066811,0.071303,10054,5617944
2018-06-01,0.071384,0.07482,0.067697,0.069114,18379,5445478
2018-06-02,0.069087,0.075023,0.064433,0.067833,11086,5344581
2018-06-03,0.067829,0.071014,0.063056,0.070769,6344,5575976
2018-06-04,0.07079,0.073261,0.055521,0.055664,10116,4385888
