time,Open,High,Low,close,volumeto,Market Cap
2018-03-01,0.157848,0.313484,0.157745,0.277588,281984,
2018-03-02,0.282008,0.292,0.218195,0.22114,49583,
2018-03-03,0.222032,0.255571,0.202925,0.236107,38148,
2018-03-04,0.23589,0.250128,0.224393,0.248777,28192,
2018-03-05,0.250039,0.256606,0.200773,0.226564,36670,12831339
2018-03-06,0.226473,0.238757,0.175763,0.183287,20404,7721781
2018-03-07,0.183225,0.185242,0.154972,0.171223,29111,7213531
2018-03-08,0.171,0.253211,0.145137,0.21013,149833,8852661
2018-03-09,0.209256,0.214781,0.164595,0.188106,38799,7924802
2018-03-10,0.188094,0.718621,0.181776,0.22673,228699,9552010
2018-03-11,0.226102,0.240727,0.194877,0.209547,119095,8828100
2018-03-12,0.209019,0.219488,0.195724,0.204156,37217,8600980
2018-03-13,0.201308,0.211134,0.183099,0.185341,13284,7808314
2018-03-14,0.185341,0.210788,0.180427,0.19022,36568,8013864
2018-03-15,0.190203,0.191952,0.164865,0.188582,86612,7944856
2018-03-16,0.188444,0.18938,0.154504,0.159301,60124,6711264
2018-03-17,0.159508,0.203481,0.148805,0.17771,48689,7486825
2018-03-18,0.180788,0.219773,0.172941,0.21188,64277,8926388
2018-03-19,0.211254,0.21619,0.144742,0.163401,106862,6883994
2018-03-20,0.164793,0.16844,0.150425,0.16239,51611,6516651
2018-03-21,0.162756,0.169716,0.153559,0.158905,23536,6376799
2018-03-22,0.158929,0.158976,0.143389,0.154037,15854,6181448
2018-03-23,0.154036,0.154036,0.130324,0.134197,19776,5385276
2018-03-24,0.134999,0.146503,0.116357,0.125614,14277,5040844
2018-03-25,0.120169,0.13311,0.106762,0.10854,20074,4355670
2018-03-26,0.110791,0.134507,0.104292,0.12381,26057,4968450
2018-03-27,0.123709,0.128759,0.10916,0.109927,20440,4411330
2018-03-28,0.109924,0.118248,0.100959,0.102362,17923,4107750
2018-03-29,0.102491,0.105848,0.087425,0.092362,21249,3706461
2018-03-30,0.092169,0.094612,0.079254,0.084367,9048,3385617
2018-03-31,0.084711,0.092542,0.077783,0.081261,5817,3260954
2018-04-01,0.081307,0.082356,0.067392,0.070504,9808,2829292
2018-04-02,0.070746,0.151799,0.065988,0.111463,96531,4472969
2018-04-03,0.114231,0.145329,0.097644,0.113327,68814,4605007
2018-04-04,0.112358,0.120897,0.091327,0.091547,24842,3719979
2018-04-05,0.091551,0.097176,0.080299,0.080877,24132,3286395
2018-04-06,0.080512,0.098306,0.075717,0.079528,14625,3231579
