time,Open,High,Low,close,volumeto,Market Cap
2018-05-01,0.053888,0.053947,0.0403,0.040936,955,
2018-05-02,0.040875,0.055446,0.037428,0.037608,39765,
2018-05-03,0.037605,0.051179,0.023979,0.046515,107045,
2018-05-04,0.046458,0.047094,0.036232,0.041871,113770,
2018-05-05,0.041879,0.042639,0.036753,0.038272,114746,
2018-05-06,0.038278,0.039432,0.028379,0.03531,107648,
2018-05-07,0.035332,0.035443,0.02717,0.030523,112111,
2018-05-08,0.030661,0.03122,0.029326,0.030777,101928,
2018-05-09,0.030735,0.032746,0.029653,0.032746,116905,634833
2018-05-10,0.032756,0.033437,0.030444,0.030476,106931,590816
2018-05-11,0.030505,0.03098,0.028695,0.029366,113357,569309
2018-05-12,0.0293,0.030355,0.026908,0.030071,92232,582965
2018-05-13,0.030028,0.043743,0.029588,0.043361,191274,840614
2018-05-14,0.04335,0.059138,0.042913,0.052053,208252,1009125
2018-05-15,0.051974,0.056539,0.050707,0.052173,145000,1011446
2018-05-16,0.052165,0.062045,0.048683,0.060365,191238,1170272
2018-05-17,0.060576,0.093468,0.060576,0.092745,224408,1924870
2018-05-18,0.092745,0.093919,0.077303,0.085098,135357,1766167
2018-05-19,0.085093,0.085339,0.076956,0.077313,106358,1604592
2018-05-20,0.077375,0.083512,0.073481,0.077307,115307,1604453
2018-05-21,0.077405,0.080483,0.075301,0.075813,110085,1573458
2018-05-22,0.075728,0.075863,0.063009,0.070551,122227,1464234
2018-05-23,0.070444,0.070843,0.054157,0.05488,103675,1138994
2018-05-24,0.054688,0.058893,0.053415,0.058524,110200,1214627
2018-05-25,0.058613,0.06016,0.056327,0.057443,114653,1192202
2018-05-26,0.057402,0.07205,0.056994,0.063193,125093,1311525
2018-05-27,0.06326,0.06326,0.0573,0.057605,109367,1195551
2018-05-28,0.057608,0.059249,0.052504,0.054424,102027,1129534
2018-05-29,0.05435,0.082606,0.054157,0.057543,108781,1194271
2018-05-30,0.05758,0.060664,0.057506,0.060246,119697,1250376
2018-05-31,0.06183,0.061946,0.056498,0.05997,105861,1244648
2018-06-01,0.060066,0.061033,0.058133,0.05894,104200,1223269
2018-06-02,0.058922,0.061827,0.057839,0.057839,96247,1200406
2018-06-03,0.057813,0.061336,0.057322,0.059071,102569,1225982
2018-06-04,0.059039,0.059438,0.055614,0.05617,102815,1165775
2018-06-05,0.056181,0.069497,0.055211,0.06155,109478,1277440
2018-06-06,0.061479,0.065099,0.060964,0.062419,101937,1914932
2018-06-07,0.062437,0.073333,0.060424,0.061604,108236,1889938
2018-06-08,0.061679,0.067978,0.053365,0.057923,104489,1777016
2018-06-09,0.05792,0.060912,0.05669,0.056891,101214,1745340
2018-06-10,0.056982,0.06427,0.052281,0.058761,114004,1802716
2018-06-11,0.058852,0.058852,0.050235,0.052615,111220,1614161
2018-06-12,0.052203,0.052663,0.046866,0.049377,98040,1514830
2018-06-13,0.049535,0.050587,0.046721,0.048907,102857,1500414
2018-06-14,0.048932,0.050784,0.04615,0.05051,90815,1549589
2018-06-15,0.05047,0.058045,0.045976,0.046658,103794,1431399
2018-06-16,0.046507,0.050526,0.046195,0.046301,89754,1420446
2018-06-17,0.046359,0.050902,0.038467,0.039049,100769,1197980
2018-06-18,0.03897,0.041275,0.038,0.03978,90050,1229224
2018-06-19,0.039681,0.042898,0.039372,0.040839,119668,1261929
2018-06-20,0.040855,0.041554,0.036714,0.036745,100409,1135417
2018-06-21,0.036737,0.038121,0.031287,0.035694,103603,1102962
2018-06-22,0.03578,0.035905,0.030878,0.031479,71610,972699
2018-06-23,0.031552,0.03259,0.031288,0.031932,84723,986721
2018-06-24,0.032001,0.033208,0.030098,0.031845,76064,984008
2018-06-25,0.03183,0.032357,0.028794,0.029763,53687,919702
2018-06-26,0.029765,0.030969,0.028566,0.029634,58450,915691
2018-06-27,0.029576,0.074819,0.025097,0.025485,27285,787507
2018-06-28,0.025518,0.037326,0.023124,0.02444,43756,755210
2018-06-29,0.024761,0.025776,0.023904,0.025509,53628,788242
2018-06-30,0.025536,0.027155,0.025536,0.027073,45845,836574
2018-07-01,0.027091,0.028354,0.025924,0.028217,50306,871914
2018-07-02,0.02823,0.034822,0.027834,0.034001,63844,1050635
2018-07-03,0.033874,0.035459,0.033359,0.034712,58492,1072599
2018-07-04,0.03446,0.035982,0.033894,0.034601,72909,1069188
2018-07-05,0.034698,0.035947,0.032295,0.035155,69816,1086304
2018-07-06,0.035144,0.035196,0.027343,0.033066,72141,1021762
2018-07-07,0.033464,0.034256,0.032399,0.034256,52428,1058506
2018-07-08,0.034116,0.034621,0.033615,0.033833,55558,1045441
2018-07-09,0.033792,0.034549,0.027206,0.031922,46203,986400
2018-07-10,0.031899,0.031996,0.019311,0.021091,19662,651731
2018-07-11,0.021092,0.021417,0.015835,0.015864,13083,490215
2018-07-12,0.015862,0.020256,0.015204,0.018439,12151,569765
2018-07-13,0.018479,0.019159,0.015216,0.015712,7605,485503
2018-07-14,0.015689,0.017338,0.011805,0.011847,555,366079
2018-07-15,0.011844,0.018379,0.011805,0.018299,238,565451
2018-07-16,0.01832,0.018489,0.012098,0.013975,954,431841
2018-07-17,0.013958,0.019532,0.013782,0.017366,1275,536615
2018-07-18,0.017361,0.019171,0.014643,0.014856,2211,459064
2018-07-19,0.01485,0.016815,0.013975,0.014159,2453,437508
2018-07-20,0.014165,0.016242,0.013794,0.013917,2619,430037
2018-07-21,0.013915,0.015834,0.013744,0.015724,1614,485889
2018-07-22,0.015719,0.016515,0.013951,0.016237,2286,501741
2018-07-23,0.016225,0.016732,0.014287,0.014443,2872,446290
2018-07-24,0.014453,0.01777,0.014436,0.01777,3785,565247
2018-07-25,0.017582,0.022053,0.015483,0.015544,3026,494428
