time,Open,High,Low,close,volumeto,Market Cap
2019-02-11,0.324885,0.338604,0.316284,0.324195,1364002,
2019-02-12,0.322809,0.322809,0.276333,0.290674,252203,
2019-02-13,0.289112,0.289112,0.243764,0.254,172377,
2019-02-14,0.253554,0.27256,0.219215,0.228926,104014,
2019-02-15,0.229214,0.240921,0.173412,0.18439,158251,
2019-02-16,0.184707,0.214978,0.126977,0.176843,210968,
2019-02-17,0.182258,0.1832,0.156688,0.172214,101015,
2019-02-18,0.172261,0.204915,0.156649,0.173744,233550,
2019-02-19,0.173951,0.176399,0.151378,0.165719,19516,1692117
2019-02-20,0.165588,0.170028,0.152381,0.162154,32587,1655715
2019-02-21,0.162124,0.175644,0.151887,0.165892,17096,1693882
2019-02-22,0.165815,0.199938,0.165815,0.185746,195900,1896613
2019-02-23,0.185362,0.185362,0.161858,0.176078,78209,1797895
2019-02-24,0.176263,0.19691,0.149492,0.158186,203538,1615197
2019-02-25,0.15848,0.203527,0.149079,0.186205,70709,1901294
2019-02-26,0.17864,0.203019,0.169414,0.18395,50684,2640423
2019-02-27,0.184116,0.189681,0.175744,0.178776,9643,2566158
2019-02-28,0.178991,0.220332,0.158021,0.169931,205178,2439191
2019-03-01,0.169719,0.184173,0.162071,0.169512,52874,2433176
2019-03-02,0.16922,0.171766,0.15973,0.165216,18642,2371506
2019-03-03,0.165044,0.173652,0.163673,0.167192,9995,2399879
2019-03-04,0.167419,0.183325,0.16628,0.17571,64291,2522137
2019-03-05,0.180574,0.222301,0.178001,0.206626,305072,2965905
2019-03-06,0.205595,0.266572,0.198457,0.212069,322294,3044044
2019-03-07,0.212495,0.256408,0.190579,0.216158,295543,3102731
2019-03-08,0.215671,0.314793,0.212805,0.240766,834465,3455961
2019-03-09,0.238015,0.238015,0.20597,0.217941,95620,3128323
2019-03-10,0.218197,0.218219,0.181862,0.1906,117571,2735878
2019-03-11,0.190732,0.196978,0.16932,0.182153,98821,2614625
2019-03-12,0.182358,0.182557,0.170976,0.173124,28532,2485019
2019-03-13,0.173529,0.177431,0.172459,0.172853,22586,3144108
2019-03-14,0.172797,0.17597,0.164245,0.169603,18031,3084994
2019-03-15,0.170871,0.17137,0.164108,0.169506,20771,3736501
2019-03-16,0.169625,0.173414,0.167988,0.170056,11841,3748644
2019-03-17,0.170079,0.298994,0.170079,0.244358,1348747,6479512
2019-03-18,0.25308,0.25308,0.200501,0.203706,405451,7014019
2019-03-19,0.203841,0.206489,0.181725,0.181725,41192,6257161
2019-03-20,0.181998,0.202788,0.173911,0.201896,77969,9015223
2019-03-21,0.202197,0.331604,0.188814,0.221478,754961,11076198
2019-03-22,0.221042,0.232692,0.20218,0.220047,162137,11004629
2019-03-23,0.219803,0.22968,0.203057,0.217506,26403,10877572
2019-03-24,0.217291,0.289117,0.215257,0.22929,646746,11466890
2019-03-25,0.231568,0.237498,0.198845,0.207587,89043,10381508
2019-03-26,0.20907,0.236298,0.204222,0.212741,274807,10639253
2019-03-27,0.212743,0.218461,0.207128,0.216,47648,10802244
2019-03-28,0.215872,0.227299,0.210674,0.222071,52663,11105855
2019-03-29,0.222125,0.233476,0.200915,0.211957,147161,10600041
2019-03-30,0.21153,0.222081,0.193858,0.209612,67904,10482771
2019-03-31,0.209612,0.209894,0.198552,0.202837,31680,10143953
2019-04-01,0.202727,0.224126,0.198769,0.215223,67062,10763366
2019-04-02,0.215412,0.242921,0.200751,0.229609,129934,11482811
2019-04-03,0.229609,0.239143,0.198305,0.201308,48247,10067464
2019-04-04,0.201366,0.208388,0.189057,0.196539,48770,9828972
2019-04-05,0.196528,0.210998,0.161482,0.208447,54949,10424488
2019-04-06,0.208499,0.215333,0.191411,0.200981,17416,10051113
2019-04-07,0.200778,0.241466,0.192121,0.20788,60965,10396107
2019-04-08,0.207917,0.219535,0.188373,0.198025,29092,9903271
2019-04-09,0.198025,0.198849,0.176243,0.18681,16831,9342419
2019-04-10,0.186757,0.196876,0.174074,0.189373,12421,9470615
2019-04-11,0.189463,0.190352,0.159875,0.170414,17675,8522445
2019-04-12,0.170365,0.185377,0.161203,0.17375,7860,8689273
2019-04-13,0.173749,0.212902,0.166585,0.19504,39940,9754007
2019-04-14,0.19504,0.208517,0.176191,0.189371,62696,9470509
2019-04-15,0.189371,0.218764,0.169837,0.169882,110192,8495830
2019-04-16,0.16988,0.198065,0.169385,0.197974,31792,9900740
2019-04-17,0.197912,0.199565,0.187874,0.194493,21759,9726654
2019-04-18,0.194572,0.196078,0.178232,0.187574,17248,9380564
2019-04-19,0.187595,0.196425,0.182042,0.190244,6287,9514085
2019-04-20,0.190306,0.198284,0.173685,0.189643,45004,9484036
2019-04-21,0.18972,0.189872,0.182521,0.189444,9779,9474075
2019-04-22,0.189365,0.196619,0.181361,0.192516,10876,9627717
2019-04-23,0.192516,0.218334,0.182021,0.214868,85457,10745502
2019-04-24,0.214868,0.231376,0.192852,0.228017,79156,11403088
2019-04-25,0.229262,0.231304,0.184717,0.192011,53830,9602420
2019-04-26,0.192652,0.195759,0.183956,0.188751,9824,9439401
2019-04-27,0.188866,0.209353,0.181079,0.191916,23234,9597667
2019-04-28,0.191823,0.192801,0.18202,0.183332,8748,9168567
2019-04-29,0.183432,0.198101,0.182988,0.191317,5935,9567910
2019-04-30,0.191337,0.192387,0.184917,0.1916,890,9581988
2019-05-01,0.191565,0.20311,0.18643,0.192227,15973,9613345
2019-05-02,0.192286,0.19837,0.191795,0.197897,8604,9896930
2019-05-03,0.197897,0.218583,0.191485,0.213827,11982,10693562
2019-05-04,0.213834,0.216824,0.193683,0.200121,4034,10008124
2019-05-05,0.200088,0.203372,0.196679,0.201854,5365,10094810
2019-05-06,0.201751,0.206523,0.194738,0.203848,2422,10194513
2019-05-07,0.203787,0.211759,0.19779,0.201465,4675,10075350
2019-05-08,0.201262,0.208251,0.197481,0.201627,6094,10083459
2019-05-09,0.201612,0.213269,0.193719,0.19752,3080,9878079
2019-05-10,0.197423,0.203307,0.173244,0.18787,13420,9395442
2019-05-11,0.188185,0.236533,0.187831,0.214353,24495,15006941
2019-05-12,0.214237,0.21835,0.179185,0.186804,40435,13078232
2019-05-13,0.186804,0.250811,0.184407,0.207742,101158,14544072
2019-05-14,0.211617,0.272442,0.20752,0.252219,60870,17657991
2019-05-15,0.252076,0.284387,0.224934,0.275921,61049,19317334
2019-05-16,0.275678,0.28076,0.244928,0.278976,48011,19531241
2019-05-17,0.278566,0.281239,0.207417,0.228151,38232,15972918
2019-05-18,0.228151,0.248373,0.21711,0.231178,37002,16184838
2019-05-19,0.231213,0.264576,0.221932,0.237703,32296,16641947
2019-05-20,0.237703,0.237706,0.20984,0.22099,21160,15471847
2019-05-21,0.220863,0.237493,0.21091,0.228285,20656,15982542
