time,Open,High,Low,close,volumeto,Market Cap
2013-05-03,0.465712,0.465712,0.313239,0.441833,,2691757
2013-05-04,0.442433,0.475036,0.383881,0.45,,2823953
2013-05-05,0.45273,0.460219,0.239535,0.31304,,2017433
2013-05-06,0.313158,0.343891,0.1776,0.17968,,1166240
2013-05-07,0.1796,0.226351,0.163997,0.219656,,1428566
2013-05-08,0.214817,0.23604,0.190946,0.223764,,1457252
2013-05-09,0.223046,0.22512,0.195127,0.197176,,1285597
2013-05-10,0.19853,0.211064,0.194061,0.20128,,1313121
2013-05-11,0.129814,0.155469,0.12705,0.132529,,866481
2013-05-12,0.135299,0.138804,0.111821,0.12535,,820221
2013-05-13,0.125154,0.173456,0.118675,0.130958,,857939
2013-05-14,0.132137,0.160981,0.12789,0.128225,,840726
2013-05-15,0.132566,0.140873,0.1218,0.133637,,876719
2013-05-16,0.13478,0.137317,0.111917,0.117572,,771701
2013-05-17,0.117028,0.131967,0.111635,0.126705,,831926
2013-05-18,0.127205,0.131434,0.123856,0.127203,,835679
2013-05-19,0.126907,0.13299,0.121889,0.12687,,833821
2013-05-20,0.12495,0.231052,0.119805,0.1769,,1163374
2013-05-21,0.179369,0.231051,0.155715,0.208896,,1375507
2013-05-22,0.207684,0.209066,0.154579,0.161056,,1061593
2013-05-23,0.163416,0.179209,0.125684,0.155841,,1029400
2013-05-24,0.15156,0.154513,0.10467,0.121212,,801654
2013-05-25,0.11979,0.12207,0.081437,0.106904,,707560
2013-05-26,0.106909,0.107535,0.093188,0.098775,,654331
2013-05-27,0.09879,0.107568,0.09576,0.101201,,670866
2013-05-28,0.099923,0.102305,0.094804,0.10062,,667699
2013-05-29,0.10062,0.10108,0.093247,0.097902,,650015
2013-05-30,0.097865,0.097865,0.083768,0.087583,,581873
2013-05-31,0.088871,0.090524,0.083886,0.08643,,574591
2013-06-01,0.086306,0.088996,0.084617,0.085338,,567758
2013-06-02,0.085338,0.086698,0.07076,0.081936,,545795
2013-06-03,0.082075,0.082075,0.071984,0.078222,,521636
2013-06-04,0.077272,0.079168,0.06776,0.070424,,470250
2013-06-05,0.071626,0.077734,0.069599,0.074207,,496297
2013-06-06,0.074359,0.085199,0.072468,0.07788,,521364
2013-06-07,0.07852,0.092458,0.0767,0.08251,,553201
2013-06-08,0.08325,0.118711,0.080001,0.106134,,713629
2013-06-09,0.104656,0.137822,0.089,0.126,,852774
2013-06-10,0.125547,0.135711,0.108412,0.111668,,780247
2013-06-11,0.113795,0.119769,0.108513,0.109989,,789336
2013-06-12,0.11009,0.120465,0.107172,0.111395,,803191
2013-06-13,0.112039,0.116452,0.103546,0.1092,,790029
2013-06-14,0.108107,0.115985,0.104853,0.11239,,814097
2013-06-15,0.115863,0.11759,0.113989,0.114986,,854909
2013-06-16,0.11477,0.116101,0.106144,0.108466,,817910
2013-06-17,0.108891,0.111815,0.106439,0.109836,,837889
2013-06-18,0.110106,0.110229,0.093689,0.100956,,779537
2013-06-19,0.102768,0.106189,0.09651,0.100673,,779446
2013-06-20,0.100673,0.104895,0.095919,0.101338,,786155
2013-06-21,0.102387,0.103649,0.089349,0.09417,,738293
2013-06-22,0.09198,0.09592,0.082861,0.084474,,670610
2013-06-23,0.084396,0.103495,0.081472,0.098992,,799217
2013-06-24,0.100347,0.101834,0.093165,0.095546,,782494
2013-06-25,0.094944,0.09646,0.088436,0.090437,,751224
2013-06-26,0.088863,0.092616,0.086627,0.088508,,744783
2013-06-27,0.09048,0.09152,0.086103,0.086222,,734750
2013-06-28,0.086476,0.087912,0.078354,0.078559,,677641
2013-06-29,0.078568,0.08036,0.074958,0.076945,,671819
2013-06-30,0.076949,0.080279,0.075378,0.078257,,694354
2013-07-01,0.078983,0.078983,0.068094,0.068679,,613849
2013-07-02,0.07044,0.074115,0.06903,0.071206,,641651
2013-07-03,0.07142,0.08136,0.066972,0.069777,,635121
2013-07-04,0.071001,0.085456,0.070565,0.082136,,753136
2013-07-05,0.08079,0.08316,0.06666,0.072537,,679039
2013-07-06,0.072615,0.077219,0.069027,0.074494,,701700
2013-07-07,0.072186,0.076496,0.068377,0.075307,,711870
2013-07-08,0.077265,0.077857,0.071874,0.073455,,697206
2013-07-09,0.07296,0.07795,0.07107,0.07516,,718151
2013-07-10,0.075186,0.08256,0.073847,0.081554,,791322
2013-07-11,0.08184,0.088254,0.078568,0.086311,,847622
2013-07-12,0.08631,0.093139,0.07991,0.082364,,816226
2013-07-13,0.083651,0.087522,0.078232,0.087339,,868941
2013-07-14,0.087843,0.087843,0.081432,0.082382,,825730
2013-07-15,0.082372,0.089801,0.081006,0.086592,,876629
2013-07-16,0.087023,0.08811,0.084042,0.086731,,886657
2013-07-17,0.086072,0.088546,0.084674,0.08668,,894828
2013-07-18,0.085695,0.086953,0.075856,0.080616,,838017
2013-07-19,0.080161,0.08272,0.071721,0.079266,,844340
2013-07-20,0.07912,0.083591,0.07857,0.079557,,855952
2013-07-21,0.079941,0.082203,0.077902,0.080774,,882016
2013-07-22,0.081878,0.082755,0.076334,0.080617,,893661
2013-07-23,0.080608,0.086169,0.080608,0.084091,,936418
2013-07-24,0.084091,0.08586,0.08084,0.084114,,939544
2013-07-25,0.08411,0.08827,0.081663,0.086241,,974135
2013-07-26,0.086286,0.08721,0.084597,0.086418,,980665
2013-07-27,0.085458,0.088044,0.08293,0.085646,,980959
2013-07-28,0.085904,0.088529,0.081789,0.087806,,1013854
2013-07-29,0.086789,0.110884,0.086789,0.108284,,1266565
2013-07-30,0.108593,0.129413,0.103505,0.126348,,1493484
2013-07-31,0.125222,0.133184,0.12137,0.125186,,1494783
2013-08-01,0.126393,0.14628,0.120304,0.13416,,1617500
2013-08-02,0.135264,0.228628,0.130061,0.198552,,2424667
2013-08-03,0.197507,0.210314,0.192857,0.194489,,2398983
2013-08-04,0.195207,0.200017,0.163751,0.166127,,2066055
2013-08-05,0.165038,0.165038,0.1391,0.142335,,1776853
2013-08-06,0.145139,0.152338,0.135255,0.140661,,1772019
2013-08-07,0.14172,0.14734,0.12388,0.138847,,1758914
2013-08-08,0.139907,0.156896,0.136802,0.15244,,1954258
2013-08-09,0.150482,0.164325,0.143769,0.14906,,1927532
2013-08-10,0.148032,0.157269,0.14385,0.14935,,1956642
2013-08-11,0.15038,0.155104,0.147998,0.15225,,2001730
2013-08-12,0.15225,0.156179,0.146887,0.151423,,1996156
2013-08-13,0.151926,0.15309,0.145234,0.15042,,1993644
2013-08-14,0.153377,0.158061,0.141681,0.149708,,2004059
2013-08-15,0.149708,0.16317,0.142416,0.156186,,2099335
2013-08-16,0.156193,0.166204,0.15369,0.155862,,2094980
2013-08-17,0.156952,0.15696,0.14279,0.14755,,2020454
2013-08-18,0.146575,0.153212,0.144461,0.14755,,2041295
2013-08-19,0.147394,0.15351,0.1392,0.14875,,2064858
2013-08-20,0.14875,0.151156,0.138168,0.138174,,1938367
2013-08-21,0.138179,0.141702,0.121247,0.129465,,1818860
2013-08-22,0.129465,0.137758,0.125236,0.132053,,1871699
2013-08-23,0.13298,0.140283,0.129231,0.132721,,1891228
2013-08-24,0.132731,0.136016,0.128422,0.13205,,1887318
2013-08-25,0.131563,0.133034,0.12767,0.130659,,1885135
2013-08-26,0.130659,0.13542,0.126077,0.133262,,1930720
2013-08-27,0.133278,0.1386,0.128719,0.13662,,2001708
2013-08-28,0.135334,0.146332,0.129276,0.142239,,2106851
2013-08-29,0.141013,0.154038,0.13949,0.148092,,2198611
2013-08-30,0.148043,0.1629,0.147971,0.160188,,2382132
2013-08-31,0.158377,0.159804,0.148741,0.151592,,2258365
2013-09-01,0.152708,0.160391,0.147653,0.150791,,2258193
2013-09-02,0.151107,0.16115,0.148252,0.150793,,2276612
2013-09-03,0.149171,0.153324,0.146751,0.149079,,2267044
2013-09-04,0.147452,0.157505,0.13649,0.141949,,2175624
2013-09-05,0.141971,0.15247,0.136472,0.146659,,2252858
2013-09-06,0.146728,0.150912,0.132823,0.133448,,2053898
2013-09-07,0.133157,0.140112,0.131491,0.137807,,2123826
2013-09-08,0.137784,0.138006,0.131334,0.133826,,2074464
2013-09-09,0.134046,0.1381,0.130789,0.134737,,2108365
2013-09-10,0.134906,0.136486,0.13105,0.132206,,2085424
2013-09-11,0.132185,0.141254,0.127617,0.136603,,2167377
2013-09-12,0.138261,0.138802,0.128259,0.130467,,2078007
2013-09-13,0.130173,0.145531,0.124478,0.13228,,2122175
2013-09-14,0.13231,0.136269,0.13027,0.130512,,2099618
2013-09-15,0.133282,0.134539,0.12835,0.131674,,2133929
2013-09-16,0.132169,0.132957,0.129462,0.130403,,2122902
2013-09-17,0.130274,0.133259,0.112336,0.122444,,2006000
2013-09-18,0.121173,0.12423,0.116398,0.119638,,1970199
2013-09-19,0.119547,0.124725,0.116889,0.121871,,2012675
2013-09-20,0.121918,0.126896,0.11567,0.118147,,1967083
2013-09-21,0.118064,0.119524,0.114878,0.115961,,1938665
2013-09-22,0.116362,0.121885,0.11493,0.117499,,1981192
2013-09-23,0.117372,0.119452,0.10836,0.109577,,1854300
2013-09-24,0.108403,0.113976,0.107304,0.113252,,1931892
2013-09-25,0.113368,0.116154,0.112091,0.112834,,1929913
2013-09-26,0.112825,0.117392,0.108167,0.110407,,1903996
2013-09-27,0.112178,0.116732,0.111786,0.115051,,1996923
2013-09-28,0.115042,0.117346,0.104809,0.109172,,1907158
2013-09-29,0.106571,0.117978,0.106571,0.115366,,2028659
2013-09-30,0.115206,0.12083,0.109026,0.1197,,2115739
2013-10-01,0.119412,0.124127,0.115771,0.11764,,2096586
2013-10-02,0.118845,0.119547,0.085424,0.100434,,1799145
2013-10-03,0.100716,0.108706,0.096165,0.107558,,1940857
2013-10-04,0.106133,0.112169,0.106133,0.110949,,2014839
2013-10-05,0.110622,0.120865,0.108919,0.114409,,2091036
2013-10-06,0.11424,0.120389,0.111056,0.11868,,2182887
2013-10-07,0.119076,0.120509,0.11183,0.114246,,2113939
2013-10-08,0.114066,0.114723,0.107185,0.10836,,2017977
2013-10-09,0.108231,0.112273,0.105454,0.108473,,2031710
2013-10-10,0.108456,0.111562,0.098085,0.104472,,1968660
2013-10-11,0.1046,0.107322,0.099362,0.103411,,1959830
2013-10-12,0.103411,0.108176,0.103142,0.104096,,1986183
2013-10-13,0.104096,0.107021,0.097937,0.099454,,1907172
2013-10-14,0.100274,0.103866,0.095329,0.099769,,1925156
2013-10-15,0.099947,0.102089,0.082157,0.085692,,1662481
2013-10-16,0.08739,0.094237,0.074108,0.08553,,1668866
2013-10-17,0.085446,0.087984,0.080982,0.083362,,1635964
2013-10-18,0.083431,0.085417,0.078998,0.081099,,1600789
2013-10-19,0.081073,0.086994,0.06986,0.070692,,1403572
2013-10-20,0.072097,0.078192,0.062258,0.07159,,1428631
2013-10-21,0.06992,0.072533,0.060581,0.063773,,1279768
2013-10-22,0.063928,0.068882,0.061159,0.065878,,1329581
2013-10-23,0.065742,0.08526,0.063796,0.072631,,1474285
2013-10-24,0.072862,0.100998,0.072862,0.083257,,1699738
2013-10-25,0.08303,0.08672,0.075198,0.080277,,1647687
2013-10-26,0.080604,0.081018,0.074638,0.076248,,1572389
2013-10-27,0.075938,0.082692,0.070237,0.074647,,1548705
2013-10-28,0.076522,0.076522,0.068663,0.071478,,1491367
2013-10-29,0.071478,0.07358,0.067507,0.07358,,1543853
2013-10-30,0.071536,0.074509,0.067147,0.071784,,1513810
2013-10-31,0.071759,0.075606,0.067752,0.07344,,1557156
2013-11-01,0.073404,0.081868,0.070809,0.076287,,1626552
2013-11-02,0.07615,0.082552,0.074611,0.082488,,1767017
2013-11-03,0.080336,0.092992,0.079958,0.08387,,1806331
2013-11-04,0.083717,0.098752,0.081297,0.09164,,1984519
2013-11-05,0.091684,0.096256,0.087025,0.093191,,2028870
2013-11-06,0.095464,0.101599,0.091692,0.09975,,2182585
2013-11-07,0.096822,0.115585,0.09481,0.109672,,2412587
2013-11-08,0.110205,0.122899,0.109864,0.118339,,2614227
2013-11-09,0.118503,0.124365,0.102458,0.111906,,2487206
2013-11-10,0.115111,0.115913,0.094581,0.107785,,2408407
2013-11-11,0.107385,0.114972,0.101544,0.102732,,2306934
2013-11-12,0.102918,0.108959,0.092669,0.104496,,2358234
2013-11-13,0.101072,0.10763,0.049288,0.073327,,1663077
2013-11-14,0.073154,0.120335,0.069992,0.092444,,2106651
2013-11-15,0.096464,0.100565,0.085172,0.096129,,2200795
2013-11-16,0.091802,0.098017,0.086174,0.092446,,2126794
2013-11-17,0.092602,0.09866,0.060037,0.060037,,1388509
2013-11-18,0.060583,0.12456,0.060383,0.11257,,2608112
2013-11-19,0.114042,0.142204,0.077586,0.10523,,2438053
2013-11-20,0.104036,0.117352,0.085206,0.112258,,2600883
2013-11-21,0.112921,0.16753,0.104344,0.158935,,3682333
2013-11-22,0.159295,0.315164,0.150612,0.254575,,5898197
