time,Open,High,Low,close,volumeto,Market Cap
2018-01-19,8794.25,9653.17,6837.39,9083.89,187697,
2018-01-20,9142.45,11361.5,8557.95,11037.1,180743,
2018-01-21,11061.0,11061.0,7298.28,7298.28,100237,
2018-01-22,7332.75,9216.23,7207.01,7814.23,95468,
2018-01-23,7800.01,8063.34,5798.67,7234.73,89999,
2018-01-24,7236.89,7880.95,6567.1,6970.84,53575,
2018-01-25,7022.14,8621.62,6962.19,7469.0,104560,
2018-01-26,7453.49,8899.72,7453.49,8402.27,90529,
2018-01-27,8402.9,8630.95,7643.96,7699.02,18566,
2018-01-28,7753.19,9240.08,7725.67,8513.57,146125,
2018-01-29,8501.01,8557.62,6976.53,7036.89,38038,
2018-01-30,7040.01,7805.86,5186.62,7041.07,47872,
2018-01-31,7065.4,7367.5,6025.8,7300.38,39759,
2018-02-01,7314.32,7423.99,5003.65,5363.91,23822,
2018-02-02,5345.0,6418.06,4943.35,5565.58,32710,
2018-02-03,5592.52,6001.89,4918.16,5821.03,15981,
2018-02-04,5819.26,5819.26,3941.66,4911.64,75419,
2018-02-05,4859.91,5130.6,2778.03,3881.01,41051,
2018-02-06,3894.84,4456.52,2165.5,4433.63,59332,
2018-02-07,4428.99,4500.42,3468.34,3800.74,9601,
2018-02-08,3791.03,4571.97,3692.37,4148.29,20422,
2018-02-09,4153.46,6122.5,4054.55,5266.38,17897,
2018-02-10,5264.53,6620.9,5244.49,5644.45,50143,
2018-02-11,5635.3,6399.16,5182.31,6057.77,23014,
2018-02-12,6083.82,6510.58,5495.52,5622.97,33898,
2018-02-13,5630.87,5726.8,4789.37,4885.06,21997,
2018-02-14,4882.94,5310.09,4237.46,4741.55,87679,
2018-02-15,4744.0,4976.46,4557.7,4650.45,22465,
2018-02-16,4647.14,5589.1,4267.41,4874.37,46964,
2018-02-17,5252.31,5403.43,4990.12,5255.84,33561,
2018-02-18,5257.98,5830.05,4875.64,4932.49,48627,
2018-02-19,4915.94,5653.69,4915.94,5618.73,42340,
2018-02-20,5619.92,5684.89,4432.01,4437.28,18329,
2018-02-21,4431.78,4551.9,4202.33,4415.56,9666,
2018-02-22,4408.25,4567.41,4025.19,4030.81,22689,
2018-02-23,4025.85,4659.37,3950.77,4269.74,23021,
2018-02-24,4266.12,4438.19,4060.01,4337.35,19971,
2018-02-25,4327.19,4942.21,4093.38,4902.72,39338,
