time,Open,High,Low,close,volumeto,Market Cap
2018-07-25,0.181522,0.184027,0.181388,0.182393,882,
2018-07-26,0.182229,0.226657,0.18219,0.215313,5894,
2018-07-27,0.215219,0.215607,0.187003,0.187857,4171,
2018-07-28,0.187891,0.188556,0.179023,0.179979,180,
2018-07-29,0.180109,0.214681,0.178322,0.213907,93,
2018-07-30,0.213935,0.214334,0.172785,0.20071,941,
2018-07-31,0.200734,0.200773,0.166569,0.16816,174,
2018-08-01,0.16786,0.168446,0.160268,0.164028,817,
2018-08-02,0.164106,0.177677,0.164106,0.165076,132,
2018-08-03,0.165181,0.168184,0.159931,0.167357,1701,
2018-08-04,0.167295,0.167965,0.161587,0.162951,705,
2018-08-05,0.16294,0.164019,0.158947,0.160527,796,
2018-08-06,0.160665,0.17811,0.154151,0.155322,4369,
2018-08-07,0.155289,0.164395,0.150442,0.152169,338,3044699
2018-08-08,0.151955,0.154759,0.130919,0.13188,3646,2638743
2018-08-09,0.13209,0.155683,0.13209,0.135072,1158,2702611
2018-08-10,0.134921,0.14215,0.12343,0.124763,665,2496341
2018-08-11,0.124846,0.12926,0.115196,0.12577,103,2516490
2018-08-12,0.125225,0.126726,0.119,0.119235,513,2385733
2018-08-13,0.1195,0.120867,0.100546,0.100884,3043,2018554
2018-08-14,0.100911,0.134518,0.089866,0.133123,5552,2663614
2018-08-15,0.134134,0.14418,0.116074,0.138095,2217,2763097
2018-08-16,0.138249,0.143116,0.126303,0.127622,174,2553546
2018-08-17,0.127839,0.15518,0.127785,0.155117,741,3103684
2018-08-18,0.155737,0.157568,0.130719,0.144915,271,2899556
2018-08-19,0.14504,0.150341,0.133391,0.147529,1614,2951859
2018-08-20,0.147548,0.149185,0.131584,0.134599,851,2693146
2018-08-21,0.133962,0.138074,0.126801,0.129969,4579,2600506
2018-08-22,0.129937,0.142087,0.124234,0.129375,772,2588621
2018-08-23,0.129649,0.150173,0.129186,0.149691,3198,2995117
2018-08-24,0.149757,0.153093,0.130479,0.153058,651,3062486
2018-08-25,0.152841,0.153143,0.138906,0.139266,446,2786527
2018-08-26,0.139269,0.139269,0.116086,0.11678,1855,2336612
2018-08-27,0.116989,0.147748,0.116348,0.125505,780,2511188
2018-08-28,0.126019,0.127133,0.122773,0.126684,2458,2534778
2018-08-29,0.126656,0.142036,0.122808,0.140456,394,2810337
2018-08-30,0.140542,0.141475,0.116782,0.120609,581,2413225
2018-08-31,0.120646,0.120783,0.118125,0.120273,96,2406502
2018-09-01,0.133897,0.13775,0.125138,0.125138,789,2503844
2018-09-02,0.125154,0.12632,0.122787,0.124164,267,2484356
2018-09-03,0.124257,0.128969,0.115639,0.115714,1599,2320180
2018-09-04,0.115731,0.11667,0.110275,0.110925,952,2224156
2018-09-05,0.110843,0.111653,0.095872,0.101468,82,2034534
2018-09-06,0.101469,0.101469,0.089942,0.100983,699,2024809
2018-09-07,0.101137,0.101137,0.090172,0.095318,399,1911224
2018-09-08,0.09532,0.09683,0.084921,0.087285,1035,1750159
2018-09-09,0.086935,0.093591,0.079083,0.09104,1411,1825440
2018-09-10,0.091096,0.102063,0.087984,0.101848,737,2042153
2018-09-11,0.101992,0.114227,0.089832,0.096324,2097,1931400
2018-09-12,0.096316,0.096589,0.088846,0.095353,915,1911920
2018-09-13,0.095453,0.114506,0.095453,0.113654,2704,2278875
2018-09-14,0.113223,0.14664,0.106069,0.113735,2364,2280499
2018-09-15,0.11356,0.146578,0.112436,0.116009,1771,2326095
2018-09-16,0.116046,0.13963,0.110037,0.113872,1695,2283246
2018-09-17,0.113747,0.115648,0.103238,0.104556,865,2096451
2018-09-18,0.104542,0.111787,0.092116,0.111277,400,2231214
2018-09-19,0.111087,0.112828,0.106873,0.11171,63,2239896
2018-09-20,0.107377,0.108031,0.09989,0.107888,517,2163261
