time,Open,High,Low,close,volumeto,Market Cap
2018-10-10,0.000527,0.000528,0.000524,0.000527,64,
2018-10-11,0.000526,0.000565,0.000311,0.000497,33,
2018-10-12,0.000496,0.000503,0.000373,0.000399,41,
2018-10-13,0.000398,0.000438,0.000367,0.000367,98,
2018-10-14,0.000367,0.000432,0.000362,0.000427,38,
2018-10-15,0.000427,0.000583,0.000424,0.000462,24,
2018-10-16,0.000462,0.000468,0.000172,0.000391,46,
2018-10-17,0.000392,0.00059,0.000384,0.000587,2,
2018-10-18,0.000589,0.000619,0.000448,0.00061,242,
2018-10-19,0.00061,0.000614,0.000532,0.000612,127,468607
2018-10-20,0.000611,0.000619,0.000609,0.000618,128,472790
2018-10-21,0.000582,0.00059,0.000452,0.000584,2,446874
2018-10-22,0.000583,0.000648,0.000386,0.000645,13,494081
2018-10-23,0.000645,0.000649,0.000554,0.000573,50,438946
2018-10-24,0.000572,0.000652,0.00057,0.000648,9,496246
2018-10-25,0.000648,0.000648,0.000445,0.000446,,341773
2018-10-26,0.000446,0.000447,0.000403,0.000427,,326851
2018-10-27,0.000427,0.000429,0.000386,0.000388,,297613
2018-10-28,0.000388,0.000453,0.000385,0.000387,,296586
2018-10-29,0.000387,0.000408,0.000372,0.000375,,286934
2018-10-30,0.000374,0.000438,0.000373,0.000385,,294729
2018-10-31,0.000385,0.000483,0.000376,0.000483,,370288
2018-11-01,0.000483,0.000565,0.000483,0.000498,32,381734
2018-11-02,0.000498,0.000528,0.000412,0.000427,,327513
2018-11-03,0.000427,0.000494,0.000154,0.000494,72,378158
2018-11-04,0.000494,0.000494,0.00044,0.000471,68,360477
2018-11-05,0.00047,0.000575,0.000415,0.000442,37,338649
2018-11-06,0.000441,0.000523,0.000435,0.000523,,400257
2018-11-07,0.000524,0.000531,0.000459,0.000461,,358908
2018-11-08,0.000461,0.000694,0.000458,0.000679,17,528603
2018-11-09,0.000679,0.000681,0.000389,0.000432,,336295
2018-11-10,0.000432,0.000482,0.000394,0.000463,,360884
2018-11-11,0.000463,0.000513,0.00046,0.000513,,399754
2018-11-12,0.000515,0.000516,0.000378,0.000442,,344159
2018-11-13,0.000442,0.000448,0.000438,0.000446,,347047
2018-11-14,0.000444,0.000445,0.00033,0.000342,,266351
2018-11-15,0.000344,0.000452,0.000338,0.000451,10,352380
2018-11-16,0.000452,0.000453,0.000329,0.000334,,260560
2018-11-17,0.000335,0.000367,0.000331,0.000365,,285336
2018-11-18,0.000365,0.000376,0.000365,0.000375,,293216
2018-11-19,0.000375,0.000375,0.000271,0.000296,,231323
2018-11-20,0.000294,0.000301,0.000219,0.000222,,173366
2018-11-21,0.000222,0.000431,0.000221,0.000426,9,332445
2018-11-22,0.000425,0.000428,0.000229,0.000397,33,309665
2018-11-23,0.000393,0.000395,0.000239,0.000259,,202386
2018-11-24,0.000259,0.000266,0.000223,0.000228,,178266
