time,close,high,low,open,volumefrom,volumeto
2016-05-16,0.0001729,0.0002456,0.0001547,0.0002365,9214885.85,1593.25
2016-05-17,0.0003898,0.001042,0.0001722,0.0001722,69438082.72,27066.96
2016-05-18,0.0002725,0.0004633,0.0002271,0.0003906,30409532.53,8286.6
2016-05-19,0.0002081,0.0002789,0.0001771,0.0002656,4873345.6,1014.14
2016-05-20,0.0002255,0.0002653,0.0001813,0.0002078,3269326.66,737.23
2016-05-21,0.0002351,0.0002662,0.0001863,0.0002263,3309700.95,778.11
2016-05-22,0.0002594,0.0002594,0.0002154,0.000233,1582136.06,410.41
2016-05-23,0.0001863,0.0002485,0.0001863,0.0002618,2896178.86,539.56
2016-05-24,0.0001963,0.0002364,0.0001784,0.0001874,1858260.21,364.78
2016-05-25,0.0001574,0.0001979,0.0001169,0.0001979,2852395.01,448.97
2016-05-26,0.0001179,0.0001677,0.0001088,0.0001587,1275540.05,150.39
2016-05-27,0.0001138,0.0001564,9.955e-05,0.0001233,1508039.71,171.61
2016-05-28,9.436e-05,0.0001258,8.388e-05,0.0001258,3197817.07,301.75
2016-05-29,0.000129,0.0001445,8.773e-05,9.289e-05,1153516.51,148.8
2016-05-30,0.0001544,0.000181,0.0001224,0.0001331,1694222.32,261.59
2016-05-31,0.0001904,0.0001957,0.0001534,0.0001534,1713412.08,326.23
2016-06-01,0.0002902,0.0004514,0.0001935,0.0001935,14324205.27,4156.88
2016-06-02,0.0002632,0.0003115,0.0002202,0.00029,1324121.17,348.51
2016-06-03,0.0002835,0.0003175,0.0002665,0.0002778,2304452.4,653.31
2016-06-04,0.0001945,0.0002688,0.0001087,0.000286,10916327.42,2123.23
2016-06-05,0.0002357,0.0002415,0.0001955,0.0001955,1409419.3,332.2
2016-06-06,0.0002393,0.0002684,0.0002043,0.0002393,879531.88,210.47
2016-06-07,0.0002245,0.0002417,0.0002187,0.000236,119297.63,26.78
2016-06-08,0.0002032,0.0002206,0.0002032,0.0002264,218998.47,44.5
2016-06-09,0.0002011,0.0002011,0.0001839,0.0002011,547928.54,110.19
2016-06-10,0.0001791,0.0001965,0.0001676,0.0002023,266565.42,47.74
2016-06-11,0.0001775,0.0001893,0.0001716,0.0001834,168170.77,29.85
2016-06-12,0.0001733,0.0002,0.0001666,0.0002,592213.65,102.63
2016-06-13,0.000175,0.000182,0.000154,0.000182,832308.42,145.65
2016-06-14,0.0001713,0.0001713,0.0001439,0.0001713,573696.04,98.27
2016-06-15,0.0001658,0.0001865,0.000152,0.0001727,350484.38,58.11
2016-06-16,0.0001751,0.0001827,9.135e-05,0.0001827,5098786.08,892.8
2016-06-17,0.000119,0.0001711,0.0001116,0.0001711,972237.4,115.7
2016-06-18,0.0001357,0.0001432,0.0001206,0.0001206,598849.52,81.26
2016-06-19,0.0001979,0.0001979,0.0001446,0.000137,1323182.04,261.86
2016-06-20,0.0001468,0.0001835,0.0001468,0.0001908,572429.76,84.03
2016-06-21,0.0001335,0.0001468,0.0001335,0.0001335,101668.4,13.57
2016-06-22,0.000124,0.0001417,0.0001004,0.0001181,1929458.99,239.25
2016-06-23,0.0001242,0.0001366,0.000118,0.0001304,324094.3,40.25
2016-06-24,0.0001248,0.0001577,0.0001182,0.0001314,1108399.97,138.33
2016-06-25,0.000146,0.000146,0.0001261,0.0001261,241053.22,35.19
2016-06-26,0.0001251,0.0001376,0.0001251,0.0001376,714853.32,89.43
2016-06-27,0.0001289,0.0001418,0.0001289,0.0001289,1319660.3,170.1
2016-06-28,0.0001354,0.0001483,0.0001354,0.000129,420706.99,56.96
2016-06-29,0.0001337,0.00014,0.0001337,0.0001337,99090.34,13.25
2016-06-30,0.0001541,0.0001541,0.0001474,0.0001407,635999.69,98.01
2016-07-01,0.0001552,0.0001552,0.0001282,0.0001552,1712952.52,265.85
2016-07-02,0.0001536,0.0001606,0.0001536,0.0001606,9936.85,1.53
2016-07-03,0.0001323,0.0001522,0.0001257,0.0001456,1420864.04,187.98
2016-07-04,0.0001418,0.0001418,0.0001215,0.000135,427150.93,60.57
2016-07-05,0.0001526,0.0001659,0.0001327,0.0001394,7903903.55,1206.14
2016-07-06,0.0001816,0.0001816,0.0001547,0.0001547,1323529.16,240.35
2016-07-07,0.0001652,0.0001715,0.0001588,0.0001715,2560359.63,422.97
2016-07-08,0.0002055,0.000232,0.0001657,0.0001723,2852077.86,586.1
2016-07-09,0.0002347,0.0002347,0.0002021,0.0002021,730285.65,171.4
2016-07-10,0.0002265,0.0002653,0.00022,0.000233,503405.57,114.02
2016-07-11,0.0002263,0.0002846,0.0002263,0.0002263,5129692.79,1160.85
2016-07-12,0.000228,0.0002615,0.000228,0.0002347,234764.68,53.53
2016-07-13,0.000238,0.0002578,0.0002248,0.0002248,996615.15,237.19
2016-07-14,0.0002563,0.0002629,0.0002235,0.0002366,2207832.04,565.87
2016-07-15,0.0004118,0.0005978,0.000259,0.000259,10200785.45,4200.68
2016-07-16,0.0004823,0.000588,0.0003634,0.0004096,3342167.32,1611.93
2016-07-17,0.000514,0.0005614,0.0003855,0.0004937,2569913.56,1320.94
2016-07-18,0.0005497,0.0005966,0.0004559,0.0005095,1316748.25,723.82
2016-07-19,0.0006912,0.0007181,0.0005369,0.0005503,3508126.91,2424.82
2016-07-20,0.000784,0.0009302,0.000598,0.0006843,5851813.85,4587.82
2016-07-21,0.000771,0.001063,0.0006646,0.0007843,3649309.12,2813.62
2016-07-22,0.0006772,0.0008334,0.000612,0.0007553,3074468.98,2082.03
2016-07-23,0.0006027,0.0007076,0.0005896,0.0006814,1176204.6,708.9
2016-07-24,0.0004285,0.0006197,0.000356,0.0006065,1697389.74,727.33
2016-07-25,0.0006605,0.0007848,0.0004251,0.0004251,1462216.54,965.79
2016-07-26,0.0005497,0.0007722,0.0004515,0.0006609,862304.46,474.01
2016-07-27,0.0005433,0.0007134,0.0005105,0.0005498,204125.96,110.9
2016-07-28,0.0005887,0.000713,0.0004252,0.0005429,1373995.27,808.87
2016-07-29,0.0005899,0.0007144,0.0005309,0.0005899,165630.51,97.71
2016-07-30,0.0005893,0.0006678,0.0005893,0.0005893,119513.91,70.43
2016-07-31,0.0005348,0.0006778,0.0005037,0.0005597,330967.27,177.0
2016-08-01,0.0005949,0.0005949,0.0005524,0.000522,25887.14,15.4
2016-08-02,0.0004826,0.0004826,0.0004107,0.0005032,230868.2,111.42
2016-08-03,0.0004362,0.0005381,0.0004362,0.0005325,172389.8,75.2
2016-08-04,0.000461,0.0005359,0.0004437,0.0004437,57377.57,26.45
2016-08-05,0.0004597,0.0004597,0.0004482,0.0004597,57466.88,26.42
2016-08-06,0.0005278,0.0005806,0.0004222,0.0004692,1046129.22,552.15
2016-08-07,0.0005849,0.0005968,0.0004963,0.0005318,761358.96,445.32
2016-08-08,0.0005067,0.0005716,0.0005067,0.0005833,52469.12,26.59
2016-08-09,0.0005501,0.0005677,0.0005033,0.0005033,221240.01,121.7
2016-08-10,0.0005023,0.0005614,0.0005023,0.0005555,142926.32,71.79
2016-08-11,0.0004938,0.0005291,0.0004938,0.0004997,109231.76,53.94
2016-08-12,0.0004991,0.0005108,0.0004932,0.0004932,114570.57,57.18
2016-08-13,0.0005203,0.000532,0.0004969,0.0004969,160883.07,83.71
2016-08-14,0.0004837,0.0004951,0.0004723,0.0005065,463035.92,223.97
2016-08-15,0.0004876,0.0004932,0.0004706,0.0004819,197745.53,96.42
2016-08-16,0.0004758,0.0005106,0.0004758,0.000499,298737.38,142.14
2016-08-17,0.000475,0.0004922,0.000475,0.0004693,131022.87,62.24
2016-08-18,0.0004931,0.0005333,0.0004702,0.0004759,460984.75,227.31
2016-08-19,0.0004826,0.0004941,0.0004826,0.0004941,4542.09,2.19
2016-08-20,0.0004836,0.0004952,0.0004836,0.0004894,260972.6,126.21
2016-08-21,0.0004936,0.000511,0.0004819,0.0004819,219419.05,108.31
2016-08-22,0.0004993,0.0005287,0.00047,0.0004993,1049208.73,523.87
2016-08-23,0.0004435,0.000496,0.0004435,0.000496,495372.85,219.7
2016-08-24,0.0004347,0.0004405,0.0004347,0.0004405,80899.71,35.17
2016-08-25,0.0004335,0.0004392,0.0004335,0.0004335,93662.38,40.6
2016-08-26,0.0004229,0.0004345,0.0004229,0.0004345,32340.4,13.68
2016-08-27,0.0003821,0.0004164,0.0003821,0.0004164,153927.62,58.82
2016-08-28,0.0003967,0.0004025,0.0003795,0.0003852,24647.18,9.78
2016-08-29,0.000402,0.000402,0.0003675,0.0003962,229081.15,92.09
2016-08-30,0.0003464,0.000381,0.0003233,0.0004041,371920.66,128.83
2016-08-31,0.0005222,0.0005222,0.0003329,0.0003443,1950978.95,1018.8
2016-09-01,0.0003718,0.000532,0.0003718,0.0005205,419533.93,155.98
2016-09-02,0.0003509,0.0004085,0.0003164,0.0003739,778702.87,273.25
2016-09-03,0.0003653,0.0004312,0.0003354,0.0003653,952603.71,347.99
2016-09-04,0.0003779,0.0004328,0.0003535,0.0003718,147052.05,55.57
2016-09-05,0.0003877,0.0003998,0.0003816,0.0003756,700648.84,271.64
2016-09-06,0.0003846,0.0003968,0.0003846,0.0003907,50264.39,19.33
2016-09-07,0.0003802,0.0003802,0.0003741,0.0003863,46797.63,17.79
2016-09-08,0.0003753,0.0003816,0.0003753,0.0003879,25007.33,9.39
2016-09-09,0.0004362,0.0004362,0.0003614,0.0003739,733338.4,319.88
2016-09-10,0.0003747,0.0004184,0.0003497,0.0004372,1602773.73,600.56
2016-09-11,0.0004118,0.0004239,0.0003815,0.0003634,626251.48,257.89
2016-09-12,0.0004134,0.0004134,0.000383,0.0004134,175150.82,72.41
2016-09-13,0.0004078,0.0004078,0.0003773,0.0004139,218301.67,89.02
2016-09-14,0.0003779,0.0004084,0.0003779,0.0004084,208203.9,78.68
2016-09-15,0.0003831,0.0004014,0.0003709,0.000377,131845.07,50.51
2016-09-16,0.0004011,0.0004011,0.0004011,0.0003829,35642.75,14.3
2016-09-17,0.0003885,0.0003885,0.000346,0.0004007,476901.16,185.28
2016-09-18,0.0003603,0.0003664,0.0003603,0.0003908,12715.0,4.58
2016-09-19,0.0003659,0.0003659,0.0003598,0.0003598,14196.32,5.19
2016-09-20,0.0003899,0.0003899,0.0003229,0.0003655,633254.79,246.91
2016-09-21,0.0003822,0.000412,0.0003344,0.0003822,949113.0,362.75
2016-09-22,0.0003693,0.0003693,0.0003693,0.0003812,1000.0,0.3693
2016-09-23,0.0003618,0.0003738,0.0003135,0.0003738,525177.57,190.01
2016-09-24,0.0003555,0.0003616,0.0003314,0.0003616,17210.77,6.12
2016-09-25,0.0003128,0.0003368,0.0003128,0.0003549,253386.94,79.26
2016-09-26,0.0003154,0.0003154,0.0003154,0.0003154,0.0,0.0
2016-09-27,0.0003148,0.000333,0.0002846,0.0003148,1489057.25,468.76
2016-09-28,0.0003144,0.0003265,0.0003144,0.0003144,5019.72,1.58
2016-09-29,0.0002782,0.0003205,0.0002721,0.0003144,183025.61,50.92
2016-09-30,0.0002797,0.0003223,0.0002797,0.0002797,17564.58,4.91
2016-10-01,0.0003251,0.0003251,0.0002822,0.0002822,160077.42,52.04
2016-10-02,0.0002992,0.0003298,0.0002992,0.0003237,81213.66,24.3
2016-10-03,0.0003241,0.0003241,0.0002813,0.0002997,126871.14,41.12
2016-10-04,0.0002862,0.0002923,0.0002862,0.0003227,5852.29,1.67
2016-10-05,0.0002876,0.0003181,0.0002876,0.0002876,193929.52,55.77
2016-10-06,0.0002933,0.0002933,0.0002933,0.0002872,32222.22,9.45
2016-10-07,0.0002772,0.000308,0.0002526,0.0002957,432734.53,119.95
2016-10-08,0.0002965,0.0002965,0.0002779,0.0002779,140522.61,41.66
2016-10-09,0.0002586,0.0002956,0.0002525,0.0002956,188676.33,48.79
2016-10-10,0.0003827,0.0005185,0.0002716,0.0002593,3132688.34,1198.88
2016-10-11,0.0003522,0.0003971,0.0003522,0.0003971,250793.25,88.33
2016-10-12,0.0003752,0.0004198,0.0003434,0.0003498,682347.36,256.02
2016-10-13,0.0004195,0.0004195,0.0003686,0.000375,393896.77,165.24
2016-10-14,0.0004019,0.0004274,0.0004019,0.000421,271318.17,109.04
2016-10-15,0.0004332,0.0004587,0.0003886,0.0004013,699235.52,302.91
2016-10-16,0.0004289,0.0004289,0.0004289,0.0004353,30411.08,13.04
2016-10-17,0.0004334,0.0004334,0.000427,0.000427,3631.59,1.57
2016-10-18,0.0004511,0.0004511,0.0004193,0.000432,16117.05,7.27
2016-10-19,0.0004152,0.0004215,0.0004152,0.0004466,21496.27,8.93
2016-10-20,0.0003896,0.0004398,0.0003896,0.0004147,37000.0,14.42
2016-10-21,0.0004035,0.0004035,0.0003783,0.0003909,146140.42,58.97
2016-10-22,0.0003998,0.0004195,0.0003998,0.0004195,20822.49,8.32
2016-10-23,0.0004114,0.0004114,0.0003918,0.0003983,36894.07,15.18
2016-10-24,0.0003968,0.0004228,0.0003968,0.0004098,309465.53,122.8
2016-10-25,0.0003906,0.0004232,0.0003906,0.0003971,163211.67,63.75
2016-10-26,0.0003913,0.0004048,0.0003913,0.0004048,35310.0,13.82
2016-10-27,0.0004162,0.0004162,0.0003753,0.0003957,26920.0,11.2
2016-10-28,0.000597,0.000597,0.0003774,0.0004186,438190.62,261.6
2016-10-29,0.0004576,0.0004576,0.000429,0.000622,42780.41,19.58
2016-10-30,0.0004463,0.0004463,0.0004323,0.0004463,41365.93,18.46
2016-10-31,0.0004471,0.0004471,0.0004471,0.0004471,0.0,0.0
2016-11-01,0.0004361,0.0004433,0.0004361,0.0004651,12691.25,5.53
2016-11-02,0.0004181,0.0004548,0.0003521,0.0004401,395053.88,165.17
2016-11-03,0.000363,0.0004178,0.000363,0.0003904,20945.75,7.6
2016-11-04,0.0004002,0.0004002,0.000337,0.0003721,86634.0,34.67
2016-11-05,0.0004072,0.0004072,0.0003932,0.0004002,24762.92,10.08
2016-11-06,0.0003621,0.0004117,0.0003621,0.0004117,11089.48,4.02
2016-11-07,0.0004091,0.0004091,0.0004091,0.0003598,2168.23,0.887
2016-11-08,0.0004265,0.0004265,0.0004265,0.0004123,100917.12,43.04
2016-11-09,0.0003535,0.0003535,0.0003535,0.0004329,1760.38,0.6223
