time,close,high,low,open,volumefrom,volumeto
2018-05-11,0.0992,0.1002,0.09272,0.09895,2133600.02,211653.12
2018-05-12,0.09471,0.105,0.08996,0.09997,5763849.28,545894.17
2018-05-13,0.1084,0.1097,0.09694,0.0972,6078614.94,658921.86
2018-05-14,0.1446,0.1561,0.1048,0.108,13399228.65,1937528.46
2018-05-15,0.1362,0.1514,0.1272,0.1414,8276201.93,1127218.7
2018-05-16,0.1328,0.1377,0.1218,0.134,5382203.81,714756.67
2018-05-17,0.134,0.1404,0.1252,0.1284,4993821.63,669172.1
2018-05-18,0.1311,0.1513,0.1263,0.1369,5835452.08,765027.77
2018-05-19,0.126,0.1441,0.1244,0.1312,6595382.19,831018.16
2018-05-20,0.1287,0.1348,0.1226,0.1303,4035105.02,519318.02
2018-05-21,0.1229,0.127,0.1212,0.127,5427447.96,667033.35
2018-05-22,0.1161,0.1199,0.1161,0.1167,5682708.81,659762.49
2018-05-23,0.096,0.1091,0.09435,0.1091,5330355.19,511714.1
2018-05-24,0.1033,0.1067,0.09542,0.09701,5130412.9,529971.65
2018-05-25,0.1093,0.1177,0.09277,0.1018,7676151.04,839003.31
2018-05-26,0.1078,0.1112,0.1044,0.1075,4096587.13,441612.09
2018-05-27,0.109,0.1101,0.1021,0.1079,5491467.99,598570.01
2018-05-28,0.09561,0.1054,0.09561,0.1054,4810301.0,459912.88
2018-05-29,0.1125,0.1182,0.09822,0.1004,7389067.82,831270.13
2018-05-30,0.1096,0.1168,0.1048,0.1113,3877811.01,425008.09
2018-05-31,0.1098,0.1131,0.1035,0.1113,4824053.23,529681.04
2018-06-01,0.1142,0.1154,0.1085,0.1102,5760401.66,657837.87
2018-06-02,0.1109,0.1161,0.1085,0.1159,4767956.91,528766.42
2018-06-03,0.1144,0.1146,0.109,0.112,5094850.28,582850.87
2018-06-04,0.111,0.1146,0.105,0.1112,5469682.46,607134.75
2018-06-05,0.1138,0.118,0.1079,0.1129,5825423.31,662933.17
2018-06-06,0.1129,0.1171,0.1093,0.1142,2234469.46,252271.6
2018-06-07,0.1119,0.1147,0.1094,0.1135,4109547.65,459858.38
2018-06-08,0.1088,0.1109,0.1055,0.1108,4100135.46,446094.74
2018-06-09,0.105,0.1071,0.1032,0.1071,4045044.35,424729.66
2018-06-10,0.08413,0.09653,0.08406,0.0947,3825820.78,321866.3
2018-06-11,0.08864,0.09029,0.08079,0.08554,4297193.92,380903.27
2018-06-12,0.07691,0.08485,0.0758,0.08439,6397902.74,492062.7
