time,close,high,low,open,volumefrom,volumeto
2018-10-09,0.3445,5.97,0.05969,3.91,705241.77,242955.79
2018-10-10,0.3225,0.352,0.2915,0.3419,446891.4,144122.48
2018-10-11,0.329,0.329,0.2794,0.3043,531300.49,174797.86
2018-10-12,0.3566,0.405,0.3131,0.3312,419218.12,149493.18
2018-10-13,0.3753,0.3886,0.3385,0.3575,320060.69,120118.78
2018-10-14,0.3691,0.376,0.3422,0.376,515760.63,190367.25
2018-10-15,0.3491,0.3888,0.324,0.3888,464167.61,162040.91
2018-10-16,0.6332,0.6332,0.3161,0.3476,881724.98,558308.26
2018-10-17,0.973,1.05,0.6239,0.6324,1066043.21,1037260.04
2018-10-18,1.3,1.67,0.9603,0.9603,1268625.73,1649213.45
2018-10-19,1.23,1.36,1.1,1.29,502976.02,618660.5
2018-10-20,1.03,1.27,0.7789,1.23,731876.9,753833.21
2018-10-21,0.9374,1.06,0.8365,1.03,404072.57,378777.63
2018-10-22,0.6963,0.9336,0.6367,0.9336,710326.42,494600.29
2018-10-23,0.6509,0.8638,0.647,0.6949,452958.16,294830.47
2018-10-24,0.4682,0.693,0.2993,0.6515,1767927.68,827743.74
2018-10-25,0.4261,0.4779,0.3893,0.4673,541347.92,230668.35
2018-10-26,0.4778,0.5243,0.4257,0.4257,516771.04,246913.2
2018-10-27,0.4785,0.5018,0.453,0.4788,379356.91,181522.28
2018-10-28,0.4437,0.4788,0.4236,0.4786,365896.5,162348.28
2018-10-29,0.4136,0.4514,0.3791,0.4329,348320.52,144065.37
2018-10-30,0.4173,0.4259,0.395,0.4133,418678.07,174714.36
2018-10-31,0.3905,0.4254,0.3873,0.4195,328643.0,128335.09
2018-11-01,0.3822,0.4388,0.313,0.3929,695487.83,265815.45
2018-11-02,0.369,0.4155,0.3457,0.383,573324.32,211556.67
2018-11-03,0.3444,0.3679,0.3225,0.3679,413138.14,142284.78
2018-11-04,0.3356,0.3557,0.3241,0.3494,666778.71,223770.94
2018-11-05,0.3207,0.3481,0.3091,0.3339,402945.35,129224.57
2018-11-06,0.3229,0.3229,0.3229,0.3229,2338.23,755.01
2018-11-07,0.3254,0.3254,0.3254,0.3254,0.0,0.0
2018-11-08,0.3212,0.3212,0.3212,0.3212,0.0,0.0
2018-11-09,0.3178,0.3178,0.3178,0.3178,0.0,0.0
2018-11-10,0.3187,0.3187,0.3187,0.3187,0.0,0.0
2018-11-11,0.3193,0.3193,0.3193,0.3193,0.0,0.0
2018-11-12,0.3177,0.3177,0.3177,0.3177,0.0,0.0
2018-11-13,0.3159,0.3159,0.3159,0.3159,0.0,0.0
2018-11-14,0.2861,0.2861,0.2861,0.2861,0.0,0.0
