time,close,high,low,open,volumefrom,volumeto
2018-06-07,0.07556,0.544,0.07326,0.544,74707.94,5644.93
2018-06-08,0.06781,0.08424,0.06781,0.07494,57269.83,3883.47
2018-06-09,0.056,0.07714,0.05557,0.06711,54079.65,3028.46
2018-06-10,0.06029,0.06066,0.04952,0.04952,44981.89,2711.96
2018-06-11,0.05609,0.06103,0.05349,0.06103,48647.47,2728.64
2018-06-12,0.0493,0.05277,0.04893,0.05222,1815950.44,89526.36
2018-06-13,0.04358,0.04925,0.04201,0.04749,5680094.4,247538.51
2018-06-14,0.04808,0.05214,0.04626,0.04756,5646157.65,271467.26
2018-06-15,0.04495,0.04782,0.04353,0.04495,3898045.42,175217.14
2018-06-16,0.04679,0.04679,0.04425,0.04584,226454.08,10595.79
2018-06-17,0.0452,0.04714,0.04371,0.04674,391249.5,17684.48
2018-06-18,0.04379,0.04824,0.04379,0.0471,370134.6,16208.19
2018-06-19,0.04598,0.04846,0.04173,0.04555,322992.5,14851.2
2018-06-20,0.04595,0.04595,0.04321,0.04579,167382.62,7691.23
2018-06-21,0.04311,0.04564,0.04133,0.04506,714300.0,30793.47
2018-06-22,0.03189,0.0378,0.0318,0.03707,462485.0,14748.65
2018-06-23,0.03324,0.03556,0.03267,0.03272,317900.0,10567.0
2018-06-24,0.03155,0.03487,0.031,0.03196,357900.0,11291.75
2018-06-25,0.03166,0.03345,0.02666,0.0318,463563.77,14676.43
2018-06-26,0.02814,0.03261,0.02792,0.02964,458300.0,12896.56
2018-06-27,0.02832,0.0311,0.02827,0.02902,383100.0,10849.39
2018-06-28,0.02802,0.02983,0.02697,0.02697,15665023.01,438933.94
2018-06-29,0.02921,0.03103,0.02873,0.02899,30435432.74,889018.99
2018-06-30,0.03147,0.03174,0.03033,0.03042,27412098.61,862658.74
2018-07-01,0.03123,0.0324,0.03078,0.03137,12150833.37,379470.53
2018-07-02,0.03527,0.03798,0.03284,0.03293,1530427.96,53978.19
2018-07-03,0.03321,0.03681,0.03178,0.03418,51139340.52,1698337.5
2018-07-04,0.03233,0.03532,0.03172,0.03359,12885391.31,416584.7
2018-07-05,0.0339,0.03446,0.03221,0.03235,23385105.1,792755.06
2018-07-06,0.0329,0.03407,0.03285,0.03407,24039345.87,790894.48
2018-07-07,0.03342,0.03493,0.03318,0.03401,26757208.0,894225.89
2018-07-08,0.03306,0.03544,0.03301,0.0335,23593581.4,780003.8
2018-07-09,0.03138,0.03263,0.03054,0.03206,25059558.61,786368.95
2018-07-10,0.02964,0.03102,0.02879,0.0288,13913174.84,412386.5
2018-07-11,0.02941,0.03182,0.0291,0.03052,12084385.42,355401.78
2018-07-12,0.02853,0.0312,0.0243,0.0284,19162609.76,546709.26
2018-07-13,0.02655,0.02906,0.02616,0.02863,3492200.57,92717.93
2018-07-14,0.02707,0.03054,0.02663,0.02663,14103578.7,381783.88
2018-07-15,0.02828,0.02958,0.02743,0.02806,14102633.43,398822.47
2018-07-16,0.02896,0.03141,0.02873,0.03011,16268096.03,471124.06
2018-07-17,0.03024,0.03169,0.02915,0.03024,23674772.59,715925.12
2018-07-18,0.0273,0.02956,0.02716,0.02903,22227944.09,606822.87
2018-07-19,0.02601,0.02859,0.02582,0.02671,25426280.88,661337.57
2018-07-20,0.02258,0.025,0.02253,0.02491,14060141.16,317477.99
2018-07-21,0.02328,0.02439,0.02135,0.02319,26101123.51,607634.16
2018-07-22,0.02426,0.02462,0.02027,0.02311,33880331.06,821936.83
2018-07-23,0.02158,0.02383,0.02154,0.02383,24023389.91,518424.75
2018-07-24,0.01961,0.02316,0.01899,0.02301,25422753.85,498540.2
2018-07-25,0.01956,0.01994,0.01649,0.01923,27758885.45,542963.8
2018-07-26,0.01977,0.01996,0.01853,0.01913,24934086.47,492946.89
2018-07-27,0.01869,0.02015,0.01865,0.0201,17244578.55,322301.17
2018-07-28,0.01893,0.01902,0.01837,0.01865,15201202.21,287758.76
2018-07-29,0.01967,0.02298,0.01846,0.01883,10439446.95,205343.92
2018-07-30,0.0194,0.02027,0.01867,0.01927,9045546.31,175483.6
2018-07-31,0.01996,0.02039,0.01819,0.01836,6907365.31,137871.01
2018-08-01,0.01919,0.01986,0.01873,0.0194,4698382.57,90161.96
2018-08-02,0.01919,0.01951,0.01836,0.01877,4179349.53,80201.72
2018-08-03,0.02681,0.02777,0.01963,0.01963,19913550.2,533882.28
2018-08-04,0.02913,0.03263,0.02588,0.02608,15578476.08,453801.01
2018-08-05,0.03193,0.03953,0.02907,0.02927,11677668.62,372867.96
2018-08-06,0.03074,0.03641,0.02989,0.03163,7701214.99,236735.35
2018-08-07,0.03821,0.04101,0.0285,0.02869,7090442.43,270925.81
2018-08-08,0.03239,0.03961,0.02916,0.03595,14792935.61,479143.18
2018-08-09,0.03635,0.0405,0.03235,0.03312,4716614.06,171448.92
2018-08-10,0.02769,0.03316,0.02769,0.03316,1302523.53,36066.88
2018-08-11,0.02347,0.02735,0.02261,0.02655,2109097.99,49500.53
2018-08-12,0.02463,0.02507,0.02266,0.02348,1051426.36,25896.63
