time,close,high,low,open,volumefrom,volumeto
2018-01-05,0.764,0.8163,0.6809,0.7157,96435.39,73676.64
2018-01-06,1.14,1.51,0.7105,0.7951,509901.35,581287.54
2018-01-07,1.18,1.51,1.01,1.26,251977.06,297332.93
2018-01-08,1.24,1.48,0.9827,1.2,450980.99,559216.43
2018-01-09,1.39,1.48,1.16,1.34,1971679.32,2740634.25
2018-01-10,1.15,1.36,0.9882,1.35,1898812.38,2183634.24
2018-01-11,1.13,1.21,0.8686,1.05,2467976.09,2788812.98
2018-01-12,1.02,1.32,0.8314,1.26,3145096.45,3207998.38
2018-01-13,0.8767,1.14,0.7861,1.12,1670223.74,1464285.15
2018-01-14,0.7742,0.9001,0.6008,0.8606,1832438.23,1418673.68
2018-01-15,0.6248,0.758,0.5487,0.723,1224601.06,765130.74
2018-01-16,0.4507,0.5521,0.3776,0.5132,2065516.28,930928.19
2018-01-17,0.492,0.538,0.4192,0.4397,1401727.93,689650.14
2018-01-18,0.5952,0.6992,0.4723,0.4864,4409376.29,2624460.77
2018-01-19,0.6308,0.6955,0.5478,0.6103,4038241.24,2547322.57
2018-01-20,0.701,0.7764,0.661,0.6996,1827837.76,1281314.27
2018-01-21,0.5718,0.666,0.5297,0.6392,2946117.46,1684589.96
2018-01-22,0.4193,0.563,0.3827,0.5399,6748845.58,2829790.95
2018-01-23,0.4349,0.481,0.3806,0.4148,9306294.01,4047307.26
2018-01-24,0.5328,0.5666,0.4163,0.4691,7705282.32,4105374.42
2018-01-25,0.6249,0.6619,0.4918,0.525,7658851.75,4786016.46
2018-01-26,0.6311,0.6538,0.5471,0.6262,5462898.84,3447635.46
2018-01-27,0.6026,0.672,0.5742,0.6674,5554352.22,3347052.65
2018-01-28,0.5929,0.6857,0.5588,0.6691,5978970.73,3544931.75
2018-01-29,0.5416,0.5826,0.5296,0.5633,5747143.67,3112653.01
2018-01-30,0.4722,0.5049,0.4352,0.4935,5622514.35,2654951.28
2018-01-31,0.4883,0.5229,0.4653,0.4933,8932334.41,4361658.89
2018-02-01,0.4226,0.4671,0.3622,0.4505,7922263.61,3347948.6
2018-02-02,0.3874,0.4058,0.3279,0.3785,5560313.15,2154065.31
2018-02-03,0.4112,0.4345,0.4012,0.41,7727203.18,3177425.95
2018-02-04,0.3398,0.363,0.3358,0.3498,8156179.05,2771469.64
2018-02-05,0.2848,0.3013,0.2788,0.2871,7816181.38,2226048.46
2018-02-06,0.3367,0.341,0.3161,0.3204,6717190.01,2261677.88
2018-02-07,0.3193,0.3297,0.3064,0.3224,8815727.51,2814861.79
2018-02-08,0.3992,0.4038,0.341,0.3497,4819328.91,1923876.1
2018-02-09,0.454,0.4648,0.3967,0.4311,4656931.02,2114246.68
2018-02-10,0.3991,0.4666,0.3714,0.4399,3457751.27,1379988.53
2018-02-11,0.3729,0.387,0.3596,0.3815,2880076.21,1073980.42
2018-02-12,0.3648,0.4016,0.3604,0.397,2720806.33,992550.15
2018-02-13,0.3614,0.3748,0.3546,0.3549,3037589.82,1097784.96
2018-02-14,0.384,0.4024,0.3718,0.3959,2448684.18,940294.73
2018-02-15,0.4312,0.4339,0.3854,0.3869,2160077.03,931425.22
2018-02-16,0.4182,0.4586,0.3855,0.4361,2356762.97,985598.27
2018-02-17,0.487,0.501,0.4286,0.437,3092480.13,1506037.82
2018-02-18,0.4543,0.4973,0.4229,0.4568,2706207.42,1229430.03
2018-02-19,0.515,0.5231,0.4467,0.4667,3108340.28,1600795.24
2018-02-20,0.4635,0.4896,0.4509,0.4845,2631391.42,1219649.92
2018-02-21,0.4145,0.4435,0.41,0.4411,2283756.26,946616.97
2018-02-22,0.3865,0.4068,0.3704,0.3965,2171543.0,839301.37
2018-02-23,0.3933,0.4134,0.3719,0.4126,2415438.86,949992.1
2018-02-24,0.366,0.3883,0.3581,0.3845,1856819.82,679596.05
2018-02-25,0.3512,0.3704,0.347,0.369,2000726.16,702655.03
2018-02-26,0.391,0.3952,0.3491,0.3622,1686748.18,659518.54
2018-02-27,0.3919,0.3967,0.3772,0.3931,1924817.26,754335.88
2018-02-28,0.3658,0.4172,0.3577,0.3822,2100411.07,768330.37
2018-03-01,0.3818,0.3871,0.3609,0.3737,2144278.2,818685.42
2018-03-02,0.3705,0.3812,0.345,0.3754,2174107.23,805506.73
2018-03-03,0.358,0.3816,0.3552,0.3702,1908314.42,683176.56
2018-03-04,0.3505,0.3699,0.3369,0.3612,2048424.78,717972.89
2018-03-05,0.3486,0.3532,0.3354,0.3442,1984856.21,691920.87
2018-03-06,0.2984,0.3349,0.295,0.3347,2220471.55,662588.71
2018-03-07,0.2525,0.2775,0.2485,0.2747,2684179.76,677755.39
2018-03-08,0.2147,0.2425,0.2106,0.236,2585076.04,555015.83
2018-03-09,0.2337,0.2416,0.2046,0.2237,2800388.4,654450.77
