time,close,high,low,open,volumefrom,volumeto
2018-05-04,0.06015,0.06642,0.06015,0.06485,24200.0,1455.63
2018-05-05,0.06965,0.07063,0.06116,0.06263,270300.0,18826.4
2018-05-06,0.06481,0.07303,0.06386,0.06742,109700.0,7109.66
2018-05-07,0.07524,0.07524,0.06132,0.0617,112200.0,8441.93
2018-05-08,0.07523,0.08196,0.06139,0.07478,591600.0,44506.07
2018-05-09,0.0864,0.08933,0.06942,0.07558,314931.22,27210.06
2018-05-10,0.08032,0.08322,0.07294,0.08322,314512.23,25261.62
2018-05-11,0.07246,0.07524,0.06107,0.07524,207725.89,15051.82
2018-05-12,0.07069,0.07308,0.06426,0.07308,61501.48,4347.54
2018-05-13,0.0671,0.07541,0.06199,0.07541,333895.73,22404.4
2018-05-14,0.06641,0.06692,0.05812,0.06692,196744.82,13065.82
2018-05-15,0.06047,0.07388,0.05751,0.06442,200004.73,12094.29
2018-05-16,0.07484,0.0788,0.05724,0.06057,409284.51,30630.85
2018-05-17,0.06403,0.07386,0.06356,0.07078,229526.43,14696.58
2018-05-18,0.06173,0.07019,0.05549,0.06644,277637.1,17138.54
2018-05-19,0.06118,0.06264,0.0577,0.06195,107350.08,6567.68
2018-05-20,0.06401,0.06401,0.0615,0.06286,56601.56,3623.07
2018-05-21,0.0618,0.0634,0.05769,0.06236,97967.77,6054.41
2018-05-22,0.05261,0.05896,0.05191,0.05684,225912.98,11885.28
2018-05-23,0.05303,0.05308,0.0468,0.04737,311030.9,16493.97
2018-05-24,0.05664,0.05664,0.0476,0.05538,352649.84,19974.09
2018-05-25,0.05263,0.05497,0.04912,0.05497,89425.2,4706.45
2018-05-26,0.05149,0.05506,0.04891,0.05272,218962.78,11274.39
2018-05-27,0.04842,0.0507,0.04756,0.05007,205763.34,9963.06
2018-05-28,0.04142,0.04557,0.0405,0.04352,383161.7,15870.56
2018-05-29,0.04442,0.04714,0.04442,0.04584,50860.54,2259.23
2018-05-30,0.04479,0.04624,0.04212,0.04368,105345.0,4718.4
2018-05-31,0.04589,0.04785,0.04502,0.04641,28520.9,1308.82
2018-06-01,0.044,0.04765,0.044,0.04603,7700.0,338.8
2018-06-02,0.04423,0.04825,0.04423,0.04488,62600.0,2768.8
2018-06-03,0.04098,0.04822,0.04098,0.04637,54200.0,2221.12
2018-06-04,0.03684,0.03962,0.03684,0.03914,33200.0,1223.09
2018-06-05,0.03862,0.04033,0.03789,0.03789,10500.0,405.51
2018-06-06,0.0388,0.04002,0.03747,0.0385,21500.0,834.2
2018-06-07,0.0405,0.044,0.03778,0.03868,91200.0,3693.6
2018-06-08,0.03861,0.04287,0.03849,0.04017,32500.0,1254.83
2018-06-09,0.04029,0.04029,0.03821,0.03821,4600.0,185.33
2018-06-10,0.03243,0.03563,0.03243,0.03563,39100.0,1268.01
2018-06-11,0.03267,0.03288,0.03182,0.03283,71700.0,2342.44
2018-06-12,0.03279,0.03363,0.03041,0.03041,38400.0,1259.14
2018-06-13,0.03358,0.03529,0.03091,0.03158,70000.0,2350.6
2018-06-14,0.04642,0.05089,0.03389,0.03665,535300.0,24848.63
2018-06-15,0.04719,0.05046,0.03851,0.04353,919700.0,43400.64
2018-06-16,0.0448,0.04813,0.0448,0.04813,52900.0,2369.92
2018-06-17,0.04426,0.04669,0.04327,0.04476,100100.0,4430.43
2018-06-18,0.03893,0.04653,0.03893,0.04612,97700.0,3803.46
2018-06-19,0.04927,0.05568,0.04049,0.04049,77400.0,3813.5
2018-06-20,0.04584,0.05292,0.03973,0.04906,175900.0,8063.26
2018-06-21,0.04269,0.051,0.03786,0.04495,190400.0,8128.18
2018-06-22,0.0433,0.04622,0.0366,0.03753,126500.0,5477.45
2018-06-23,0.04234,0.04505,0.04159,0.04443,73300.0,3103.52
2018-06-24,0.03783,0.04097,0.03596,0.04065,138400.0,5235.67
2018-06-25,0.04134,0.04515,0.03634,0.03813,97800.0,4043.05
2018-06-26,0.0372,0.04124,0.0354,0.03871,143139.19,5324.78
2018-06-27,0.03905,0.04091,0.03817,0.03826,66781.46,2607.82
2018-06-28,0.03862,0.03879,0.03686,0.03719,11000.0,424.82
2018-06-29,0.03974,0.04026,0.03839,0.03996,49800.0,1979.05
2018-06-30,0.0404,0.04298,0.03936,0.0414,72100.0,2912.84
2018-07-01,0.04027,0.04063,0.03986,0.04027,3200.0,128.86
2018-07-02,0.04189,0.04246,0.03903,0.04246,54800.0,2295.57
2018-07-03,0.04125,0.04125,0.04061,0.04061,300.0,12.38
2018-07-04,0.04172,0.04172,0.04055,0.04172,3800.0,158.54
2018-07-05,0.04905,0.05611,0.03998,0.04175,610400.0,29940.12
2018-07-06,0.0492,0.05061,0.04638,0.0493,333330.25,16399.85
2018-07-07,0.05203,0.05358,0.04878,0.05086,47700.0,2481.83
2018-07-08,0.04915,0.05207,0.04799,0.05207,101700.0,4998.56
2018-07-09,0.04715,0.05342,0.04658,0.04767,122621.6,5781.61
2018-07-10,0.04465,0.05015,0.04327,0.04327,104064.31,4646.47
2018-07-11,0.0532,0.06113,0.04541,0.04598,376487.0,20029.11
2018-07-12,0.04693,0.05145,0.04693,0.05145,62634.98,2939.46
2018-07-13,0.04895,0.05155,0.04709,0.04709,27755.2,1358.62
2018-07-14,0.04823,0.0491,0.04663,0.0491,27000.0,1302.21
2018-07-15,0.05189,0.05189,0.04914,0.05,94205.63,4888.33
2018-07-16,0.06214,0.06444,0.05276,0.05525,223998.64,13919.28
2018-07-17,0.06692,0.06692,0.06133,0.06478,340129.27,22761.45
2018-07-18,0.06481,0.06706,0.06093,0.06424,724828.69,46976.15
2018-07-19,0.07161,0.07409,0.06172,0.06341,1047788.13,75032.11
2018-07-20,0.06522,0.06935,0.06293,0.06858,578195.46,37709.91
2018-07-21,0.05929,0.06943,0.05735,0.06699,444025.0,26326.24
2018-07-22,0.06682,0.07066,0.05615,0.05885,714141.06,47718.91
2018-07-23,0.06385,0.0683,0.06218,0.06565,502450.0,32081.43
2018-07-24,0.06578,0.07192,0.06473,0.06808,797216.25,52440.88
2018-07-25,0.06598,0.06975,0.06367,0.06466,483033.98,31870.58
2018-07-26,0.06288,0.0693,0.06284,0.06468,545120.57,34277.18
2018-07-27,0.06524,0.06637,0.06176,0.06392,530348.36,34599.93
2018-07-28,0.06555,0.06738,0.06457,0.06508,323207.0,21186.22
2018-07-29,0.06592,0.06657,0.06443,0.06522,313052.66,20636.43
2018-07-30,0.06419,0.06565,0.06346,0.06456,314456.57,20184.97
2018-07-31,0.06009,0.06264,0.05676,0.06074,400600.0,24072.05
2018-08-01,0.05924,0.0629,0.05601,0.0584,347300.66,20574.09
2018-08-02,0.0585,0.06154,0.05612,0.05797,379436.7,22197.05
2018-08-03,0.05642,0.06093,0.05642,0.05947,383271.0,21624.15
2018-08-04,0.05412,0.05847,0.05404,0.05497,172036.35,9310.61
2018-08-05,0.05372,0.05593,0.05335,0.05437,201953.04,10848.92
2018-08-06,0.05337,0.05665,0.05321,0.05321,137289.49,7327.14
2018-08-07,0.05098,0.05253,0.04894,0.04981,337900.76,17226.18
2018-08-08,0.04758,0.04907,0.04612,0.04797,534341.93,25423.99
2018-08-09,0.04798,0.0498,0.04726,0.04864,333400.0,15996.53
2018-08-10,0.03727,0.04377,0.03647,0.04377,409066.68,15245.92
2018-08-11,0.03743,0.04624,0.03552,0.03714,462470.19,17310.26
2018-08-12,0.03787,0.04083,0.03573,0.03745,329900.0,12493.31
2018-08-13,0.03576,0.03644,0.03252,0.0338,554862.56,19841.89
2018-08-14,0.03384,0.03849,0.03376,0.03504,618064.48,20915.3
2018-08-15,0.03389,0.03881,0.03271,0.0342,442162.35,14984.88
2018-08-16,0.03178,0.03605,0.03178,0.03456,364987.5,11599.3
2018-08-17,0.03811,0.04243,0.03452,0.03519,407000.0,15510.77
2018-08-18,0.03479,0.03703,0.03102,0.03538,588400.0,20470.44
2018-08-19,0.03368,0.03553,0.0329,0.03536,350793.1,11814.71
2018-08-20,0.03041,0.03244,0.02938,0.03044,305175.0,9280.37
2018-08-21,0.03084,0.03244,0.02977,0.03157,341205.21,10522.77
2018-08-22,0.02979,0.03025,0.02888,0.02966,314927.9,9381.7
2018-08-23,0.02998,0.0323,0.02973,0.03026,166633.83,4995.68
2018-08-24,0.02909,0.0316,0.02839,0.03058,159600.0,4642.76
2018-08-25,0.02942,0.02987,0.02806,0.0287,138525.31,4075.41
2018-08-26,0.02984,0.03119,0.02812,0.02908,253550.0,7565.93
2018-08-27,0.02969,0.03197,0.02918,0.03134,392929.93,11666.09
2018-08-28,0.02964,0.03162,0.02896,0.03047,316330.48,9376.04
2018-08-29,0.02713,0.03019,0.02561,0.02895,304400.0,8258.37
2018-08-30,0.02697,0.02844,0.02626,0.02671,338650.0,9133.39
2018-08-31,0.03456,0.03625,0.02634,0.02673,644030.3,22257.69
2018-09-01,0.03503,0.0381,0.03411,0.03624,428150.0,14998.09
2018-09-02,0.03295,0.03829,0.03281,0.03499,496100.0,16346.5
2018-09-03,0.03239,0.03367,0.03083,0.03228,608100.0,19696.36
2018-09-04,0.03448,0.03608,0.03075,0.03197,429600.0,14812.61
2018-09-05,0.02566,0.02885,0.02554,0.0276,558600.0,14333.68
2018-09-06,0.02304,0.02713,0.02229,0.0258,1120010.0,25805.03
2018-09-07,0.02031,0.02472,0.01906,0.0216,1223450.0,24848.27
2018-09-08,0.01897,0.02042,0.01834,0.01858,1056700.0,20045.6
2018-09-09,0.01821,0.02007,0.01772,0.01889,843136.0,15353.51
2018-09-10,0.01936,0.01952,0.01695,0.01826,535943.89,10375.87
2018-09-11,0.0174,0.01835,0.0172,0.01824,440577.63,7666.05
2018-09-12,0.01801,0.01812,0.017,0.01717,463939.15,8355.54
2018-09-13,0.01792,0.02085,0.01751,0.02079,486024.0,8709.55
2018-09-14,0.01784,0.01861,0.01721,0.01771,298869.11,5331.82
2018-09-15,0.01959,0.02012,0.01815,0.01893,271300.0,5314.77
2018-09-16,0.02144,0.02159,0.01825,0.01946,370527.17,7944.1
2018-09-17,0.01717,0.01956,0.01606,0.01909,295650.0,5076.31
2018-09-18,0.0169,0.0183,0.01678,0.01828,2104080.36,35558.96
2018-09-19,0.01605,0.01712,0.01594,0.01701,2171136.0,34846.73
2018-09-20,0.01569,0.01789,0.01472,0.01719,2589675.11,40632.0
2018-09-21,0.01863,0.02048,0.01627,0.01729,2343741.1,43663.9
2018-09-22,0.01842,0.01876,0.01657,0.01811,2244827.95,41349.73
2018-09-23,0.01851,0.01873,0.01741,0.01856,1807425.0,33455.44
2018-09-24,0.01741,0.0175,0.01671,0.01725,1380450.0,24033.63
2018-09-25,0.01688,0.01729,0.01642,0.01662,2232200.0,37679.54
2018-09-26,0.01669,0.01722,0.01574,0.01649,2268300.0,37857.93
2018-09-27,0.01775,0.01837,0.01663,0.01757,2315600.0,41101.9
2018-09-28,0.01704,0.01737,0.01668,0.01717,2269225.07,38667.6
2018-09-29,0.0173,0.01802,0.01677,0.01779,2195400.0,37980.42
2018-09-30,0.01679,0.01768,0.01656,0.0174,2144000.0,35997.76
2018-10-01,0.01651,0.01759,0.01632,0.01646,2382000.0,39326.82
2018-10-02,0.01648,0.01711,0.01591,0.01612,2309800.0,38065.5
2018-10-03,0.01575,0.01656,0.01573,0.01608,2293600.0,36124.2
2018-10-04,0.01599,0.01621,0.01574,0.01588,2199900.0,35176.4
2018-10-05,0.01652,0.01668,0.01618,0.01643,2279100.0,37650.73
2018-10-06,0.01518,0.01633,0.01494,0.01628,2525700.0,38340.13
2018-10-07,0.01539,0.01595,0.01512,0.01525,2654800.0,40857.37
2018-10-08,0.01605,0.01686,0.01539,0.01564,2447175.0,39277.16
2018-10-09,0.01583,0.01677,0.01486,0.01579,2482200.0,39293.23
2018-10-10,0.0153,0.01568,0.01491,0.01568,2379200.0,36401.76
2018-10-11,0.01355,0.01361,0.01247,0.01285,2609682.34,35361.2
2018-10-12,0.0127,0.01399,0.01262,0.01399,2727359.66,34637.47
2018-10-13,0.01217,0.013,0.01171,0.01292,2738966.19,33333.22
2018-10-14,0.01226,0.0124,0.01162,0.01189,3121106.19,38264.76
2018-10-15,0.01343,0.0136,0.01235,0.01326,2877766.42,38648.4
2018-10-16,0.01268,0.0153,0.01257,0.01339,2800624.05,35511.91
2018-10-17,0.01343,0.01393,0.0125,0.01258,2751570.32,36953.59
2018-10-18,0.01229,0.01318,0.01227,0.01318,2738713.5,33658.79
2018-10-19,0.01304,0.01381,0.01221,0.01231,2945943.88,38415.11
2018-10-20,0.01269,0.01323,0.01237,0.01319,2949089.98,37423.95
2018-10-21,0.01325,0.0137,0.01239,0.01268,3000752.2,39759.97
2018-10-22,0.01289,0.01334,0.01283,0.01317,2502118.79,32252.31
