time,close,high,low,open,volumefrom,volumeto
2018-04-16,17.33,18.58,15.35,17.66,13337.75,231143.21
2018-04-17,16.38,16.99,15.05,16.99,13740.52,225069.72
2018-04-18,16.46,18.02,16.38,16.94,11565.22,190363.52
2018-04-19,17.43,17.92,16.51,16.69,12580.6,219279.86
2018-04-20,17.31,18.9,17.15,18.64,12833.8,222153.08
2018-04-21,18.41,18.5,17.42,17.42,8524.7,156939.73
2018-04-22,16.41,18.18,15.88,18.18,13102.06,215004.8
2018-04-23,16.41,17.45,16.05,16.68,10085.02,165495.18
2018-04-24,17.77,18.8,17.38,17.67,15970.13,283789.21
2018-04-25,16.33,18.46,15.97,16.33,26317.36,429762.49
2018-04-26,16.8,17.64,16.15,17.08,18554.04,311707.87
2018-04-27,14.72,16.27,14.3,16.18,22565.55,332164.9
2018-04-28,18.7,18.7,14.96,15.4,17010.16,318089.99
2018-04-29,20.6,20.6,16.93,18.81,24829.39,511485.43
2018-04-30,21.27,21.64,18.59,20.25,16335.79,347462.25
2018-05-01,21.24,21.24,19.52,20.88,17609.56,374027.05
2018-05-02,27.23,27.7,21.6,21.6,45458.58,1237837.13
2018-05-03,32.48,37.96,28.36,28.75,25077.73,814524.67
2018-05-04,30.17,33.95,29.31,32.33,7462.86,225154.49
2018-05-05,30.52,34.44,24.41,30.62,21170.52,646124.27
2018-05-06,29.65,29.9,25.85,29.9,17422.25,516569.71
2018-05-07,28.13,29.07,26.26,28.83,20647.58,580816.43
2018-05-08,29.43,32.17,26.67,27.59,30931.2,910305.22
2018-05-09,15.85,30.76,15.85,29.83,42431.66,672541.81
2018-05-10,19.06,24.39,15.35,15.35,34837.0,663993.22
2018-05-11,19.37,21.39,16.84,17.77,19325.57,374336.29
2018-05-12,17.82,21.55,17.82,19.52,15199.38,270852.95
2018-05-13,19.59,20.47,18.29,18.29,8170.76,160065.19
2018-05-14,17.76,19.51,17.35,19.51,9552.34,169649.56
2018-05-15,15.69,18.23,15.43,17.37,8901.08,139657.95
