time,close,high,low,open,volumefrom,volumeto
2017-07-04,0.07637,0.1073,0.07355,0.1017,7208776.18,550534.24
2017-07-05,0.05784,0.08183,0.05576,0.07668,5013712.48,289993.13
2017-07-06,0.0434,0.05976,0.04055,0.05754,9004747.07,390806.02
2017-07-07,0.02816,0.04701,0.02589,0.04173,8211672.44,231240.7
2017-07-08,0.02891,0.03524,0.02642,0.02873,4965052.17,143539.66
2017-07-09,0.02657,0.02936,0.02263,0.0283,4506130.28,119727.88
2017-07-10,0.03563,0.04079,0.02299,0.0248,14387315.66,512620.06
2017-07-11,0.02815,0.03803,0.02592,0.03533,4148438.61,116778.55
2017-07-12,0.03372,0.03569,0.02377,0.0291,3158940.08,106519.46
2017-07-13,0.03149,0.03426,0.02743,0.03315,1814021.37,57123.53
2017-07-14,0.02978,0.03237,0.02569,0.02978,2188321.91,65168.23
2017-07-15,0.02317,0.0273,0.01955,0.02633,3039233.04,70419.03
2017-07-16,0.02209,0.02262,0.01767,0.02245,1854062.81,40956.25
2017-07-17,0.02618,0.02814,0.02035,0.02577,1805128.78,47258.27
2017-07-18,0.03381,0.03942,0.02582,0.02719,2860046.59,96698.18
2017-07-19,0.02967,0.03328,0.02648,0.03326,3257927.15,96662.7
2017-07-20,0.03726,0.04024,0.03442,0.03726,1019015.87,37968.53
2017-07-21,0.03039,0.03574,0.02672,0.03478,1465520.37,44537.16
2017-07-22,0.031,0.03461,0.02831,0.03222,1006069.85,31188.17
2017-07-23,0.03291,0.03308,0.02806,0.03013,423594.79,13940.5
2017-07-24,0.03388,0.03653,0.02904,0.033,2161661.53,73237.09
2017-07-25,0.02735,0.03329,0.02735,0.03166,1145500.22,31329.43
2017-07-26,0.02951,0.03312,0.02495,0.0271,3783171.37,111641.39
2017-07-27,0.02991,0.03225,0.02894,0.03104,650000.42,19441.51
2017-07-28,0.03,0.032,0.02703,0.03118,1286032.26,38580.97
2017-07-29,0.02884,0.02988,0.02624,0.02922,605322.45,17457.5
2017-07-30,0.02811,0.02919,0.02659,0.02919,642140.34,18050.56
2017-07-31,0.02808,0.02947,0.02759,0.02929,240386.27,6750.05
2017-08-01,0.02785,0.03269,0.02544,0.02816,1787437.43,49780.13
2017-08-02,0.02721,0.02878,0.0259,0.02759,1588221.55,43215.51
2017-08-03,0.02883,0.02917,0.02776,0.0281,717421.35,20683.26
2017-08-04,0.02867,0.02965,0.02663,0.02953,937153.08,26868.18
2017-08-05,0.03318,0.03821,0.02937,0.0325,2640933.41,87626.17
2017-08-06,0.03571,0.03685,0.03135,0.03287,1822094.82,65067.01
2017-08-07,0.03769,0.04079,0.03402,0.03759,3081932.96,116158.05
2017-08-08,0.03958,0.04115,0.03707,0.038,740884.49,29324.21
2017-08-09,0.04444,0.04548,0.03851,0.03865,1622296.97,72094.88
2017-08-10,0.04186,0.04625,0.04111,0.04546,1517595.89,63526.56
2017-08-11,0.06505,0.09355,0.04385,0.04466,24925349.45,1621393.98
2017-08-12,0.06044,0.09331,0.05037,0.06891,19621395.9,1185917.17
2017-08-13,0.05379,0.06488,0.04834,0.06342,5748035.4,309186.82
2017-08-14,0.04436,0.06193,0.04397,0.0573,4268237.78,189339.03
2017-08-15,0.05868,0.05951,0.04266,0.04266,4140936.99,242990.18
2017-08-16,0.07884,0.0802,0.0559,0.06186,9396317.78,740805.69
2017-08-17,0.06846,0.07818,0.06145,0.07689,9454855.86,647279.43
2017-08-18,0.05448,0.06745,0.05275,0.06569,5761380.66,313880.02
2017-08-19,0.05466,0.06109,0.04981,0.05508,2269961.99,124076.12
2017-08-20,0.05307,0.05555,0.04921,0.05356,2044970.55,108526.59
2017-08-21,0.05847,0.0604,0.05018,0.05227,2912558.81,170297.31
2017-08-22,0.05492,0.06319,0.04867,0.05971,2261910.25,124224.11
2017-08-23,0.05085,0.06108,0.04812,0.05561,2581109.99,131249.44
2017-08-24,0.04996,0.05303,0.04772,0.05303,3066022.36,153178.48
2017-08-25,0.04692,0.05159,0.04408,0.0505,4753372.49,223028.24
2017-08-26,0.04992,0.05597,0.04544,0.04679,5016650.92,250431.21
2017-08-27,0.05484,0.05532,0.04115,0.04985,4714675.29,258552.79
2017-08-28,0.05707,0.07046,0.05268,0.05541,11791564.8,672944.6
2017-08-29,0.0554,0.06243,0.05057,0.05977,4304861.99,238489.35
2017-08-30,0.05133,0.06123,0.05041,0.05523,2820056.93,144753.52
2017-08-31,0.05701,0.06113,0.05265,0.05303,2453528.33,139875.65
2017-09-01,0.05867,0.06113,0.0565,0.05926,2082142.33,122159.29
2017-09-02,0.05031,0.05534,0.04921,0.05452,1576735.59,79325.57
2017-09-03,0.05042,0.05074,0.04742,0.05074,2308998.84,116419.72
