time,close,high,low,open,volumefrom,volumeto
2018-01-19,1.35,333.09,0.6222,333.09,2588109.73,3493948.14
2018-01-20,1.31,2.05,1.12,1.5,1580627.7,2070622.29
2018-01-21,1.06,1.27,0.9368,1.18,526713.93,558316.77
2018-01-22,0.8669,1.03,0.674,0.9971,941175.57,815905.1
2018-01-23,0.7652,0.9227,0.6877,0.8704,333157.21,254931.9
2018-01-24,0.7454,0.8119,0.6883,0.8054,951628.12,709343.6
2018-01-25,0.7208,0.7698,0.637,0.7289,447835.69,322799.97
2018-01-26,0.8162,0.8299,0.6663,0.7162,158735.61,129560.0
2018-01-27,1.03,1.09,0.8022,0.8423,257040.03,264751.23
2018-01-28,0.9811,1.1,0.9069,1.06,111847.95,109734.02
2018-01-29,0.8658,0.9379,0.7793,0.9366,94988.73,82241.24
2018-01-30,0.6769,0.7965,0.6064,0.779,169533.37,114757.14
2018-01-31,0.7209,0.767,0.6544,0.6849,73319.16,52855.78
2018-02-01,0.5925,0.6745,0.5469,0.6425,448658.35,265830.07
2018-02-02,0.5458,0.6209,0.479,0.5766,513182.16,280094.82
2018-02-03,0.5755,0.5878,0.5445,0.5702,739422.51,425537.65
2018-02-04,0.4579,0.5167,0.4454,0.5112,528889.46,242178.48
2018-02-05,0.3464,0.4016,0.3068,0.3865,854729.6,296078.33
2018-02-06,0.4415,0.4969,0.3496,0.3846,1015641.53,448405.74
2018-02-07,0.4243,0.4557,0.3786,0.4353,724996.37,307615.96
2018-02-08,0.4388,0.4858,0.3862,0.4616,540592.84,237212.14
2018-02-09,0.4563,0.4701,0.4092,0.462,445727.95,203385.66
2018-02-10,0.4038,0.4621,0.3961,0.4496,452674.72,182790.05
2018-02-11,0.3759,0.3935,0.3389,0.3809,472389.45,177571.19
2018-02-12,0.4105,0.4249,0.3744,0.4143,655009.13,268881.25
2018-02-13,0.3641,0.3969,0.3589,0.3936,443996.05,161658.96
2018-02-14,0.4114,0.4269,0.3889,0.4042,488597.41,201008.97
2018-02-15,0.3813,0.4454,0.3612,0.4352,544085.24,207459.7
2018-02-16,0.3566,0.4126,0.3259,0.3872,967673.77,345072.47
2018-02-17,0.3979,0.438,0.3661,0.3884,633814.88,252194.94
2018-02-18,0.3609,0.3736,0.3279,0.3736,601453.5,217064.57
2018-02-19,0.3622,0.4248,0.3573,0.3874,374008.33,135465.82
2018-02-20,0.3782,0.4301,0.339,0.3646,780240.56,295086.98
2018-02-21,0.3484,0.3646,0.3182,0.3522,462418.87,161106.73
2018-02-22,0.3102,0.3347,0.3053,0.3212,426014.93,132149.83
2018-02-23,0.3205,0.3456,0.3144,0.3205,503441.73,161353.07
2018-02-24,0.3203,0.3203,0.2945,0.3057,500232.09,160224.34
2018-02-25,0.3564,0.3604,0.3075,0.3171,471678.96,168106.38
2018-02-26,0.4014,0.4467,0.3666,0.383,1309687.13,525708.41
2018-02-27,0.3558,0.4174,0.3297,0.4132,598088.13,212799.76
2018-02-28,0.3315,0.356,0.3262,0.347,385498.16,127792.64
2018-03-01,0.3595,0.3808,0.3453,0.3506,389093.79,139879.22
2018-03-02,0.3786,0.4387,0.3526,0.3634,1116821.72,422828.7
2018-03-03,0.3726,0.4326,0.3576,0.393,562409.22,209553.68
2018-03-04,0.3608,0.4024,0.3581,0.3739,241507.12,87135.77
2018-03-05,0.3596,0.3788,0.3549,0.3588,417105.41,149991.11
2018-03-06,0.3395,0.3463,0.333,0.3374,230520.79,78261.81
2018-03-07,0.3024,0.3169,0.2984,0.3139,342869.67,103683.79
2018-03-08,0.2654,0.2868,0.2355,0.2838,611905.85,162399.81
2018-03-09,0.2985,0.303,0.25,0.2636,520536.73,155380.21
2018-03-10,0.2628,0.2943,0.255,0.2838,301503.4,79235.09
2018-03-11,0.2827,0.3056,0.2758,0.2851,262523.33,74215.35
2018-03-12,0.2641,0.2811,0.2416,0.2709,486438.36,128468.37
2018-03-13,0.2563,0.271,0.2423,0.2646,337614.66,86530.64
2018-03-14,0.2096,0.2334,0.2062,0.2299,535724.77,112287.91
2018-03-15,0.1969,0.2123,0.1902,0.2109,465553.47,91667.48
2018-03-16,0.1975,0.2112,0.1819,0.1972,401755.16,79346.64
2018-03-17,0.1738,0.1905,0.1688,0.1879,237133.7,41213.84
2018-03-18,0.1722,0.1963,0.1598,0.1811,690645.05,118929.08
2018-03-19,0.1811,0.2587,0.1734,0.1807,836260.48,151446.77
2018-03-20,0.1922,0.1963,0.1815,0.1873,625600.53,120240.42
2018-03-21,0.196,0.2034,0.182,0.1911,427682.67,83825.8
2018-03-22,0.1789,0.1933,0.1612,0.1919,666548.33,119245.5
2018-03-23,0.1692,0.1837,0.1557,0.1832,819069.28,138586.52
2018-03-24,0.167,0.176,0.1619,0.1619,2095590.63,349963.64
2018-03-25,0.1656,0.1796,0.1631,0.1656,531204.42,87967.45
2018-03-26,0.1537,0.1695,0.1489,0.1593,290361.58,44628.57
2018-03-27,0.1429,0.1516,0.1377,0.1472,470059.38,67171.49
2018-03-28,0.1397,0.1511,0.1356,0.1457,506334.65,70734.95
2018-03-29,0.1227,0.1336,0.12,0.1247,454657.67,55786.5
2018-03-30,0.1215,0.1255,0.1047,0.1183,586083.93,71209.2
2018-03-31,0.1264,0.1314,0.1202,0.1231,299988.09,37918.49
2018-04-01,0.1145,0.1264,0.1114,0.1244,392934.36,44990.98
2018-04-02,0.1177,0.1221,0.114,0.1185,330043.53,38846.12
2018-04-03,0.1303,0.1332,0.1214,0.1236,462787.12,60301.16
2018-04-04,0.1165,0.1221,0.1126,0.1195,268350.97,31262.89
2018-04-05,0.1191,0.12,0.1122,0.1161,403303.96,48033.5
2018-04-06,0.1143,0.1168,0.1093,0.1164,217881.67,24903.87
2018-04-07,0.1353,0.1572,0.1137,0.1192,1616060.3,218652.96
2018-04-08,0.1291,0.1502,0.1208,0.1379,521029.88,67264.96
2018-04-09,0.1253,0.1346,0.1202,0.1243,891465.32,111700.6
2018-04-10,0.128,0.1374,0.1189,0.1268,666968.26,85371.94
2018-04-11,0.1449,0.1543,0.1238,0.1295,484710.77,70234.59
2018-04-12,0.167,0.1744,0.1507,0.1654,744714.19,124367.27
2018-04-13,0.1651,0.1718,0.1518,0.1621,510230.21,84239.01
2018-04-14,0.1737,0.1925,0.1645,0.1677,335064.77,58200.75
2018-04-15,0.2209,0.2274,0.1773,0.1814,682798.68,150830.23
2018-04-16,0.2042,0.2384,0.195,0.213,1047627.66,213925.57
2018-04-17,0.2031,0.2079,0.1913,0.2002,363965.03,73921.3
2018-04-18,0.1929,0.2116,0.1905,0.21,401095.44,77371.31
2018-04-19,0.2202,0.2221,0.1943,0.1955,411325.13,90573.79
2018-04-20,0.2244,0.2395,0.2126,0.2355,423755.16,95090.66
2018-04-21,0.2094,0.2267,0.2079,0.2259,447658.02,93739.59
2018-04-22,0.2213,0.226,0.2053,0.2067,534838.92,118359.85
2018-04-23,0.2188,0.2393,0.2124,0.2249,448559.79,98144.88
2018-04-24,0.2166,0.246,0.2122,0.2356,983532.13,213033.06
2018-04-25,0.2013,0.213,0.1864,0.199,669180.25,134705.98
2018-04-26,0.1972,0.2165,0.1949,0.2106,428190.14,84439.1
2018-04-27,0.1913,0.1985,0.1789,0.1899,405508.42,77573.76
2018-04-28,0.1983,0.2073,0.1911,0.2001,449511.46,89138.12
2018-04-29,0.2458,0.2519,0.1992,0.1995,805127.84,197900.42
2018-04-30,0.2239,0.2428,0.2056,0.2417,593169.36,132810.62
2018-05-01,0.2089,0.2254,0.1997,0.2198,258026.88,53901.82
2018-05-02,0.2137,0.2176,0.2083,0.2146,541356.62,115687.91
2018-05-03,0.2415,0.2705,0.2195,0.2256,788825.69,190501.4
2018-05-04,0.2409,0.2502,0.2328,0.2404,425087.14,102403.49
2018-05-05,0.2363,0.2521,0.2304,0.2446,477902.24,112928.3
2018-05-06,0.233,0.243,0.2268,0.2315,271199.24,63189.42
2018-05-07,0.2196,0.2298,0.2053,0.2266,507550.15,111458.01
2018-05-08,0.206,0.2216,0.1991,0.2154,532650.37,109725.98
2018-05-09,0.1922,0.2108,0.1911,0.2105,404892.44,77820.33
2018-05-10,0.1918,0.2048,0.1825,0.1862,400447.75,76805.88
2018-05-11,0.1795,0.1845,0.1524,0.1788,603532.63,108334.11
2018-05-12,0.1797,0.1864,0.1614,0.1809,409925.94,73663.69
2018-05-13,0.1807,0.1905,0.1724,0.1845,283749.92,51273.61
2018-05-14,0.1702,0.1852,0.1653,0.18,687078.92,116940.83
2018-05-15,0.1671,0.1695,0.1609,0.1665,277196.78,46319.58
2018-05-16,0.1665,0.1705,0.1537,0.1645,298777.2,49746.4
2018-05-17,0.1697,0.1831,0.1556,0.161,719264.25,122059.14
2018-05-18,0.1698,0.1805,0.1622,0.1735,419999.34,71315.89
2018-05-19,0.1672,0.1746,0.1618,0.1699,430792.3,72028.47
2018-05-20,0.1639,0.1738,0.1638,0.173,280025.41,45896.16
2018-05-21,0.1546,0.1691,0.1526,0.1617,507764.36,78500.37
2018-05-22,0.1384,0.1603,0.1377,0.1467,584324.04,80870.45
2018-05-23,0.1292,0.1359,0.122,0.1299,610733.55,78906.77
2018-05-24,0.1877,0.2351,0.1217,0.1306,1545608.14,290110.65
2018-05-25,0.1893,0.2119,0.1543,0.1856,1816374.29,343839.65
2018-05-26,0.1617,0.1881,0.1544,0.1864,1150179.25,185983.98
2018-05-27,0.1517,0.169,0.1436,0.1619,1404347.02,213039.44
2018-05-28,0.1417,0.1591,0.1217,0.1472,1873878.32,265528.56
2018-05-29,0.1595,0.1776,0.1481,0.1487,1258903.14,200795.05
2018-05-30,0.1589,0.176,0.1544,0.1578,932921.28,148241.19
2018-05-31,0.1513,0.1627,0.1467,0.1613,1741088.93,263426.76
2018-06-01,0.1579,0.1626,0.1518,0.1519,594973.8,93946.36
2018-06-02,0.1742,0.1748,0.1603,0.1603,665741.59,115972.18
2018-06-03,0.1868,0.1953,0.1682,0.1759,796130.14,148717.11
2018-06-04,0.1762,0.1893,0.1686,0.1816,1001033.98,176382.19
2018-06-05,0.1962,0.2464,0.1679,0.1791,7608815.45,1492849.59
2018-06-06,0.1734,0.203,0.1718,0.1971,2195895.05,380768.2
2018-06-07,0.1725,0.184,0.1715,0.1743,733732.38,126568.84
2018-06-08,0.1572,0.1713,0.1546,0.1705,1434510.16,225505.0
2018-06-09,0.1567,0.167,0.1516,0.1549,1770750.62,277476.62
2018-06-10,0.1323,0.154,0.1279,0.1412,1988100.31,263025.67
2018-06-11,0.1342,0.144,0.1286,0.1345,1333896.77,179008.95
2018-06-12,0.1312,0.142,0.1257,0.1277,11790080.68,1546858.59
2018-06-13,0.1142,0.1289,0.1086,0.1263,16054731.85,1833450.38
2018-06-14,0.1199,0.1259,0.1157,0.1202,13232669.6,1586597.09
2018-06-15,0.1101,0.1162,0.1086,0.1155,9094584.8,1001313.79
2018-06-16,0.126,0.1273,0.1107,0.1119,14959099.73,1884846.57
2018-06-17,0.1228,0.1263,0.1199,0.1243,12011695.21,1475036.17
2018-06-18,0.1236,0.1347,0.1223,0.1276,13945464.48,1723659.41
2018-06-19,0.123,0.1267,0.1207,0.124,9382928.93,1154100.26
2018-06-20,0.1199,0.1239,0.1176,0.1233,9689451.99,1161765.29
2018-06-21,0.1164,0.1282,0.1147,0.1194,12525957.07,1458021.4
2018-06-22,0.1015,0.106,0.1,0.1046,9681963.88,982719.33
2018-06-23,0.1059,0.1081,0.1024,0.1034,8224981.35,871025.52
2018-06-24,0.1073,0.1108,0.101,0.1057,12171924.17,1306047.46
2018-06-25,0.1079,0.1126,0.1034,0.1089,9628145.14,1038876.86
2018-06-26,0.105,0.1088,0.102,0.105,5911578.94,620715.79
2018-06-27,0.105,0.1061,0.1018,0.1056,8284097.75,869830.26
2018-06-28,0.09958,0.1053,0.09799,0.1003,10264613.15,1022150.18
2018-06-29,0.1087,0.1097,0.1037,0.1052,9087647.71,987827.31
2018-06-30,0.109,0.1147,0.1071,0.1118,10299976.01,1122697.39
2018-07-01,0.1161,0.1171,0.1082,0.1082,10280210.49,1193532.44
2018-07-02,0.1262,0.1299,0.1176,0.1212,11071336.28,1397202.64
2018-07-03,0.1135,0.1262,0.1129,0.1235,11164808.85,1267205.8
2018-07-04,0.118,0.1211,0.113,0.1149,6940697.58,819002.31
2018-07-05,0.1169,0.1297,0.1142,0.117,13788347.26,1611857.79
2018-07-06,0.1249,0.1312,0.1174,0.1174,11935872.58,1490790.49
2018-07-07,0.1241,0.1304,0.1225,0.1278,9395325.77,1165959.93
2018-07-08,0.1237,0.129,0.1232,0.1232,9049964.58,1119480.62
2018-07-09,0.1113,0.1244,0.1089,0.1229,11976621.1,1332997.93
2018-07-10,0.1043,0.1078,0.1029,0.1053,9711709.72,1012931.32
2018-07-11,0.1032,0.1099,0.1005,0.1057,9618540.04,992633.33
2018-07-12,0.1001,0.1021,0.09824,0.1008,9482478.66,949196.11
2018-07-13,0.1005,0.1046,0.09949,0.09974,8425121.55,846724.72
2018-07-14,0.09798,0.1018,0.09478,0.101,9378689.93,918924.04
2018-07-15,0.09839,0.1027,0.09718,0.09947,8972191.73,882773.94
2018-07-16,0.1072,0.1112,0.1032,0.1042,9394854.84,1007128.44
2018-07-17,0.1122,0.1186,0.1107,0.1168,10462967.23,1173944.92
2018-07-18,0.1136,0.1172,0.1074,0.1132,13834198.48,1571564.95
2018-07-19,0.1033,0.1175,0.1027,0.1151,11054720.01,1141952.58
2018-07-20,0.08896,0.1022,0.08735,0.1013,12280813.52,1092501.17
2018-07-21,0.08983,0.09279,0.0859,0.08983,11448320.92,1028402.67
2018-07-22,0.08797,0.09004,0.08634,0.08975,10217978.95,898875.61
2018-07-23,0.08042,0.09262,0.07919,0.09262,10690815.61,859755.39
2018-07-24,0.08211,0.0963,0.08144,0.0874,12556610.88,1031023.32
2018-07-25,0.07835,0.08203,0.07664,0.0799,11821025.52,926177.35
2018-07-26,0.08183,0.09009,0.07572,0.07612,15577644.16,1274718.62
2018-07-27,0.08854,0.09386,0.08036,0.08437,15553849.52,1377137.84
2018-07-28,0.08774,0.09408,0.08634,0.08906,10678919.68,936968.41
2018-07-29,0.08817,0.08899,0.08603,0.08759,9557035.17,842643.79
2018-07-30,0.08282,0.0883,0.08094,0.08757,9992907.48,827612.6
2018-07-31,0.0731,0.07875,0.07062,0.07828,12663470.55,925699.7
2018-08-01,0.06857,0.07223,0.06698,0.072,10081281.56,691273.48
2018-08-02,0.06486,0.06871,0.0623,0.06796,9873623.34,640403.21
2018-08-03,0.07536,0.08323,0.0612,0.06379,20488016.58,1543976.93
2018-08-04,0.06541,0.07228,0.06316,0.0713,12532706.83,819764.35
