time,close,high,low,open,volumefrom,volumeto
2018-07-13,0.04859,0.05289,0.04404,0.05233,1651737.98,80257.95
2018-07-14,0.0462,0.05002,0.04419,0.0489,2680052.0,123818.4
2018-07-15,0.05091,0.05168,0.04582,0.04646,2344668.36,119367.07
2018-07-16,0.05453,0.05952,0.04887,0.05392,2950809.43,160907.64
2018-07-17,0.05861,0.06162,0.05348,0.05927,2350540.34,137765.17
2018-07-18,0.05759,0.06128,0.05464,0.05907,2921909.44,168272.76
2018-07-19,0.05257,0.05907,0.05257,0.05832,3035688.28,159586.13
2018-07-20,0.05207,0.05977,0.05141,0.05156,3159318.76,164505.73
2018-07-21,0.0528,0.05413,0.04732,0.05199,3037461.55,160377.97
2018-07-22,0.04883,0.05327,0.04809,0.05253,2902713.6,141739.51
2018-07-23,0.04268,0.05325,0.04245,0.05094,3405408.14,145342.82
2018-07-24,0.03442,0.05205,0.03358,0.04643,4394332.66,151252.93
2018-07-25,0.0335,0.03677,0.03301,0.03423,3185117.25,106701.43
2018-07-26,0.03889,0.0404,0.03254,0.0331,3132509.01,121823.28
2018-07-27,0.03846,0.04664,0.03748,0.0401,2099541.67,80748.37
2018-07-28,0.04033,0.04445,0.03564,0.03869,2948692.47,118920.77
2018-07-29,0.04429,0.04799,0.03673,0.04026,3058069.12,135441.88
2018-07-30,0.04088,0.04734,0.03974,0.04407,3226948.9,131917.67
2018-07-31,0.0403,0.04247,0.03721,0.03868,3118206.92,125663.74
2018-08-01,0.0414,0.04186,0.0379,0.03965,3402486.94,140862.96
2018-08-02,0.04073,0.04292,0.03696,0.04073,3190565.4,129951.73
2018-08-03,0.0408,0.04235,0.03842,0.04006,3144933.23,128313.28
2018-08-04,0.0386,0.04063,0.03741,0.0386,2631434.62,101573.38
2018-08-05,0.03944,0.04021,0.03852,0.03873,3028202.9,119432.32
2018-08-06,0.04119,0.04306,0.03876,0.0389,2637139.53,108623.78
2018-08-07,0.04303,0.04437,0.0398,0.03987,3444236.84,148205.51
2018-08-08,0.04022,0.04613,0.03953,0.04022,2253428.55,90632.9
2018-08-09,0.04305,0.04672,0.04122,0.04194,2613861.04,112526.72
2018-08-10,0.04535,0.04621,0.0395,0.04049,2173044.84,98547.58
2018-08-11,0.0324,0.04557,0.03171,0.04557,2245873.1,72766.29
2018-08-12,0.02934,0.03376,0.02877,0.03282,1980432.77,58105.9
2018-08-13,0.029,0.03382,0.02831,0.02906,3227768.74,93605.29
2018-08-14,0.01785,0.02883,0.01587,0.0287,3232409.16,57698.5
2018-08-15,0.02121,0.02585,0.01763,0.01807,2901505.67,61540.94
