time,close,high,low,open,volumefrom,volumeto
2018-10-21,0.0003255,0.001562,0.0003255,0.001562,191203.5,62.24
2018-10-22,0.0003242,0.0003242,0.0003242,0.0003242,0.0,0.0
2018-10-23,0.0003235,0.0003235,0.0003235,0.0003235,0.0,0.0
2018-10-24,0.0003238,0.0003238,0.0003238,0.0003238,51628.33,16.72
2018-10-25,0.0003231,0.0003231,0.0003231,0.0003231,0.0,0.0
2018-10-26,0.0003229,0.0003229,0.0003229,0.0003229,0.0,0.0
2018-10-27,0.0003235,0.0003235,0.0003235,0.0003235,0.0,0.0
2018-10-28,0.0003235,0.0003235,0.0003235,0.0003235,0.0,0.0
2018-10-29,0.0002526,0.0003157,0.0002526,0.0003157,15000.0,3.79
2018-10-30,0.0002524,0.0002524,0.0002524,0.0002524,0.0,0.0
2018-10-31,0.0002537,0.0002537,0.0002537,0.0002537,0.0,0.0
2018-11-01,0.0002553,0.0002553,0.0002553,0.0002553,0.0,0.0
2018-11-02,0.0002558,0.0002558,0.0002558,0.0002558,0.0,0.0
2018-11-03,0.0002551,0.0002551,0.0002551,0.0002551,0.0,0.0
2018-11-04,0.0002587,0.0002587,0.0002587,0.0002587,0.0,0.0
2018-11-05,0.0002573,0.0002573,0.0002573,0.0002573,0.0,0.0
2018-11-06,0.0002592,0.0002592,0.0002592,0.0002592,0.0,0.0
2018-11-07,0.0002612,0.0002612,0.0002612,0.0002612,0.0,0.0
2018-11-08,0.0002578,0.0002578,0.0002578,0.0002578,0.0,0.0
2018-11-09,0.0002551,0.0002551,0.0002551,0.0002551,0.0,0.0
2018-11-10,0.0003198,0.0003198,0.0002559,0.0002559,84666.02,27.08
2018-11-11,0.0003204,0.0003204,0.0003204,0.0003204,0.0,0.0
2018-11-12,0.0003188,0.0003188,0.0003188,0.0003188,0.0,0.0
2018-11-13,0.000317,0.000317,0.000317,0.000317,0.0,0.0
2018-11-14,0.0002871,0.0002871,0.0002871,0.0002871,0.0,0.0
2018-11-15,0.0002824,0.0002824,0.0002824,0.0002824,0.0,0.0
2018-11-16,0.0002235,0.0002793,0.0002235,0.0002793,948.2,0.2119
2018-11-17,0.0002228,0.0002228,0.0002228,0.0002228,0.0,0.0
2018-11-18,0.0002246,0.0002246,0.0002246,0.0002246,0.0,0.0
2018-11-19,0.0001924,0.0001924,0.0001924,0.0001924,0.0,0.0
2018-11-20,0.0001777,0.0001777,0.0001777,0.0001777,0.0,0.0
2018-11-21,0.0001837,0.0001837,0.0001837,0.0001837,0.0,0.0
2018-11-22,0.000216,0.000216,0.0001728,0.0001728,4655.41,1.01
2018-11-23,0.0002172,0.0002172,0.0002172,0.0002172,0.0,0.0
2018-11-24,0.0001927,0.0001927,0.0001927,0.0001927,0.0,0.0
2018-11-25,0.0004004,0.0004004,0.0001602,0.0002002,11858.14,4.75
2018-11-26,0.0003785,0.0003785,0.0003785,0.0003785,0.0,0.0
2018-11-27,0.0003823,0.0003823,0.0003823,0.0003823,0.0,0.0
2018-11-28,0.0004264,0.0004264,0.0004264,0.0004264,0.0,0.0
2018-11-29,4.287e-05,0.0004287,4.287e-05,0.0004287,84637.78,3.63
2018-11-30,4.01e-05,4.01e-05,4.01e-05,4.01e-05,0.0,0.0
2018-12-01,4.197e-05,4.197e-05,4.197e-05,4.197e-05,0.0,0.0
2018-12-02,4.144e-05,4.144e-05,4.144e-05,4.144e-05,0.0,0.0
2018-12-03,3.871e-05,3.871e-05,3.871e-05,3.871e-05,0.0,0.0
2018-12-04,3.948e-05,3.948e-05,3.948e-05,3.948e-05,0.0,0.0
2018-12-05,3.738e-05,3.738e-05,3.738e-05,3.738e-05,0.0,0.0
2018-12-06,3.485e-05,3.485e-05,3.485e-05,3.485e-05,0.0,0.0
2018-12-07,3.421e-05,3.421e-05,3.421e-05,3.421e-05,0.0,0.0
2018-12-08,3.461e-05,3.461e-05,3.461e-05,3.461e-05,0.0,0.0
2018-12-09,3.593e-05,3.593e-05,3.593e-05,3.593e-05,0.0,0.0
2018-12-10,3.467e-05,3.467e-05,3.467e-05,3.467e-05,0.0,0.0
2018-12-11,3.401e-05,3.401e-05,3.401e-05,3.401e-05,0.0,0.0
2018-12-12,3.486e-05,3.486e-05,3.486e-05,3.486e-05,0.0,0.0
2018-12-13,3.305e-05,3.305e-05,3.305e-05,3.305e-05,0.0,0.0
2018-12-14,3.235e-05,3.235e-05,3.235e-05,3.235e-05,0.0,0.0
2018-12-15,3.233e-05,3.233e-05,3.233e-05,3.233e-05,0.0,0.0
2018-12-16,3.255e-05,3.255e-05,3.255e-05,3.255e-05,0.0,0.0
2018-12-17,7.096e-05,7.096e-05,3.548e-05,3.548e-05,3813.45,0.2706
2018-12-18,7.432e-05,7.432e-05,7.432e-05,7.432e-05,0.0,0.0
2018-12-19,7.473e-05,7.473e-05,7.473e-05,7.473e-05,0.0,0.0
2018-12-20,8.275e-05,8.275e-05,8.275e-05,8.275e-05,0.0,0.0
2018-12-21,7.798e-05,7.798e-05,7.798e-05,7.798e-05,0.0,0.0
2018-12-22,8.09e-05,8.09e-05,8.09e-05,8.09e-05,0.0,0.0
2018-12-23,8.015e-05,8.015e-05,8.015e-05,8.015e-05,0.0,0.0
2018-12-24,8.164e-05,8.164e-05,8.164e-05,8.164e-05,0.0,0.0
2018-12-25,7.669e-05,7.669e-05,7.669e-05,7.669e-05,0.0,0.0
2018-12-26,7.698e-05,7.698e-05,7.698e-05,7.698e-05,0.0,0.0
2018-12-27,7.292e-05,7.292e-05,7.292e-05,7.292e-05,0.0,0.0
2018-12-28,7.896e-05,7.896e-05,7.896e-05,7.896e-05,0.0,0.0
2018-12-29,7.594e-05,7.594e-05,7.594e-05,7.594e-05,0.0,0.0
2018-12-30,7.792e-05,7.792e-05,7.792e-05,7.792e-05,0.0,0.0
2018-12-31,7.495e-05,7.495e-05,7.495e-05,7.495e-05,0.0,0.0
2019-01-01,0.0001164,0.0001164,7.76e-05,7.76e-05,1996.0,0.2323
2019-01-02,0.0001188,0.0001188,0.0001188,0.0001188,0.0,0.0
2019-01-03,0.0001151,0.0001151,0.0001151,0.0001151,0.0,0.0
2019-01-04,0.0001162,0.0001162,0.0001162,0.0001162,0.0,0.0
2019-01-05,0.0001157,0.0001157,0.0001157,0.0001157,0.0,0.0
2019-01-06,0.0001231,0.0001231,0.0001231,0.0001231,0.0,0.0
2019-01-07,0.0001215,0.0001215,0.0001215,0.0001215,0.0,0.0
2019-01-08,0.0001212,0.0001212,0.0001212,0.0001212,0.0,0.0
2019-01-09,0.0001215,0.0001215,0.0001215,0.0001215,0.0,0.0
2019-01-10,0.00011,0.00011,0.00011,0.00011,0.0,0.0
2019-01-11,0.0001101,0.0001101,0.0001101,0.0001101,0.0,0.0
2019-01-12,0.0001099,0.0001099,0.0001099,0.0001099,0.0,0.0
2019-01-13,0.0001065,0.0001065,0.0001065,0.0001065,0.0,0.0
2019-01-14,7.408e-05,0.0001111,7.408e-05,0.0001111,26711.47,1.98
2019-01-15,7.242e-05,7.242e-05,7.242e-05,7.242e-05,0.0,0.0
2019-01-16,0.0002186,0.0002186,7.288e-05,7.288e-05,55950.0,12.23
2019-01-17,0.0002211,0.0002211,0.0002211,0.0002211,6016.14,1.33
2019-01-18,0.0002189,0.0002189,0.0002189,0.0002189,0.0,0.0
2019-01-19,0.0002238,0.0002238,0.0002238,0.0002238,0.0,0.0
2019-01-20,0.0002141,0.0002141,0.0002141,0.0002141,0.0,0.0
2019-01-21,0.0002143,0.0002143,0.0002143,0.0002143,0.0,0.0
2019-01-22,0.0002161,0.0002161,0.0002161,0.0002161,0.0,0.0
2019-01-23,0.0002143,0.0002143,0.0002143,0.0002143,0.0,0.0
2019-01-24,0.0002159,0.0002159,0.0002159,0.0002159,0.0,0.0
2019-01-25,0.000215,0.000215,0.000215,0.000215,0.0,0.0
2019-01-26,0.0002158,0.0002158,0.0002158,0.0002158,0.0,0.0
2019-01-27,0.0002139,0.0002139,0.0002139,0.0002139,0.0,0.0
2019-01-28,0.0002072,0.0002072,0.0002072,0.0002072,0.0,0.0
2019-01-29,0.0002051,0.0002051,0.0002051,0.0002051,0.0,0.0
2019-01-30,0.000208,0.000208,0.000208,0.000208,0.0,0.0
2019-01-31,0.000206,0.000206,0.000206,0.000206,0.0,0.0
2019-02-01,0.0002077,0.0002077,0.0002077,0.0002077,0.0,0.0
2019-02-02,0.0002105,0.0002105,0.0002105,0.0002105,0.0,0.0
2019-02-03,0.000207,0.000207,0.000207,0.000207,0.0,0.0
2019-02-04,0.0002059,0.0002059,0.0002059,0.0002059,0.0,0.0
2019-02-05,0.0002069,0.0002069,0.0002069,0.0002069,0.0,0.0
2019-02-06,3.395e-05,0.0002037,3.395e-05,0.0002037,3143.46,0.1067
2019-02-07,0.00108,0.00108,3.375e-05,3.375e-05,360206.22,389.02
2019-02-08,0.000915,0.001171,0.0004392,0.001171,10034.56,9.18
2019-02-09,0.0009131,0.0009131,0.0009131,0.0009131,0.0,0.0
2019-02-10,0.0009213,0.0009213,0.0009213,0.0009213,0.0,0.0
2019-02-11,0.0009028,0.0009028,0.0009028,0.0009028,0.0,0.0
2019-02-12,0.0003979,0.0009044,0.0003979,0.0009044,2712.94,1.08
2019-02-13,0.0003966,0.0003966,0.0003966,0.0003966,366.04,0.1452
2019-02-14,0.0003948,0.0003948,0.0003948,0.0003948,0.0,0.0
2019-02-15,0.0003953,0.0003953,0.0003953,0.0003953,0.0,0.0
2019-02-16,0.0003979,0.0003979,0.0003979,0.0003979,0.0,0.0
2019-02-17,0.0004038,0.0004038,0.0004038,0.0004038,900.0,0.3634
2019-02-18,0.0004304,0.0004304,0.0004304,0.0004304,0.0,0.0
2019-02-19,0.0004317,0.0004317,0.0004317,0.0004317,0.0,0.0
2019-02-20,0.0004371,0.0004371,0.0004371,0.0004371,0.0,0.0
2019-02-21,0.0003937,0.0004331,0.0003937,0.0004331,1996.0,0.7858
2019-02-22,0.0003984,0.0003984,0.0003984,0.0003984,0.0,0.0
2019-02-23,0.0004149,0.0004149,0.0004149,0.0004149,0.0,0.0
2019-02-24,0.0003772,0.0003772,0.0003772,0.0003772,0.0,0.0
2019-02-25,0.0003846,0.0003846,0.0003846,0.0003846,0.0,0.0
2019-02-26,0.0003818,0.0003818,0.0003818,0.0003818,0.0,0.0
2019-02-27,0.0003831,0.0003831,0.0003831,0.0003831,0.0,0.0
2019-02-28,0.0003823,0.0003823,0.0003823,0.0003823,0.0,0.0
2019-03-01,0.0003831,0.0003831,0.0003831,0.0003831,0.0,0.0
2019-03-02,0.0003843,0.0003843,0.0003843,0.0003843,0.0,0.0
2019-03-03,0.0003812,0.0003812,0.0003812,0.0003812,0.0,0.0
2019-03-04,0.0003731,0.0003731,0.0003731,0.0003731,0.0,0.0
2019-03-05,0.0003874,0.0003874,0.0003874,0.0003874,1000.0,0.3874
2019-03-06,0.0003875,0.0003875,0.0003875,0.0003875,0.0,0.0
2019-03-07,0.0002718,0.0003883,0.0002718,0.0003883,3137.17,0.8527
2019-03-08,0.0003868,0.0003868,0.0002708,0.0002708,5573.54,2.16
2019-03-09,0.0003948,0.0003948,0.0003948,0.0003948,0.0,0.0
