time,close,high,low,open,volumefrom,volumeto
2017-10-18,0.4684,0.4739,0.3345,0.3513,14390.0,6740.28
2017-10-19,0.3533,0.4787,0.3533,0.4787,5750.0,2031.48
2017-10-20,0.3236,0.4974,0.3236,0.3716,13820.0,4472.15
2017-10-21,0.3123,0.3484,0.2943,0.3244,5340.0,1667.68
2017-10-22,0.4308,0.5983,0.2932,0.3111,14070.0,6061.36
2017-10-23,0.3129,0.4251,0.3129,0.4251,3570.0,1117.05
2017-10-24,0.4521,0.4631,0.2646,0.2922,14280.0,6455.99
2017-10-25,0.3383,0.4989,0.3154,0.4702,12200.0,4127.26
2017-10-26,0.4475,0.4946,0.3474,0.3474,2300.0,1029.25
2017-10-27,0.3978,0.4727,0.3632,0.4381,5130.0,2040.71
2017-10-28,0.3951,0.4581,0.3894,0.3951,1850.0,730.94
2017-10-29,0.4303,0.4734,0.4242,0.4242,210.0,90.36
2017-10-30,0.3613,0.4348,0.3552,0.4287,2040.0,737.05
2017-10-31,0.2839,0.4193,0.2839,0.3806,1530.0,434.37
2017-11-01,0.2493,0.4649,0.2291,0.2965,6660.0,1660.34
2017-11-02,0.3512,0.4847,0.2599,0.2599,4910.0,1724.39
2017-11-03,0.472,0.5006,0.2861,0.3576,13190.0,6225.68
2017-11-04,0.3387,0.486,0.3387,0.486,5070.0,1717.21
2017-11-05,0.2882,0.4064,0.2882,0.3399,4360.0,1256.55
2017-11-06,0.2714,0.2714,0.2714,0.2714,750.0,203.55
2017-11-07,0.2344,0.3125,0.2344,0.277,2330.0,546.15
2017-11-08,0.2978,0.3052,0.2457,0.2457,2910.0,866.6
2017-11-09,0.4634,0.4848,0.221,0.2852,6770.0,3137.22
2017-11-10,0.4399,0.4399,0.3677,0.4268,2910.0,1280.11
2017-11-11,0.3804,0.4248,0.2536,0.4248,1770.0,673.31
2017-11-12,0.3762,0.4115,0.2351,0.3527,9750.0,3667.95
2017-11-13,0.3848,0.4305,0.3131,0.4174,21710.0,8354.01
2017-11-14,0.3365,0.4618,0.3365,0.3892,6740.0,2268.01
2017-11-15,0.2913,0.4151,0.2913,0.3714,5490.0,1599.24
2017-11-16,0.2749,0.4162,0.2749,0.3141,1620.0,445.34
2017-11-17,0.3542,0.3542,0.2695,0.2695,460.0,162.93
2017-11-18,0.3735,0.4513,0.3112,0.3579,8540.0,3189.69
2017-11-19,0.378,0.4343,0.3458,0.386,6840.0,2585.52
2017-11-20,0.4699,0.4699,0.371,0.3875,1750.0,822.33
2017-11-21,0.3726,0.4617,0.3564,0.4617,2690.0,1002.29
2017-11-22,0.4364,0.4364,0.3706,0.3788,120.0,52.37
2017-11-23,0.4407,0.4407,0.3686,0.4247,150.0,66.11
2017-11-24,0.4756,0.4756,0.4264,0.451,3590.0,1707.4
2017-11-25,0.4903,0.5078,0.4552,0.5078,11770.0,5770.83
2017-11-26,0.4566,0.5591,0.4566,0.5218,17110.0,7812.43
2017-11-27,0.4477,0.5451,0.4185,0.4769,10550.0,4723.23
2017-11-28,0.3863,0.5052,0.3863,0.4557,10340.0,3994.34
2017-11-29,0.4329,0.5017,0.2558,0.3837,26900.0,11645.01
2017-11-30,0.368,0.4377,0.3282,0.4377,5070.0,1865.76
2017-12-01,0.4236,0.5539,0.4019,0.4019,13210.0,5595.76
2017-12-02,0.4147,0.5456,0.371,0.4256,26790.0,11109.81
2017-12-03,0.4386,0.4948,0.3936,0.4274,21330.0,9355.34
2017-12-04,0.4417,0.4533,0.4185,0.4533,1370.0,605.13
2017-12-05,0.4784,0.595,0.4083,0.4434,7480.0,3578.43
2017-12-06,0.66,0.6737,0.3437,0.5637,28500.0,18810.0
2017-12-07,0.455,0.8088,0.4213,0.8088,17320.0,7880.6
2017-12-08,0.4654,0.7221,0.2728,0.3851,38610.0,17969.09
2017-12-09,0.4898,0.4898,0.3117,0.4305,17080.0,8365.78
2017-12-10,0.4819,0.512,0.4217,0.497,130.0,62.65
2017-12-11,0.5522,0.5689,0.3514,0.5354,3140.0,1733.91
2017-12-12,0.5979,0.5979,0.4613,0.5638,6440.0,3850.48
2017-12-13,0.5049,0.7492,0.3746,0.57,31800.0,16055.82
2017-12-14,0.6258,0.8399,0.5105,0.5105,22960.0,14368.37
2017-12-15,0.757,0.757,0.4929,0.669,4820.0,3648.74
2017-12-16,0.5804,0.8512,0.4643,0.8319,36960.0,21451.58
2017-12-17,0.4957,0.6482,0.4576,0.572,38160.0,18915.91
2017-12-18,0.5312,0.702,0.4553,0.4933,70610.0,37508.03
2017-12-19,0.6133,0.6834,0.4731,0.4907,108030.0,66254.8
2017-12-20,0.5926,0.6091,0.5103,0.5762,70590.0,41831.63
2017-12-21,0.5002,0.5784,0.469,0.5628,18590.0,9298.72
2017-12-22,0.4373,0.4509,0.4099,0.4373,24170.0,10569.54
2017-12-23,0.4751,0.4751,0.4319,0.4607,63870.0,30344.64
2017-12-24,0.4413,0.4551,0.3999,0.4551,1730.0,763.45
2017-12-25,0.4842,0.4842,0.3873,0.4427,21920.0,10613.66
2017-12-26,0.5515,0.583,0.4885,0.5515,55710.0,30724.07
2017-12-27,0.4933,0.555,0.4933,0.5396,17470.0,8617.95
2017-12-28,0.4608,0.5184,0.4464,0.4608,55830.0,25726.46
2017-12-29,0.5181,0.5469,0.4606,0.4606,63210.0,32749.1
2017-12-30,0.6015,0.614,0.4511,0.4511,50360.0,30291.54
2017-12-31,0.6094,0.6648,0.5679,0.6648,1960.0,1194.42
2018-01-01,0.6319,0.6588,0.4975,0.5916,8940.0,5649.19
2018-01-02,0.6492,0.7525,0.6197,0.6934,33110.0,21495.01
2018-01-03,0.6517,0.6972,0.5002,0.6669,41540.0,27071.62
2018-01-04,0.6224,0.6527,0.5465,0.6527,12210.0,7599.5
2018-01-05,0.8816,1.05,0.6273,0.6951,32800.0,28916.48
2018-01-06,1.03,1.03,0.6869,0.893,19840.0,20435.2
2018-01-07,1.64,1.77,0.9088,0.9737,76680.0,125755.2
2018-01-08,1.56,1.69,1.27,1.51,15460.0,24117.6
2018-01-09,1.09,1.58,1.03,1.5,14280.0,15565.2
2018-01-10,2.22,2.75,0.925,1.12,30120.0,66866.4
2018-01-11,1.9,2.0,1.36,1.98,22850.0,43415.0
2018-01-12,2.03,2.03,1.4,1.98,13990.0,28399.7
2018-01-13,1.45,2.11,1.15,2.09,29050.0,42122.5
2018-01-14,1.81,1.91,1.39,1.39,13720.0,24833.2
2018-01-15,1.49,1.87,1.34,1.81,10650.0,15868.5
2018-01-16,1.05,1.46,0.8913,1.23,13490.0,14164.5
2018-01-17,1.18,1.19,0.8149,1.04,20590.0,24296.2
2018-01-18,1.45,1.45,1.07,1.18,12950.0,18777.5
