time,close,high,low,open,volumefrom,volumeto
2017-11-08,1.75,2.17,1.75,2.17,24.07,42.12
2017-11-09,1.64,1.72,1.64,1.68,27.7,45.43
2017-11-10,1.66,1.91,1.66,1.91,63.01,104.6
2017-11-11,1.78,1.78,1.61,1.61,16.18,28.8
2017-11-12,1.47,1.47,1.47,1.47,44.32,65.15
2017-11-13,1.63,1.63,1.63,1.63,0.0,0.0
2017-11-14,1.65,1.65,1.65,1.65,0.0,0.0
2017-11-15,1.2,1.65,1.2,1.65,6.67,8.0
2017-11-16,1.26,1.3,1.18,1.3,120.0,151.2
2017-11-17,1.15,1.16,1.15,1.16,69.72,80.18
2017-11-18,1.17,1.17,1.17,1.17,0.0,0.0
2017-11-19,1.21,1.21,1.21,1.21,0.0,0.0
2017-11-20,1.24,1.24,1.24,1.24,0.0,0.0
2017-11-21,0.8991,0.8991,0.8991,0.8991,5.0,4.5
2017-11-22,0.9149,0.9149,0.914,0.914,1.0,0.9149
2017-11-23,0.8406,1.12,0.8406,0.8903,638.06,536.35
2017-11-24,0.8603,0.8603,0.8603,0.8603,0.0,0.0
2017-11-25,0.9709,0.9709,0.9184,0.9184,11.98,11.63
2017-11-26,0.6604,1.03,0.658,1.03,33.97,22.43
2017-11-27,0.694,1.07,0.6898,0.6898,6.63,4.6
2017-11-28,0.6934,0.987,0.6934,0.7063,195.47,135.54
2017-11-29,0.526,0.6932,0.526,0.6887,987.6,519.48
2017-11-30,0.5358,0.5359,0.5319,0.5319,42.05,22.53
2017-12-01,0.5808,0.5851,0.5808,0.5851,9.0,5.23
2017-12-02,0.585,0.585,0.5835,0.5835,8.08,4.73
2017-12-03,0.7044,0.7044,0.6029,0.6029,5.61,3.95
2017-12-04,0.6265,0.728,0.6265,0.728,4.05,2.54
2017-12-05,0.7211,0.7211,0.6289,0.6289,6.46,4.66
2017-12-06,0.5736,0.8499,0.5736,0.8499,5.61,3.22
2017-12-07,0.535,0.703,0.535,0.703,119.0,63.67
