time,close,high,low,open,volumefrom,volumeto
2017-11-16,2.64,3.96,1.68,1.68,30043.95,79316.03
2017-11-17,1.64,3.59,1.16,2.65,93847.63,153910.11
2017-11-18,1.73,2.53,1.58,1.61,24267.21,41982.27
2017-11-19,1.34,1.77,1.17,1.77,34044.23,45619.27
2017-11-20,1.38,1.57,0.6435,1.29,41878.0,57791.64
2017-11-21,1.5,1.51,1.26,1.36,13956.0,20934.0
2017-11-22,1.48,38.08,1.33,1.47,19198.41,28413.65
2017-11-23,1.57,2.07,1.27,1.58,27815.33,43670.07
2017-11-24,1.67,1.88,1.55,1.82,10247.3,17112.99
2017-11-25,1.72,7.43,1.51,1.65,9460.95,16272.83
2017-11-26,1.69,1.99,1.66,1.81,16525.11,27927.44
2017-11-27,1.9,2.36,1.68,1.72,27425.58,52108.6
2017-11-28,1.78,1.95,1.77,1.95,7958.81,14166.68
2017-11-29,1.7,1.79,1.41,1.67,16375.94,27839.1
2017-11-30,1.72,1.74,1.55,1.57,8753.79,15056.52
2017-12-01,1.87,1.87,1.73,1.85,4507.13,8428.33
2017-12-02,1.76,1.85,1.73,1.85,3169.28,5577.93
2017-12-03,2.01,2.01,1.81,1.81,1212.2,2436.52
2017-12-04,2.03,2.03,1.92,1.98,3072.6,6237.38
2017-12-05,2.18,2.2,1.91,1.91,11023.16,24030.49
2017-12-06,1.88,2.04,1.88,2.03,7809.86,14682.54
2017-12-07,1.68,4.21,1.68,2.03,13318.22,22374.61
2017-12-08,2.19,2.21,2.1,2.19,9104.22,19938.24
2017-12-09,2.27,2.29,2.18,2.27,4671.07,10603.33
2017-12-10,1.9,2.12,1.88,2.1,4659.48,8853.01
2017-12-11,2.4,2.57,2.1,2.23,4851.01,11642.42
2017-12-12,2.95,3.28,2.86,3.18,14035.15,41403.69
2017-12-13,2.87,3.49,2.27,3.35,7617.84,21863.2
2017-12-14,2.83,2.83,2.26,2.77,5392.09,15259.61
2017-12-15,3.59,3.59,2.74,2.87,12252.29,43985.72
2017-12-16,3.88,6.17,3.19,3.46,7979.87,30961.9
2017-12-17,4.04,30143.82,3.58,4.02,8480.01,34259.24
2017-12-18,4.01,4.54,3.93,4.42,19058.53,76424.71
2017-12-19,4.08,4.31,3.49,4.14,14082.04,57454.72
2017-12-20,3.96,4.03,3.52,4.01,12641.24,50059.31
2017-12-21,3.91,3.91,3.91,3.91,0.0,0.0
2017-12-22,2.97,2.97,2.97,2.97,246.55,732.25
2017-12-23,4.03,4.03,3.64,3.99,2999.79,12089.15
2017-12-24,4.39,114228.79,3.04,3.89,10555.16,46337.15
2017-12-25,4.19,4.89,3.25,4.71,14791.84,61977.81
2017-12-26,3.54,4.7,2.73,4.37,4726.2,16730.75
2017-12-27,2.6,4.29,2.04,3.48,7283.01,18935.83
