time,close,high,low,open,volumefrom,volumeto
2018-07-16,0.1453,0.1453,0.1398,0.1398,2948.44,428.41
2018-07-17,0.1593,0.1803,0.1469,0.1515,54544.93,8689.01
2018-07-18,0.1655,0.1655,0.1443,0.1529,49091.67,8124.67
2018-07-19,0.1617,0.1622,0.1476,0.162,10503.02,1698.34
2018-07-20,0.1454,0.1553,0.1445,0.1548,54570.34,7934.53
2018-07-21,0.1549,0.1563,0.1457,0.1494,44173.02,6842.4
2018-07-22,0.1542,0.1542,0.1469,0.1538,69702.19,10748.08
2018-07-23,0.1556,0.1556,0.1443,0.1515,52539.77,8175.19
2018-07-24,0.1539,0.1697,0.1539,0.1659,69899.88,10757.59
2018-07-25,0.1602,0.1649,0.1503,0.1513,183677.07,29425.07
2018-07-26,0.1529,0.1571,0.1529,0.1571,11286.21,1725.66
2018-07-27,0.1583,0.1583,0.1489,0.1555,28583.37,4524.75
2018-07-28,0.1513,0.1579,0.1513,0.1579,7506.47,1135.73
2018-07-29,0.1506,0.1506,0.1506,0.1506,5168.87,778.43
2018-07-30,0.1447,0.1566,0.1447,0.1475,3149.11,455.68
2018-07-31,0.1356,0.1486,0.1343,0.1369,172574.92,23401.16
2018-08-01,0.1239,0.1386,0.1142,0.1318,25266.35,3130.5
2018-08-02,0.1126,0.129,0.1122,0.1212,52733.86,5937.83
2018-08-03,0.114,0.1153,0.1136,0.1144,29367.56,3347.9
2018-08-04,0.1111,0.1111,0.1111,0.1111,496.11,55.12
2018-08-05,0.1165,0.1308,0.1108,0.1116,2400.41,279.65
2018-08-06,0.117,0.1178,0.1154,0.1154,20004.72,2340.55
2018-08-07,0.1028,0.1092,0.1024,0.1092,26013.96,2674.24
2018-08-08,0.08356,0.1077,0.02951,0.09672,64359.08,5377.84
2018-08-09,0.08724,0.0887,0.08215,0.08542,21365.78,1863.95
2018-08-10,0.06499,0.08289,0.06499,0.07958,171296.75,11132.58
2018-08-11,0.05724,0.06646,0.05724,0.06233,2720.0,155.69
2018-08-12,0.05218,0.05728,0.04232,0.05728,256015.49,13358.89
2018-08-13,0.05198,0.07328,0.04573,0.04658,116224.84,6041.37
2018-08-14,0.059,0.06429,0.05093,0.05093,67897.65,4005.96
2018-08-15,0.0585,0.05962,0.05822,0.05962,3006.58,175.88
2018-08-16,0.06224,0.0651,0.05707,0.05965,43380.15,2699.98
2018-08-17,0.07368,0.08003,0.06478,0.06891,144170.63,10622.49
2018-08-18,0.06988,0.06988,0.05779,0.06841,74032.42,5173.39
2018-08-19,0.0767,0.0824,0.06741,0.07101,166517.08,12771.86
2018-08-20,0.07393,0.07393,0.06933,0.06933,97950.73,7241.5
2018-08-21,0.07337,0.08012,0.07253,0.07675,118601.22,8701.77
2018-08-22,0.07868,0.07868,0.07057,0.07057,55785.72,4389.22
2018-08-23,0.07944,0.08661,0.07723,0.08027,84764.44,6733.69
2018-08-24,0.07062,0.08132,0.07062,0.08103,16059.62,1134.13
2018-08-25,0.07716,0.07744,0.06967,0.06967,14971.1,1155.17
2018-08-26,0.07324,0.07626,0.07296,0.07626,28969.11,2121.7
2018-08-27,0.072,0.07949,0.072,0.0769,856802.29,61689.76
2018-08-28,0.07064,0.07389,0.06709,0.07389,672444.97,47501.51
2018-08-29,0.06582,0.06899,0.06149,0.06899,82048.32,5400.42
2018-08-30,0.06337,0.06479,0.06308,0.06479,48994.83,3104.8
