time,close,high,low,open,volumefrom,volumeto
2018-12-17,0.007132,0.008516,0.007132,0.007238,156391.07,1115.38
2018-12-18,0.007432,0.008175,0.007432,0.007469,164205.93,1220.38
2018-12-19,0.007473,0.008258,0.007473,0.007473,6594.77,49.28
2018-12-20,0.008275,0.008275,0.008275,0.008275,72.13,0.5969
2018-12-21,0.006901,0.008733,0.006706,0.007798,493261.02,3403.99
2018-12-22,0.00809,0.009021,0.00716,0.00716,129558.35,1048.13
2018-12-23,0.008055,0.008055,0.008015,0.008015,70000.0,563.85
2018-12-24,0.009348,0.00996,0.008205,0.008205,128855.49,1204.54
2018-12-25,0.007938,0.00882,0.007938,0.008782,6719.98,53.34
2018-12-26,0.007967,0.007967,0.007967,0.007967,148057.59,1179.57
2018-12-27,0.006818,0.008277,0.006818,0.007547,142474.55,971.39
2018-12-28,0.009159,0.01141,0.007343,0.007382,206186.13,1888.46
2018-12-29,0.00824,0.008809,0.00824,0.008809,106106.93,874.32
2018-12-30,0.007753,0.008961,0.007753,0.008455,16730.2,129.71
2018-12-31,0.00697,0.007457,0.00697,0.007457,1727282.22,12039.16
2019-01-01,0.007217,0.008304,0.007217,0.007217,38933.0,280.98
2019-01-02,0.00507,0.007367,0.004991,0.007367,265124.03,1344.18
2019-01-03,0.00491,0.005102,0.004833,0.00491,871.35,4.28
2019-01-04,0.004959,0.004998,0.004881,0.004959,1468.83,7.28
2019-01-05,0.003508,0.005398,0.001735,0.004935,623092.69,2185.81
2019-01-06,0.003816,0.003816,0.003734,0.003734,68.59,0.2617
2019-01-07,0.003848,0.005671,0.003767,0.003767,983.08,3.78
2019-01-08,0.00194,0.004768,0.001697,0.003839,307627.36,596.8
2019-01-09,0.007085,0.01287,0.001943,0.001943,1638646.27,11609.81
2019-01-10,0.006676,0.009757,0.006419,0.006419,882390.73,5890.84
2019-01-11,0.006861,0.008256,0.006605,0.006678,237356.6,1628.5
2019-01-12,0.007036,0.007768,0.006596,0.006852,772717.15,5436.84
2019-01-13,0.006428,0.00728,0.006392,0.006818,376856.13,2422.43
2019-01-14,0.006741,0.007149,0.006704,0.006704,138360.97,932.69
2019-01-15,0.006736,1.86,0.006591,0.006591,975592.85,6571.59
2019-01-16,0.007288,1.42,0.006741,0.006778,1414685.16,10310.23
2019-01-17,0.008145,0.01474,0.007334,0.007371,158158.78,1288.2
2019-01-18,0.009521,0.01415,0.008062,0.008062,414677.07,3948.14
2019-01-19,0.008951,0.01149,0.008877,0.009735,264727.8,2369.58
