time,close,high,low,open,volumefrom,volumeto
2018-06-12,0.001311,0.001377,0.001311,0.001377,5789490.88,7590.02
2018-06-13,0.001199,0.001325,0.001136,0.001262,13107296.11,15715.65
2018-06-14,0.001462,0.001528,0.001262,0.001262,15616031.73,22830.64
2018-06-15,0.001407,0.001471,0.001279,0.001407,13872258.99,19518.27
2018-06-16,0.001301,0.001431,0.001301,0.001431,12099971.62,15742.06
2018-06-17,0.001356,0.001421,0.001292,0.001292,5510623.94,7472.41
2018-06-18,0.00141,0.001477,0.001343,0.00141,6696518.58,9442.09
2018-06-19,0.001416,0.00155,0.001416,0.001416,20297649.87,28741.47
2018-06-20,0.00142,0.001487,0.001352,0.00142,11552641.16,16404.75
2018-06-21,0.001277,0.001411,0.00121,0.001411,18218320.68,23264.8
2018-06-22,0.00115,0.00121,0.001089,0.00115,13442886.29,15459.32
2018-06-23,0.001233,0.001233,0.001048,0.001172,10881778.7,13417.23
2018-06-24,0.001108,0.001232,0.001108,0.001232,15828238.9,17537.69
2018-06-25,0.001127,0.001189,0.001064,0.001127,12912457.01,14552.34
2018-06-26,0.001157,0.001157,0.001096,0.001096,7977284.56,9229.72
2018-06-27,0.001044,0.001167,0.0009827,0.001167,9253262.19,9660.41
2018-06-28,0.0009394,0.001057,0.0008807,0.0009981,11378082.76,10688.57
2018-06-29,0.0009306,0.001055,0.0008685,0.0009926,9575531.18,8910.99
2018-06-30,0.001022,0.001086,0.0009578,0.0009578,7892538.14,8066.17
2018-07-01,0.001141,0.001204,0.001014,0.001014,7594052.52,8664.81
2018-07-02,0.001257,0.001257,0.001125,0.001191,6719723.56,8446.69
2018-07-03,0.001172,0.001302,0.001107,0.001237,19715832.08,23106.96
2018-07-04,0.00112,0.001186,0.001054,0.001186,10177224.18,11398.49
2018-07-05,0.001046,0.001176,0.001046,0.001111,11936633.84,12485.72
2018-07-06,0.001122,0.001122,0.0009903,0.001056,11831460.02,13274.9
2018-07-07,0.001149,0.001149,0.001081,0.001149,4959712.9,5698.71
2018-07-08,0.001073,0.00114,0.001073,0.00114,9104473.15,9769.1
2018-07-09,0.001067,0.001134,0.001,0.001067,8087402.97,8629.26
2018-07-10,0.000946,0.001009,0.000946,0.001009,11029416.97,10433.83
2018-07-11,0.001023,0.001023,0.0009592,0.0009592,7219682.03,7385.73
2018-07-12,0.000938,0.001001,0.000938,0.001001,7066156.7,6628.05
2018-07-13,0.0009345,0.0009968,0.0009345,0.0009345,6335740.28,5920.75
2018-07-14,0.001003,0.001003,0.0009403,0.0009403,7921061.23,7944.82
2018-07-15,0.0009546,0.001018,0.000891,0.001018,8377888.24,7997.53
2018-07-16,0.001078,0.001078,0.001011,0.001011,10148245.84,10939.81
2018-07-17,0.001026,0.001172,0.001026,0.001172,17822006.84,18285.38
2018-07-18,0.0009598,0.001108,0.0009598,0.001034,22631708.55,21721.91
2018-07-19,0.0009721,0.001122,0.0009721,0.0009721,11470631.23,11150.6
2018-07-20,0.0009534,0.001027,0.0008067,0.0009534,19964945.87,19034.58
2018-07-21,0.0009627,0.0009627,0.0008886,0.0009627,5714590.69,5501.44
2018-07-22,0.0009618,0.0009618,0.0008878,0.0009618,6405830.01,6161.13
2018-07-23,0.000849,0.001003,0.000849,0.001003,25511166.58,21658.98
2018-07-24,0.0008396,0.001007,0.0008396,0.0009235,35313395.24,29649.13
2018-07-25,0.0008987,0.0009804,0.000817,0.000817,17349175.28,15591.7
2018-07-26,0.0009525,0.001032,0.0008731,0.0008731,12362048.64,11774.85
2018-07-27,0.0009001,0.0009819,0.0009001,0.0009819,7861516.06,7076.15
2018-07-28,0.0009054,0.0009877,0.0009054,0.0009054,5568643.94,5041.85
