time,close,high,low,open,volumefrom,volumeto
2015-01-27,0.02849,0.02849,0.02849,0.02849,40.0,1.14
2015-01-28,0.01896,0.02555,0.01896,0.02555,285.79,5.42
2015-01-29,0.01952,0.01988,0.01835,0.01953,10542.77,205.79
2015-01-30,0.01969,0.01981,0.01823,0.01934,14672.25,288.9
2015-01-31,0.01762,0.01922,0.01726,0.01856,1552.4,27.35
2015-02-01,0.02002,0.02032,0.01817,0.01817,4335.03,86.79
2015-02-02,0.0217,0.02198,0.01926,0.02123,1198.6,26.01
2015-02-03,0.01842,0.02191,0.01837,0.02066,29199.46,537.85
2015-02-04,0.01973,0.02008,0.01831,0.01835,4889.1,96.46
2015-02-05,0.01914,0.01994,0.00446,0.01885,17073.46,326.79
2015-02-06,0.02076,0.02226,0.01743,0.01971,18089.09,375.53
2015-02-07,0.0212,0.02316,0.02028,0.0212,24340.38,516.02
2015-02-08,0.02166,0.02431,0.0203,0.02083,3389.39,73.41
2015-02-09,0.0284,0.03061,0.02079,0.02134,24830.12,705.18
2015-02-10,0.02733,0.02981,0.02564,0.02832,69098.34,1888.46
2015-02-11,0.02541,0.02976,0.02541,0.02722,18835.83,478.62
2015-02-12,0.0261,0.02908,0.02366,0.02575,22525.46,587.91
2015-02-13,0.02447,0.0281,0.02388,0.0278,3553.79,86.96
2015-02-14,0.02708,0.03039,0.02329,0.0268,13590.0,368.02
2015-02-15,0.02173,0.02438,0.02018,0.02442,2661.78,57.84
2015-02-16,0.02234,0.02712,0.02116,0.02197,16933.29,378.29
2015-02-17,0.02403,0.02449,0.02343,0.02304,3730.86,89.65
2015-02-18,0.02234,0.02385,0.02232,0.02324,1868.34,41.74
2015-02-19,0.02402,0.02403,0.02225,0.02298,15236.93,365.99
2015-02-20,0.02333,0.0236,0.02293,0.02428,4220.35,98.46
2015-02-21,0.02342,0.02404,0.02335,0.02332,2144.15,50.22
2015-02-22,0.02181,0.02273,0.02181,0.02259,3340.8,72.86
2015-02-23,0.02164,0.0234,0.02161,0.02209,13365.87,289.24
2015-02-24,0.02304,0.02597,0.02162,0.02164,5638.53,129.91
2015-02-25,0.02164,0.023,0.02164,0.02289,8958.8,193.87
2015-02-26,0.0226,0.02382,0.02153,0.02157,19444.36,439.44
2015-02-27,0.02428,0.02493,0.02418,0.02422,4180.36,101.5
2015-02-28,0.02589,0.02594,0.02432,0.02434,7886.91,204.19
2015-03-01,0.02359,0.02801,0.02359,0.02628,50817.38,1198.78
2015-03-02,0.02395,0.02663,0.02368,0.02503,10262.69,245.79
2015-03-03,0.02527,0.02528,0.02414,0.02456,4228.56,106.86
2015-03-04,0.02312,0.02511,0.02312,0.02449,16394.16,379.03
2015-03-05,0.02353,0.02464,0.02353,0.0234,17693.87,416.34
2015-03-06,0.02315,0.02372,0.02153,0.0233,48506.24,1122.92
2015-03-07,0.02316,0.02509,0.02161,0.02335,7761.1,179.75
2015-03-08,0.02178,0.02352,0.02169,0.02312,5131.91,111.77
2015-03-09,0.02324,0.0233,0.01933,0.02302,30121.17,700.02
2015-03-10,0.02739,0.03059,0.0204,0.02335,75435.6,2066.18
2015-03-11,0.02582,0.02796,0.02556,0.02779,10871.4,280.7
2015-03-12,0.02276,0.02611,0.02263,0.02567,37849.75,861.46
2015-03-13,0.02208,0.02292,0.02196,0.02225,5764.75,127.29
2015-03-14,0.02247,0.02252,0.02112,0.02165,8452.4,189.93
2015-03-15,0.02231,0.02421,0.02154,0.02273,4824.75,107.64
2015-03-16,0.02281,0.02566,0.02271,0.02274,16423.84,374.63
2015-03-17,0.02333,0.02333,0.02242,0.02241,16912.72,394.57
2015-03-18,0.02037,0.02123,0.02037,0.02092,14157.21,288.38
2015-03-19,0.02651,0.03142,0.02019,0.02077,151272.39,4010.23
2015-03-20,0.03084,0.0327,0.02279,0.0266,57206.68,1764.25
2015-03-21,0.03083,0.03488,0.02641,0.03059,23804.81,733.9
2015-03-22,0.02541,0.03392,0.0238,0.03188,12896.73,327.71
2015-03-23,0.02617,0.02729,0.02358,0.02512,3836.58,100.4
2015-03-24,0.02225,0.02374,0.02213,0.02432,3208.51,71.39
2015-03-25,0.02582,0.02597,0.02291,0.02222,2651.62,68.46
2015-03-26,0.02475,0.02631,0.02315,0.02599,1640.07,40.59
2015-03-27,0.02317,0.02428,0.02309,0.02467,2379.82,55.14
2015-03-28,0.02427,0.02578,0.02207,0.02362,6094.0,147.9
2015-03-29,0.02307,0.02419,0.02208,0.02331,3482.09,80.33
2015-03-30,0.02366,0.02475,0.02306,0.02352,20574.45,486.79
2015-03-31,0.02449,0.03076,0.02341,0.02341,81284.33,1990.65
2015-04-01,0.02447,0.02807,0.02446,0.0247,14590.78,357.04
2015-04-02,0.024,0.02551,0.02273,0.02511,73681.99,1768.37
2015-04-03,0.02323,0.02471,0.02247,0.02418,31224.77,725.35
2015-04-04,0.02301,0.02503,0.023,0.02309,5206.11,119.79
2015-04-05,0.02415,0.02596,0.02361,0.02362,18441.92,445.37
2015-04-06,0.02233,0.02423,0.02096,0.02371,40065.62,894.67
2015-04-07,0.02528,0.02897,0.01953,0.02215,43312.37,1094.94
2015-04-08,0.02051,0.02715,0.01903,0.02444,15008.19,307.82
2015-04-09,0.02355,0.02355,0.02212,0.0204,3927.51,92.49
2015-04-10,0.02509,0.02559,0.02166,0.02272,6006.3,150.7
2015-04-11,0.02256,0.02696,0.02205,0.02528,5162.46,116.47
