time,close,high,low,open,volumefrom,volumeto
2017-11-25,81.37,98.93,71.79,87.55,15597.38,1269158.81
2017-11-26,74.55,97.84,70.63,86.61,8361.84,623375.17
2017-11-27,73.51,83.71,69.5,77.87,7429.07,546110.94
2017-11-28,58.45,75.08,55.3,74.81,6985.98,408330.53
2017-11-29,43.53,58.04,41.32,57.63,5576.77,242756.8
2017-11-30,49.93,55.2,43.47,44.01,2017.99,100758.24
2017-12-01,49.04,56.7,47.08,54.52,1190.94,58403.7
2017-12-02,44.59,52.06,43.23,49.27,2644.57,117921.38
2017-12-03,45.84,49.48,43.26,45.95,4184.09,191798.69
2017-12-04,45.46,49.92,41.44,47.38,7740.37,351877.22
2017-12-05,37.02,47.22,35.51,45.63,8384.13,310380.49
2017-12-06,33.69,45.95,31.62,43.64,9959.89,335548.69
2017-12-07,25.78,42.46,25.28,38.86,11216.58,289163.43
2017-12-08,28.1,33.67,24.07,24.55,9496.15,266841.82
2017-12-09,29.26,32.98,25.99,25.99,3988.72,116709.95
2017-12-10,35.39,43.34,29.37,29.68,11540.16,408406.26
2017-12-11,35.54,43.72,33.92,39.32,4799.36,170569.25
2017-12-12,36.0,39.91,32.8,36.29,8502.65,306095.4
2017-12-13,31.79,34.87,31.12,34.32,6188.67,196737.82
2017-12-14,43.52,44.0,31.47,32.15,18237.75,793706.88
2017-12-15,44.12,47.74,36.93,46.56,66640.14,2940162.98
2017-12-16,44.05,53.35,42.02,48.48,64146.9,2825670.95
2017-12-17,43.97,47.51,39.98,43.41,37376.46,1643442.95
2017-12-18,49.57,53.07,37.19,43.75,39452.03,1955637.13
2017-12-19,45.58,48.8,41.18,45.79,49470.31,2254856.73
2017-12-20,73.65,81.98,42.78,42.8,139576.32,10279795.97
2017-12-21,57.17,73.0,49.05,71.19,75208.95,4299695.67
2017-12-22,43.82,49.97,36.85,49.97,37918.63,1661594.37
2017-12-23,45.13,53.76,43.12,46.17,28651.41,1293038.13
2017-12-24,42.24,43.71,40.8,43.18,14726.32,622039.76
2017-12-25,49.76,56.63,40.71,42.36,33351.79,1659585.07
2017-12-26,66.57,97.53,51.71,56.68,153723.22,10233354.76
2017-12-27,52.45,70.85,50.75,65.14,52840.29,2771473.21
2017-12-28,48.96,51.37,43.74,48.98,25756.86,1261055.87
2017-12-29,47.02,55.93,45.64,48.93,25660.99,1206579.75
2017-12-30,39.19,42.28,37.54,40.94,22747.89,891489.81
2017-12-31,42.26,45.69,40.54,43.31,21666.43,915623.33
2018-01-01,42.67,42.67,40.04,41.02,18878.04,805525.97
2018-01-02,40.5,48.25,37.96,46.64,30216.86,1223782.83
2018-01-03,38.94,45.2,32.36,41.6,55652.37,2167103.29
2018-01-04,39.41,48.45,32.32,39.71,39330.89,1550030.37
2018-01-05,35.93,45.59,34.18,44.01,41231.83,1481459.65
2018-01-06,45.59,45.59,29.36,36.47,49906.61,2275242.35
2018-01-07,41.28,49.98,35.41,43.07,91606.16,3781502.28
2018-01-08,38.34,49.42,32.23,38.1,74572.68,2859116.55
2018-01-09,34.67,42.13,31.98,37.04,154239.22,5347473.76
2018-01-10,32.91,37.02,32.09,35.75,187246.41,6162279.35
2018-01-11,27.11,30.81,27.11,29.4,165830.28,4495658.89
2018-01-12,30.76,31.85,28.18,28.18,153849.1,4732398.32
2018-01-13,149.27,316.05,30.28,31.65,4708129.01,702782417.32
2018-01-14,108.58,203.22,96.62,142.25,2926795.27,317791430.42
2018-01-15,76.08,127.87,72.28,108.55,1161740.4,88385209.63
2018-01-16,44.54,66.37,38.89,63.24,553452.59,24650778.36
2018-01-17,85.06,108.8,39.62,44.16,1849231.28,157295612.68
2018-01-18,84.93,108.91,76.14,84.38,1208161.59,102609163.84
2018-01-19,79.83,89.89,77.29,87.57,331711.0,26480489.13
2018-01-20,80.12,92.71,78.86,88.58,402295.61,32231924.27
2018-01-21,66.35,76.09,63.52,72.19,237356.51,15748604.44
