time,close,high,low,open,volumefrom,volumeto
2017-12-01,0.05862,0.06001,0.05862,0.05908,11816.92,692.71
2017-12-02,0.05724,0.05816,0.05267,0.05816,117336.95,6716.37
2017-12-03,0.06294,0.06294,0.05693,0.05785,407722.81,25662.07
2017-12-04,0.09199,0.1079,0.06257,0.06304,1460098.23,134314.44
2017-12-05,0.08489,0.09079,0.0808,0.08943,272514.13,23133.72
2017-12-06,0.07562,0.08323,0.0752,0.079,405431.52,30658.73
2017-12-07,0.06528,0.07791,0.06528,0.07539,249027.98,16256.55
2017-12-08,0.07634,0.0768,0.06686,0.07002,181789.42,13877.8
2017-12-09,0.08228,0.08228,0.07046,0.07991,127903.57,10523.91
2017-12-10,0.08424,0.08686,0.07202,0.07595,282707.38,23815.27
2017-12-11,0.09239,0.1021,0.09239,0.09906,222719.51,20577.06
2017-12-12,0.09651,0.1221,0.09651,0.1182,226718.82,21880.63
2017-12-13,0.079,0.1028,0.0783,0.1028,169080.9,13357.39
2017-12-14,0.09225,0.1061,0.06866,0.07837,130333.62,12023.28
2017-12-15,0.08827,0.09101,0.08006,0.09101,216799.03,19136.85
2017-12-16,0.09284,0.1012,0.08799,0.08938,128007.95,11884.26
2017-12-17,0.1055,0.1055,0.08828,0.09617,301706.56,31830.04
2017-12-18,0.1132,0.1155,0.1053,0.1155,141546.85,16023.1
2017-12-19,0.1073,0.1178,0.104,0.117,439246.5,47131.15
2017-12-20,0.1407,0.1614,0.1031,0.1055,589756.29,82978.71
2017-12-21,0.146,0.1563,0.1287,0.15,270570.41,39503.28
2017-12-22,0.1125,0.1224,0.09341,0.1217,366551.17,41237.01
2017-12-23,0.1492,0.1506,0.1177,0.1198,320593.88,47832.61
2017-12-24,0.2068,0.2366,0.1196,0.144,500527.45,103509.08
2017-12-25,0.2242,0.2806,0.1938,0.2097,432924.33,97061.63
2017-12-26,0.2614,0.278,0.232,0.2336,98396.73,25720.91
2017-12-27,0.2449,0.259,0.2175,0.2568,114812.52,28117.59
2017-12-28,0.1863,0.2372,0.1706,0.2372,108621.17,20236.12
2017-12-29,0.2056,0.2145,0.1642,0.1923,92346.27,18986.39
2017-12-30,0.1885,0.1933,0.158,0.1927,37897.7,7143.72
2017-12-31,0.1957,0.1964,0.1697,0.1816,30294.66,5928.66
2018-01-01,0.1762,0.2034,0.1732,0.1996,27218.59,4795.92
2018-01-02,0.1845,0.2181,0.1724,0.2181,54374.13,10032.03
2018-01-03,0.2362,0.2362,0.1882,0.2014,88666.46,20943.02
2018-01-04,0.2154,0.2372,0.1814,0.2372,26620.39,5734.03
2018-01-05,0.2205,0.2524,0.1799,0.2205,101409.56,22360.81
2018-01-06,0.2214,0.2466,0.1852,0.2305,106901.28,23667.94
