time,close,high,low,open,volumefrom,volumeto
2018-05-09,12.05,12.8,12.0,12.3,2966.97,36740.6
2018-05-10,9.0,12.98,8.05,12.05,28302.6,280185.29
2018-05-11,8.17,10.33,7.51,9.0,10979.82,91344.28
2018-05-12,7.42,8.2,7.11,8.17,4053.54,30312.85
2018-05-13,8.26,8.41,7.21,7.42,3253.02,25923.36
2018-05-14,7.9,8.38,7.47,8.26,3908.98,30715.45
2018-05-15,7.85,10.0,7.56,7.97,9540.2,78725.54
2018-05-16,7.6,8.6,7.59,7.85,2660.45,21053.13
2018-05-17,7.3,7.99,7.3,7.6,3992.76,30213.47
2018-05-18,7.05,7.64,6.5,7.3,3595.96,24792.39
2018-05-19,7.0,7.05,6.02,7.05,7541.7,49314.2
2018-05-20,6.23,7.0,6.23,7.0,3332.35,21473.72
2018-05-21,5.96,6.63,5.75,6.23,5216.93,32023.94
2018-05-22,5.28,5.96,5.21,5.96,2625.42,14608.34
2018-05-23,4.73,5.49,4.54,5.28,5360.29,26277.3
2018-05-24,4.62,5.09,4.62,4.73,1445.16,7019.22
2018-05-25,5.09,5.4,4.56,4.62,4666.38,22827.14
2018-05-26,4.79,5.69,4.61,5.09,4883.95,24365.01
2018-05-27,4.62,5.0,4.62,4.79,4516.19,21125.52
2018-05-28,4.48,4.78,4.04,4.62,4067.55,18061.19
2018-05-29,4.38,4.48,4.05,4.48,3573.91,15299.51
2018-05-30,4.12,4.41,4.01,4.38,4867.8,20473.68
2018-05-31,4.04,4.18,3.9,4.12,4082.74,16712.38
2018-06-01,3.4,4.07,3.06,4.04,9078.33,32528.01
2018-06-02,3.38,3.57,3.07,3.4,4618.12,15165.71
2018-06-03,3.55,3.89,3.27,3.38,15404.97,56485.35
2018-06-04,5.37,5.77,3.25,3.55,28428.64,134361.51
2018-06-05,7.0,9.58,4.63,5.37,59254.77,435821.42
2018-06-06,6.3,7.82,5.12,7.0,34674.46,211450.9
2018-06-07,4.86,6.46,4.67,6.3,21634.39,112874.79
2018-06-08,5.24,5.62,4.61,4.86,11750.46,60279.41
2018-06-09,5.11,5.58,4.76,5.24,8373.85,43830.09
2018-06-10,4.1,5.3,4.02,5.11,17338.83,79148.8
2018-06-11,4.37,4.98,4.02,4.1,6503.69,28207.77
2018-06-12,4.49,4.83,4.0,4.37,30306.66,133595.64
2018-06-13,3.68,4.54,3.5,4.49,19488.37,78639.51
2018-06-14,4.14,4.33,3.62,3.68,14143.63,56103.94
2018-06-15,3.98,4.14,3.63,4.14,3884.5,15165.22
2018-06-16,3.71,3.98,3.46,3.98,5699.19,21030.12
2018-06-17,3.76,3.95,3.66,3.71,17067.5,65250.41
2018-06-18,3.84,3.89,3.61,3.76,4727.14,17835.76
2018-06-19,3.68,3.84,3.31,3.84,13002.97,47720.02
2018-06-20,3.6,3.68,3.33,3.68,12647.31,44026.08
2018-06-21,3.28,3.6,3.0,3.6,23603.09,76260.74
2018-06-22,2.53,3.3,2.37,3.28,23060.56,68095.46
2018-06-23,2.89,2.89,2.53,2.53,18424.76,51336.2
2018-06-24,2.5,2.89,2.27,2.89,5960.83,14549.71
2018-06-25,2.41,2.52,2.11,2.5,23627.0,55842.82
2018-06-26,1.99,2.41,1.69,2.41,20157.88,40329.27
2018-06-27,1.98,2.01,1.68,1.99,12288.95,22958.09
2018-06-28,1.72,1.99,1.72,1.98,11033.79,20193.62
2018-06-29,1.71,1.92,1.55,1.72,16546.9,28839.74
2018-06-30,1.67,1.91,1.55,1.71,18146.61,30826.26
2018-07-01,1.78,1.78,1.65,1.67,7660.58,12897.94
2018-07-02,1.86,1.97,1.6,1.78,27450.04,49762.42
2018-07-03,1.78,1.92,1.62,1.86,15666.99,27590.87
2018-07-04,2.31,2.59,1.66,1.78,47416.87,97213.41
2018-07-05,1.83,2.32,1.67,2.31,28006.8,55224.7
2018-07-06,1.97,1.99,1.76,1.83,12346.67,22584.38
2018-07-07,2.0,2.2,1.82,1.97,13412.09,26140.99
2018-07-08,2.0,2.2,1.85,2.0,11945.9,24247.87
2018-07-09,2.04,2.09,1.91,2.0,5716.71,11134.07
2018-07-10,1.78,2.04,1.78,2.04,7921.19,14596.71
2018-07-11,1.85,1.85,1.78,1.78,1571.36,2857.25
2018-07-12,1.83,1.88,1.66,1.85,7252.41,13257.21
2018-07-13,1.75,1.85,1.67,1.83,2595.42,4684.56
2018-07-14,1.82,1.84,1.75,1.75,1427.14,2571.35
2018-07-15,1.89,1.89,1.78,1.82,5138.06,9555.2
2018-07-16,2.2,2.2,1.8,1.89,3913.71,7578.11
2018-07-17,2.11,2.23,1.9,2.2,10404.48,22038.78
2018-07-18,1.97,2.2,1.8,2.11,10174.64,20606.86
2018-07-19,2.03,2.15,1.92,1.97,4428.95,8952.69
2018-07-20,1.88,2.06,1.83,2.03,2049.6,4022.51
2018-07-21,1.95,2.04,1.84,1.88,2724.42,5309.81
2018-07-22,2.04,2.04,1.88,1.95,2644.07,5179.53
2018-07-23,2.03,2.06,1.95,2.04,3437.94,6881.64
2018-07-24,2.02,2.15,1.95,2.03,6922.42,14223.47
2018-07-25,2.11,2.15,1.96,2.02,1327.66,2676.48
2018-07-26,2.0,2.12,2.0,2.11,1341.26,2796.03
2018-07-27,2.03,2.13,1.9,2.0,5588.61,11083.74
2018-07-28,1.99,2.03,1.91,2.03,520.33,1027.66
2018-07-29,2.06,2.06,1.9,1.99,3615.43,7123.58
2018-07-30,1.97,2.13,1.97,2.06,1431.9,2918.42
2018-07-31,1.87,2.05,1.82,1.97,3167.6,6174.97
2018-08-01,1.67,1.95,1.67,1.87,2660.21,4815.0
2018-08-02,1.64,1.91,1.64,1.67,3040.9,5556.27
2018-08-03,1.67,1.88,1.64,1.64,1406.12,2328.66
2018-08-04,1.65,1.82,1.65,1.67,638.32,1057.72
2018-08-05,1.67,1.82,1.65,1.65,357.95,607.49
2018-08-06,1.88,1.89,1.67,1.67,1692.45,3038.51
2018-08-07,1.56,1.91,1.55,1.88,3211.45,5392.59
2018-08-08,1.33,1.72,1.32,1.56,3322.65,4954.0
2018-08-09,1.48,1.5,1.32,1.33,701.26,1016.49
2018-08-10,1.45,1.6,1.3,1.6,779.25,1080.69
2018-08-11,1.45,1.45,1.2,1.45,2122.49,2720.85
2018-08-12,1.4,1.45,1.31,1.45,1472.92,1958.19
2018-08-13,1.3,1.4,1.3,1.4,606.34,790.14
2018-08-14,1.2,1.38,1.11,1.3,2944.24,3502.98
2018-08-15,1.2,1.34,1.2,1.2,2214.13,2685.81
2018-08-16,1.16,1.3,1.15,1.2,313.36,374.0
2018-08-17,1.34,1.34,1.15,1.16,582.68,739.93
2018-08-18,1.29,1.37,1.29,1.34,665.28,879.97
2018-08-19,1.37,1.37,1.22,1.29,409.04,517.48
2018-08-20,1.27,1.37,1.26,1.37,385.53,489.07
2018-08-21,1.26,1.36,1.26,1.27,20.01,26.03
2018-08-22,1.35,1.35,1.26,1.26,8.02,10.81
2018-08-23,1.19,1.35,1.18,1.35,360.97,443.43
2018-08-24,1.2,1.31,1.19,1.19,90.18,108.82
2018-08-25,1.34,1.35,1.2,1.2,1146.02,1459.63
2018-08-26,1.21,1.34,1.19,1.34,708.36,861.96
2018-08-27,1.37,1.37,1.2,1.21,819.31,1045.39
2018-08-28,1.44,1.44,1.26,1.37,1583.6,2165.6
2018-08-29,1.55,1.8,1.32,1.44,1445.81,2112.32
2018-08-30,1.28,1.55,1.28,1.55,537.79,717.17
2018-08-31,1.45,1.48,1.28,1.28,138.71,198.21
2018-09-01,1.4,1.45,1.33,1.45,746.39,1001.15
2018-09-02,1.45,1.49,1.22,1.4,1028.93,1396.63
2018-09-03,1.64,1.79,1.4,1.45,2540.04,4066.3
2018-09-04,1.7,1.77,1.58,1.64,1326.49,2182.49
2018-09-05,1.41,1.76,1.4,1.7,3077.1,4670.71
2018-09-06,1.59,1.59,1.34,1.41,2696.43,4090.43
2018-09-07,1.61,1.63,1.32,1.59,1227.34,1967.22
2018-09-08,1.29,1.61,1.25,1.61,1714.3,2278.65
2018-09-09,1.46,1.47,1.25,1.29,484.57,660.33
2018-09-10,1.41,1.46,1.25,1.46,606.28,812.46
2018-09-11,1.4,1.58,1.26,1.41,1844.57,2629.1
2018-09-12,1.36,1.49,1.35,1.4,931.25,1311.13
2018-09-13,1.35,1.57,1.35,1.36,310.82,447.15
2018-09-14,1.6,1.64,1.35,1.35,2593.84,4022.04
2018-09-15,1.58,1.6,1.43,1.6,152.37,228.81
2018-09-16,1.44,1.6,1.43,1.58,474.89,732.72
2018-09-17,1.55,1.57,1.44,1.44,510.03,755.8
2018-09-18,1.52,1.55,1.4,1.55,952.66,1362.53
2018-09-19,1.3,1.52,1.27,1.52,1907.52,2551.26
2018-09-20,1.43,1.43,1.3,1.3,493.5,687.19
2018-09-21,1.41,1.53,1.33,1.43,1003.22,1460.35
2018-09-22,1.53,1.53,1.36,1.41,540.68,772.06
2018-09-23,1.4,1.53,1.29,1.53,7536.08,10009.03
2018-09-24,1.3,1.41,1.25,1.4,4383.21,5595.54
2018-09-25,1.49,1.61,1.19,1.3,5577.23,7732.58
2018-09-26,1.22,1.49,1.2,1.49,3855.09,4975.58
2018-09-27,1.34,1.39,1.22,1.22,4731.22,6097.72
2018-09-28,1.25,1.35,1.25,1.34,376.88,498.14
2018-09-29,1.32,1.33,1.25,1.25,497.4,636.07
2018-09-30,1.32,1.32,1.2,1.32,929.99,1184.73
2018-10-01,1.25,1.39,1.21,1.32,1599.07,2110.79
2018-10-02,1.25,1.25,1.25,1.25,0.0,0.0
2018-10-03,1.25,1.38,1.25,1.25,450.02,565.73
2018-10-04,1.25,1.25,1.25,1.25,121.04,151.3
2018-10-05,1.25,1.25,1.25,1.25,235.89,294.75
2018-10-06,1.25,1.25,1.25,1.25,136.99,171.19
2018-10-07,1.11,1.36,1.01,1.25,2724.15,3149.59
2018-10-08,1.21,1.32,1.11,1.11,1288.27,1594.11
2018-10-09,1.04,1.32,1.0,1.21,7673.41,8107.78
2018-10-10,1.05,1.17,1.01,1.04,9321.01,9940.23
2018-10-11,0.9406,1.14,0.9406,1.05,6811.61,6977.12
2018-10-12,0.975,0.994,0.9295,0.9406,410.86,396.22
2018-10-13,1.03,1.03,0.89,0.975,1651.63,1619.35
2018-10-14,0.911,1.03,0.911,1.03,309.04,285.09
2018-10-15,1.04,1.1,0.91,0.911,4997.93,4958.22
2018-10-16,1.08,1.08,0.97,1.04,2516.19,2578.92
2018-10-17,0.9719,1.08,0.95,1.08,691.6,690.1
2018-10-18,0.95,1.11,0.925,0.9719,4934.54,4925.12
2018-10-19,0.9311,1.0,0.93,0.95,6085.52,5841.27
2018-10-20,0.94,0.9544,0.9261,0.9311,4937.82,4598.28
2018-10-21,0.86,0.94,0.81,0.94,12169.07,10440.16
2018-10-22,0.8598,0.86,0.84,0.86,2934.6,2520.77
2018-10-23,0.8598,0.8598,0.8252,0.8598,2957.37,2488.47
2018-10-24,0.84,0.8598,0.84,0.8598,1333.35,1137.48
2018-10-25,0.84,0.84,0.8,0.84,1443.83,1190.06
2018-10-26,0.78,0.84,0.78,0.84,1961.6,1569.26
2018-10-27,0.75,0.78,0.7411,0.78,2355.43,1760.6
2018-10-28,0.72,0.75,0.7001,0.75,3725.79,2681.12
2018-10-29,0.6305,0.72,0.5512,0.72,8361.4,5352.13
2018-10-30,0.671,0.765,0.6305,0.6305,6768.45,4646.76
2018-10-31,0.7455,0.9943,0.67,0.671,6274.39,4922.49
2018-11-01,0.76,0.7757,0.65,0.7455,5255.9,3687.15
2018-11-02,0.7,0.7677,0.688,0.76,1514.77,1080.08
2018-11-03,0.7,0.73,0.68,0.7,1772.75,1234.06
2018-11-04,0.661,0.73,0.652,0.7,10870.81,7308.49
2018-11-05,0.642,0.7096,0.637,0.661,10074.68,6804.91
2018-11-06,0.71,0.73,0.642,0.642,2843.89,2003.34
2018-11-07,0.7001,0.755,0.7001,0.71,2141.53,1543.64
2018-11-08,0.7089,0.7442,0.68,0.7001,3395.76,2360.35
2018-11-09,0.693,0.7089,0.6565,0.7089,410.0,284.55
2018-11-10,0.657,0.7,0.656,0.693,4102.41,2763.51
2018-11-11,0.6247,0.696,0.6158,0.657,3424.62,2217.83
2018-11-12,0.6966,0.6966,0.6201,0.6247,1484.44,997.36
2018-11-13,0.64,0.7,0.632,0.6966,1521.8,985.61
2018-11-14,0.665,0.68,0.5132,0.64,18517.5,11476.39
2018-11-15,0.65,0.6653,0.551,0.665,6400.5,3946.84
2018-11-16,0.659,0.659,0.551,0.65,8848.6,5418.82
2018-11-17,0.65,0.659,0.5815,0.659,768.5,476.46
2018-11-18,0.591,0.656,0.568,0.65,9774.72,5694.58
2018-11-19,0.56,0.61,0.5462,0.591,15703.61,9230.46
2018-11-20,0.52,0.56,0.42,0.56,9695.9,4571.49
2018-11-21,0.499,0.525,0.441,0.52,2195.36,997.61
2018-11-22,0.4664,0.499,0.4633,0.499,850.49,408.07
2018-11-23,0.44,0.5,0.4383,0.4664,3620.33,1622.8
2018-11-24,0.3538,0.467,0.3538,0.44,2075.95,830.92
2018-11-25,0.376,0.4659,0.3538,0.3538,6232.01,2546.46
2018-11-26,0.381,0.4665,0.376,0.376,820.3,338.18
2018-11-27,0.4,0.4,0.3418,0.381,2455.78,917.57
2018-11-28,0.402,0.4665,0.4,0.4,4589.69,2100.19
2018-11-29,0.45,0.45,0.39,0.402,3848.05,1542.31
2018-11-30,0.4001,0.45,0.3915,0.45,1040.09,413.5
2018-12-01,0.4266,0.4399,0.4,0.4001,6360.32,2552.85
2018-12-02,0.41,0.5,0.4,0.4266,6294.02,2819.09
2018-12-03,0.401,0.498,0.4,0.41,6128.31,2479.03
2018-12-04,0.4,0.41,0.4,0.401,2279.45,913.63
2018-12-05,0.44,0.44,0.4,0.4,673.86,280.53
2018-12-06,0.39,0.44,0.39,0.44,4982.95,1960.99
2018-12-07,0.33,0.39,0.33,0.39,2665.82,963.74
2018-12-08,0.33,0.34,0.33,0.33,1161.98,385.32
2018-12-09,0.398,0.398,0.33,0.33,42.79,17.03
2018-12-10,0.3899,0.398,0.3476,0.398,244.81,93.74
2018-12-11,0.38,0.39,0.342,0.3899,160.0,57.96
2018-12-12,0.38,0.38,0.34,0.38,138.52,48.33
2018-12-13,0.38,0.38,0.38,0.38,0.0,0.0
2018-12-14,0.34,0.38,0.34,0.38,247.52,84.23
2018-12-15,0.34,0.34,0.34,0.34,511.0,173.74
2018-12-16,0.3402,0.3799,0.34,0.34,96.88,35.15
2018-12-17,0.3501,0.3779,0.34,0.3402,555.23,192.26
2018-12-18,0.37,0.3799,0.3501,0.3501,283.06,104.13
2018-12-19,0.4496,0.45,0.3501,0.37,4425.87,1864.86
2018-12-20,0.4,0.4499,0.4,0.4496,1527.98,634.92
2018-12-21,0.43,0.448,0.4,0.4,2968.0,1272.77
2018-12-22,0.391,0.43,0.3902,0.43,160.76,62.83
2018-12-23,0.439,0.4397,0.391,0.391,368.15,149.38
2018-12-24,0.4023,0.4499,0.4003,0.439,566.71,246.22
2018-12-25,0.3705,0.412,0.3705,0.4023,2603.84,983.35
2018-12-26,0.3705,0.371,0.3705,0.3705,973.41,360.7
2018-12-27,0.3705,0.3705,0.3705,0.3705,105.33,39.03
2018-12-28,0.353,0.415,0.3521,0.3705,2757.09,1086.98
2018-12-29,0.4186,0.42,0.3527,0.353,472.7,185.78
2018-12-30,0.4186,0.4186,0.4186,0.4186,0.0,0.0
2018-12-31,0.41,0.42,0.361,0.4186,577.26,237.48
2019-01-01,0.3658,0.4199,0.365,0.41,207.54,79.63
2019-01-02,0.413,0.419,0.3658,0.3658,180.46,74.93
2019-01-03,0.388,0.4165,0.385,0.413,631.51,245.74
2019-01-04,0.387,0.3901,0.387,0.388,245.9,95.62
2019-01-05,0.33,0.415,0.2801,0.387,19606.66,6556.85
2019-01-06,0.385,0.385,0.3061,0.33,2401.27,841.71
2019-01-07,0.378,0.385,0.32,0.385,3371.63,1216.21
2019-01-08,0.3411,0.39,0.339,0.378,1885.53,697.75
2019-01-09,0.384,0.384,0.3411,0.3411,623.87,222.98
2019-01-10,0.3102,0.384,0.3102,0.384,334.85,110.86
2019-01-11,0.3399,0.3399,0.275,0.3102,740.34,233.13
2019-01-12,0.35,0.35,0.275,0.3399,418.89,140.79
2019-01-13,0.3466,0.37,0.3021,0.35,433.36,148.89
2019-01-14,0.3466,0.3466,0.3466,0.3466,0.0,0.0
2019-01-15,0.261,0.35,0.26,0.3466,2539.44,743.86
2019-01-16,0.3298,0.3299,0.261,0.261,142.94,45.04
2019-01-17,0.346,0.346,0.3298,0.3298,836.82,285.57
2019-01-18,0.32,0.3496,0.32,0.346,394.18,134.79
2019-01-19,0.34,0.3496,0.32,0.32,147.99,51.39
2019-01-20,0.2498,0.34,0.22,0.34,9137.31,2175.88
2019-01-21,0.25,0.2999,0.2497,0.2498,1513.24,391.25
2019-01-22,0.2799,0.2799,0.23,0.25,6028.89,1517.93
2019-01-23,0.2499,0.2799,0.235,0.2799,10896.52,2790.45
2019-01-24,0.2549,0.2699,0.24,0.2499,4182.43,1054.69
2019-01-25,0.255,0.255,0.2539,0.2549,4506.19,1145.51
2019-01-26,0.255,0.255,0.254,0.255,4763.44,1214.51
2019-01-27,0.216,0.255,0.2132,0.255,94119.73,21682.73
2019-01-28,0.2,0.22,0.181,0.216,11702.78,2304.91
2019-01-29,0.2,0.2185,0.18,0.2,5823.14,1124.71
2019-01-30,0.1754,0.21,0.175,0.2,1472.73,268.16
2019-01-31,0.1999,0.2,0.1754,0.1754,471.94,94.36
2019-02-01,0.2148,0.2148,0.199,0.1999,983.72,199.82
2019-02-02,0.185,0.2148,0.1811,0.2148,193.81,35.27
2019-02-03,0.1998,0.2099,0.1812,0.185,1695.93,324.26
2019-02-04,0.2,0.201,0.1998,0.1998,1090.3,218.28
2019-02-05,0.21,0.21,0.2,0.2,522.06,109.63
2019-02-06,0.203,0.21,0.203,0.21,136.0,27.77
2019-02-07,0.2,0.205,0.19,0.203,2069.42,421.05
2019-02-08,0.2,0.2,0.2,0.2,58.43,11.69
