time,close,high,low,open,volumefrom,volumeto
2018-03-22,0.1544,0.1562,0.1475,0.1475,710.0,109.62
2018-03-23,0.1367,0.1581,0.1367,0.1581,62030.0,8479.5
2018-03-24,0.1214,0.1462,0.1086,0.1308,66480.0,8070.67
2018-03-25,0.1085,0.1364,0.1042,0.1203,59980.0,6507.83
2018-03-26,0.1255,0.1378,0.1043,0.1043,62590.0,7855.05
2018-03-27,0.1101,0.1312,0.107,0.1203,110640.0,12181.46
2018-03-28,0.1003,0.1138,0.0995,0.1122,101110.0,10141.33
2018-03-29,0.09381,0.09949,0.08102,0.08954,109350.0,10258.12
2018-03-30,0.08362,0.09116,0.07608,0.09047,59320.0,4960.34
2018-03-31,0.07708,0.09235,0.07708,0.08471,29750.0,2293.13
2018-04-01,0.06836,0.07998,0.06699,0.07588,53960.0,3688.71
2018-04-02,0.09338,0.1556,0.06721,0.07075,490800.0,45830.9
2018-04-03,0.1123,0.1479,0.09739,0.09888,304270.0,34169.52
2018-04-04,0.09201,0.1152,0.09133,0.1029,160850.0,14799.81
2018-04-05,0.08013,0.09914,0.07945,0.09167,180460.0,14460.26
2018-04-06,0.07962,0.09554,0.07431,0.07829,125500.0,9992.31
2018-04-07,0.0837,0.0837,0.07955,0.08301,11510.0,963.39
2018-04-08,0.07614,0.0853,0.0705,0.0853,102330.0,7791.41
2018-04-09,0.07468,0.07808,0.06857,0.07333,52590.0,3927.42
2018-04-10,0.07077,0.07696,0.0694,0.07558,96550.0,6832.84
2018-04-11,0.07535,0.07605,0.07047,0.07186,29370.0,2213.03
2018-04-12,0.09117,0.09751,0.08166,0.08562,56370.0,5139.25
2018-04-13,0.09795,0.1177,0.08136,0.09084,123140.0,12061.56
2018-04-14,0.1003,0.1067,0.09306,0.09948,18600.0,1865.58
2018-04-15,0.09801,0.1131,0.09298,0.1047,37720.0,3696.94
2018-04-16,0.08807,0.1018,0.08645,0.09453,20850.0,1836.26
2018-04-17,0.08318,0.09506,0.08238,0.08635,35470.0,2950.39
2018-04-18,0.08354,0.09337,0.0819,0.08599,46390.0,3875.42
2018-04-19,0.08136,0.1245,0.06641,0.08468,257020.0,20911.15
2018-04-20,0.07812,0.09942,0.07634,0.087,108970.0,8512.74
2018-04-21,0.1144,0.1162,0.07327,0.07863,367950.0,42093.48
2018-04-22,0.06882,0.1218,0.05823,0.1129,707230.0,48671.57
2018-04-23,0.07802,0.0852,0.06188,0.06995,177100.0,13817.34
2018-04-24,0.08401,0.09366,0.07821,0.08401,130000.0,10921.3
2018-04-25,0.07276,0.08075,0.07188,0.0772,33950.0,2470.2
2018-04-26,0.08447,0.0854,0.06497,0.07611,231690.0,19570.85
2018-04-27,0.08134,0.08402,0.0733,0.08134,132500.0,10777.55
2018-04-28,0.1085,0.1169,0.0664,0.0851,342080.0,37115.68
2018-04-29,0.1072,0.1148,0.08843,0.1091,303600.0,32545.92
2018-04-30,0.1017,0.1054,0.08046,0.1054,198510.0,20188.47
2018-05-01,0.08623,0.1089,0.06445,0.09985,990800.0,85436.68
2018-05-02,0.08586,0.09232,0.0794,0.08771,66500.0,5709.69
2018-05-03,0.07114,0.09453,0.02241,0.09063,1474750.0,104913.72
2018-05-04,0.08439,0.09797,0.05917,0.0679,1534000.0,129454.26
2018-05-05,0.08369,0.09846,0.07286,0.08566,981850.0,82171.03
2018-05-06,0.08777,0.1186,0.06944,0.08198,2267010.0,198975.47
2018-05-07,0.08534,0.09753,0.07502,0.08534,1865330.0,159187.26
2018-05-08,0.08368,0.08644,0.07725,0.08368,1074500.0,89914.16
2018-05-09,0.08109,0.08482,0.07737,0.08482,1264340.0,102525.33
2018-05-10,0.08219,0.08942,0.07768,0.07858,1194000.0,98134.86
2018-05-11,0.08168,0.08674,0.06821,0.07663,1369950.0,111897.52
2018-05-12,0.07723,0.09335,0.07468,0.08232,284970.0,22008.23
2018-05-13,0.08797,0.09493,0.07839,0.07926,728160.0,64056.24
2018-05-14,0.1023,0.1249,0.0876,0.0876,816530.0,83531.02
2018-05-15,0.1052,0.1153,0.08989,0.1001,679320.0,71464.46
2018-05-16,0.0993,0.1076,0.09513,0.1035,615200.0,61089.36
2018-05-17,0.0912,0.09685,0.08878,0.09605,94060.0,8578.27
2018-05-18,0.08825,0.1023,0.08825,0.0932,353510.0,31197.26
2018-05-19,0.1039,0.1039,0.08662,0.08827,105730.0,10985.35
2018-05-20,0.09472,0.1075,0.08789,0.1075,78520.0,7437.41
2018-05-21,0.09346,0.09683,0.08841,0.09346,56060.0,5239.37
2018-05-22,0.09591,0.09751,0.08552,0.08872,112100.0,10751.51
2018-05-23,0.1073,0.1351,0.08331,0.08782,546880.0,58680.22
2018-05-24,0.1365,0.1616,0.1077,0.1085,388960.0,53093.04
2018-05-25,0.1428,0.1645,0.1174,0.1346,765010.0,109243.43
2018-05-26,0.1625,0.1692,0.1294,0.1405,958980.0,155834.25
2018-05-27,0.2076,0.2577,0.1472,0.1627,1930440.0,400759.34
2018-05-28,0.1965,0.2499,0.178,0.2008,1856290.0,364760.99
2018-05-29,0.1966,0.2265,0.1884,0.2063,925700.0,181992.62
2018-05-30,0.173,0.2122,0.1619,0.1944,455120.0,78735.76
2018-05-31,0.1793,0.1951,0.159,0.1756,293440.0,52613.79
2018-06-01,0.1883,0.2086,0.1484,0.18,382150.0,71958.85
2018-06-02,0.1674,0.1972,0.1659,0.1911,102010.0,17076.47
2018-06-03,0.1776,0.1899,0.1613,0.1691,180090.0,31983.98
2018-06-04,0.1493,0.1786,0.1246,0.1726,389170.0,58103.08
2018-06-05,0.1282,0.1625,0.1266,0.1518,213600.0,27383.52
2018-06-06,0.1188,0.144,0.1149,0.1287,202480.0,24054.62
2018-06-07,0.1309,0.1463,0.1194,0.1194,126930.0,16615.14
2018-06-08,0.1297,0.1449,0.1205,0.1297,54830.0,7111.45
2018-06-09,0.1405,0.148,0.1277,0.1277,121930.0,17131.17
2018-06-10,0.1192,0.1273,0.103,0.1267,91160.0,10866.27
2018-06-11,0.1061,0.1212,0.09573,0.1212,128020.0,13582.92
2018-06-12,0.09114,0.101,0.07868,0.101,124320.0,11330.52
2018-06-13,0.09087,0.09466,0.07573,0.08771,152100.0,13821.33
2018-06-14,0.09168,0.09633,0.07573,0.09566,158140.0,14498.28
2018-06-15,0.08636,0.09147,0.07996,0.08827,83630.0,7222.29
2018-06-16,0.106,0.106,0.08324,0.08779,170430.0,18065.58
2018-06-17,0.1485,0.1614,0.09816,0.1053,566460.0,84119.31
2018-06-18,0.1759,0.2216,0.1356,0.1544,2065850.0,363383.02
2018-06-19,0.1342,0.1793,0.1342,0.1766,657940.0,88295.55
2018-06-20,0.1352,0.1555,0.1183,0.1345,722140.0,97633.33
2018-06-21,0.1183,0.1418,0.1169,0.1344,272600.0,32248.58
2018-06-22,0.09682,0.1132,0.0944,0.1065,154920.0,14999.35
2018-06-23,0.111,0.1202,0.0962,0.09866,214650.0,23826.15
2018-06-24,0.1219,0.1299,0.101,0.1108,471110.0,57428.31
2018-06-25,0.1202,0.139,0.1045,0.124,337800.0,40603.56
2018-06-26,0.112,0.1248,0.109,0.1169,95190.0,10661.28
2018-06-27,0.1124,0.1167,0.1075,0.113,27980.0,3144.95
2018-06-28,0.1104,0.1421,0.09864,0.1074,610495.37,67398.69
2018-06-29,0.1098,0.1166,0.1024,0.1166,299001.28,32830.34
2018-06-30,0.106,0.1207,0.1022,0.113,103660.81,10988.05
2018-07-01,0.09952,0.1071,0.09826,0.1052,80849.42,8046.13
2018-07-02,0.09923,0.1138,0.09923,0.1039,119138.94,11822.16
2018-07-03,0.09634,0.1022,0.09179,0.09764,93610.9,9018.47
2018-07-04,0.09226,0.1048,0.09226,0.09753,56103.91,5176.15
2018-07-05,0.09018,0.09606,0.08103,0.09149,64689.58,5833.71
2018-07-06,0.09375,0.09507,0.08781,0.09111,35668.04,3343.88
2018-07-07,0.09732,0.09867,0.09259,0.09596,46596.0,4534.72
2018-07-08,0.09659,0.09994,0.09256,0.09659,36820.75,3556.52
2018-07-09,0.08336,0.09603,0.08203,0.09603,102565.66,8549.87
2018-07-10,0.07127,0.08136,0.06938,0.07884,81818.21,5831.18
