time,close,high,low,open,volumefrom,volumeto
2018-06-04,0.4347,0.4414,0.4028,0.4361,7194.72,3127.54
2018-06-05,0.4181,0.453,0.4158,0.442,14722.44,6155.45
2018-06-06,0.4176,0.4298,0.3996,0.4199,12707.71,5306.74
2018-06-07,0.3899,0.4232,0.3851,0.4197,14053.48,5479.45
2018-06-08,0.3923,0.3962,0.3661,0.3863,15609.06,6123.43
2018-06-09,0.387,0.3888,0.3642,0.3864,11757.78,4550.26
2018-06-10,0.3213,0.3501,0.3204,0.3488,19651.88,6314.15
2018-06-11,0.3114,0.3302,0.2617,0.3267,21473.15,6686.74
2018-06-12,0.269,0.2995,0.2689,0.2965,117100.76,31500.1
2018-06-13,0.2477,0.2592,0.2387,0.2589,108275.58,26819.86
2018-06-14,0.2677,0.27,0.2528,0.2607,86104.32,23050.13
2018-06-15,0.2534,0.2747,0.2481,0.2577,55812.9,14142.99
2018-06-16,0.2502,0.2653,0.2478,0.2577,29357.56,7345.26
2018-06-17,0.2325,0.2491,0.2238,0.2485,156570.64,36402.67
2018-06-18,0.2406,0.251,0.2337,0.2418,104108.54,25048.51
2018-06-19,0.2279,0.2415,0.2096,0.2415,85730.65,19538.02
2018-06-20,0.2266,0.2343,0.2096,0.2285,247435.7,56068.93
2018-06-21,0.214,0.2332,0.2039,0.2253,86295.75,18467.29
2018-06-22,0.1926,0.1958,0.1846,0.1927,102624.76,19765.53
2018-06-23,0.2306,0.2602,0.195,0.1963,866612.22,199840.78
2018-06-24,0.1924,0.2304,0.1822,0.2304,338129.9,65056.19
2018-06-25,0.2147,0.3332,0.1956,0.1956,3311593.83,710999.2
2018-06-26,0.2164,0.265,0.1979,0.2088,1511768.14,327146.63
2018-06-27,0.2121,0.2518,0.1996,0.2272,834936.81,177090.1
2018-06-28,0.2026,0.2028,0.1926,0.1996,173268.69,35104.24
2018-06-29,0.2053,0.2267,0.2006,0.214,411229.69,84425.46
2018-06-30,0.2103,0.2227,0.1976,0.2113,239367.7,50339.03
2018-07-01,0.2003,0.209,0.1942,0.2087,106816.15,21395.27
2018-07-02,0.2405,0.2585,0.2038,0.2091,777194.1,186915.18
2018-07-03,0.2349,0.2404,0.2172,0.2367,314842.28,73956.45
2018-07-04,0.2306,0.2436,0.2188,0.2378,95137.03,21938.6
2018-07-05,0.2344,0.2398,0.2192,0.2287,62107.29,14557.95
2018-07-06,0.2183,0.2368,0.216,0.2368,65601.94,14320.9
2018-07-07,0.2341,0.2568,0.2199,0.2235,229823.78,53801.75
2018-07-08,0.235,0.2426,0.2198,0.2323,37036.03,8703.47
2018-07-09,0.2399,0.2517,0.2223,0.2337,338862.25,81293.05
2018-07-10,0.218,0.2352,0.2126,0.2298,142397.5,31042.66
2018-07-11,0.2137,0.2212,0.2024,0.221,180880.69,38654.2
2018-07-12,0.2058,0.2269,0.1989,0.209,160321.48,32994.16
2018-07-13,0.2085,0.218,0.1993,0.205,52013.34,10844.78
2018-07-14,0.2119,0.2195,0.204,0.2098,75762.36,16054.04
2018-07-15,0.2154,0.2311,0.2074,0.2152,117967.73,25410.25
2018-07-16,0.2221,0.2282,0.2158,0.2281,133768.69,29710.03
2018-07-17,0.2444,0.2698,0.2293,0.2371,709640.14,173436.05
2018-07-18,0.2626,0.2711,0.2407,0.2463,557114.65,146298.31
2018-07-19,0.2468,0.2659,0.2416,0.2659,310948.73,76742.15
2018-07-20,0.2412,0.2558,0.2342,0.2453,302548.58,72974.72
2018-07-21,0.2452,0.2562,0.2319,0.2562,163862.31,40179.04
2018-07-22,0.2334,0.245,0.231,0.245,140123.66,32704.86
2018-07-23,0.2393,0.2565,0.2224,0.2443,480378.14,114954.49
2018-07-24,0.2473,0.2615,0.229,0.2603,196822.75,48674.27
2018-07-25,0.2388,0.2503,0.2291,0.2407,296542.22,70814.28
2018-07-26,0.2338,0.2476,0.2258,0.232,248079.92,58001.09
2018-07-27,0.247,0.2628,0.236,0.2411,187754.88,46375.46
2018-07-28,0.2515,0.2643,0.2423,0.2485,117153.57,29464.12
2018-07-29,0.2793,0.2842,0.2444,0.251,452290.38,126324.7
2018-07-30,0.2728,0.2916,0.2536,0.2779,425611.0,116106.68
2018-07-31,0.2268,0.2589,0.2177,0.2581,331656.35,75219.66
2018-08-01,0.2276,0.2338,0.2194,0.2232,95066.87,21637.22
2018-08-02,0.2098,0.2257,0.2098,0.2255,157341.38,33010.22
2018-08-03,0.1942,0.2151,0.1799,0.2063,541214.67,105103.89
2018-08-04,0.1914,0.2072,0.158,0.1837,48192.44,9224.03
2018-08-05,0.1852,0.1961,0.1774,0.192,51198.92,9482.04
2018-08-06,0.1801,0.2022,0.1662,0.1827,149683.59,26958.01
2018-08-07,0.1577,0.1777,0.1491,0.1764,127567.94,20117.46
2018-08-08,0.1434,0.1508,0.1322,0.1474,112284.65,16101.62
2018-08-09,0.1433,0.1494,0.1356,0.1493,74811.51,10720.49
2018-08-10,0.1309,0.1473,0.1237,0.1348,150251.03,19667.86
2018-08-11,0.1291,0.1456,0.1204,0.1329,100601.78,12987.69
2018-08-12,0.1248,0.1414,0.1207,0.1363,38873.4,4851.4
2018-08-13,0.1194,0.1465,0.09645,0.1303,268175.46,32020.15
2018-08-14,0.1073,0.1634,0.09926,0.1197,2072352.44,222363.42
2018-08-15,0.1113,0.1195,0.1036,0.1085,375976.43,41846.18
2018-08-16,0.1085,0.1166,0.1054,0.1122,176528.33,19153.32
2018-08-17,0.1219,0.124,0.1104,0.1131,136568.86,16647.74
2018-08-18,0.1102,0.1219,0.1091,0.1184,122590.91,13509.52
2018-08-19,0.1145,0.1182,0.1113,0.1116,28073.14,3214.37
2018-08-20,0.1089,0.1342,0.1072,0.1109,436434.96,47527.77
2018-08-21,0.1088,0.1165,0.1048,0.1128,81156.98,8829.88
2018-08-22,0.1027,0.108,0.09899,0.1067,70249.96,7214.67
2018-08-23,0.1239,0.2154,0.1031,0.1055,3506533.92,434459.55
2018-08-24,0.1322,0.1607,0.1238,0.1271,1936439.56,255997.31
2018-08-25,0.1237,0.139,0.1217,0.133,411089.63,50851.79
2018-08-26,0.1177,0.1343,0.1162,0.1232,612043.74,72037.55
2018-08-27,0.1145,0.1251,0.1113,0.1211,469113.35,53713.48
2018-08-28,0.1176,0.1235,0.1136,0.1174,212246.68,24960.21
2018-08-29,0.1127,0.1233,0.1109,0.1169,327992.45,36964.75
2018-08-30,0.1093,0.1186,0.1053,0.1118,207691.66,22700.7
2018-08-31,0.1115,0.1134,0.1077,0.1098,40773.39,4546.23
2018-09-01,0.1216,0.1235,0.1097,0.1143,149565.84,18187.21
2018-09-02,0.1118,0.1246,0.1112,0.1232,104510.05,11684.22
2018-09-03,0.1108,0.1164,0.109,0.1113,217308.4,24077.77
2018-09-04,0.1118,0.1182,0.1102,0.1138,218287.29,24404.52
2018-09-05,0.09273,0.1067,0.09226,0.1017,202729.93,18799.15
2018-09-06,0.09102,0.09402,0.0832,0.09011,130491.03,11877.29
2018-09-07,0.08784,0.09804,0.08624,0.08957,134072.83,11776.96
2018-09-08,0.08649,0.08897,0.07794,0.08494,105580.47,9131.65
2018-09-09,0.08043,0.08717,0.07899,0.08717,46415.78,3733.22
2018-09-10,0.0807,0.08664,0.07943,0.0814,33617.45,2712.93
2018-09-11,0.08373,0.1008,0.07882,0.08033,278866.57,23349.5
2018-09-12,0.07769,0.09335,0.07009,0.0839,163929.03,12735.65
2018-09-13,0.0742,0.08641,0.07037,0.07959,294839.1,21877.06
2018-09-14,0.07997,0.08594,0.0707,0.07414,199058.57,15918.71
2018-09-15,0.08166,0.08766,0.07553,0.08042,101562.77,8293.62
2018-09-16,0.08564,0.08577,0.07829,0.08128,112574.16,9640.85
2018-09-17,0.07846,0.09968,0.07238,0.08253,627954.16,49269.28
2018-09-18,0.07451,0.08079,0.07349,0.07952,246267.22,18349.37
2018-09-19,0.07506,0.08146,0.07039,0.07512,163147.11,12245.82
2018-09-20,0.08789,0.1102,0.07209,0.07631,1532022.92,134649.49
2018-09-21,0.08824,0.09223,0.08054,0.09136,813213.94,71758.0
2018-09-22,0.08402,0.1069,0.07415,0.08765,796390.45,66912.73
2018-09-23,0.08921,0.09886,0.0813,0.08392,501799.55,44765.54
2018-09-24,0.09474,0.09474,0.08236,0.08763,175145.76,16593.31
2018-09-25,0.0873,0.09341,0.07313,0.09251,154364.85,13476.05
2018-09-26,0.08731,0.09332,0.07923,0.08763,193377.78,16883.81
2018-09-27,0.09033,0.09909,0.08411,0.09033,150701.62,13612.88
2018-09-28,0.08772,0.09144,0.0848,0.08964,108407.24,9509.48
2018-09-29,0.08321,0.09324,0.07911,0.0873,88098.91,7330.71
2018-09-30,0.09147,0.0969,0.08273,0.08399,156309.5,14297.63
2018-10-01,0.1076,0.1193,0.09029,0.09035,1490634.39,160392.26
2018-10-02,0.1072,0.1114,0.09919,0.1065,207649.01,22259.97
2018-10-03,0.1037,0.1128,0.09901,0.1067,129748.6,13454.93
2018-10-04,0.1086,0.1115,0.1008,0.1051,112396.43,12206.25
2018-10-05,0.1086,0.1154,0.1033,0.1093,150330.46,16325.89
2018-10-06,0.1063,0.1103,0.1019,0.1079,85515.53,9090.3
2018-10-07,0.1039,0.1081,0.1024,0.1065,82005.17,8520.34
2018-10-08,0.111,0.113,0.1021,0.1051,45133.64,5009.83
2018-10-09,0.1118,0.1191,0.1009,0.1108,58555.99,6546.56
2018-10-10,0.1094,0.1166,0.1077,0.111,145185.04,15883.24
2018-10-11,0.1021,0.1069,0.09656,0.1031,180752.61,18454.84
2018-10-12,0.1001,0.105,0.09995,0.1028,51695.77,5174.75
2018-10-13,0.1264,0.1272,0.1003,0.1003,575974.91,72803.23
2018-10-14,0.1196,0.1326,0.1109,0.1266,496056.62,59328.37
2018-10-15,0.1315,0.1703,0.1115,0.1252,948767.46,124762.92
2018-10-16,0.1294,0.1326,0.1208,0.1309,115237.61,14911.75
2018-10-17,0.1352,0.1611,0.1243,0.1293,582707.62,78782.07
2018-10-18,0.1435,0.1553,0.1272,0.1335,392570.58,56333.88
2018-10-19,0.1441,0.1499,0.1288,0.143,360393.82,51932.75
2018-10-20,0.1579,0.1821,0.1442,0.1445,320110.22,50545.4
2018-10-21,0.1557,0.1762,0.1447,0.1584,219118.66,34116.78
2018-10-22,0.1464,0.1603,0.1428,0.155,105319.59,15418.79
2018-10-23,0.1488,0.16,0.1435,0.1555,60783.43,9044.57
2018-10-24,0.157,0.1715,0.1427,0.1484,137872.49,21645.98
2018-10-25,0.1634,0.172,0.1459,0.1575,213385.14,34867.13
2018-10-26,0.1729,0.1815,0.1565,0.1632,202828.03,35068.97
2018-10-27,0.1838,0.2382,0.1706,0.1733,1263595.48,232248.85
2018-10-28,0.1893,0.1946,0.1779,0.1847,175422.11,33207.41
2018-10-29,0.1863,0.2089,0.1763,0.1847,297669.18,55455.77
2018-10-30,0.1957,0.2056,0.1828,0.1862,182513.55,35717.9
2018-10-31,0.1898,0.1968,0.1856,0.1967,77089.55,14631.6
2018-11-01,0.2036,0.2482,0.1785,0.191,1414919.64,288077.64
2018-11-02,0.1982,0.2082,0.1952,0.204,315271.46,62486.8
2018-11-03,0.2026,0.2206,0.1935,0.1977,250214.33,50693.42
2018-11-04,0.2034,0.2172,0.2021,0.2055,99266.01,20190.71
2018-11-05,0.2028,0.2146,0.1867,0.2029,219299.96,44474.03
2018-11-06,0.1988,0.2074,0.1894,0.2042,190186.26,37809.03
2018-11-07,0.1826,0.2056,0.1798,0.2003,235451.87,42993.51
2018-11-08,0.1732,0.1923,0.1648,0.1803,169403.75,29340.73
2018-11-09,0.1714,0.1735,0.1453,0.1715,131370.38,22516.88
2018-11-10,0.1699,0.1831,0.1633,0.1719,117380.04,19942.87
2018-11-11,0.1646,0.1735,0.1639,0.1702,41065.2,6759.33
2018-11-12,0.1605,0.1658,0.1601,0.1638,33801.54,5425.15
2018-11-13,0.1565,0.1645,0.1525,0.1596,76321.46,11944.31
2018-11-14,0.1338,0.1454,0.1286,0.1417,131273.56,17564.4
2018-11-15,0.1371,0.139,0.1262,0.1316,26588.62,3645.3
