time,close,high,low,open,volumefrom,volumeto
2017-10-19,0.001559,0.007685,0.0007685,0.003074,427410.75,666.33
2017-10-20,0.002122,0.006062,0.001537,0.001537,1180694.53,2505.43
2017-10-21,0.006291,0.3055,0.0002995,0.002097,3996935.33,25144.72
2017-10-22,0.003029,0.08824,0.001176,0.01161,10353221.94,31359.91
2017-10-23,0.00542,0.04784,0.003709,0.004921,3490474.43,18918.37
2017-10-24,0.004803,0.04744,0.003854,0.005749,2610222.85,12536.9
2017-10-25,0.01393,17958810.0,0.00395,0.005334,7598746.88,105850.54
2017-10-26,0.01389,0.4309,0.002955,0.01419,3948644.64,54846.67
2017-10-27,0.01037,0.05631,0.00981,0.01393,1419737.1,14722.67
2017-10-28,0.01085,195371.1,0.0044,0.01112,1537302.33,16679.73
2017-10-29,0.01198,0.01607,0.01064,0.01113,1588893.1,19034.94
2017-10-30,0.01503,0.02454,3.1e-07,0.01208,2267602.99,34082.07
2017-10-31,0.01237,5280299.6,0.007591,0.01336,904724.85,11191.45
2017-11-01,0.008685,0.01721,0.006078,0.0136,1063683.35,9238.09
2017-11-02,0.008548,0.02137,0.007978,0.008861,350055.46,2992.27
2017-11-03,0.01066,0.01188,0.008831,0.01063,644407.59,6869.38
2017-11-04,0.0138,0.0177,0.00372,0.01032,1391275.85,19199.61
2017-11-05,0.01588,0.02451,0.01102,0.01363,4241330.31,67352.33
2017-11-06,0.01546,0.01914,0.008905,0.0184,1084185.41,16761.51
2017-11-07,0.0155,30805171.2,0.01459,0.01532,635160.44,9844.99
2017-11-08,0.0154,0.01844,0.01057,0.01752,1339336.1,20625.78
2017-11-09,0.01438,0.01851,0.01298,0.01851,834664.86,12002.48
2017-11-10,0.01648,0.0175,0.01226,0.01345,526335.74,8674.01
2017-11-11,0.02411,0.03488,0.01571,0.03488,1345249.08,32433.96
2017-11-12,0.03397,0.04652,0.0239,0.02479,1474806.99,50099.19
2017-11-13,0.03108,0.04291,0.02989,0.03146,425705.01,13230.91
2017-11-14,0.02845,0.03682,0.0243,0.03515,368254.15,10476.83
2017-11-15,0.02484,0.04819,0.01656,0.02815,663582.95,16483.4
2017-11-16,0.02352,0.02774,0.02157,0.02315,433743.27,10201.64
2017-11-17,0.0199,0.03483,0.0199,0.02365,599089.94,11921.89
2017-11-18,0.02115,0.0288,0.0156,0.0191,339999.29,7190.98
2017-11-19,0.02028,9.75,0.01773,0.02446,399836.19,8108.68
2017-11-20,0.02096,0.4332,0.01765,0.02103,414418.37,8686.21
2017-11-21,0.02239,0.02468,0.02055,0.02055,243880.13,5460.48
2017-11-22,0.02748,0.02856,0.02342,0.02365,401505.19,11033.36
2017-11-23,0.03736,0.04045,0.02887,0.03053,812731.81,30363.66
2017-11-24,0.04281,0.0461,0.004704,0.04304,307993.82,13185.22
2017-11-25,0.04832,0.1626,0.03554,0.04181,1052827.45,50872.62
2017-11-26,0.09646,23527.0,9.4e-07,0.05176,1817059.85,175273.59
2017-11-27,0.07471,23762.0,0.04425,0.0998,1680062.75,125517.49
2017-11-28,0.08304,0.2938,0.0,0.07376,355747.13,29541.24
2017-11-29,0.09403,0.1069,0.07394,0.07617,791091.49,74386.33
2017-11-30,0.09667,0.1305,4e-09,0.09567,430376.35,41604.48
2017-12-01,0.1616,0.2285,0.1062,0.1154,635454.88,102689.51
2017-12-02,0.2118,0.2214,0.1786,0.1901,407867.37,86386.31
2017-12-03,0.323,0.3244,0.1768,0.2312,217579.48,70278.17
2017-12-04,0.4669,247939.83,0.02288,0.2993,572077.38,267102.93
2017-12-05,0.348,0.4585,0.1952,0.4585,238530.47,83008.6
2017-12-06,0.3063,0.3587,0.2577,0.338,66855.78,20477.93
2017-12-07,0.2186,0.3159,0.1685,0.3053,166888.16,36481.75
2017-12-08,0.2557,0.5873,0.1807,0.2191,105154.02,26887.88
2017-12-09,0.2081,0.3074,0.03452,0.2814,179384.6,37329.94
2017-12-10,0.2575,87298.0,0.1812,0.1812,95916.46,24698.49
2017-12-11,0.2566,0.4363,0.2489,0.3028,108645.88,27878.53
2017-12-12,0.2429,0.4399,0.2101,0.3283,187152.37,45459.31
2017-12-13,0.1864,3.29,0.1468,0.2587,269035.51,50148.22
2017-12-14,0.2636,0.3121,0.2011,0.2115,133590.3,35214.4
2017-12-15,0.2908,3214700.46,0.02407,0.2996,209068.58,60797.14
2017-12-16,0.388,0.4157,0.2369,0.2771,253038.92,98179.1
2017-12-17,0.3589,0.4665,0.323,0.4234,197595.48,70917.02
2017-12-18,0.3144,0.4716,0.0393,0.4163,200819.49,63137.65
2017-12-19,0.3412,1.05,0.3128,0.325,208851.24,71260.04
2017-12-20,0.5754,239751.0,0.2925,0.3357,282105.9,162323.73
2017-12-21,0.5932,0.5932,0.5932,0.5932,2915.0,1729.18
2017-12-22,0.4934,0.6503,0.4934,0.4944,5894.54,2908.37
2017-12-23,0.6696,0.6696,0.5113,0.5604,24279.65,16257.65
2017-12-24,0.5811,0.8429,0.3718,0.5069,65196.51,37885.69
2017-12-25,0.5048,0.7231,0.3688,0.6074,115551.21,58330.25
2017-12-26,0.4822,0.565,0.3842,0.5259,29728.43,14335.05
2017-12-27,0.4366,0.5328,0.3855,0.5032,46782.99,20425.45
2017-12-28,0.4157,0.5153,0.3583,0.43,46576.18,19361.72
2017-12-29,0.477,17.75,0.3735,0.4651,42402.41,20225.95
2017-12-30,0.4685,0.5197,0.3604,0.4442,51064.05,23923.51
2017-12-31,0.4591,0.4995,0.3861,0.4447,46814.0,21492.31
2018-01-01,0.4235,0.4984,0.4008,0.4688,46324.15,19618.28
2018-01-02,0.4882,0.5603,0.3448,0.4568,40973.43,20003.23
2018-01-03,0.6117,0.9411,0.3764,0.5628,135006.36,82583.39
2018-01-04,0.7086,0.7086,0.566,0.6141,115743.08,82015.55
2018-01-05,0.7542,0.7737,0.5377,0.7253,115739.98,87291.09
2018-01-06,0.8353,2.01,0.1208,0.7548,69814.45,58316.01
2018-01-07,1.02,1.13,0.7858,0.9277,125260.67,127765.88
2018-01-08,1.49,1.49,1.03,1.06,126546.26,188553.93
2018-01-09,2.06,193386000.0,0.7748,1.65,88971.85,183282.01
2018-01-10,1.56,1.99,1.25,1.81,70137.64,109414.72
2018-01-11,1.42,58105.32,1.07,1.38,25627.29,36390.75
2018-01-12,1.63,12610.3,1.39,1.58,18612.08,30337.69
2018-01-13,1.39,1.8,1.32,1.77,20592.15,28623.09
2018-01-14,1.36,1.74,1.16,1.59,23780.0,32340.8
2018-01-15,1.15,1.28,0.959,1.21,19480.35,22402.4
2018-01-16,0.8875,1.04,0.7877,0.898,17359.74,15406.77
2018-01-17,0.871,0.8761,0.7685,0.8659,8830.06,7690.98
2018-01-18,0.9117,1.01,0.6686,0.8491,28443.43,25931.88
2018-01-19,0.7262,0.9336,0.695,0.9336,38239.56,27769.57
2018-01-20,0.8284,0.9779,0.749,0.8055,29751.2,24645.89
2018-01-21,0.6872,1.05,0.6835,0.7553,7669.0,5270.14
2018-01-22,0.6748,0.8997,0.6548,0.6548,23013.54,15529.54
2018-01-23,0.7187,147670.5,0.6409,0.6645,11793.55,8476.02
2018-01-24,0.6371,0.8356,0.6371,0.7751,14764.18,9406.26
2018-01-25,0.6487,0.8109,0.6278,0.6278,8793.93,5704.62
2018-01-26,0.67,0.7318,0.5295,0.6606,23293.52,15606.66
2018-01-27,0.7374,0.7374,0.4436,0.7087,101117.56,74564.09
2018-01-28,0.585,0.8189,0.585,0.8189,15937.19,9323.26
2018-01-29,0.6669,0.6778,0.5557,0.5557,35129.3,23427.73
2018-01-30,0.6117,0.6223,0.5319,0.6117,11020.64,6741.33
2018-01-31,0.6412,0.6412,0.598,0.639,7826.34,5018.25
2018-02-01,0.4874,0.5634,0.4874,0.5634,5582.25,2720.79
2018-02-02,0.523,1.01,0.4148,0.4486,65016.68,34003.72
2018-02-03,0.5437,485435.0,0.4621,0.5534,14320.43,7786.02
2018-02-04,0.4759,0.8276,0.4635,0.4635,22056.64,10496.75
2018-02-05,0.4588,0.5178,0.3128,0.4935,44239.64,20297.15
2018-02-06,0.401,7.85,0.3533,0.4553,27417.98,10994.61
2018-02-07,0.4359,0.436,0.3759,0.384,31369.79,13674.09
2018-02-08,0.4719,0.5687,0.4556,0.4717,8965.06,4230.61
2018-02-09,0.5092,0.5092,0.5092,0.5092,0.0,0.0
2018-02-10,0.4934,0.4934,0.4934,0.4934,0.0,0.0
2018-02-11,0.4705,0.4705,0.4705,0.4705,0.0,0.0
2018-02-12,0.5019,0.5019,0.5019,0.5019,0.0,0.0
2018-02-13,0.4878,0.4878,0.4878,0.4878,0.0,0.0
2018-02-14,0.5337,0.5337,0.5337,0.5337,0.0,0.0
2018-02-15,0.5382,0.5382,0.5382,0.5382,0.0,0.0
2018-02-16,0.5441,0.5441,0.5441,0.5441,0.0,0.0
2018-02-17,0.5654,0.5654,0.5654,0.5654,0.0,0.0
2018-02-18,0.5301,0.5301,0.5301,0.5301,0.0,0.0
2018-02-19,0.5451,0.5451,0.5451,0.5451,0.0,0.0
2018-02-20,0.5136,0.5136,0.5136,0.5136,0.0,0.0
2018-02-21,0.4873,0.4873,0.4873,0.4873,0.0,0.0
2018-02-22,0.4667,0.4667,0.4667,0.4667,0.0,0.0
2018-02-23,0.4957,0.4957,0.4957,0.4957,0.0,0.0
2018-02-24,0.4834,0.4834,0.4834,0.4834,0.0,0.0
2018-02-25,0.4874,0.4874,0.4874,0.4874,0.0,0.0
2018-02-26,0.5032,0.5032,0.5032,0.5032,0.0,0.0
2018-02-27,0.5055,0.5055,0.5055,0.5055,0.0,0.0
2018-02-28,0.4939,0.4939,0.4939,0.4939,0.0,0.0
2018-03-01,0.4306,0.5219,0.09482,0.2828,20455.66,8808.21
2018-03-02,0.376,0.4278,0.05318,0.385,5924.51,2227.62
2018-03-03,0.3251,0.3594,0.3251,0.3594,1150.74,374.11
2018-03-04,0.3297,0.3297,0.2162,0.3297,7780.92,2565.37
2018-03-05,0.7645,0.7645,0.2124,0.3238,19953.23,15254.24
2018-03-06,0.3614,0.7341,0.2447,0.7341,3616.63,1307.05
2018-03-07,0.2351,0.3328,0.1878,0.3328,4778.7,1123.47
2018-03-08,0.2523,0.3075,0.2187,0.2187,3431.67,865.81
2018-03-09,0.2624,0.2624,0.1527,0.2624,925.98,242.98
2018-03-10,0.3026,0.3026,0.2183,0.2463,1949.16,589.82
2018-03-11,0.3195,0.3195,0.3195,0.3195,25.0,7.99
2018-03-12,0.2997,0.3091,0.244,0.3091,2693.94,807.37
2018-03-13,0.2415,0.2967,0.2415,0.2967,3901.91,942.31
2018-03-14,0.1901,0.2146,0.1901,0.2146,996.95,189.52
2018-03-15,0.232,0.232,0.1343,0.1893,2024.56,469.7
2018-03-16,0.2702,0.2702,0.1351,0.1982,5654.63,1527.88
2018-03-17,0.204,0.2584,0.1831,0.1831,7965.85,1625.03
2018-03-18,0.1994,0.2407,0.1881,0.1994,3889.76,775.62
2018-03-19,0.2222,0.2222,0.195,0.2061,489.25,108.71
2018-03-20,0.2007,0.223,0.1957,0.223,1892.4,379.8
2018-03-21,0.2239,0.28,0.2016,0.2016,502.18,112.44
2018-03-22,0.2154,0.2154,0.1944,0.2154,2478.41,533.85
2018-03-23,0.1795,0.217,0.1694,0.217,846.6,151.96
2018-03-24,0.1717,0.2023,0.1717,0.2023,3384.14,581.06
2018-03-25,0.1726,0.1726,0.1569,0.1726,4188.93,723.01
2018-03-26,0.1702,0.1702,0.1488,0.1605,31390.52,5342.67
2018-03-27,0.1526,0.1571,0.1346,0.1571,30664.54,4679.41
2018-03-28,0.1487,0.1596,0.1342,0.1516,35223.57,5237.74
2018-03-29,0.1344,0.1459,0.119,0.119,76887.86,10333.73
2018-03-30,0.1575,0.1575,0.1181,0.1378,33096.24,5212.66
2018-03-31,0.1241,0.1813,0.1068,0.1576,49826.18,6183.43
2018-04-01,0.1061,0.1263,0.08373,0.1193,36427.34,3864.94
2018-04-02,0.1154,0.1231,0.1,0.1043,46524.63,5368.94
2018-04-03,0.1123,0.1227,0.1077,0.1227,135873.5,15258.59
2018-04-04,0.1515,0.1515,0.1003,0.1022,150234.05,22760.46
2018-04-05,0.1525,0.3089,0.1182,0.1712,41681.9,6356.49
2018-04-06,0.1481,0.1852,0.1333,0.1481,4524.77,670.12
2018-04-07,0.1655,0.1675,0.127,0.1675,8876.64,1469.08
2018-04-08,0.1604,0.1843,0.1362,0.1723,13294.42,2132.42
2018-04-09,0.2179,0.2195,0.1597,0.1597,7368.23,1605.54
2018-04-10,0.2079,0.2494,0.2079,0.2286,13710.88,2850.49
2018-04-11,0.1855,0.2583,0.1855,0.2153,13747.06,2550.08
2018-04-12,0.2223,0.2914,0.2193,0.2193,8422.59,1872.34
2018-04-13,0.2277,0.2579,0.2227,0.2227,3720.26,847.1
2018-04-14,0.2061,0.2615,0.1257,0.2313,36779.97,7580.35
2018-04-15,0.1902,0.2189,0.1902,0.2189,4789.14,910.89
2018-04-16,0.2303,0.2558,0.1586,0.1791,24607.73,5667.16
2018-04-17,0.171,1.56,0.1515,0.2178,8186.83,1399.95
2018-04-18,0.1966,0.2208,0.1788,0.1788,966.81,190.07
2018-04-19,0.2099,0.2382,0.1758,0.2127,1495.08,313.82
2018-04-20,0.2111,0.3394,0.203,0.2283,17905.25,3779.8
2018-04-21,0.1937,0.207,0.1937,0.207,11435.0,2214.96
2018-04-22,0.1926,0.2113,0.1926,0.2113,8718.19,1679.12
2018-04-23,0.2061,0.2061,0.1546,0.1997,25191.31,5191.93
2018-04-24,0.2391,0.2391,0.1758,0.2251,25398.59,6072.8
2018-04-25,0.2008,0.2184,0.1915,0.21,8015.37,1609.49
2018-04-26,0.1654,0.5821,0.1654,0.215,1482.23,245.16
2018-04-27,0.2187,0.2187,0.1608,0.1608,5630.87,1231.47
2018-04-28,0.3552,0.3552,0.2117,0.2322,3372.79,1198.02
2018-04-29,0.2275,0.386,0.2275,0.3584,8764.82,1994.0
2018-04-30,0.2379,0.2379,0.2178,0.2211,26548.18,6315.81
2018-05-01,0.2371,0.2381,0.2371,0.2381,12141.15,2878.67
2018-05-02,0.2129,0.3042,0.2095,0.2428,4594.65,978.2
2018-05-03,0.2333,0.2411,0.2333,0.2411,4273.36,996.97
2018-05-04,0.1255,0.2353,0.1176,0.2353,2295.76,288.12
2018-05-05,0.2164,0.2164,0.1307,0.1307,27.0,5.84
2018-05-06,0.1265,0.2095,0.1265,0.2095,923.15,116.78
2018-05-07,0.1354,0.1354,0.1354,0.1354,1994.54,270.06
2018-05-08,0.1795,0.1982,0.1346,0.1346,2434.0,436.9
2018-05-09,0.308,0.308,0.308,0.308,150.0,46.2
2018-05-10,0.1809,0.2967,0.1809,0.2967,13574.34,2455.6
2018-05-11,0.2576,0.2576,0.1769,0.1769,11333.06,2919.4
2018-05-12,0.2051,0.2598,0.2051,0.2598,6414.05,1315.52
2018-05-13,0.2013,0.2188,0.1969,0.1969,1499.53,301.86
2018-05-14,0.1819,0.1819,0.1746,0.1746,7130.72,1297.08
2018-05-15,0.1905,0.1905,0.1764,0.1764,5796.63,1104.26
2018-05-16,0.1908,0.1908,0.1908,0.1908,5000.0,954.0
2018-05-17,0.1604,0.2206,0.1604,0.1805,4155.64,666.56
2018-05-18,0.2344,0.2358,0.1665,0.1665,1908.95,447.46
2018-05-19,0.1845,0.2353,0.1845,0.2353,2858.9,527.47
2018-05-20,0.1895,0.1895,0.1895,0.1895,15327.28,2904.52
2018-05-21,0.1707,0.2439,0.1161,0.1846,12568.63,2145.47
2018-05-22,0.157,0.157,0.157,0.157,30.0,4.71
2018-05-23,0.1731,0.1731,0.1269,0.1414,385.0,66.64
2018-05-24,0.1235,0.1808,0.1235,0.1808,599.54,74.04
2018-05-25,0.04971,0.1748,0.04971,0.1199,1084.53,53.91
2018-05-26,0.1324,0.1699,0.04979,0.04979,16561.36,2192.72
2018-05-27,0.1709,0.1994,0.1709,0.1994,2609.76,446.01
2018-05-28,0.1536,0.1536,0.1536,0.1536,1700.0,261.12
2018-05-29,0.17,0.17,0.17,0.17,1181.56,200.87
2018-05-30,0.1588,0.1671,0.1588,0.1671,2125.87,337.59
2018-05-31,0.1646,0.1646,0.1646,0.1646,0.0,0.0
2018-06-01,0.1651,0.1651,0.1651,0.1651,0.0,0.0
2018-06-02,0.1476,0.1684,0.1216,0.1684,302.53,44.65
2018-06-03,0.1492,0.161,0.1492,0.161,2003.0,298.85
2018-06-04,0.136,0.1774,0.04849,0.1425,770.33,104.76
2018-06-05,0.2129,0.2129,0.1399,0.1399,1180.61,251.35
2018-06-06,0.1758,0.234,0.1394,0.1819,2383.0,418.93
2018-06-07,0.1813,0.1813,0.1511,0.1752,10032.0,1818.8
2018-06-08,0.1415,0.2398,0.1415,0.2398,1000.0,141.5
2018-06-09,0.1517,0.1517,0.14,0.14,1447.1,219.53
2018-06-10,0.1238,0.1341,0.1238,0.1341,996.96,123.42
2018-06-11,0.1254,0.1254,0.1254,0.1254,0.0,0.0
2018-06-12,0.1167,0.1167,0.1167,0.1167,0.0,0.0
2018-06-13,0.1124,0.1124,0.1124,0.1124,0.0,0.0
2018-06-14,0.09357,0.1196,0.09357,0.1196,534.21,49.99
2018-06-15,0.1121,0.117,0.07313,0.07313,2342.94,262.64
2018-06-16,0.07956,0.07956,0.07956,0.07956,1495.66,118.99
2018-06-17,0.07948,0.07948,0.07948,0.07948,0.0,0.0
2018-06-18,0.08282,0.08282,0.08282,0.08282,0.0,0.0
2018-06-19,0.08615,0.08615,0.08615,0.08615,0.0,0.0
2018-06-20,0.1233,0.1657,0.1233,0.1657,6722.96,828.94
2018-06-21,0.1236,0.1236,0.1209,0.1209,11869.71,1467.1
2018-06-22,0.134,0.1433,0.134,0.1433,986.83,132.24
2018-06-23,0.07587,0.1375,0.06212,0.1375,28513.78,2163.34
2018-06-24,0.03733,0.07284,0.03733,0.07284,17.61,0.6574
2018-06-25,0.03762,0.03762,0.03762,0.03762,0.0,0.0
2018-06-26,0.07969,0.1104,0.07969,0.07973,5600.2,446.28
2018-06-27,0.08194,0.08194,0.08194,0.08194,0.0,0.0
2018-06-28,0.07804,0.07804,0.07804,0.07804,0.0,0.0
2018-06-29,0.05963,0.08074,0.05963,0.08074,797.55,47.56
2018-06-30,0.0662,0.1134,0.06212,0.06212,10180.67,673.96
2018-07-01,0.06779,0.06779,0.06598,0.06598,45668.76,3095.89
2018-07-02,0.06672,0.07149,0.06672,0.07149,119.63,7.98
2018-07-03,0.06467,0.06467,0.06467,0.06467,0.0,0.0
2018-07-04,0.06541,0.06541,0.06541,0.06541,0.0,0.0
2018-07-05,0.06546,0.06546,0.06546,0.06546,0.0,0.0
2018-07-06,0.09986,0.1527,0.06579,0.06579,38340.85,3828.72
2018-07-07,0.1117,0.1263,0.07773,0.1032,170084.82,18998.47
2018-07-08,0.104,0.1253,0.09043,0.1118,60479.57,6289.88
2018-07-09,0.08298,0.1009,0.08298,0.1009,13471.36,1117.85
2018-07-10,0.1082,0.1082,0.07615,0.07615,19617.85,2122.65
2018-07-11,0.1114,0.1114,0.1114,0.1114,298.68,33.27
2018-07-12,0.07886,0.1077,0.07886,0.1077,683.98,53.94
2018-07-13,0.06919,0.08606,0.06707,0.07914,74066.65,5124.67
2018-07-14,0.07955,0.07955,0.0694,0.0694,6533.01,519.7
2018-07-15,0.1111,0.1111,0.07378,0.08246,23750.04,2638.63
2018-07-16,0.1053,0.1183,0.05798,0.1183,14261.74,1501.76
2018-07-17,0.1093,0.1098,0.1093,0.1098,36549.51,3994.86
2018-07-18,0.1002,0.1073,0.08143,0.1049,636527.65,63780.07
2018-07-19,0.1017,0.1162,0.08904,0.09799,3397913.41,345567.79
2018-07-20,0.0763,0.1094,0.0763,0.09735,1253377.8,95632.73
2018-07-21,0.07842,0.07842,0.07838,0.07838,19004.69,1490.35
2018-07-22,0.08467,0.08467,0.07785,0.07785,13860.87,1173.6
2018-07-23,0.07657,0.08318,0.07653,0.08318,15673.61,1200.13
2018-07-24,0.08165,0.08165,0.07672,0.08165,11982.73,978.39
2018-07-25,0.0787,0.08026,0.0787,0.08026,8853.38,696.76
2018-07-26,0.07392,0.1015,0.07392,0.07716,11846.7,875.71
2018-07-27,0.09065,0.09159,0.07515,0.07515,6483.07,587.69
2018-07-28,0.08668,0.09043,0.07497,0.09043,41447.0,3592.63
2018-07-29,0.07786,0.08625,0.07786,0.08625,171038.31,13317.04
2018-07-30,0.06848,0.07625,0.06415,0.07625,45612.69,3123.56
