time,close,high,low,open,volumefrom,volumeto
2017-08-14,1.59,3.29,1.2,2.99,1076.96,1712.37
2017-08-15,1.43,1.52,1.09,1.52,2063.32,2950.55
2017-08-16,2.26,2.26,1.34,1.5,1311.2,2963.31
2017-08-17,1.93,2.25,1.2,2.25,908.63,1753.66
2017-08-18,1.88,1.88,1.88,1.88,0.0,0.0
2017-08-19,1.89,1.89,1.89,1.89,0.0,0.0
2017-08-20,1.92,1.92,1.92,1.92,0.0,0.0
2017-08-21,2.07,2.07,2.07,2.07,0.0,0.0
2017-08-22,2.02,2.02,2.02,2.02,0.0,0.0
2017-08-23,2.04,2.04,2.04,2.04,0.0,0.0
2017-08-24,2.41,2.83,2.27,2.79,8699.54,20965.89
2017-08-25,2.57,3.27,2.39,2.45,6782.49,17431.0
2017-08-26,2.46,2.66,2.13,2.59,4293.16,10561.17
2017-08-27,1.93,2.57,1.67,2.57,5109.31,9860.97
2017-08-28,1.88,2.36,1.84,1.93,1847.19,3472.72
2017-08-29,2.09,2.23,1.94,2.01,3951.14,8257.88
2017-08-30,2.26,3.26,2.01,2.15,6930.43,15662.77
2017-08-31,2.1,2.66,2.07,2.29,2563.55,5383.46
2017-09-01,2.35,2.54,2.08,2.11,2316.1,5442.84
2017-09-02,2.03,2.81,1.86,2.11,4771.85,9686.86
2017-09-03,1.82,2.91,1.62,2.04,8300.52,15106.95
2017-09-04,1.35,1.57,0.7957,1.57,16888.22,22799.1
2017-09-05,1.02,1.41,0.8743,1.41,8643.72,8816.59
2017-09-06,0.9829,32.54,0.1796,1.08,19848.7,19509.29
2017-09-07,1.38,3.22,0.9726,0.9726,242870.95,335161.91
2017-09-08,1.01,1.32,0.9662,1.26,2999287.5,3029280.38
2017-09-09,0.9594,1.03,0.8807,1.01,1187693.57,1139473.21
2017-09-10,0.9425,1.02,0.9066,0.9449,955568.75,900623.55
2017-09-11,1.01,1.1,0.9239,0.9385,1072252.13,1082974.65
2017-09-12,1.05,1.17,0.9879,1.0,1703952.27,1789149.88
2017-09-13,0.9359,0.9806,0.8854,0.9806,852749.16,798087.94
2017-09-14,0.6699,0.7678,0.6471,0.7571,1306156.8,874994.44
2017-09-15,0.8117,0.8651,0.6622,0.7792,1556710.28,1263581.73
2017-09-16,0.8044,0.9009,0.7482,0.7958,999802.91,804241.46
2017-09-17,0.7842,0.8331,0.7752,0.8168,616306.04,483307.2
2017-09-18,0.8974,0.9524,0.8545,0.903,714281.02,640995.79
2017-09-19,0.8009,0.8742,0.7799,0.8535,731475.4,585838.65
2017-09-20,0.7463,0.8297,0.7409,0.8025,550807.9,411067.94
2017-09-21,0.6908,0.7218,0.6663,0.6785,540363.21,373282.91
2017-09-22,0.7149,0.7283,0.6865,0.7047,550709.9,393702.51
2017-09-23,0.7703,0.8126,0.7669,0.778,496744.12,382642.0
2017-09-24,0.7783,0.7842,0.7359,0.7608,641685.53,499423.85
2017-09-25,0.918,0.9392,0.7965,0.8121,726300.75,666744.09
2017-09-26,0.859,0.9193,0.8399,0.8985,919986.89,790268.74
2017-09-27,1.15,1.23,0.9039,0.9225,1063587.33,1223125.43
2017-09-28,1.37,1.45,1.1,1.13,1649808.74,2260237.97
2017-09-29,1.25,1.34,1.15,1.32,986646.26,1233307.83
2017-09-30,1.28,1.33,1.23,1.3,689721.76,882843.85
2017-10-01,1.52,1.55,1.26,1.28,775820.71,1179247.48
2017-10-02,1.97,2.0,1.48,1.49,1328404.71,2616957.28
2017-10-03,1.84,1.99,1.69,1.94,1017444.04,1872097.03
2017-10-04,1.62,1.85,1.5,1.84,707203.44,1145669.57
2017-10-05,1.67,1.74,1.44,1.64,618390.37,1032711.92
2017-10-06,1.56,1.8,1.56,1.75,559621.26,873009.17
2017-10-07,1.57,1.63,1.5,1.57,432459.64,678961.63
2017-10-08,1.22,1.61,1.22,1.56,761530.32,929066.99
2017-10-09,1.43,147.52,1.17,1.17,1288344.34,1842332.41
2017-10-10,1.42,1.49,1.34,1.43,791522.03,1123961.28
2017-10-11,1.44,1.47,1.36,1.44,534350.75,769465.08
2017-10-12,1.34,1.44,1.28,1.44,579168.93,776086.37
2017-10-13,1.5,1.52,1.27,1.5,998130.82,1497196.23
2017-10-14,1.51,1.52,1.29,1.51,339157.56,512127.92
2017-10-15,1.55,1.67,1.4,1.5,644291.88,998652.41
2017-10-16,1.44,1.56,1.34,1.54,320506.74,461529.71
2017-10-17,1.39,1.39,1.32,1.36,170922.71,237582.57
2017-10-18,1.33,1.41,1.31,1.37,251028.42,333867.8
2017-10-19,1.26,1.35,1.25,1.31,304085.92,383148.26
2017-10-20,1.22,194.97,1.22,1.25,224702.73,274137.33
2017-10-21,1.24,1.25,1.2,1.21,189413.0,234872.12
2017-10-22,1.22,46.19,1.18,1.22,217979.37,265934.83
2017-10-23,1.2,1.24,1.14,1.18,324188.23,389025.88
2017-10-24,1.25,1.33,1.13,1.25,839461.03,1049326.29
2017-10-25,1.26,1.26,1.19,1.24,338412.62,426399.9
2017-10-26,1.22,1.26,1.14,1.26,262522.54,320277.5
2017-10-27,1.18,1.22,1.11,1.22,341176.51,402588.28
2017-10-28,1.18,1.2,1.14,1.19,118651.37,140008.62
2017-10-29,1.23,1.24,1.16,1.23,244809.38,301115.54
2017-10-30,1.33,1.36,1.17,1.24,347670.18,462401.34
2017-10-31,1.33,1.38,1.25,1.32,351276.71,467198.02
2017-11-01,1.27,1.29,1.2,1.27,297873.68,378299.57
2017-11-02,1.3,1.38,1.19,1.25,653624.12,849711.36
2017-11-03,1.46,1.49,1.37,1.39,335013.48,489119.68
2017-11-04,1.64,1.69,1.38,1.44,609438.54,999479.21
2017-11-05,1.52,1.62,1.45,1.62,285764.04,434361.34
2017-11-06,1.57,1.69,1.46,1.52,526115.53,826001.38
2017-11-07,1.79,1.82,1.5,1.55,529792.3,948328.22
2017-11-08,2.03,2.04,1.77,1.89,1056517.1,2144729.71
2017-11-09,2.05,2.13,1.95,2.11,693075.47,1420804.71
2017-11-10,1.83,1.91,1.66,1.91,748954.16,1370586.11
2017-11-11,1.68,2.01,1.66,1.93,492982.16,828210.03
2017-11-12,1.54,1.71,1.46,1.64,1260626.96,1941365.52
2017-11-13,1.7,1.72,1.54,1.59,389391.38,661965.35
2017-11-14,1.56,1.83,1.56,1.8,460482.99,718353.46
2017-11-15,1.55,1.64,1.48,1.54,728809.59,1129654.86
2017-11-16,1.57,1.72,1.53,1.55,656114.82,1030100.27
2017-11-17,1.51,1.6,1.49,1.58,427194.82,645064.18
2017-11-18,1.66,1.7,1.56,1.58,371076.77,615987.44
2017-11-19,1.61,1.74,1.57,1.69,366156.94,589512.67
2017-11-20,1.61,1.67,1.59,1.67,417064.17,671473.31
2017-11-21,1.59,1.63,1.53,1.6,379150.27,602848.93
2017-11-22,1.61,1.69,1.58,1.68,596551.33,960447.64
2017-11-23,1.56,1.73,1.48,1.72,533245.54,831863.04
2017-11-24,1.72,2.05,1.67,1.82,679722.7,1169123.04
2017-11-25,1.89,1.96,1.63,1.69,590587.78,1116210.9
2017-11-26,1.87,2.0,1.81,1.92,406487.81,760132.2
2017-11-27,1.95,1.95,1.75,1.89,419846.18,818700.05
2017-11-28,1.92,1.95,1.75,1.91,461743.33,886547.19
2017-11-29,1.78,1.84,1.5,1.76,2600668.67,4629190.23
2017-11-30,1.98,2.02,1.77,1.81,1140215.71,2257627.11
2017-12-01,2.07,2.18,2.02,2.1,484359.07,1002623.27
2017-12-02,2.08,2.08,2.0,2.05,254529.68,529421.73
2017-12-03,2.27,2.4,2.08,2.1,491521.82,1115754.53
2017-12-04,2.57,2.59,2.29,2.31,662902.22,1703658.71
2017-12-05,2.58,2.69,2.45,2.48,698732.14,1802728.92
2017-12-06,2.58,2.65,2.32,2.4,980013.0,2528433.54
2017-12-07,2.75,2.96,2.43,2.58,757230.54,2082383.99
2017-12-08,2.85,2.97,2.32,2.95,680208.87,1938595.28
2017-12-09,2.7,2.99,2.37,2.97,415003.36,1120509.07
2017-12-10,2.51,2.61,2.26,2.49,320778.27,805153.46
2017-12-11,2.72,3.13,2.66,2.89,434591.19,1182088.04
2017-12-12,2.68,3.71,2.65,3.42,754621.21,2022384.84
2017-12-13,2.78,3.18,2.66,2.88,784148.38,2179932.5
2017-12-14,3.2,3.24,2.59,2.75,1497441.54,4791812.93
2017-12-15,4.16,331.05,3.15,3.16,1025604.49,4266514.68
2017-12-16,4.7,4.78,3.8,4.21,886135.79,4164838.21
2017-12-17,6.09,6.86,4.79,4.81,1221352.18,7438034.78
2017-12-18,6.04,6.76,5.42,6.68,1025435.7,6193631.63
2017-12-19,5.78,6.44,5.54,6.24,1547702.48,8945720.33
2017-12-20,5.23,5.83,5.01,5.71,621251.87,3249147.28
2017-12-21,5.21,5.57,4.87,5.17,735251.0,3830657.71
2017-12-22,4.48,4.53,3.95,4.34,681626.0,3053684.48
2017-12-23,4.89,4.98,4.46,4.77,502893.89,2459151.12
2017-12-24,5.33,5.62,4.35,4.72,505249.92,2692982.07
2017-12-25,6.54,7.04,5.42,5.7,872120.59,5703668.66
2017-12-26,9.33,11.11,6.66,6.82,1326295.82,12374340.0
2017-12-27,10.11,11.04,8.37,9.19,1282767.72,12968781.65
2017-12-28,9.34,9.96,8.35,9.78,914275.93,8539337.19
2017-12-29,8.8,9.76,8.56,9.67,680111.04,5984977.15
2017-12-30,7.78,8.43,7.39,8.21,747031.58,5811905.69
2017-12-31,8.62,9.07,8.17,8.32,627494.31,5409000.95
2018-01-01,8.37,8.82,8.1,8.79,509007.77,4260395.03
2018-01-02,8.78,9.66,8.15,9.63,910818.2,7996983.8
2018-01-03,9.45,9.76,8.85,9.59,816176.31,7712866.13
2018-01-04,9.14,9.68,8.27,9.49,1401384.69,12808656.07
2018-01-05,14.99,17.41,8.74,9.43,2535151.3,38001917.99
2018-01-06,22.74,23.83,14.79,15.65,2587125.71,58831238.65
2018-01-07,18.47,25.26,18.28,25.18,1340740.94,24763485.16
2018-01-08,18.09,19.03,15.68,18.7,1425506.37,25787410.23
2018-01-09,17.4,21.97,16.24,20.54,1176358.64,20468640.34
2018-01-10,17.54,17.62,14.08,16.92,1178922.58,20678302.05
2018-01-11,21.37,22.79,14.39,15.95,2581748.16,55171958.18
2018-01-12,22.3,26.1,19.37,23.42,2259453.89,50385821.75
2018-01-13,22.02,24.82,20.79,24.51,1176088.28,25897463.93
2018-01-14,20.73,21.94,19.92,21.63,696763.9,14443915.65
2018-01-15,19.65,23.02,18.8,19.5,1489185.59,29262496.84
2018-01-16,13.84,16.12,9.31,16.04,2357315.3,32625243.75
2018-01-17,14.47,15.18,12.4,13.52,1821812.86,26361632.08
2018-01-18,14.27,15.3,13.68,14.33,1295913.82,18492690.21
2018-01-19,15.02,15.46,14.21,14.62,723269.24,10863503.98
2018-01-20,16.11,16.75,15.65,16.66,702406.36,11315766.46
2018-01-21,14.12,14.92,13.46,14.7,634548.99,8959831.74
2018-01-22,13.0,13.69,12.6,13.46,705798.52,9175380.76
2018-01-23,13.13,13.63,12.52,12.8,693481.27,9105409.08
2018-01-24,13.71,14.64,13.52,14.16,529606.64,7260907.03
2018-01-25,13.09,13.75,12.94,13.62,498901.03,6530614.48
2018-01-26,13.13,13.47,12.64,13.12,402907.29,5290172.72
2018-01-27,13.26,13.97,13.13,13.89,357592.33,4741674.3
2018-01-28,13.57,14.83,13.26,14.73,487818.2,6619692.97
2018-01-29,12.74,13.1,12.69,12.88,394418.59,5024892.84
2018-01-30,11.23,11.69,10.65,11.58,476561.34,5351783.85
2018-01-31,11.16,11.74,10.74,11.74,444180.34,4957052.59
2018-02-01,9.39,10.31,8.32,10.3,994797.56,9341149.09
2018-02-02,9.67,10.15,8.12,8.4,1200233.56,11606258.53
2018-02-03,9.77,10.33,9.65,10.27,605481.18,5915551.13
2018-02-04,8.41,8.46,8.1,8.33,590598.63,4966934.48
2018-02-05,6.7,7.09,5.9,7.06,724427.58,4853664.79
2018-02-06,8.25,8.58,7.25,7.54,1229857.32,10146322.89
2018-02-07,8.03,8.25,7.63,7.95,622948.9,5002279.67
2018-02-08,9.27,9.27,8.54,8.69,10273.31,95233.58
2018-02-09,9.85,10.02,9.12,9.31,481100.86,4738843.47
2018-02-10,9.25,9.88,9.13,9.56,624767.96,5779103.63
2018-02-11,8.68,8.97,8.4,8.82,396639.01,3442826.61
2018-02-12,9.33,9.47,9.18,9.28,345508.48,3223594.12
2018-02-13,9.0,9.14,8.89,9.07,286762.37,2580861.33
2018-02-14,10.39,10.66,9.71,9.85,416028.27,4322533.73
2018-02-15,10.91,11.14,10.24,10.5,763074.64,8325144.32
2018-02-16,11.18,11.18,10.69,11.03,375916.72,4202748.93
2018-02-17,11.74,12.03,11.35,11.65,450262.66,5286083.63
2018-02-18,10.68,11.03,10.53,11.0,350105.21,3739123.64
2018-02-19,11.07,11.15,10.91,11.0,250335.97,2771219.19
2018-02-20,9.91,10.48,9.79,10.43,357951.76,3547301.94
2018-02-21,9.43,9.99,9.22,9.4,349494.83,3295736.25
2018-02-22,8.88,9.11,8.73,9.04,273834.7,2431652.14
2018-02-23,9.7,9.7,8.99,9.46,289109.9,2804366.03
2018-02-24,9.1,9.54,8.94,9.46,268821.25,2446273.38
2018-02-25,9.35,9.41,9.09,9.2,188431.37,1761833.31
2018-02-26,9.93,9.99,9.33,9.66,299817.53,2977188.07
2018-02-27,10.58,10.89,9.86,9.97,669263.62,7080809.1
2018-02-28,10.44,10.77,10.22,10.34,313913.52,3277257.15
2018-03-01,10.47,10.78,10.35,10.64,265086.0,2775450.42
2018-03-02,10.21,10.6,10.05,10.29,200849.62,2050674.62
2018-03-03,10.21,10.37,10.11,10.21,166176.92,1696666.35
2018-03-04,10.36,10.42,10.12,10.32,134193.2,1390241.55
2018-03-05,10.09,10.28,10.02,10.21,176249.13,1778353.72
2018-03-06,9.41,9.73,9.22,9.7,238484.23,2244136.6
2018-03-07,9.04,9.67,8.45,8.66,590773.08,5340588.64
2018-03-08,8.29,8.45,7.85,8.45,359881.83,2983420.37
2018-03-09,8.31,8.63,7.88,8.62,320389.33,2662435.33
2018-03-10,7.66,7.83,7.53,7.81,131150.83,1004615.36
2018-03-11,8.23,8.35,7.88,8.09,142561.04,1173277.36
2018-03-12,8.02,8.09,7.88,7.96,169054.81,1355819.58
2018-03-13,10.16,11.05,7.87,7.94,1410855.31,14334289.95
2018-03-14,8.98,9.44,8.69,9.04,595998.32,5352064.91
2018-03-15,9.16,9.3,8.74,8.94,392489.86,3595207.12
2018-03-16,9.1,9.19,8.76,9.0,208711.2,1899271.92
2018-03-17,8.96,8.96,8.25,8.34,231519.63,2074415.88
2018-03-18,8.95,9.37,8.53,8.76,393649.47,3523162.76
2018-03-19,9.0,9.39,8.47,9.27,389938.35,3509445.15
2018-03-20,9.17,9.33,8.96,9.04,278639.73,2555126.32
2018-03-21,9.95,10.05,8.84,9.21,514511.69,5119391.32
2018-03-22,10.09,10.45,9.46,9.59,550740.47,5556971.34
2018-03-23,11.75,12.46,9.92,10.16,757217.32,8897303.51
2018-03-24,13.1,14.67,11.13,11.24,994448.82,13027279.54
2018-03-25,12.87,14.3,12.34,13.29,571632.79,7356914.01
2018-03-26,11.99,12.19,11.19,12.02,397667.29,4768030.81
2018-03-27,11.54,11.65,10.53,11.11,423577.31,4888082.16
2018-03-28,11.64,11.82,11.28,11.47,297470.59,3462557.67
2018-03-29,10.18,10.36,9.97,10.02,273143.16,2780597.37
2018-03-30,10.39,10.55,9.46,10.45,272441.87,2830671.03
2018-03-31,11.06,11.25,10.02,10.41,299993.65,3317929.77
2018-04-01,11.1,11.1,10.55,10.62,291984.06,3241023.07
2018-04-02,12.61,12.69,11.04,11.27,494238.79,6232351.14
2018-04-03,13.32,14.35,12.95,13.64,563662.93,7507990.23
2018-04-04,12.23,13.07,11.55,12.12,400429.57,4897253.64
2018-04-05,12.49,12.69,12.14,12.32,330437.63,4127166.0
