time,close,high,low,open,volumefrom,volumeto
2018-06-11,0.006958,0.007277,0.006762,0.007266,1715000,11932.97
2018-06-12,0.006483,0.006918,0.0063,0.006478,11316000,73361.63
2018-06-13,0.006016,0.006478,0.005625,0.006244,15550000,93548.8
2018-06-14,0.006254,0.006753,0.006181,0.006565,8696000,54384.78
2018-06-15,0.005972,0.006216,0.005606,0.005865,5205000,31084.26
2018-06-16,0.006166,0.006315,0.006011,0.006091,5508000,33962.33
2018-06-17,0.006209,0.006309,0.005986,0.00616,3489000,21663.2
2018-06-18,0.006367,0.006496,0.006015,0.006341,6485000,41290.0
2018-06-19,0.006047,0.006688,0.006041,0.006623,5363000,32430.06
2018-06-20,0.005453,0.006321,0.005372,0.006021,8906000,48564.42
2018-06-21,0.005189,0.005463,0.004737,0.005337,8748000,45393.37
2018-06-22,0.004298,0.005033,0.004298,0.004562,8536000,36687.73
2018-06-23,0.0045,0.004832,0.003959,0.00441,8930000,40185.0
2018-06-24,0.004411,0.004507,0.003833,0.00432,10915000,48146.07
2018-06-25,0.004336,0.004639,0.004083,0.004492,5758000,24966.69
2018-06-26,0.004695,0.004944,0.003956,0.00406,9086000,42658.77
2018-06-27,0.004351,0.004996,0.004245,0.004828,8715000,37918.96
2018-06-28,0.004148,0.00438,0.004073,0.004144,4544000,18848.51
2018-06-29,0.0043,0.004453,0.004039,0.004292,5688000,24458.4
2018-06-30,0.00433,0.004543,0.004285,0.00448,6700000,29011.0
2018-07-01,0.004284,0.004375,0.004176,0.004316,4806000,20588.9
2018-07-02,0.004342,0.004551,0.004242,0.004518,6585000,28592.07
2018-07-03,0.003696,0.004319,0.003696,0.004208,7749000,28640.3
2018-07-04,0.00406,0.004527,0.003738,0.003738,8263000,33547.78
2018-07-05,0.003998,0.004086,0.00375,0.004063,4273000,17083.45
2018-07-06,0.004211,0.004403,0.003806,0.004018,6790000,28592.69
2018-07-07,0.004037,0.004348,0.003954,0.004295,3635000,14674.5
2018-07-08,0.003953,0.004142,0.003909,0.00404,3966000,15677.6
2018-07-09,0.004055,0.004243,0.003814,0.003833,8437000,34212.03
2018-07-10,0.00379,0.003933,0.003609,0.003721,6769000,25654.51
2018-07-11,0.003943,0.004042,0.003819,0.003903,5119000,20184.22
2018-07-12,0.003964,0.003977,0.003753,0.003814,4145000,16430.78
2018-07-13,0.004238,0.004316,0.003892,0.003979,3297000,13972.69
2018-07-14,0.005574,0.005873,0.004251,0.004251,13318000,74234.53
2018-07-15,0.004932,0.005778,0.004932,0.005778,8396000,41409.07
2018-07-16,0.005649,0.005697,0.005017,0.005252,5028000,28403.17
2018-07-17,0.006188,0.006687,0.005649,0.005889,9171000,56750.15
2018-07-18,0.0056,0.006088,0.004728,0.00594,21270000,119112.0
2018-07-19,0.005132,0.005558,0.004626,0.005479,8242000,42297.94
2018-07-20,0.00478,0.00496,0.004376,0.004915,7021000,33560.38
2018-07-21,0.004772,0.004933,0.004624,0.00491,1983000,9462.88
2018-07-22,0.004613,0.004897,0.004435,0.004737,6623000,30551.9
2018-07-23,0.004294,0.004532,0.004096,0.004532,4805000,20632.67
2018-07-24,0.004574,0.004579,0.004123,0.004579,4359000,19938.07
2018-07-25,0.004293,0.004699,0.004293,0.004496,3209000,13776.24
2018-07-26,0.004112,0.004412,0.003881,0.004209,9348000,38438.98
2018-07-27,0.00426,0.00426,0.003758,0.00418,5213000,22207.38
2018-07-28,0.004287,0.004348,0.004034,0.00425,5273000,22605.35
2018-07-29,0.004051,0.00427,0.003986,0.004266,1646000,6667.95
2018-07-30,0.004086,0.004136,0.003652,0.003968,4926000,20127.64
2018-07-31,0.003866,0.003953,0.003732,0.003866,3473000,13426.62
2018-08-01,0.003863,0.004094,0.003443,0.003758,5789000,22362.91
2018-08-02,0.003718,0.003813,0.003615,0.00378,2568000,9547.82
2018-08-03,0.003796,0.003863,0.003637,0.003779,2618000,9937.93
2018-08-04,0.003621,0.003731,0.003556,0.003699,1814000,6568.49
2018-08-05,0.003504,0.003663,0.003479,0.003638,1858000,6510.43
2018-08-06,0.003381,0.003519,0.00326,0.00347,9683000,32738.22
2018-08-07,0.003349,0.003371,0.003042,0.003156,7628000,25546.17
2018-08-08,0.00315,0.003179,0.002916,0.00315,3964000,12486.6
2018-08-09,0.003326,0.003453,0.003119,0.003221,3570000,11873.82
2018-08-10,0.003127,0.00315,0.002885,0.003034,1828000,5716.16
2018-08-11,0.003085,0.003301,0.002999,0.002999,3958000,12210.43
2018-08-12,0.00316,0.003236,0.003058,0.003087,2139000,6759.24
2018-08-13,0.003153,0.003195,0.002815,0.00282,3449000,10874.7
2018-08-14,0.003106,0.003329,0.002967,0.003089,11322000,35166.13
2018-08-15,0.002987,0.003144,0.002703,0.003139,20535000,61338.05
2018-08-16,0.002722,0.003046,0.002581,0.003046,9813000,26710.99
2018-08-17,0.002969,0.003268,0.002785,0.003014,6456000,19167.86
2018-08-18,0.002934,0.003046,0.002724,0.002757,6001000,17606.93
2018-08-19,0.002981,0.003056,0.002828,0.002981,536000,1597.82
2018-08-20,0.002873,0.002922,0.002524,0.002695,4585000,13172.71
2018-08-21,0.003056,0.003137,0.002868,0.002983,6911000,21120.02
2018-08-22,0.003215,0.003299,0.002871,0.002939,6110000,19643.65
2018-08-23,0.003238,0.00328,0.003098,0.00328,4063000,13155.99
2018-08-24,0.003396,0.003464,0.003208,0.003303,2933000,9960.47
2018-08-25,0.0034,0.003478,0.00335,0.00335,704000,2393.6
2018-08-26,0.00341,0.003456,0.00336,0.00336,1783000,6080.03
2018-08-27,0.00352,0.003681,0.003491,0.00358,6993000,24615.36
2018-08-28,0.003517,0.003721,0.003517,0.003612,5322000,18717.47
2018-08-29,0.003493,0.003565,0.003369,0.003435,1342000,4687.61
2018-08-30,0.003435,0.003546,0.00314,0.003438,2287000,7855.85
2018-08-31,0.003493,0.003518,0.003366,0.003405,2118000,7398.17
2018-09-01,0.003624,0.003662,0.003456,0.003662,2106000,7632.14
2018-09-02,0.003602,0.003708,0.003304,0.00362,2788000,10042.38
2018-09-03,0.003748,0.003748,0.003398,0.003528,8357000,31322.04
2018-09-04,0.003437,0.003699,0.003411,0.003699,4979000,17112.82
2018-09-05,0.002712,0.002924,0.002303,0.002751,6250000,16950.0
2018-09-06,0.002823,0.00291,0.002639,0.002727,5083000,14349.31
2018-09-07,0.002771,0.002853,0.002582,0.002646,5065000,14035.12
2018-09-08,0.002566,0.002654,0.002479,0.002534,10191000,26150.11
2018-09-09,0.002562,0.002636,0.002471,0.002556,4140000,10606.68
2018-09-10,0.002247,0.002577,0.002169,0.002577,19323000,43418.78
2018-09-11,0.002394,0.002403,0.002029,0.002111,6798000,16274.41
2018-09-12,0.002497,0.002636,0.002324,0.002367,6211000,15508.87
2018-09-13,0.002675,0.002882,0.002675,0.002882,2327000,6224.73
2018-09-14,0.002646,0.002646,0.002419,0.002644,3596000,9515.02
2018-09-15,0.002651,0.00281,0.002651,0.002808,559000,1481.91
2018-09-16,0.002661,0.002811,0.002591,0.002633,3398000,9042.08
2018-09-17,0.002509,0.002549,0.002317,0.00237,1896000,4757.06
2018-09-18,0.002532,0.002709,0.002509,0.002667,1710000,4329.72
2018-09-19,0.002668,0.002687,0.002465,0.002549,3294000,8788.39
2018-09-20,0.002697,0.002859,0.002697,0.002859,5565000,15008.81
2018-09-21,0.002739,0.003017,0.002682,0.002972,4736000,12971.9
2018-09-22,0.002627,0.002687,0.002364,0.002663,6492000,17054.48
2018-09-23,0.002617,0.002668,0.002421,0.002668,4845000,12679.37
2018-09-24,0.002336,0.002471,0.002261,0.002439,3903000,9117.41
2018-09-25,0.002225,0.002352,0.002159,0.002247,3898000,8673.05
2018-09-26,0.002305,0.002305,0.002035,0.002174,7839000,18068.9
2018-09-27,0.00247,0.00247,0.002302,0.002465,6796000,16786.12
2018-09-28,0.002331,0.002388,0.002264,0.002388,1025000,2389.28
2018-09-29,0.002348,0.002491,0.002292,0.002433,2605000,6116.54
2018-09-30,0.002352,0.002389,0.002175,0.002361,6040000,14206.08
2018-10-01,0.002341,0.002383,0.002193,0.002334,5291000,12386.23
2018-10-02,0.00231,0.002315,0.002245,0.002286,3168000,7318.08
2018-10-03,0.00231,0.002323,0.002241,0.002255,1977000,4566.87
2018-10-04,0.0023,0.002362,0.0023,0.002328,837000,1925.1
2018-10-05,0.002313,0.002416,0.002313,0.002363,859000,1986.87
2018-10-06,0.002314,0.002323,0.002248,0.00228,835000,1932.19
2018-10-07,0.002347,0.002376,0.002293,0.002324,645000,1513.82
