time,close,high,low,open,volumefrom,volumeto
2018-01-05,2.98,3.26,2.29,2.6,5675838.0,16913997.24
2018-01-06,3.06,3.52,2.77,3.02,11097802.0,33959274.12
2018-01-07,3.22,3.33,2.84,2.9,8396701.0,27037377.22
2018-01-08,2.84,3.0,2.4,2.98,8371882.0,23776144.88
2018-01-09,2.55,2.78,2.42,2.75,7945496.0,20261014.8
2018-01-10,2.75,2.87,2.33,2.6,6370194.0,17518033.5
2018-01-11,2.43,2.79,2.2,2.46,8255652.0,20061234.36
2018-01-12,2.62,2.67,2.39,2.52,6918034.0,18125249.08
2018-01-13,2.39,2.7,2.3,2.7,5635160.0,13468032.4
2018-01-14,2.06,2.35,1.95,2.29,2783348.0,5733696.88
2018-01-15,1.87,2.11,1.72,2.06,4999629.0,9349306.23
2018-01-16,1.28,1.55,1.16,1.55,6581480.0,8424294.4
2018-01-17,1.43,1.5,1.19,1.26,8280034.0,11840448.62
2018-01-18,1.48,1.59,1.39,1.43,6985984.0,10339256.32
2018-01-19,1.63,1.68,1.46,1.52,5424074.0,8841240.62
2018-01-20,1.75,1.83,1.68,1.81,6690838.0,11708966.5
2018-01-21,1.45,1.61,1.36,1.58,6118452.0,8871755.4
2018-01-22,1.32,1.51,1.29,1.36,6567237.0,8668752.84
2018-01-23,1.35,1.37,1.28,1.33,5491852.0,7414000.2
2018-01-24,1.4,1.43,1.34,1.42,6149697.0,8609575.8
2018-01-25,1.58,1.63,1.32,1.37,6857326.0,10834575.08
2018-01-26,1.7,1.88,1.45,1.58,12376198.0,21039536.6
2018-01-27,1.63,1.8,1.58,1.75,8119631.0,13234998.53
2018-01-28,1.59,1.69,1.56,1.67,5626266.0,8945762.94
2018-01-29,1.45,1.53,1.43,1.52,6360494.0,9222716.3
2018-01-30,1.27,1.36,1.22,1.3,6110935.0,7760887.45
2018-01-31,1.29,1.31,1.24,1.28,5826531.0,7516224.99
2018-02-01,1.07,1.2,1.06,1.15,6262667.0,6701053.69
2018-02-02,1.01,1.06,0.9004,1.04,6118180.0,6179361.8
2018-02-03,1.12,1.17,1.03,1.05,6374581.0,7139530.72
2018-02-04,0.936,1.02,0.9204,0.9993,5958178.0,5576854.61
2018-02-05,0.727,0.7957,0.6595,0.795,6173182.0,4487903.31
2018-02-06,0.831,0.8556,0.6948,0.8109,6257929.0,5200339.0
2018-02-07,0.795,0.8565,0.7684,0.8193,6128668.0,4872291.06
2018-02-08,0.8665,0.8674,0.8632,0.8649,110153.0,95447.57
2018-02-09,0.8966,0.941,0.8697,0.9123,3137256.0,2812863.73
2018-02-10,0.8166,0.8835,0.7798,0.8809,6861601.0,5603183.38
2018-02-11,0.7691,0.7835,0.6873,0.7705,6590658.0,5068875.07
2018-02-12,0.8718,0.9018,0.8451,0.8464,5988176.23,5220492.04
2018-02-13,0.8006,0.8502,0.7947,0.8359,5929430.95,4747102.42
2018-02-14,0.8809,0.9201,0.8677,0.8885,5507394.48,4851463.8
2018-02-15,0.9648,0.9871,0.9197,0.9318,5873658.81,5666906.02
2018-02-16,1.03,1.07,0.9745,0.9797,7403836.18,7625951.27
2018-02-17,1.14,1.26,1.09,1.13,7972881.83,9089085.29
2018-02-18,1.01,1.23,0.9859,1.07,6783870.84,6851709.55
2018-02-19,1.03,1.09,1.01,1.08,7084431.82,7296964.77
2018-02-20,0.8714,1.04,0.8655,1.04,5834964.63,5084588.18
2018-02-21,0.8292,0.8883,0.7934,0.8089,5910862.24,4901286.97
2018-02-22,0.772,0.7928,0.7501,0.7785,5581218.47,4308700.66
2018-02-23,0.812,0.8481,0.7824,0.7977,5941649.98,4824619.78
2018-02-24,0.7762,0.7927,0.7482,0.7745,5186510.31,4025769.3
2018-02-25,0.7829,0.8147,0.7587,0.7685,5824650.05,4560118.52
2018-02-26,0.8234,0.8626,0.7951,0.8413,5651500.5,4653445.51
2018-02-27,0.8655,0.9498,0.8315,0.8448,7763449.09,6719265.19
2018-02-28,0.7701,0.8473,0.7611,0.8442,5960691.21,4590328.3
2018-03-01,0.8364,0.8571,0.787,0.814,5711163.99,4776817.56
2018-03-02,0.8052,0.8544,0.7752,0.8451,5641051.17,4542174.4
2018-03-03,0.804,0.8515,0.7924,0.8359,5894656.41,4739303.75
2018-03-04,0.8481,0.8715,0.8027,0.8067,6099573.82,5173048.56
2018-03-05,0.8017,0.8581,0.7908,0.8434,5975287.97,4790388.37
2018-03-06,0.7527,0.7718,0.7362,0.7519,6474684.81,4873495.26
