time,close,high,low,open,volumefrom,volumeto
2015-11-20,0.003259,0.006419,0.003224,0.005151,5967.62,19.45
2015-11-21,0.005838,0.009709,0.00326,0.003296,9237.31,53.93
2015-11-22,0.003651,0.005468,0.003396,0.005804,17483.43,63.83
2015-11-23,0.003869,0.008053,0.003595,0.003643,41234.78,159.54
2015-11-24,0.005488,0.007274,0.003209,0.003823,65242.74,358.05
2015-11-25,0.004549,0.005935,0.004297,0.005646,27130.01,123.41
2015-11-26,0.005133,0.009509,0.004602,0.004913,49370.04,253.42
2015-11-27,0.001406,0.005249,0.001406,0.005217,69987.97,98.4
2015-11-28,0.002491,0.004256,0.002206,0.001391,26469.67,65.94
2015-11-29,0.003708,0.006149,0.002596,0.002596,52427.22,194.4
2015-11-30,0.003931,0.004993,0.00378,0.00378,8623.74,33.9
2015-12-01,0.004403,0.004403,0.003394,0.003763,6038.32,26.59
2015-12-02,0.00504,0.006919,0.003204,0.004381,44680.9,225.19
2015-12-03,0.003618,0.005044,0.003603,0.005044,9125.64,33.02
2015-12-04,0.003476,0.0037,0.003476,0.003631,6936.78,24.11
2015-12-05,0.004331,0.00435,0.001554,0.003716,31610.88,136.91
2015-12-06,0.003375,0.004406,0.002781,0.004406,37473.78,126.47
2015-12-07,0.003359,0.004444,0.003359,0.003383,16236.49,54.54
2015-12-08,0.003101,0.004016,0.002702,0.003499,15493.47,48.05
2015-12-09,0.003149,0.003182,0.00312,0.003141,8148.3,25.66
2015-12-10,0.002522,0.005401,0.001695,0.003145,24749.07,62.42
2015-12-11,0.001813,0.002865,0.001799,0.00273,12967.36,23.51
2015-12-12,0.002231,0.002754,0.001742,0.001742,12317.96,27.48
2015-12-13,0.002469,0.005521,0.002143,0.002243,17206.47,42.48
2015-12-14,0.002656,0.005498,0.002148,0.002511,21169.93,56.23
2015-12-15,0.003609,0.003609,0.002443,0.002781,30707.71,110.82
2015-12-16,0.003024,0.003614,0.003024,0.003541,11477.13,34.71
2015-12-17,0.002569,0.003075,0.002428,0.003034,8206.14,21.08
2015-12-18,0.003529,0.005984,0.002469,0.002612,26247.56,92.63
2015-12-19,0.003505,0.003634,0.003062,0.003514,24116.67,84.53
2015-12-20,0.002452,0.0052,0.002452,0.003358,14096.39,34.56
2015-12-21,0.002866,0.003667,0.002433,0.002429,13954.14,39.99
2015-12-22,0.00378,0.004785,0.002758,0.002863,55126.54,208.38
2015-12-23,0.003787,0.003946,0.002601,0.003827,19370.76,73.36
2015-12-24,0.002904,0.004063,0.002872,0.003878,13571.32,39.41
2015-12-25,0.003483,0.004073,0.002997,0.00291,15352.08,53.47
2015-12-26,0.003406,0.003406,0.002741,0.003186,5791.46,19.73
2015-12-27,0.003354,0.00359,0.002817,0.003464,8466.4,28.4
2015-12-28,0.003838,0.006305,0.002986,0.003349,9327.19,35.8
2015-12-29,0.004211,0.005805,0.00393,0.00393,19380.75,81.61
2015-12-30,0.003537,0.005391,0.003537,0.004165,4044.91,14.31
2015-12-31,0.003517,0.004085,0.003517,0.00356,13403.21,47.14
2016-01-01,0.003298,0.00355,0.003116,0.00355,5264.13,17.36
2016-01-02,0.002897,0.003635,0.002897,0.003296,5285.74,15.31
2016-01-03,0.002843,0.003092,0.002843,0.002877,4329.41,12.31
2016-01-04,0.003467,0.00377,0.002821,0.00286,17597.75,61.01
2016-01-05,0.002635,0.00345,0.002587,0.00345,6761.09,17.82
2016-01-06,0.002891,0.00364,0.002581,0.002632,42665.22,123.35
2016-01-07,0.002797,0.003752,0.002797,0.003067,8311.31,23.25
2016-01-08,0.002767,0.00279,0.002767,0.002772,13081.06,36.2
2016-01-09,0.001883,0.00356,0.001883,0.002739,68255.59,128.53
2016-01-10,0.002543,0.002543,0.001874,0.001874,7053.23,17.94
2016-01-11,0.003197,0.003197,0.002279,0.002552,575.0,1.84
2016-01-12,0.003066,0.003178,0.002181,0.003178,8061.67,24.72
2016-01-13,0.002489,0.002978,0.002165,0.002978,9023.42,22.46
2016-01-14,0.002403,0.003017,0.002382,0.002472,9189.42,22.08
2016-01-15,0.002479,0.002565,0.002085,0.002085,27529.19,68.24
2016-01-16,0.002753,0.00385,0.002564,0.002564,19942.55,54.9
2016-01-17,0.002631,0.004681,0.002616,0.002735,32308.13,85.0
2016-01-18,0.002887,0.004225,0.002295,0.002645,24862.24,71.78
2016-01-19,0.003795,0.006071,0.002846,0.00285,102458.83,388.83
2016-01-20,0.00415,0.00534,0.003731,0.004146,134055.71,556.33
2016-01-21,0.00402,0.005218,0.003828,0.004107,27455.85,110.37
2016-01-22,0.003337,0.004576,0.003253,0.00375,24576.78,82.01
2016-01-23,0.003688,0.003692,0.003109,0.003389,26811.38,98.88
2016-01-24,0.008027,0.02332,0.003816,0.003816,289111.64,2320.7
2016-01-25,0.007808,0.00899,0.007808,0.007839,37491.73,292.74
2016-01-26,0.005648,0.00792,0.005461,0.007749,45855.33,258.99
2016-01-27,0.005064,0.009129,0.005056,0.005724,41300.79,209.15
2016-01-28,0.00609,0.009728,0.004788,0.004868,32065.86,195.28
2016-01-29,0.006126,0.01293,0.006096,0.0061,22572.19,138.28
2016-01-30,0.006497,0.0151,0.006086,0.006086,23456.69,152.4
2016-01-31,0.006102,0.006546,0.006102,0.006361,7975.78,48.67
2016-02-01,0.005933,0.006338,0.005836,0.006141,18290.52,108.52
2016-02-02,0.005627,0.005979,0.005598,0.00596,13992.99,78.74
2016-02-03,0.005417,0.005594,0.005417,0.005539,8683.58,47.04
2016-02-04,0.005274,0.005848,0.00391,0.00575,30009.12,158.27
2016-02-05,0.00572,0.005855,0.00514,0.005217,11337.91,64.85
2016-02-06,0.005857,0.006618,0.005466,0.005575,40329.1,236.21
2016-02-07,0.004728,0.006296,0.004728,0.005877,7884.2,37.28
2016-02-08,0.005802,0.00632,0.00455,0.004662,39608.82,229.81
2016-02-09,0.004883,0.005844,0.004797,0.005844,19374.63,94.61
2016-02-10,0.004896,0.00548,0.004884,0.004968,11436.69,55.99
2016-02-11,0.00505,0.005085,0.004861,0.004865,9941.89,50.21
2016-02-12,0.005185,0.00543,0.005112,0.005112,12447.76,64.54
2016-02-13,0.005005,0.005485,0.004802,0.005266,24509.06,122.67
2016-02-14,0.005219,0.00588,0.005219,0.005203,16579.86,86.53
2016-02-15,0.005202,0.005543,0.005194,0.005162,6974.38,36.28
2016-02-16,0.004942,0.005613,0.004877,0.005271,36285.02,179.32
2016-02-17,0.00506,0.005189,0.00365,0.005072,29569.6,149.62
2016-02-18,0.005575,0.007185,0.005112,0.005112,44907.86,250.36
2016-02-19,0.005124,0.00693,0.004334,0.005556,21201.41,108.64
2016-02-20,0.005444,0.005782,0.005316,0.005369,12099.01,65.87
2016-02-21,0.006367,0.007882,0.005447,0.005416,14023.54,89.29
2016-02-22,0.006746,0.008751,0.006129,0.006365,69835.44,471.11
2016-02-23,0.008024,0.01123,0.006471,0.006471,33914.97,272.13
2016-02-24,0.008539,0.01133,0.008032,0.008078,15836.79,135.23
2016-02-25,0.009537,0.01059,0.007529,0.008554,82854.71,790.19
2016-02-26,0.008072,0.009623,0.007769,0.009623,13732.42,110.85
2016-02-27,0.006901,0.008272,0.006901,0.008147,22702.15,156.67
2016-02-28,0.008161,0.009977,0.006617,0.00692,16348.27,133.42
2016-02-29,0.007429,0.008663,0.007429,0.008231,8317.01,61.79
2016-03-01,0.008976,0.01115,0.007379,0.007392,31101.78,279.17
2016-03-02,0.008911,0.01157,0.008796,0.008796,9020.22,80.38
2016-03-03,0.008882,0.01032,0.008677,0.00879,8599.21,76.38
2016-03-04,0.008198,0.008927,0.008198,0.008669,6313.89,51.76
2016-03-05,0.008263,0.009979,0.007988,0.007988,11901.95,98.35
2016-03-06,0.01114,0.01215,0.008164,0.008407,35413.25,394.5
2016-03-07,0.01172,0.01496,0.01026,0.01138,30768.09,360.6
2016-03-08,0.009676,0.01195,0.009161,0.01164,16195.91,156.71
2016-03-09,0.009419,0.01288,0.009225,0.009696,24486.1,230.63
2016-03-10,0.009747,0.01216,0.009502,0.009489,19598.71,191.03
2016-03-11,0.01361,0.01635,0.009355,0.009824,50786.46,691.2
2016-03-12,0.01274,0.01333,0.01274,0.01333,9305.87,118.56
2016-03-13,0.01353,0.01812,0.01259,0.0128,15371.55,207.98
2016-03-14,0.01481,0.0203,0.01353,0.01359,21716.94,321.63
2016-03-15,0.01353,0.01639,0.01353,0.01484,6473.38,87.58
2016-03-16,0.0127,0.01411,0.01269,0.01355,9538.66,121.14
2016-03-17,0.01619,0.01968,0.01256,0.01277,21578.18,349.35
2016-03-18,0.01514,0.01633,0.01348,0.0158,12365.27,187.21
2016-03-19,0.01428,0.01758,0.01425,0.01516,10092.9,144.13
2016-03-20,0.01636,0.01966,0.01437,0.01437,21041.7,344.24
2016-03-21,0.01542,0.01675,0.01542,0.01634,7933.33,122.33
2016-03-22,0.01478,0.01571,0.01478,0.01561,14023.69,207.27
2016-03-23,0.01418,0.01514,0.01334,0.0148,58203.58,825.33
2016-03-24,0.01328,0.0145,0.01327,0.0141,10110.32,134.27
2016-03-25,0.01324,0.01391,0.01247,0.01331,35524.27,470.34
2016-03-26,0.01356,0.01412,0.01188,0.01326,16905.56,229.24
2016-03-27,0.01255,0.01382,0.01168,0.01382,4265.12,53.53
2016-03-28,0.01161,0.01296,0.01141,0.01248,5234.17,60.77
2016-03-29,0.0104,0.01144,0.0104,0.01141,15939.92,165.78
2016-03-30,0.01147,0.01244,0.009251,0.01034,16767.46,192.32
2016-03-31,0.01172,0.01306,0.009747,0.01156,13111.03,153.66
2016-04-01,0.01516,0.01663,0.009975,0.01172,39351.65,596.57
2016-04-02,0.01322,0.016,0.01245,0.01526,8927.82,118.03
2016-04-03,0.01458,0.01737,0.01256,0.01324,16044.59,233.93
2016-04-04,0.01677,0.01677,0.01386,0.01459,6546.49,109.78
2016-04-05,0.01298,0.01649,0.01295,0.01688,17871.23,231.97
2016-04-06,0.01286,0.01444,0.01286,0.01296,7719.88,99.28
2016-04-07,0.0132,0.01362,0.01283,0.01283,6826.02,90.1
2016-04-08,0.0134,0.01396,0.0113,0.01312,25042.33,335.57
2016-04-09,0.01173,0.01341,0.01154,0.01341,20253.31,237.57
2016-04-10,0.01226,0.01309,0.01183,0.01179,3282.44,40.24
