time,close,high,low,open,volumefrom,volumeto
2018-01-24,0.2654,0.2888,0.2559,0.2665,549702.75,145891.11
2018-01-25,0.271,0.2825,0.2469,0.2616,2330509.56,631568.09
2018-01-26,0.2768,0.2852,0.2548,0.2747,2409966.85,667078.82
2018-01-27,0.2795,0.2939,0.2662,0.2939,2881243.22,805307.48
2018-01-28,0.2722,0.3141,0.2525,0.3091,3273839.8,891139.19
2018-01-29,0.2515,0.2668,0.234,0.2586,2597838.71,653356.44
2018-01-30,0.217,0.2447,0.2042,0.2276,1666289.38,361584.8
2018-01-31,0.2267,0.2267,0.2267,0.2267,0.0,0.0
2018-02-01,0.2093,0.2093,0.2093,0.2093,0.0,0.0
2018-02-02,0.1872,0.1872,0.1872,0.1872,0.0,0.0
2018-02-03,0.1981,0.1981,0.1981,0.1981,0.0,0.0
2018-02-04,0.1688,0.1688,0.1688,0.1688,0.0,0.0
2018-02-05,0.1418,0.1418,0.1418,0.1418,0.0,0.0
2018-02-06,0.1601,0.1601,0.1601,0.1601,0.0,0.0
2018-02-07,0.1534,0.1534,0.1534,0.1534,0.0,0.0
2018-02-08,0.166,0.166,0.166,0.166,0.0,0.0
2018-02-09,0.1791,0.1791,0.1791,0.1791,0.0,0.0
2018-02-10,0.1736,0.1736,0.1736,0.1736,0.0,0.0
2018-02-11,0.1655,0.1655,0.1655,0.1655,0.0,0.0
2018-02-12,0.1393,0.1419,0.135,0.1393,325588.76,45354.51
2018-02-13,0.1362,0.1388,0.1304,0.1354,406042.76,55303.02
2018-02-14,0.1509,0.1537,0.1426,0.1491,872617.73,131678.02
2018-02-15,0.1494,0.1559,0.1457,0.1494,395122.25,59031.26
2018-02-16,0.167,0.1717,0.1623,0.1717,572384.93,95588.28
2018-02-17,0.2037,0.2096,0.1667,0.1735,992523.24,202176.98
2018-02-18,0.1846,0.1919,0.1718,0.191,1259968.63,232590.21
2018-02-19,0.1795,0.1945,0.172,0.1889,646657.72,116075.06
2018-02-20,0.17,0.1736,0.1603,0.1691,621028.07,105574.77
2018-02-21,0.1504,0.1621,0.1453,0.1579,808536.15,121603.84
2018-02-22,0.1408,0.1545,0.14,0.144,995283.6,140135.93
2018-02-23,0.1538,0.1538,0.1479,0.1496,371563.89,57146.53
2018-02-24,0.145,0.1542,0.1425,0.15,555416.17,80535.34
2018-02-25,0.142,0.1496,0.1412,0.1462,268022.11,38059.14
2018-02-26,0.1466,0.1501,0.1388,0.1466,581777.54,85288.59
2018-02-27,0.1482,0.1578,0.1412,0.1473,698607.1,103533.57
2018-02-28,0.1448,0.1473,0.1379,0.1448,414699.52,60048.49
2018-03-01,0.154,0.1548,0.1444,0.1479,469196.38,72256.24
2018-03-02,0.148,0.1523,0.142,0.1497,496056.84,73416.41
2018-03-03,0.142,0.148,0.1369,0.148,991003.33,140722.47
2018-03-04,0.1418,0.147,0.1384,0.1436,695264.55,98588.51
2018-03-05,0.1393,0.1469,0.1376,0.1393,355170.85,49475.3
2018-03-06,0.1256,0.1379,0.1224,0.1338,473067.58,59417.29
2018-03-07,0.1112,0.1187,0.1104,0.1149,808915.28,89951.38
2018-03-08,0.09923,0.1104,0.09294,0.1034,1593774.45,158150.24
2018-03-09,0.1039,0.1098,0.09523,0.101,1136077.35,118038.44
2018-03-10,0.1003,0.1017,0.0962,0.09757,122789.28,12315.76
2018-03-11,0.09941,0.1059,0.09725,0.1059,600183.02,59664.19
2018-03-12,0.09479,0.1004,0.0927,0.09619,525050.25,49769.51
2018-03-13,0.09176,0.09728,0.09038,0.09452,451273.31,41408.84
2018-03-14,0.08645,0.09136,0.08339,0.08523,513142.0,44361.13
2018-03-15,0.08853,0.08975,0.08426,0.08609,449273.5,39774.18
2018-03-16,0.09128,0.09428,0.08588,0.08708,317776.5,29006.64
2018-03-17,0.08632,0.08632,0.08082,0.08357,248817.02,21477.89
2018-03-18,0.08114,0.08652,0.07523,0.08168,690186.3,56001.72
2018-03-19,0.08722,0.09167,0.07944,0.08389,500177.59,43625.49
2018-03-20,0.09646,0.09813,0.08642,0.08754,632906.5,61050.16
2018-03-21,0.1086,0.1086,0.09462,0.09686,1017698.36,110522.04
2018-03-22,0.1026,0.1058,0.0961,0.1026,601576.12,61721.71
2018-03-23,0.1071,0.1093,0.1001,0.1033,370531.17,39683.89
2018-03-24,0.1144,0.1222,0.1004,0.1025,476581.47,54520.92
2018-03-25,0.1046,0.1151,0.0978,0.1151,718811.07,75187.64
2018-03-26,0.09676,0.1016,0.09239,0.09676,416622.53,40312.4
2018-03-27,0.0911,0.09514,0.08617,0.08976,558795.74,50906.29
2018-03-28,0.0932,0.09454,0.08606,0.09052,973209.4,90703.12
2018-03-29,0.08062,0.081,0.07409,0.08024,1368234.18,110307.04
2018-03-30,0.08507,0.08664,0.07679,0.08034,868013.81,73841.93
2018-03-31,0.07842,0.08512,0.07487,0.08394,517702.67,40598.24
2018-04-01,0.07501,0.08183,0.07425,0.07539,455817.36,34190.86
2018-04-02,0.07732,0.08271,0.07617,0.07617,250668.44,19381.68
2018-04-03,0.08402,0.08984,0.08235,0.0836,438859.46,36872.97
2018-04-04,0.07422,0.07876,0.07194,0.07649,558750.33,41470.45
2018-04-05,0.07513,0.07703,0.07437,0.07551,176277.4,13243.72
2018-04-06,0.07148,0.07407,0.07074,0.07296,367579.43,26274.58
2018-04-07,0.07392,0.07738,0.07276,0.0743,303029.44,22399.94
2018-04-08,0.07293,0.07934,0.07013,0.07694,606455.39,44228.79
2018-04-09,0.07063,0.07581,0.06983,0.07262,522370.4,36895.02
2018-04-10,0.0744,0.07731,0.07024,0.07357,408209.21,30370.77
2018-04-11,0.07489,0.07791,0.07231,0.07705,614023.88,45984.25
2018-04-12,0.08595,0.09237,0.08545,0.08595,929342.3,79876.97
2018-04-13,0.08563,0.09553,0.07969,0.08612,639156.26,54730.95
2018-04-14,0.08397,0.09201,0.08045,0.08698,510116.02,42834.44
2018-04-15,0.08386,0.09027,0.07532,0.0892,3823031.89,320599.45
2018-04-16,0.08903,0.09261,0.07777,0.08136,1593085.52,141832.4
2018-04-17,0.08501,0.08904,0.08048,0.08753,1027509.77,87348.61
2018-04-18,0.08675,0.09201,0.0836,0.08886,1655501.2,143614.73
2018-04-19,0.09473,0.1027,0.09246,0.0936,855237.32,81016.63
2018-04-20,0.1148,0.1234,0.1031,0.1031,1467461.49,168464.58
2018-04-21,0.112,0.118,0.1053,0.1132,1781962.82,199579.84
2018-04-22,0.1255,0.1485,0.1137,0.1162,3398395.84,426498.68
2018-04-23,0.1739,0.1739,0.1301,0.1301,6555.16,1139.94
2018-04-24,0.1687,0.1898,0.1477,0.1898,12108.72,2042.74
2018-04-25,0.1482,0.1482,0.1482,0.1482,0.0,0.0
2018-04-26,0.1548,0.1554,0.1389,0.1554,5774.84,893.95
2018-04-27,0.1505,0.1505,0.11,0.1505,38152.5,5741.95
2018-04-28,0.1503,0.1598,0.1168,0.1598,8076.56,1213.91
2018-04-29,0.2516,0.2516,0.1344,0.1516,44261.11,11136.1
2018-04-30,0.3848,0.4023,0.1678,0.2446,51845.67,19950.21
2018-05-01,0.2754,0.3852,0.2312,0.3852,37845.53,10422.66
2018-05-02,0.3901,0.3983,0.2819,0.2819,21465.75,8373.79
2018-05-03,0.3499,0.4417,0.3322,0.4417,1223661.07,428159.01
2018-05-04,0.3294,0.385,0.298,0.3537,2233442.1,735695.83
2018-05-05,0.316,0.392,0.3103,0.343,2122438.78,670690.65
2018-05-06,0.2909,0.3304,0.2466,0.3059,2528659.55,735587.06
2018-05-07,0.2934,0.313,0.2573,0.2769,1438480.62,422050.21
2018-05-08,0.2924,0.3141,0.2842,0.2916,863556.34,252503.87
2018-05-09,0.2922,0.3065,0.278,0.296,836367.99,244386.73
2018-05-10,0.2916,0.3184,0.2605,0.2815,1396321.11,407167.24
2018-05-11,0.2616,0.2942,0.242,0.2738,1845347.95,482743.02
2018-05-12,0.2666,0.2885,0.2352,0.2639,1466311.91,390918.76
2018-05-13,0.2742,0.2939,0.2684,0.2844,555780.4,152394.99
2018-05-14,0.2742,0.2815,0.2626,0.2735,572346.43,156937.39
2018-05-15,0.2801,0.2886,0.2653,0.266,827439.94,231765.93
2018-05-16,0.2608,0.3025,0.2572,0.2806,1655944.82,431870.41
2018-05-17,0.2473,0.2533,0.2339,0.2453,966945.66,239125.66
2018-05-18,0.2455,0.2573,0.2365,0.2566,602023.47,147796.76
2018-05-19,0.245,0.2561,0.2367,0.2464,873434.94,213991.56
2018-05-20,0.256,0.261,0.2446,0.2517,731067.52,187153.29
2018-05-21,0.248,0.2606,0.2383,0.2494,883720.28,219162.63
2018-05-22,0.2288,0.2352,0.2179,0.2281,737081.5,168644.25
2018-05-23,0.191,0.2106,0.1691,0.206,1241193.73,237068.0
2018-05-24,0.2115,0.2199,0.1989,0.1995,688431.13,145603.18
2018-05-25,0.2234,0.2304,0.1977,0.2053,941665.42,210368.05
2018-05-26,0.2378,0.2519,0.2202,0.2238,920621.1,218923.7
2018-05-27,0.2256,0.2375,0.2233,0.2261,597350.01,134762.16
2018-05-28,0.192,0.2099,0.1869,0.2028,1224919.77,235184.6
2018-05-29,0.2164,0.2351,0.2068,0.2125,841103.17,182014.73
2018-05-30,0.2111,0.2173,0.2011,0.2128,536181.01,113187.81
2018-05-31,0.2084,0.2257,0.2049,0.2188,620615.24,129336.22
2018-06-01,0.198,0.209,0.1853,0.209,1148966.6,227495.39
2018-06-02,0.2026,0.2144,0.1943,0.202,502848.71,101877.15
2018-06-03,0.1987,0.2136,0.1944,0.2123,814741.03,161889.04
2018-06-04,0.1786,0.1898,0.1738,0.1898,4424031.11,790131.96
2018-06-05,0.1813,0.1867,0.1679,0.1837,8773380.79,1590613.94
2018-06-06,0.1679,0.1819,0.1649,0.1807,8788090.72,1475520.43
2018-06-07,0.1578,0.1698,0.1499,0.1674,9442857.3,1490082.88
2018-06-08,0.1337,0.1601,0.1013,0.1565,17322731.26,2316049.17
2018-06-09,0.1454,0.165,0.1317,0.1323,10804156.33,1570924.33
2018-06-10,0.1375,0.1537,0.1223,0.128,9722370.22,1336825.91
2018-06-11,0.1475,0.154,0.1264,0.1392,17538214.06,2586886.57
2018-06-12,0.1331,0.138,0.1199,0.1373,13323401.83,1773344.78
2018-06-13,0.1156,0.1293,0.09864,0.1285,11191293.85,1293713.57
2018-06-14,0.1206,0.131,0.1162,0.1262,10090192.84,1216877.26
2018-06-15,0.1287,0.1355,0.1107,0.1131,9386081.42,1207988.68
2018-06-16,0.1342,0.1387,0.1258,0.1313,8878160.94,1191449.2
2018-06-17,0.1311,0.1358,0.1262,0.1346,8805161.96,1154356.73
2018-06-18,0.1315,0.1372,0.1253,0.1367,9683352.45,1273360.85
2018-06-19,0.1271,0.1368,0.126,0.1368,9091394.57,1155516.25
2018-06-20,0.1238,0.1308,0.1104,0.1265,8703527.41,1077496.69
2018-06-21,0.1162,0.1283,0.1162,0.1214,9446306.03,1097660.76
2018-06-22,0.1044,0.1104,0.09983,0.1021,8918200.75,931060.16
2018-06-23,0.1038,0.1095,0.09863,0.1072,8465655.76,878735.07
2018-06-24,0.0956,0.1038,0.08067,0.0997,8866120.8,847601.15
2018-06-25,0.1009,0.1046,0.09176,0.09635,9055935.88,913743.93
2018-06-26,0.09279,0.0958,0.09021,0.09451,8105969.43,752152.9
2018-06-27,0.1017,0.1171,0.08835,0.09542,20700072.85,2105197.41
2018-06-28,0.09512,0.1007,0.0926,0.09723,12993504.21,1235942.12
2018-06-29,0.1013,0.1064,0.0958,0.1004,11962690.0,1211820.5
2018-06-30,0.1032,0.1081,0.1,0.1051,8403449.87,867236.03
2018-07-01,0.1024,0.1072,0.09988,0.1029,8566136.12,877172.34
2018-07-02,0.1085,0.1102,0.1054,0.1083,8720344.46,946157.37
2018-07-03,0.1025,0.1067,0.09858,0.1052,7979615.34,817910.57
2018-07-04,0.09848,0.1055,0.09447,0.1038,8342788.03,821597.77
2018-07-05,0.09706,0.1019,0.09346,0.09856,7724659.52,749755.45
2018-07-06,0.0985,0.1006,0.09314,0.09464,8492578.55,836518.99
2018-07-07,0.0993,0.1049,0.09376,0.1019,8112256.66,805547.09
2018-07-08,0.09709,0.1015,0.09398,0.09938,7670746.18,744752.75
2018-07-09,0.09222,0.09566,0.08803,0.09415,7392692.02,681754.06
2018-07-10,0.08688,0.08879,0.08156,0.08442,8068637.43,701003.22
2018-07-11,0.08163,0.09117,0.07896,0.08916,8294104.19,677047.73
2018-07-12,0.08183,0.08454,0.07627,0.07894,7794607.0,637832.69
2018-07-13,0.09155,0.09592,0.07793,0.08199,8418316.77,770696.9
2018-07-14,0.0831,0.09343,0.07968,0.09182,8214666.97,682638.83
2018-07-15,0.08615,0.08867,0.08475,0.08615,7798237.0,671818.12
2018-07-16,0.08948,0.0923,0.08574,0.09173,8083463.16,723308.28
2018-07-17,0.09138,0.09442,0.08778,0.09302,8596371.63,785536.44
2018-07-18,0.08847,0.09097,0.08594,0.08756,8105443.76,717088.61
2018-07-19,0.08647,0.08811,0.08225,0.08656,8908279.84,770298.96
2018-07-20,0.08416,0.08622,0.08155,0.08304,8452699.48,711379.19
2018-07-21,0.08336,0.08672,0.07298,0.08621,9607998.66,800922.77
2018-07-22,0.0827,0.08334,0.07913,0.08279,7909539.82,654118.94
2018-07-23,0.07985,0.08287,0.0759,0.08125,7807744.54,623448.4
2018-07-24,0.08578,0.08846,0.08007,0.0853,8188745.69,702430.61
2018-07-25,0.08634,0.08775,0.07842,0.08431,8294731.36,716167.11
2018-07-26,0.0846,0.08626,0.08081,0.08469,6802367.34,575480.28
2018-07-27,0.08689,0.09117,0.076,0.08633,5889247.74,511716.74
2018-07-28,0.08776,0.09146,0.08261,0.08663,5474037.23,480401.51
2018-07-29,0.08238,0.08765,0.08084,0.08737,5609216.59,462087.26
2018-07-30,0.08314,0.08437,0.07702,0.08081,5831381.97,484821.1
2018-07-31,0.07957,0.08804,0.07162,0.07867,6470812.03,514882.51
2018-08-01,0.0794,0.0846,0.07289,0.07772,6025815.5,478449.75
2018-08-02,0.0783,0.08204,0.0719,0.07798,5967251.51,467235.79
2018-08-03,0.07521,0.0824,0.07229,0.07935,6495365.82,488516.46
2018-08-04,0.06913,0.07434,0.06665,0.07308,5355543.33,370228.71
2018-08-05,0.06921,0.0726,0.0679,0.06966,5174313.19,358114.22
2018-08-06,0.06856,0.07208,0.0673,0.06896,6071117.05,416235.78
2018-08-07,0.06591,0.06822,0.05926,0.06425,6237573.43,411118.46
2018-08-08,0.05398,0.06283,0.05341,0.06244,6349829.23,342763.78
2018-08-09,0.05638,0.05958,0.05296,0.05518,5986220.14,337503.09
2018-08-10,0.04649,0.05239,0.04586,0.05153,5458076.83,253745.99
2018-08-11,0.04214,0.04595,0.03915,0.04503,2904043.12,122376.38
2018-08-12,0.04172,0.04464,0.03974,0.04216,1303337.33,54375.23
2018-08-13,0.03545,0.04053,0.03329,0.03701,4182975.32,148286.48
2018-08-14,0.03178,0.0364,0.02858,0.03454,5058620.99,160762.98
2018-08-15,0.03161,0.03729,0.0308,0.03234,5594100.17,176829.51
2018-08-16,0.03467,0.03525,0.03172,0.03224,4953610.73,171741.68
2018-08-17,0.04103,0.04255,0.03725,0.0382,5806638.18,238246.36
2018-08-18,0.03641,0.04031,0.03459,0.0391,5857199.99,213260.65
2018-08-19,0.04024,0.04216,0.03673,0.03724,5706949.95,229647.67
2018-08-20,0.03596,0.03762,0.03437,0.0355,5779347.03,207825.32
2018-08-21,0.03658,0.0384,0.03393,0.03728,6528631.39,238817.34
2018-08-22,0.03477,0.03636,0.03336,0.03518,7009623.35,243724.6
2018-08-23,0.03605,0.03732,0.03357,0.03547,5801564.19,209146.39
2018-08-24,0.03652,0.03782,0.03495,0.03658,6188372.49,225999.36
2018-08-25,0.03628,0.03658,0.03228,0.03594,6375771.0,231312.97
2018-08-26,0.03541,0.03615,0.03399,0.03555,6403542.41,226749.44
2018-08-27,0.03715,0.03756,0.03557,0.03721,5917876.95,219849.13
2018-08-28,0.03804,0.04017,0.037,0.03821,5666710.11,215561.65
2018-08-29,0.03634,0.03874,0.03548,0.03721,4980346.92,180985.81
2018-08-30,0.0358,0.03768,0.03464,0.03612,5403419.95,193442.43
2018-08-31,0.03893,0.03904,0.03495,0.03549,5306434.07,206579.48
2018-09-01,0.0399,0.04165,0.03739,0.04049,7444507.1,297035.83
2018-09-02,0.04068,0.04405,0.03829,0.03989,5453994.64,221868.5
2018-09-03,0.04543,0.0486,0.0378,0.04017,6397617.84,290643.78
2018-09-04,0.04986,0.05359,0.04241,0.04501,7846876.82,391245.28
2018-09-05,0.03693,0.04148,0.03447,0.03995,6562407.06,242349.69
2018-09-06,0.03753,0.03975,0.03548,0.03714,3773167.92,141606.99
2018-09-07,0.03253,0.03694,0.03225,0.03535,2865309.9,93208.53
2018-09-08,0.03327,0.03548,0.0295,0.02979,3470811.16,115473.89
2018-09-09,0.03365,0.03567,0.03232,0.0332,4449175.08,149714.74
2018-09-10,0.0374,0.03897,0.03298,0.03385,5754735.08,215227.09
2018-09-11,0.03512,0.03738,0.03375,0.03494,4695102.47,164892.0
2018-09-12,0.03543,0.03785,0.03382,0.03479,5596307.06,198277.16
2018-09-13,0.04029,0.04534,0.03737,0.04092,5847561.91,235598.27
2018-09-14,0.0381,0.0405,0.03657,0.04008,6140914.87,233968.86
2018-09-15,0.04,0.04187,0.03734,0.03985,4834009.15,193360.37
2018-09-16,0.03711,0.04121,0.03665,0.03947,2834015.51,105170.32
2018-09-17,0.03699,0.03774,0.03225,0.03333,5859692.66,216750.03
2018-09-18,0.03901,0.04103,0.0373,0.03893,6412102.74,250136.13
2018-09-19,0.04099,0.04149,0.03835,0.03935,5639962.33,231182.06
2018-09-20,0.0396,0.04455,0.03823,0.0439,4899890.57,194035.67
2018-09-21,0.04538,0.04803,0.04171,0.04349,5062040.0,229715.38
2018-09-22,0.04247,0.04459,0.03973,0.0444,2759882.88,117212.23
2018-09-23,0.04126,0.04404,0.03989,0.04253,2576841.69,106320.49
2018-09-24,0.03875,0.04027,0.03597,0.03868,3641376.78,141103.35
2018-09-25,0.03873,0.0406,0.03542,0.03731,4709606.43,182403.06
2018-09-26,0.03749,0.0383,0.03575,0.03785,4841554.97,181509.9
2018-09-27,0.03961,0.04062,0.0381,0.04016,5255348.28,208164.35
2018-09-28,0.03873,0.04032,0.03693,0.03802,5805331.24,224840.48
