time,close,high,low,open,volumefrom,volumeto
2015-01-26,0.01201,0.01219,0.01141,0.01157,201534.16,2420.43
2015-01-27,0.01111,0.01206,0.01079,0.01174,1385612.71,15394.16
2015-01-28,0.01037,0.0107,0.00973,0.009966,1818040.85,18853.08
2015-01-29,0.01049,0.01072,0.01009,0.01072,1520131.67,15946.18
2015-01-30,0.01072,0.01072,0.01003,0.01039,1549419.11,16609.77
2015-01-31,0.0102,0.01028,0.009514,0.0101,3531407.23,36020.35
2015-02-01,0.0107,0.0107,0.01052,0.01052,1140828.83,12206.87
2015-02-02,0.01075,0.01133,0.01075,0.01134,2158577.54,23204.71
2015-02-03,0.009999,0.01027,0.009733,0.01024,2072485.78,20722.79
2015-02-04,0.01025,0.01044,0.009965,0.009963,1082262.78,11093.19
2015-02-05,0.009914,0.01004,0.009763,0.009791,1429888.73,14175.92
2015-02-06,0.01019,0.01117,0.01015,0.01021,762968.58,7774.65
2015-02-07,0.009936,0.01059,0.009827,0.01041,610748.88,6068.4
2015-02-08,0.009542,0.009944,0.009533,0.009761,722908.63,6897.99
2015-02-09,0.009574,0.009649,0.009398,0.0094,878379.1,8409.6
2015-02-10,0.009274,0.009615,0.009136,0.009545,1936615.07,17960.17
2015-02-11,0.009073,0.009287,0.008618,0.009239,7658928.12,69489.45
2015-02-12,0.008965,0.009422,0.008843,0.009195,2011847.11,18036.21
2015-02-13,0.009064,0.009983,0.008639,0.009546,5732407.82,51958.54
2015-02-14,0.009495,0.01016,0.009262,0.009927,2233147.85,21203.74
2015-02-15,0.008421,0.008939,0.00798,0.008563,979870.11,8251.49
2015-02-16,0.008174,0.009101,0.007726,0.008513,337415.29,2758.03
2015-02-17,0.008743,0.009397,0.003033,0.008429,174947.31,1529.56
2015-02-18,0.008378,0.009083,0.00807,0.008455,52160.29,437.0
2015-02-19,0.009164,0.009689,0.008482,0.008617,135976.49,1246.09
2015-02-20,0.009685,0.01106,0.008304,0.009262,192398.03,1863.37
