time,close,high,low,open,volumefrom,volumeto
2018-08-01,0.1971,0.2023,0.196,0.1997,3512676.33,692348.5
2018-08-02,0.1945,0.2021,0.1897,0.1953,16979380.81,3302489.57
2018-08-03,0.1957,0.1958,0.1894,0.1913,28656840.01,5608143.59
2018-08-04,0.1936,0.1965,0.1826,0.1851,26068380.95,5046838.55
2018-08-05,0.1919,0.1971,0.1905,0.1937,20911070.65,4012834.46
2018-08-06,0.1977,0.2094,0.1886,0.1892,27108068.99,5359265.24
2018-08-07,0.1922,0.2036,0.1898,0.1915,21724775.11,4175501.78
2018-08-08,0.1791,0.1854,0.1776,0.1797,23700913.34,4244833.58
2018-08-09,0.1735,0.1889,0.1718,0.1865,22873153.06,3968492.06
2018-08-10,0.1639,0.1659,0.1607,0.1626,16838972.92,2759907.66
2018-08-11,0.1543,0.1669,0.1506,0.1662,33849989.86,5223053.44
2018-08-12,0.1552,0.1569,0.1518,0.1563,29042875.07,4507454.21
2018-08-13,0.148,0.1689,0.1478,0.1537,31573587.34,4672890.93
2018-08-14,0.154,0.1771,0.1348,0.1465,23080788.14,3554441.37
2018-08-15,0.1515,0.1849,0.138,0.1562,22984697.5,3482181.67
2018-08-16,0.1492,0.1557,0.1461,0.1528,17411606.43,2597811.68
2018-08-17,0.1594,0.1646,0.1505,0.1563,33859570.16,5397215.48
2018-08-18,0.151,0.1557,0.1493,0.155,34183148.89,5161655.48
2018-08-19,0.1501,0.1546,0.1499,0.1533,13423496.13,2014866.77
2018-08-20,0.149,0.1541,0.1431,0.1448,29277046.04,4362279.86
2018-08-21,0.1497,0.1586,0.1483,0.1543,15752847.44,2358201.26
2018-08-22,0.1408,0.1479,0.1374,0.1476,27428782.35,3861972.55
2018-08-23,0.1409,0.1475,0.1384,0.1436,24721727.24,3483291.37
2018-08-24,0.1379,0.1454,0.1375,0.145,28366013.15,3911673.21
2018-08-25,0.1355,0.1395,0.1342,0.1387,14453602.59,1958463.15
2018-08-26,0.1301,0.1349,0.1277,0.1342,28200107.43,3668833.98
2018-08-27,0.1355,0.1382,0.1315,0.1339,34549839.35,4681503.23
2018-08-28,0.1362,0.1406,0.134,0.139,24389446.57,3321842.62
