time,close,high,low,open,volumefrom,volumeto
2019-03-12,0.03875,0.04526,0.02212,0.02472,4922107.0,190731.65
2019-03-13,0.03814,0.04284,0.03206,0.03834,2700396.0,102993.1
2019-03-14,0.04165,0.04429,0.03654,0.03813,8952547.59,372873.61
2019-03-15,0.03909,0.04404,0.03702,0.04313,13592529.0,531331.96
2019-03-16,0.03757,0.04501,0.03464,0.04024,17255079.41,648273.33
2019-03-17,0.03822,0.04456,0.03507,0.03706,20812878.0,795468.2
2019-03-18,0.03723,0.03998,0.03608,0.03788,11593763.0,431635.8
2019-03-19,0.02392,0.0385,0.01727,0.03749,15206947.0,363750.17
2019-03-20,0.02325,0.03996,0.01963,0.02405,6085560.0,141489.27
2019-03-21,0.01958,0.02606,0.01782,0.02248,6143033.0,120280.59
2019-03-22,0.01816,0.0212,0.01733,0.01975,4487813.0,81498.68
2019-03-23,0.01731,0.02054,0.0124,0.01829,4710777.0,81543.55
2019-03-24,0.01787,0.0243,0.01512,0.01712,4790315.91,85602.95
2019-03-25,0.01389,0.01873,0.0134,0.01758,5331779.17,74058.41
2019-03-26,0.0136,0.01636,0.01235,0.01393,4900795.83,66650.82
2019-03-27,0.01477,0.01709,0.0138,0.01421,6355809.0,93875.3
2019-03-28,0.01391,0.01528,0.01343,0.01457,4980071.0,69272.79
2019-03-29,0.01446,0.01636,0.01431,0.01451,5403979.0,78141.54
2019-03-30,0.01476,0.01618,0.01419,0.01434,4142716.93,61146.5
2019-03-31,0.01434,0.01492,0.0141,0.01467,2269160.0,32539.75
2019-04-01,0.01478,0.01538,0.01406,0.01428,2152130.0,31808.48
2019-04-02,0.0173,0.01869,0.01641,0.01719,6837483.23,118288.46
2019-04-03,0.01432,0.01821,0.01221,0.01691,10399641.95,148922.87
2019-04-04,0.01423,0.01541,0.01336,0.01404,9228136.0,131316.38
2019-04-05,0.0149,0.01531,0.01484,0.01498,9435996.0,140596.34
2019-04-06,0.01426,0.0151,0.01414,0.01489,5720485.0,81574.12
2019-04-07,0.01509,0.01537,0.01493,0.01506,9419930.0,142146.74
2019-04-08,0.01542,0.01571,0.01531,0.01557,9554171.0,147325.32
2019-04-09,0.01503,0.01534,0.0138,0.01502,9276703.0,139428.85
2019-04-10,0.01482,0.01545,0.01442,0.01512,9438185.0,139873.9
2019-04-11,0.0136,0.01403,0.01349,0.0138,8055471.0,109554.41
2019-04-12,0.01398,0.01433,0.01287,0.01355,8456191.0,118217.55
2019-04-13,0.01399,0.0144,0.0129,0.01398,5054515.0,70712.66
2019-04-14,0.01436,0.01467,0.01385,0.01435,8954292.94,128583.65
2019-04-15,0.01362,0.01371,0.01315,0.01365,5380520.0,73282.68
2019-04-16,0.01412,0.01452,0.01369,0.01418,5857323.0,82705.4
2019-04-17,0.01405,0.01453,0.01395,0.01413,8187588.0,115035.61
2019-04-18,0.01501,0.01528,0.01432,0.01469,8839493.0,132680.79
2019-04-19,0.01499,0.01524,0.0147,0.01496,8833789.0,132418.5
2019-04-20,0.0148,0.01522,0.01468,0.01497,9099062.0,134666.12
2019-04-21,0.01454,0.0149,0.01439,0.01449,9122076.0,132634.99
2019-04-22,0.01475,0.01504,0.0146,0.01468,8879845.0,130977.71
2019-04-23,0.01465,0.01494,0.01449,0.01465,7285475.0,106732.21
2019-04-24,0.0142,0.01453,0.01385,0.01426,734957.0,10436.39
2019-04-25,0.01305,0.01339,0.01276,0.01308,1489625.0,19439.61
2019-04-26,0.01336,0.01369,0.01227,0.01335,8803097.0,117609.38
2019-04-27,0.01334,0.01386,0.01291,0.01352,9303824.0,124113.01
2019-04-28,0.01287,0.01363,0.0126,0.01334,6177239.0,79501.07
2019-04-29,0.01146,0.01291,0.004563,0.01276,604103.0,6923.02
2019-04-30,0.003286,0.01202,0.0005392,0.01202,504659.0,1658.31
2019-05-01,0.0005908,0.003227,0.0005359,0.003227,550423.0,325.19
2019-05-02,0.003081,0.003213,0.0005903,0.0005903,15082.3,46.47
2019-05-03,0.003213,0.003213,0.003213,0.003213,0.0,0.0
2019-05-04,0.000823,0.003125,0.000823,0.003125,240674.0,198.07
2019-05-05,0.0006689,0.0008246,0.0006689,0.0008246,105000.0,70.23
2019-05-06,0.000806,0.001737,0.0007087,0.0007087,308.0,0.2482
2019-05-07,0.0001433,0.001686,1.69e-06,0.0007823,6270150.0,898.51
2019-05-08,0.0012,0.0012,0.0001457,0.0001457,56.0,0.0672
2019-05-09,0.0001845,0.001196,0.0001845,0.001196,2.0,0.000369
2019-05-10,0.0008608,0.0008608,0.0001863,0.0001863,1.0,0.0008608
2019-05-11,0.0009025,0.0009603,0.0009025,0.0009603,16717.0,15.09
2019-05-12,0.0008824,0.0008824,0.0008824,0.0008824,0.0,0.0
2019-05-13,0.0006267,0.0009184,0.0001802,0.0009184,1152762.0,722.44
2019-05-14,0.0006949,0.0006949,0.0006949,0.0006949,0.0,0.0
2019-05-15,0.0004674,0.0007956,0.0004674,0.0007956,180531.0,84.38
2019-05-16,0.0004443,0.0004972,0.0004443,0.0004972,291295.0,129.42
2019-05-17,0.0006097,0.0006097,0.0004113,0.0004113,190227.0,115.98
2019-05-18,0.0006949,0.0006949,0.0004703,0.0005826,52673.52,36.6
2019-05-19,0.0006992,0.001195,0.0006992,0.0007749,697487.48,487.68
2019-05-20,0.0006756,0.0006756,0.0006756,0.0006756,0.0,0.0
2019-05-21,0.0006832,0.0006832,0.0006832,0.0006832,0.0,0.0
2019-05-22,0.001334,0.001335,0.0006787,0.0006787,7.0,0.009345
