time,close,high,low,open,volumefrom,volumeto
2018-01-27,4.05,4.44,3.11,3.55,34350.0,139117.5
2018-01-28,4.06,4.5,3.7,4.5,15120.0,61387.2
2018-01-29,3.82,3.92,3.22,3.86,16040.0,61272.8
2018-01-30,3.19,3.51,2.99,3.47,24430.0,77931.7
2018-01-31,3.37,3.4,3.0,3.33,19200.0,64704.0
2018-02-01,2.71,3.11,2.18,3.11,43030.0,116611.3
2018-02-02,2.39,2.57,2.02,2.42,62137.44,148508.48
2018-02-03,2.77,2.91,2.52,2.54,34298.73,95007.48
2018-02-04,2.25,2.53,1.9,2.36,13752.63,30943.42
2018-02-05,1.88,2.04,1.69,1.89,34753.39,65336.37
2018-02-06,2.05,2.49,1.73,2.15,93800.57,192291.17
2018-02-07,2.29,2.44,1.96,2.0,53873.08,123369.35
2018-02-08,2.26,2.48,2.12,2.48,22736.49,51384.47
2018-02-09,2.5,2.59,2.28,2.44,5540.0,13850.0
2018-02-10,2.32,2.49,2.29,2.42,4240.0,9836.8
2018-02-11,2.25,2.34,2.15,2.22,3090.0,6952.5
2018-02-12,2.21,2.54,2.09,2.4,11110.0,24553.1
2018-02-13,2.26,2.3,2.03,2.15,5240.0,11842.4
2018-02-14,2.48,2.58,2.3,2.47,10370.0,25717.6
2018-02-15,2.4,2.54,2.13,2.5,14920.0,35808.0
2018-02-16,2.51,2.57,2.26,2.42,6280.0,15762.8
2018-02-17,2.44,2.61,2.26,2.61,6160.0,15030.4
2018-02-18,2.51,2.58,2.25,2.29,12190.0,30596.9
2018-02-19,2.51,2.58,2.35,2.58,20070.0,50375.7
2018-02-20,2.28,2.37,2.2,2.36,11810.0,26926.8
2018-02-21,2.07,2.2,1.94,2.17,9060.0,18754.2
2018-02-22,1.93,2.05,1.78,1.98,10480.0,20226.4
2018-02-23,2.14,2.47,1.79,2.05,25110.0,53735.4
2018-02-24,1.98,2.13,1.92,2.08,3400.0,6732.0
2018-02-25,2.0,2.14,1.89,2.0,2820.0,5640.0
2018-02-26,2.11,2.2,2.0,2.06,2990.0,6308.9
2018-02-27,2.01,2.2,2.01,2.12,5900.0,11859.0
2018-02-28,1.95,2.07,1.93,1.96,11490.0,22405.5
2018-03-01,2.09,2.22,1.85,1.99,10101.9,21112.97
2018-03-02,2.05,2.06,1.83,2.05,5793.42,11876.51
2018-03-03,1.94,2.12,1.93,2.05,4889.97,9486.54
2018-03-04,1.99,2.07,1.84,1.96,6541.0,13016.59
2018-03-05,1.95,2.03,1.78,1.95,10448.78,20375.12
2018-03-06,1.81,2.03,1.76,1.87,5686.73,10292.98
2018-03-07,1.71,1.74,1.51,1.67,7688.47,13147.28
2018-03-08,1.5,2.78,1.4,1.59,19531.47,29297.21
2018-03-09,1.52,1.62,1.03,1.56,5697.74,8660.56
2018-03-10,1.54,1.58,1.37,1.43,3941.0,6069.14
2018-03-11,1.63,1.63,1.58,1.63,4169.69,6796.59
2018-03-12,1.61,1.64,1.53,1.58,1709.37,2752.09
2018-03-13,1.52,1.83,1.52,1.6,24099.74,36631.6
2018-03-14,1.45,1.45,1.2,1.35,29140.0,42253.0
2018-03-15,1.25,1.44,1.25,1.44,6160.0,7700.0
2018-03-16,1.34,1.53,1.17,1.23,6518.06,8734.2
2018-03-17,1.23,1.23,1.17,1.23,1740.0,2140.2
2018-03-18,1.22,1.22,0.9974,1.2,15860.0,19349.2
2018-03-19,1.37,1.59,1.19,1.26,20865.46,28585.68
2018-03-20,0.6953,1.38,0.6953,1.38,38308.15,26635.66
2018-03-21,1.39,1.66,0.6982,0.6982,24950.24,34680.83
2018-03-22,1.31,1.34,1.26,1.34,5840.0,7650.4
2018-03-23,1.39,1.39,1.22,1.32,11630.0,16165.7
2018-03-24,1.32,1.36,1.15,1.33,4383.0,5785.56
2018-03-25,1.33,2.29,1.28,1.37,2585.72,3439.01
2018-03-26,1.21,1.26,1.2,1.23,1681.1,2034.13
2018-03-27,1.16,1.17,1.08,1.12,8920.0,10347.2
2018-03-28,1.14,1.21,1.09,1.15,11940.0,13611.6
2018-03-29,1.04,1.04,0.9202,0.9801,25907.76,26944.07
2018-03-30,1.06,1.11,0.996,1.07,11419.36,12104.52
2018-03-31,1.05,1.06,1.03,1.06,2188.2,2297.61
2018-04-01,1.01,1.04,0.9699,1.01,5495.0,5549.95
2018-04-02,1.05,1.05,0.954,1.02,4204.09,4414.29
2018-04-03,1.09,1.14,1.0,1.13,8585.69,9358.4
2018-04-04,0.9788,1.01,0.9303,0.9879,8219.99,8045.73
2018-04-05,0.9965,0.9965,0.9534,0.9858,4326.0,4310.86
2018-04-06,0.9399,0.9685,0.9355,0.9677,3750.0,3524.63
2018-04-07,1.0,1.01,0.9305,0.9771,13290.0,13290.0
2018-04-08,1.02,1.06,1.0,1.04,4333.41,4420.08
2018-04-09,0.9417,1.03,0.6001,1.01,8175.95,7699.29
2018-04-10,0.9992,1.04,0.966,0.9809,4670.0,4666.26
2018-04-11,1.08,1.08,0.9616,1.03,24778.09,26760.34
2018-04-12,1.32,1.77,1.12,1.23,43299.15,57154.88
2018-04-13,1.33,1.38,1.23,1.32,16489.0,21930.37
2018-04-14,1.31,1.35,1.26,1.35,2344.97,3071.91
2018-04-15,1.39,1.39,1.33,1.34,1580.0,2196.2
2018-04-16,1.24,1.33,1.24,1.33,6780.0,8407.2
2018-04-17,1.3,1.3,1.22,1.22,1680.0,2184.0
2018-04-18,1.37,1.39,1.36,1.36,4051.34,5550.34
2018-04-19,1.45,1.5,1.43,1.48,16572.24,24029.75
2018-04-20,1.62,1.71,1.55,1.58,21003.55,34025.75
2018-04-21,1.72,1.74,1.58,1.6,12907.98,22201.73
2018-04-22,1.71,1.77,1.62,1.77,18617.63,31836.15
2018-04-23,1.62,1.77,1.62,1.77,9761.33,15813.35
2018-04-24,1.84,1.88,1.74,1.77,21535.17,39624.71
2018-04-25,1.74,1.76,1.62,1.62,22048.77,38364.86
2018-04-26,1.8,1.86,1.75,1.86,9920.26,17856.47
2018-04-27,1.77,1.93,1.71,1.75,24529.07,43416.45
2018-04-28,1.9,1.93,1.76,1.88,30018.34,57034.85
2018-04-29,1.9,1.96,1.86,1.92,25561.61,48567.06
2018-04-30,1.82,1.89,1.77,1.85,21849.34,39765.8
2018-05-01,1.84,1.87,1.81,1.83,8807.49,16205.78
2018-05-02,1.92,1.92,1.79,1.89,21583.31,41439.96
2018-05-03,1.97,2.17,1.97,2.17,20038.88,39476.59
2018-05-04,1.97,2.18,1.91,1.99,19768.68,38944.3
2018-05-05,1.96,2.1,1.96,2.05,20033.63,39265.91
2018-05-06,1.98,2.02,1.9,1.9,6140.0,12157.2
2018-05-07,1.94,1.96,1.84,1.88,23650.0,45881.0
2018-05-08,1.83,1.93,1.8,1.93,10705.03,19590.2
2018-05-09,1.91,1.93,1.84,1.84,7254.13,13855.39
2018-05-10,1.84,1.84,1.78,1.84,9577.71,17622.99
2018-05-11,1.64,1.72,1.64,1.72,8700.82,14269.34
2018-05-12,1.7,1.74,1.65,1.65,7204.34,12247.38
2018-05-13,1.78,1.82,1.71,1.81,6797.26,12099.12
2018-05-14,1.64,1.77,1.63,1.77,5768.32,9460.04
2018-05-15,1.68,1.71,1.58,1.59,4072.98,6842.61
2018-05-16,1.58,1.68,1.46,1.68,14812.12,23403.15
2018-05-17,1.5,1.5,1.38,1.49,3292.51,4938.77
2018-05-18,1.49,1.57,1.4,1.55,5816.98,8667.3
2018-05-19,1.57,1.58,1.5,1.5,7339.91,11523.66
2018-05-20,1.57,1.61,1.57,1.61,4618.85,7251.59
2018-05-21,1.5,1.57,1.5,1.53,6588.7,9883.05
2018-05-22,1.41,1.41,1.24,1.38,16230.0,22884.3
2018-05-23,1.28,1.28,1.18,1.27,8717.31,11158.16
2018-05-24,1.41,1.41,1.21,1.33,17596.18,24810.61
2018-05-25,1.32,1.39,1.29,1.37,5268.32,6954.18
2018-05-26,1.34,1.41,1.25,1.33,5426.05,7270.91
2018-05-27,1.25,1.37,1.18,1.31,9555.6,11944.5
2018-05-28,1.17,1.23,1.08,1.13,4289.85,5019.12
2018-05-29,1.28,1.31,1.23,1.29,4302.92,5507.74
2018-05-30,1.24,1.29,1.24,1.25,4581.48,5681.04
2018-05-31,1.31,1.34,1.26,1.28,5589.86,7322.72
2018-06-01,1.28,1.33,1.27,1.31,2223.77,2846.43
2018-06-02,1.36,1.41,1.3,1.3,6439.62,8757.88
2018-06-03,1.42,1.49,1.38,1.43,6270.0,8903.4
2018-06-04,1.33,1.4,1.33,1.35,24768.89,32942.62
2018-06-05,1.41,1.41,1.33,1.37,34270.13,48320.88
2018-06-06,1.41,1.45,1.36,1.4,25846.07,36442.96
2018-06-07,1.34,1.41,1.27,1.41,25789.22,34557.55
2018-06-08,1.37,1.55,1.33,1.33,33806.4,46314.77
2018-06-09,1.36,1.36,1.31,1.36,375219.21,510298.13
2018-06-10,1.21,1.23,1.16,1.2,886726.61,1072939.2
2018-06-11,1.21,1.24,1.18,1.22,977772.41,1183104.62
2018-06-12,1.13,1.22,1.1,1.13,876764.16,990743.5
2018-06-13,1.13,1.17,1.06,1.09,829399.43,937221.36
2018-06-14,1.22,1.27,1.18,1.23,810068.44,988283.5
2018-06-15,1.11,1.16,1.02,1.15,841560.83,934132.52
2018-06-16,1.14,1.23,1.07,1.14,789306.22,899809.09
2018-06-17,1.14,1.14,1.1,1.14,731842.39,834300.32
2018-06-18,1.16,1.21,1.14,1.19,508441.09,589791.66
2018-06-19,1.18,1.29,1.17,1.2,385072.53,454385.59
2018-06-20,1.15,1.23,1.15,1.18,543320.0,624818.0
2018-06-21,1.14,1.27,1.13,1.13,15756.27,17962.15
2018-06-22,1.05,1.05,0.9955,0.9987,39681.24,41665.3
2018-06-23,1.03,1.08,1.03,1.08,17935.7,18473.77
2018-06-24,1.04,1.04,0.9893,0.9893,29080.48,30243.7
2018-06-25,1.02,1.05,0.9727,1.05,37312.56,38058.81
2018-06-26,0.9532,0.9824,0.8798,0.9515,54391.74,51846.21
2018-06-27,0.9582,0.9886,0.9162,0.9802,44190.77,42343.6
2018-06-28,0.9205,0.9445,0.9088,0.9125,16435.47,15128.85
2018-06-29,0.9697,0.9763,0.9071,0.9523,15543.5,15072.53
2018-06-30,0.9875,1.02,0.9703,1.01,21384.29,21116.99
2018-07-01,0.9947,1.02,0.9726,0.9843,9018.28,8970.48
2018-07-02,1.05,1.06,1.03,1.05,9619.68,10100.66
2018-07-03,1.01,1.05,0.9803,1.02,11827.33,11945.6
2018-07-04,1.03,1.07,1.01,1.03,18606.34,19164.53
2018-07-05,1.03,1.03,0.9552,1.03,10310.22,10619.53
2018-07-06,1.04,1.05,0.9615,1.04,8321.17,8654.02
2018-07-07,1.08,1.09,1.04,1.08,10366.76,11196.1
2018-07-08,1.06,1.1,1.06,1.08,66552.15,70545.28
2018-07-09,1.06,1.07,1.03,1.03,10524.58,11156.05
2018-07-10,0.9926,0.9926,0.9303,0.9787,14265.41,14159.85
2018-07-11,0.9665,1.02,0.9317,1.02,14226.43,13749.84
2018-07-12,0.9471,0.9876,0.9019,0.9346,25670.11,24312.16
2018-07-13,0.8861,0.9536,0.6729,0.9505,570154.91,505214.27
2018-07-14,0.9122,0.9829,0.8484,0.8887,37868.48,34543.63
2018-07-15,0.9415,0.9622,0.915,0.9456,13967.7,13150.59
2018-07-16,0.9939,1.02,0.9044,1.0,70279.38,69850.68
2018-07-17,1.07,1.07,1.01,1.04,33382.16,35718.91
2018-07-18,1.08,1.09,0.993,1.03,100544.64,108588.21
2018-07-19,1.07,1.19,1.05,1.05,58749.93,62862.43
2018-07-20,1.06,1.09,1.01,1.03,19319.17,20478.32
2018-07-21,1.01,1.1,0.9802,1.09,20333.92,20537.26
2018-07-22,0.9922,1.03,0.9368,1.0,16431.89,16303.72
2018-07-23,0.9878,1.0,0.9114,0.9748,14968.46,14785.84
2018-07-24,1.06,1.07,1.03,1.06,40886.99,43340.21
2018-07-25,1.05,1.06,0.9619,1.04,25046.02,26298.32
2018-07-26,1.04,1.04,0.9804,1.03,27968.02,29086.74
2018-07-27,1.05,1.05,1.02,1.05,15385.75,16155.04
2018-07-28,1.05,1.05,0.9821,1.04,10574.29,11103.0
2018-07-29,1.07,1.09,0.938,1.04,23217.56,24842.79
2018-07-30,1.05,1.06,0.9286,1.05,17541.16,18418.22
2018-07-31,0.9789,1.0,0.924,0.9927,20730.69,20293.27
2018-08-01,0.956,0.9703,0.9384,0.9514,18498.86,17684.91
2018-08-02,0.9305,0.956,0.9252,0.9355,18623.15,17328.84
2018-08-03,0.9534,0.9676,0.9188,0.9459,19901.32,18973.92
2018-08-04,0.9074,0.9383,0.885,0.929,12934.19,11736.48
2018-08-05,0.9092,0.9288,0.8879,0.9116,7984.43,7259.44
2018-08-06,0.8747,0.9172,0.8642,0.9006,29575.21,25869.44
2018-08-07,0.8383,0.8734,0.7941,0.8171,23846.58,19990.59
2018-08-08,0.7783,0.7972,0.7734,0.7887,28859.02,22460.98
2018-08-09,0.7946,0.815,0.7423,0.7957,17105.16,13591.76
2018-08-10,0.7314,0.7493,0.697,0.7248,13389.12,9792.8
2018-08-11,0.6968,0.7235,0.6926,0.7025,25188.91,17551.63
2018-08-12,0.7175,0.7223,0.6934,0.6972,15813.32,11346.06
2018-08-13,0.6359,0.6462,0.6189,0.6413,42023.95,26723.03
2018-08-14,0.6031,0.6479,0.5747,0.6231,61384.6,37021.05
2018-08-15,0.6308,0.6457,0.5993,0.6094,15058.04,9498.61
2018-08-16,0.6628,0.668,0.6413,0.6433,12520.36,8298.49
2018-08-17,0.7371,0.7428,0.7256,0.7339,26579.08,19591.44
2018-08-18,0.6838,0.7035,0.6643,0.6843,31124.51,21282.94
2018-08-19,0.7179,0.7191,0.69,0.6948,26660.9,19139.86
2018-08-20,0.6502,0.657,0.6369,0.6489,35519.07,23094.5
2018-08-21,0.6756,0.6815,0.6635,0.675,22295.88,15063.1
2018-08-22,0.6554,0.6575,0.6427,0.6497,21723.21,14237.39
2018-08-23,0.6716,0.6758,0.6667,0.6672,44911.28,30162.42
2018-08-24,0.6896,0.697,0.6775,0.6851,15951.15,10999.91
2018-08-25,0.6861,0.6964,0.6786,0.6803,33455.8,22954.02
2018-08-26,0.6918,0.6932,0.6745,0.6781,9382.88,6491.08
2018-08-27,0.7365,0.7365,0.7209,0.7264,26349.81,19406.64
2018-08-28,0.7581,0.7708,0.7495,0.7557,29208.16,22142.71
2018-08-29,0.7477,0.7529,0.7347,0.7399,11374.03,8504.36
2018-08-30,0.7402,0.7473,0.7331,0.7359,23261.62,17218.25
2018-08-31,0.7337,0.7408,0.7272,0.7337,12750.64,9355.14
2018-09-01,0.7777,0.7842,0.7473,0.7694,32447.26,25234.23
2018-09-02,0.7842,0.7842,0.7732,0.7824,13724.15,10762.48
2018-09-03,0.7704,0.7704,0.7311,0.7681,35152.54,27081.52
2018-09-04,0.7792,0.7844,0.7596,0.7604,30849.8,24038.16
2018-09-05,0.6572,0.6572,0.5821,0.6257,41384.67,27198.01
2018-09-06,0.6562,0.6713,0.6376,0.6608,38421.37,25212.1
2018-09-07,0.6396,0.6446,0.6151,0.6151,14885.95,9521.05
2018-09-08,0.611,0.6169,0.5602,0.585,22108.91,13508.54
2018-09-09,0.6111,0.6187,0.5648,0.6085,30340.48,18541.07
2018-09-10,0.5867,0.621,0.564,0.6147,44436.62,26070.96
2018-09-11,0.5795,0.5897,0.5349,0.551,26539.61,15379.7
2018-09-12,0.6033,0.6437,0.5674,0.5729,47504.34,28659.37
2018-09-13,0.6389,0.7073,0.6385,0.6963,24134.46,15419.51
2018-09-14,0.6379,0.6389,0.6097,0.6316,32763.9,20900.09
2018-09-15,0.6673,0.6771,0.6507,0.6755,16241.31,10837.83
2018-09-16,0.6744,0.7037,0.6544,0.6628,5175.08,3490.07
2018-09-17,0.5864,0.6236,0.5458,0.6007,39168.09,22968.17
2018-09-18,0.63,0.6387,0.6198,0.6233,17779.61,11201.15
2018-09-19,0.6134,0.6698,0.609,0.6342,14869.01,9120.65
2018-09-20,0.6498,0.6819,0.6453,0.6572,23923.49,15545.48
2018-09-21,0.7532,0.8305,0.7116,0.7168,32003.56,24105.08
2018-09-22,0.7534,0.7741,0.7144,0.7322,15795.9,11900.63
2018-09-23,0.7703,0.786,0.7601,0.7662,10198.85,7856.17
2018-09-24,0.7093,0.7307,0.6936,0.7179,12497.0,8864.12
2018-09-25,0.717,0.7185,0.6712,0.6791,24312.38,17431.98
2018-09-26,0.7144,0.7281,0.6793,0.6979,39657.4,28331.25
2018-09-27,0.7395,0.7732,0.7354,0.7658,12998.66,9612.51
2018-09-28,0.7387,0.7451,0.711,0.7196,12981.93,9589.75
2018-09-29,0.7363,0.7749,0.7213,0.7712,30914.6,22762.42
2018-09-30,0.7352,0.7692,0.7243,0.7392,13692.74,10066.9
2018-10-01,0.7437,0.7495,0.7298,0.7298,10854.26,8072.31
2018-10-02,0.7229,0.7738,0.7096,0.726,15377.46,11116.37
2018-10-03,0.714,0.7142,0.6938,0.7054,22900.95,16351.28
2018-10-04,0.7189,0.7258,0.7183,0.7198,16623.56,11950.68
2018-10-05,0.743,0.7505,0.7384,0.7389,11614.07,8629.25
2018-10-06,0.7365,0.7457,0.7278,0.7323,16220.15,11946.14
2018-10-07,0.7327,0.7485,0.7264,0.7399,15755.61,11544.14
2018-10-08,0.7421,0.7492,0.7323,0.7458,17522.52,13003.46
2018-10-09,0.7296,0.7405,0.7214,0.73,12123.88,8845.58
2018-10-10,0.7147,0.7238,0.699,0.7224,21713.78,15518.84
2018-10-11,0.6213,0.6226,0.5961,0.6023,40902.06,25412.45
2018-10-12,0.6426,0.6506,0.6298,0.6398,18972.92,12192.0
2018-10-13,0.6618,0.6628,0.6514,0.6534,16586.03,10976.63
2018-10-14,0.6394,0.6474,0.6339,0.6439,13245.95,8469.46
2018-10-15,0.6682,0.6999,0.6619,0.6887,41882.03,27985.57
2018-10-16,0.6727,0.678,0.6277,0.6651,14383.31,9675.65
2018-10-17,0.6726,0.6726,0.6029,0.6643,13423.62,9028.73
2018-10-18,0.652,0.6561,0.5745,0.6561,24771.56,16151.06
2018-10-19,0.6372,0.6573,0.637,0.6532,6714.58,4278.53
2018-10-20,0.6622,0.6645,0.6409,0.6442,12291.28,8139.29
2018-10-21,0.6401,0.6635,0.6399,0.6612,12662.74,8105.42
2018-10-22,0.6362,0.6401,0.6362,0.6369,10725.36,6823.47
2018-10-23,0.6529,0.6738,0.6195,0.6366,24688.81,16119.32
2018-10-24,0.6713,0.6713,0.6441,0.6504,7878.04,5288.53
2018-10-25,0.654,0.6657,0.6419,0.6657,29324.31,19178.1
2018-10-26,0.6508,0.6711,0.6508,0.661,1856.88,1208.46
2018-10-27,0.6341,0.6692,0.6341,0.6489,6670.97,4230.06
2018-10-28,0.6372,0.6721,0.6368,0.637,4313.74,2748.72
2018-10-29,0.6404,0.6404,0.6121,0.6121,799.81,512.2
2018-10-30,0.6131,0.6423,0.6131,0.6421,5422.85,3324.75
2018-10-31,0.6189,0.6381,0.6183,0.6183,3669.56,2271.09
2018-11-01,0.6445,0.6445,0.6073,0.6216,10315.25,6648.18
2018-11-02,0.6199,0.6519,0.5669,0.6519,179069.34,111005.08
2018-11-03,0.6521,0.6942,0.5605,0.6152,13085.39,8532.98
2018-11-04,0.6721,0.846,0.6721,0.6907,17868.71,12009.56
2018-11-05,0.6687,0.6809,0.6627,0.6671,15097.38,10095.62
2018-11-06,0.6852,0.7125,0.6613,0.7002,7098.25,4863.72
2018-11-07,0.6566,0.7414,0.6566,0.6803,13145.75,8631.5
2018-11-08,0.6651,0.6683,0.6364,0.6364,2709.34,1801.98
2018-11-09,0.6677,0.6876,0.6313,0.6592,13672.03,9128.81
2018-11-10,0.6556,0.6757,0.5878,0.6757,21819.98,14305.18
2018-11-11,0.6525,0.6944,0.6429,0.655,2239.69,1461.4
2018-11-12,0.644,0.6497,0.6139,0.6497,9072.59,5842.75
2018-11-13,0.6442,0.6442,0.6285,0.6306,16432.93,10586.09
2018-11-14,0.6019,0.6024,0.5569,0.5703,11691.39,7037.05
2018-11-15,0.5629,0.5987,0.5482,0.598,5983.99,3368.39
2018-11-16,0.546,0.5474,0.5422,0.5422,872.71,476.5
2018-11-17,0.5671,0.5671,0.5441,0.5441,1107.32,627.96
2018-11-18,0.5866,0.6089,0.5482,0.5779,16382.72,9610.1
2018-11-19,0.4645,0.5084,0.4458,0.4897,9472.34,4399.9
2018-11-20,0.4462,1.06,0.3922,0.4097,94924.35,42355.24
2018-11-21,0.4363,0.475,0.4255,0.4659,14328.0,6251.31
2018-11-22,0.4369,0.4369,0.3988,0.399,37982.28,16594.46
2018-11-23,0.4207,0.432,0.4069,0.4318,29706.99,12497.73
2018-11-24,0.3794,0.3945,0.3794,0.3845,6289.81,2386.35
2018-11-25,0.3769,0.4085,0.3744,0.3929,36629.87,13805.8
2018-11-26,0.3686,0.3686,0.347,0.3514,13083.8,4822.69
2018-11-27,0.3515,0.398,0.3515,0.3731,18155.77,6381.75
2018-11-28,0.4094,0.4163,0.392,0.392,28313.4,11591.51
2018-11-29,0.3977,0.4041,0.3914,0.3914,4629.2,1841.03
2018-11-30,0.3887,0.3892,0.3739,0.3821,11553.71,4490.93
2018-12-01,0.3973,0.4081,0.3973,0.4081,3363.06,1336.14
2018-12-02,0.3827,0.3888,0.3827,0.3888,2362.68,904.2
2018-12-03,0.3572,0.3573,0.3572,0.3572,514.48,183.77
2018-12-04,0.3788,0.3788,0.3624,0.3624,9454.87,3581.5
2018-12-05,0.3503,0.3503,0.3377,0.3503,7107.3,2489.69
2018-12-06,0.3152,0.3153,0.2991,0.3119,64094.58,20202.61
2018-12-07,0.317,0.3287,0.3066,0.3263,37418.53,11861.67
2018-12-08,0.3096,0.3096,0.2929,0.3096,5541.5,1715.65
2018-12-09,0.3017,0.3197,0.3017,0.3197,9486.42,2862.05
2018-12-10,0.2994,0.3126,0.2834,0.2898,6447.17,1930.28
2018-12-11,0.2826,0.3035,0.2826,0.2907,14224.25,4019.77
2018-12-12,0.3114,0.3114,0.2888,0.2906,2690.0,837.67
2018-12-13,0.2972,0.2972,0.275,0.2972,15240.0,4529.33
2018-12-14,0.289,0.2998,0.2727,0.2886,1652.68,477.62
2018-12-15,0.2687,0.2903,0.2669,0.2903,9597.99,2578.98
2018-12-16,0.2784,0.2827,0.2707,0.2722,2199.76,612.41
2018-12-17,0.3132,0.3625,0.3111,0.3111,4150.34,1299.89
2018-12-18,0.3483,0.389,0.3362,0.3362,4556.0,1586.85
2018-12-19,0.32,0.3441,0.3197,0.3421,10590.0,3388.8
2018-12-20,0.384,0.3899,0.3702,0.3702,14030.0,5387.52
2018-12-21,0.377,0.377,0.3502,0.3609,14620.0,5511.74
2018-12-22,0.3835,0.4078,0.3835,0.4078,4950.0,1898.33
2018-12-23,0.3918,0.4263,0.3751,0.4263,25180.0,9865.52
2018-12-24,0.4216,0.4522,0.3946,0.4195,34650.0,14608.44
2018-12-25,0.3732,0.393,0.3732,0.3921,610.0,227.65
2018-12-26,0.3878,0.3878,0.3728,0.3778,300.0,116.34
2018-12-27,0.3385,0.3528,0.3327,0.3413,2490.0,842.87
2018-12-28,0.3989,0.4224,0.3943,0.4052,7790.0,3107.43
2018-12-29,0.3676,0.4337,0.3674,0.392,22180.0,8153.37
2018-12-30,0.383,0.3901,0.3783,0.3783,700.0,268.1
2018-12-31,0.3592,0.3754,0.356,0.3618,6560.0,2356.35
2019-01-01,0.3845,0.4012,0.3776,0.3839,13990.0,5379.16
2019-01-02,0.3919,0.4398,0.3917,0.422,6410.0,2512.08
2019-01-03,0.383,0.4204,0.374,0.374,25410.0,9732.03
2019-01-04,0.3979,0.4366,0.384,0.3999,6060.0,2411.27
2019-01-05,0.3909,0.3984,0.3784,0.3984,5610.0,2192.95
2019-01-06,0.4184,0.4184,0.3849,0.3968,5510.0,2305.38
2019-01-07,0.4053,0.4278,0.4012,0.4012,2380.0,964.61
2019-01-08,0.4238,0.424,0.4027,0.4027,50.0,21.19
2019-01-09,0.4245,0.4245,0.4086,0.424,670.0,284.42
2019-01-10,0.36,0.36,0.3475,0.3593,7700.0,2772.0
2019-01-11,0.3577,0.3577,0.3574,0.3577,2760.0,987.25
2019-01-12,0.3469,0.354,0.3428,0.354,4150.0,1439.64
2019-01-13,0.3279,0.3279,0.3165,0.3214,6580.0,2157.58
2019-01-14,0.365,0.365,0.3528,0.365,4980.0,1817.7
2019-01-15,0.3381,0.341,0.3291,0.341,4110.0,1389.59
2019-01-16,0.3343,0.3434,0.3343,0.3434,1730.0,578.34
2019-01-17,0.3458,0.3489,0.3359,0.3359,13990.0,4837.74
2019-01-18,0.337,0.337,0.337,0.337,0.0,0.0
2019-01-19,0.3602,0.3602,0.3435,0.349,1170.0,421.43
2019-01-20,0.3416,0.3416,0.3416,0.3416,0.0,0.0
2019-01-21,0.3352,0.3367,0.3233,0.3367,8860.0,2969.87
2019-01-22,0.3414,0.3421,0.331,0.3421,4170.0,1423.64
2019-01-23,0.3378,0.3378,0.3256,0.337,37640.0,12714.79
2019-01-24,0.3487,0.3491,0.3382,0.3382,20230.0,7054.2
2019-01-25,0.342,0.3567,0.3417,0.3435,290.0,99.18
2019-01-26,0.334,0.3432,0.334,0.3432,130.0,43.42
2019-01-27,0.3368,0.3455,0.3223,0.3223,1850.0,623.08
2019-01-28,0.307,0.3191,0.3061,0.3191,340.0,104.38
2019-01-29,0.3145,0.3223,0.3023,0.3023,2270.0,713.92
2019-01-30,0.3355,0.3355,0.3273,0.3273,70.0,23.49
2019-01-31,0.3228,0.3289,0.3124,0.3289,2930.0,945.8
2019-02-01,0.3161,0.3264,0.3161,0.3232,960.0,303.46
2019-02-02,0.3245,0.3415,0.3245,0.3278,11470.0,3722.02
2019-02-03,0.3183,0.3183,0.3109,0.3134,2400.0,763.92
2019-02-04,0.3164,0.3287,0.3089,0.3174,2040.0,645.46
2019-02-05,0.3182,0.3182,0.3101,0.3165,1360.0,432.75
2019-02-06,0.3055,0.3212,0.3051,0.311,1440.0,439.92
2019-02-07,0.3204,0.3204,0.3049,0.3049,70.0,22.43
2019-02-08,0.3394,0.3671,0.3382,0.3671,6790.0,2304.53
2019-02-09,0.3383,0.3393,0.3383,0.3393,60.0,20.3
2019-02-10,0.3703,0.3862,0.3556,0.3556,8600.0,3184.58
2019-02-11,0.3448,0.3622,0.3448,0.3561,1500.0,517.2
2019-02-12,0.3772,0.3772,0.3501,0.3501,3956.6,1492.43
2019-02-13,0.3491,0.3762,0.3487,0.3762,3113.8,1087.03
2019-02-14,0.3425,0.3665,0.3421,0.3449,426.7,146.14
2019-02-15,0.3319,0.3701,0.3319,0.3458,2486.3,825.2
2019-02-16,0.3456,0.3738,0.3353,0.3353,3688.9,1274.88
2019-02-17,0.3581,0.3777,0.3581,0.3765,7692.8,2754.79
2019-02-18,0.3824,0.3956,0.3824,0.3908,10972.8,4196.0
