time,close,high,low,open,volumefrom,volumeto
2019-03-26,0.02142,0.02142,0.02063,0.02063,2,0.04284
2019-03-27,0.02175,0.02404,0.02103,0.02237,110233,2397.57
2019-03-28,0.02357,0.02357,0.02146,0.02146,10044,236.74
2019-03-29,0.02582,0.02677,0.02107,0.02459,100890,2604.98
2019-03-30,0.0252,0.02562,0.02293,0.02562,37153,936.26
2019-03-31,0.0264,0.0264,0.02342,0.02505,4872,128.62
2019-04-01,0.02624,0.02633,0.02594,0.0263,46151,1211.0
2019-04-02,0.03134,0.03134,0.02639,0.03051,25183,789.24
2019-04-03,0.03064,0.03172,0.03053,0.03062,30929,947.66
2019-04-04,0.0324,0.034,0.03005,0.03005,59476,1927.02
2019-04-05,0.03266,0.03474,0.03266,0.03411,5448,177.93
2019-04-06,0.03242,0.03264,0.03242,0.03264,14190,460.04
2019-04-07,0.03424,0.03424,0.03424,0.03424,0,0.0
2019-04-08,0.03531,0.03531,0.03531,0.03531,27172,959.44
2019-04-09,0.03438,0.03438,0.03438,0.03438,3434,118.06
2019-04-10,0.03495,0.03532,0.03459,0.03459,1805,63.08
2019-04-11,0.03222,0.03255,0.03222,0.03255,3958,127.53
2019-04-12,0.03701,0.04172,0.03209,0.03209,159661,5909.05
2019-04-13,0.03725,0.04177,0.03697,0.037,52186,1943.93
2019-04-14,0.03812,0.03819,0.03778,0.03819,27124,1033.97
2019-04-15,0.03527,0.04083,0.03326,0.03623,31126,1097.81
2019-04-16,0.0383,0.03882,0.03672,0.03672,75878,2906.13
2019-04-17,0.03873,0.039,0.03833,0.03833,15833,613.21
2019-04-18,0.03668,0.04049,0.03668,0.04049,2188,80.26
2019-04-19,0.03528,0.03864,0.03528,0.03658,10272,362.4
2019-04-20,0.03526,0.03564,0.03524,0.03524,2532,89.28
2019-04-21,0.03801,0.03801,0.03452,0.03452,57,2.17
2019-04-22,0.03863,0.03863,0.03818,0.03837,1314,50.76
2019-04-23,0.0363,0.0421,0.0363,0.03835,2240,81.31
2019-04-24,0.03593,0.03593,0.03532,0.03532,1,0.03593
2019-04-25,0.03178,0.03522,0.03173,0.03311,34128,1084.59
2019-04-26,0.03517,0.03517,0.0317,0.03249,1396,49.1
2019-04-27,0.03207,0.0356,0.03207,0.0356,4000,128.28
2019-04-28,0.03194,0.03201,0.03194,0.03201,518,16.54
2019-04-29,0.03113,0.03167,0.03113,0.03167,53506,1665.64
2019-04-30,0.03271,0.03271,0.0323,0.03266,16068,525.58
2019-05-01,0.0404,0.0404,0.03212,0.03212,1798,72.64
2019-05-02,0.04037,0.04037,0.04037,0.04037,0,0.0
2019-05-03,0.03634,0.04211,0.03348,0.04211,61290,2227.28
2019-05-04,0.03534,0.03567,0.03534,0.03534,15299,540.67
2019-05-05,0.03541,0.03541,0.03541,0.03541,680,24.08
2019-05-06,0.03226,0.03943,0.032,0.03752,113708,3668.22
2019-05-07,0.03102,0.03131,0.03102,0.03131,10559,327.54
2019-05-08,0.03082,0.03156,0.03082,0.03154,30056,926.33
2019-05-09,0.03072,0.03072,0.03072,0.03072,0,0.0
2019-05-10,0.03017,0.03985,0.03017,0.03102,13890,419.06
2019-05-11,0.03408,0.04003,0.03366,0.03366,7970,271.62
2019-05-12,0.03744,0.04135,0.03332,0.03332,8797,329.36
2019-05-13,0.03717,0.04304,0.03717,0.03897,120,4.46
2019-05-14,0.03818,0.04745,0.03818,0.04122,16017,611.53
2019-05-15,0.04371,0.04371,0.04371,0.04371,0,0.0
2019-05-16,0.04856,0.04893,0.04062,0.04649,308490,14980.27
2019-05-17,0.04454,0.04495,0.04454,0.04495,2,0.08908
2019-05-18,0.04211,0.0438,0.04211,0.04256,3670,154.54
2019-05-19,0.03981,0.0478,0.03825,0.04696,19,0.7564
2019-05-20,0.03655,0.0416,0.03151,0.03847,74331,2716.8
2019-05-21,0.03324,0.04079,0.03309,0.03697,16302,541.88
2019-05-22,0.03304,0.03304,0.03302,0.03302,0,0.0
