time,close,high,low,open,volumefrom,volumeto
2017-05-26,0.01619,0.01621,0.01619,0.01621,300.0,4.86
2017-05-27,0.0148,0.0148,0.0148,0.0148,0.0,0.0
2017-05-28,0.01532,0.01596,0.01532,0.01578,2774.48,42.51
2017-05-29,0.01633,0.01633,0.01595,0.01595,24512.26,400.29
2017-05-30,0.01537,0.01572,0.01537,0.01572,121.0,1.86
2017-05-31,0.01615,0.01615,0.01615,0.01615,0.0,0.0
2017-06-01,0.01689,0.01723,0.01689,0.01691,17071.81,288.34
2017-06-02,0.01745,0.0178,0.01745,0.0178,5420.17,94.58
2017-06-03,0.01817,0.01817,0.01782,0.01782,6347.8,115.34
2017-06-04,0.01767,0.01802,0.01767,0.01802,2186.5,38.64
2017-06-05,0.01939,0.02007,0.01893,0.01893,8245.99,159.89
2017-06-06,0.02035,0.02058,0.02009,0.02058,1414.1,28.78
2017-06-07,0.01884,0.01946,0.01884,0.01908,28767.19,541.97
2017-06-08,0.01965,0.02043,0.01959,0.01959,1462.88,28.75
2017-06-09,0.01974,0.01974,0.01971,0.01974,340.1,6.71
2017-06-10,0.02036,0.02036,0.02036,0.02036,362.85,7.39
2017-06-11,0.02087,0.02087,0.02084,0.02087,192.75,4.02
2017-06-12,0.01862,0.01865,0.01862,0.01865,3022.04,56.27
2017-06-13,0.01907,0.01945,0.01902,0.01902,971.3,18.52
2017-06-14,0.01732,0.01769,0.01732,0.01734,104.84,1.82
2017-06-15,0.01751,0.01751,0.01715,0.01715,157.45,2.76
2017-06-16,0.01764,0.01799,0.01759,0.01799,220.0,3.88
2017-06-17,0.01861,0.01867,0.01861,0.01867,28.0,0.5211
2017-06-18,0.01813,0.01813,0.0178,0.0178,550.0,9.97
2017-06-19,0.01868,0.01868,0.01868,0.01868,280.11,5.23
2017-06-20,0.01953,0.01967,0.01931,0.01967,775.61,15.15
2017-06-21,0.0188,0.01898,0.0188,0.01898,569.72,10.71
2017-06-22,0.01911,0.01911,0.01911,0.01911,0.0,0.0
2017-06-23,0.01935,0.01935,0.01903,0.01903,1200.78,23.24
2017-06-24,0.01852,0.01852,0.01839,0.01849,3291.87,60.97
2017-06-25,0.01805,0.01817,0.01805,0.01817,1215.0,21.93
2017-06-26,0.01737,0.01749,0.01737,0.01737,2704.53,46.98
2017-06-27,0.01845,0.01847,0.01834,0.01834,779.71,14.39
2017-06-28,0.01833,0.01843,0.01833,0.01841,8184.11,150.01
2017-06-29,0.01819,0.01819,0.01816,0.01819,98.88,1.8
2017-06-30,0.01764,0.01764,0.01764,0.01764,14.08,0.2484
2017-07-01,0.01721,0.01724,0.01721,0.01724,75.64,1.3
2017-07-02,0.01803,0.01803,0.01801,0.01801,2835.15,51.12
2017-07-03,0.01829,0.01829,0.01806,0.01829,1139.86,20.85
2017-07-04,0.01861,0.01861,0.01837,0.01861,1046.95,19.48
2017-07-05,0.01868,0.01868,0.01868,0.01868,100.0,1.87
2017-07-06,0.01859,0.01859,0.01859,0.01859,0.0,0.0
2017-07-07,0.01787,0.01787,0.0176,0.01787,17709.48,316.47
2017-07-08,0.01798,0.01824,0.01795,0.01824,1785.74,32.11
2017-07-09,0.01786,0.01786,0.01761,0.01761,3384.93,60.45
2017-07-10,0.01667,0.01667,0.01646,0.01667,163.5,2.73
2017-07-11,0.01653,0.01653,0.01639,0.01653,886.08,14.65
2017-07-12,0.01718,0.01718,0.01709,0.01709,4665.15,80.15
2017-07-13,0.01689,0.01689,0.01677,0.01689,4374.66,73.89
2017-07-14,0.01577,0.01602,0.01577,0.01597,1776.84,28.02
2017-07-15,0.01394,0.01464,0.01394,0.01394,2350.48,32.77
2017-07-16,0.01422,0.01422,0.01351,0.01351,331.75,4.72
2017-07-17,0.01668,0.01668,0.01659,0.01659,216.34,3.61
2017-07-18,0.01796,0.01796,0.01733,0.01733,1156.33,20.77
2017-07-19,0.01767,0.01767,0.0171,0.01767,641.31,11.33
2017-07-20,0.02218,0.02218,0.02218,0.02218,0.0,0.0
