time,close,high,low,open,volumefrom,volumeto
2014-12-19,1.37,2.7,1.37,2.7,0.01003,0.01374
2014-12-20,1.42,1.42,1.42,1.42,13.81,19.61
2014-12-21,1.35,1.39,1.35,1.39,34.96,47.2
2014-12-22,1.19,1.43,1.19,1.39,482.11,573.71
2014-12-23,1.12,1.21,1.12,1.21,201.26,225.41
2014-12-24,1.2,1.2,0.9027,1.08,126.99,152.39
2014-12-25,1.08,1.19,1.08,1.19,55.16,59.57
2014-12-26,1.39,1.39,1.06,1.12,687.15,955.14
2014-12-27,1.17,1.32,1.17,1.32,75.36,88.17
2014-12-28,1.17,1.17,1.17,1.17,40.55,47.44
2014-12-29,1.01,1.17,1.01,1.17,290.56,293.47
2014-12-30,1.09,1.09,0.3113,0.9992,1085.22,1182.89
2014-12-31,0.8911,1.11,0.8911,1.11,0.2543,0.2266
2015-01-01,0.8817,0.8817,0.8817,0.8817,0.0,0.0
2015-01-02,1.13,1.13,0.8826,0.8826,76.84,86.83
2015-01-03,1.26,1.26,1.03,1.03,323.08,407.08
2015-01-04,1.32,1.32,1.16,1.16,922.72,1217.99
2015-01-05,1.37,1.37,1.37,1.37,0.0,0.0
2015-01-06,1.98,1.98,1.41,1.41,57.63,114.11
2015-01-07,2.04,2.04,2.04,2.04,0.0,0.0
2015-01-08,1.98,1.98,1.98,1.98,20.06,39.72
2015-01-09,2.02,2.02,2.02,2.02,0.0,0.0
2015-01-10,1.91,1.91,1.91,1.91,0.0,0.0
2015-01-11,1.72,1.85,1.72,1.85,0.6685,1.15
2015-01-12,1.75,1.75,1.75,1.75,0.0,0.0
2015-01-13,1.44,1.44,1.44,1.44,0.0,0.0
2015-01-14,0.5113,1.07,0.5113,1.07,0.5,0.2556
2015-01-15,0.6503,0.6503,0.6503,0.6503,0.0,0.0
2015-01-16,1.06,1.06,0.6415,0.6415,0.2507,0.2657
2015-01-17,1.02,1.02,1.02,1.02,0.0,0.0
2015-01-18,1.07,1.07,1.07,1.07,0.0,0.0
2015-01-19,1.1,1.1,1.1,1.1,0.0,0.0
2015-01-20,1.05,1.07,0.9896,1.06,0.0,0.0
2015-01-21,1.19,1.19,0.7073,1.16,5.36,6.38
2015-01-22,1.21,1.23,1.13,1.17,0.0,0.0
2015-01-23,1.28,1.28,1.21,1.21,4.0,5.12
2015-01-24,1.49,1.49,1.36,1.36,50.0,74.5
2015-01-25,1.29,1.51,1.29,1.51,0.0,0.0
2015-01-26,1.48,1.48,1.27,1.37,0.0,0.0
2015-01-27,1.42,1.45,1.31,1.45,0.0,0.0
2015-01-28,1.23,1.3,1.21,1.27,0.0,0.0
2015-01-29,1.17,1.17,0.9711,1.4,4195.01,4908.16
2015-01-30,1.18,1.23,1.12,1.16,3583.53,4228.57
2015-01-31,1.11,1.18,1.09,1.12,3292.88,3655.1
2015-02-01,1.25,1.3,1.14,1.15,812.06,1015.08
2015-02-02,1.36,1.37,1.3,1.33,2611.54,3551.69
2015-02-03,1.29,1.39,1.23,1.3,7163.51,9240.93
2015-02-04,1.41,1.81,1.27,1.29,3607.97,5087.24
2015-02-05,1.53,1.69,1.42,1.34,512.0,783.36
2015-02-06,1.62,1.64,1.54,1.58,730.27,1183.04
2015-02-07,1.59,1.65,1.56,1.65,387.85,616.68
2015-02-08,1.6,1.6,1.51,1.57,501.72,802.75
2015-02-09,1.58,1.59,1.52,1.58,301.07,475.69
2015-02-10,1.57,1.58,1.49,1.57,518.27,813.68
2015-02-11,1.51,1.56,1.49,1.56,985.68,1488.38
2015-02-12,1.52,1.57,1.44,1.53,920.78,1399.59
2015-02-13,1.67,1.67,1.54,1.62,745.57,1245.1
2015-02-14,1.8,1.85,1.74,1.82,1335.97,2404.75
2015-02-15,1.64,1.68,1.56,1.63,1695.91,2781.29
2015-02-16,1.69,1.69,1.57,1.65,969.59,1638.61
2015-02-17,1.99,2.19,1.7,1.75,2242.74,4463.05
2015-02-18,1.86,1.95,1.74,1.92,1885.39,3506.83
2015-02-19,1.85,2.11,1.81,1.92,3025.74,5597.62
2015-02-20,1.84,2.06,1.82,1.87,3098.73,5701.66
2015-02-21,1.92,2.61,1.83,1.84,3179.26,6104.18
2015-02-22,1.94,2.71,1.82,1.86,1488.82,2888.31
2015-02-23,1.89,3.11,1.84,1.97,1305.13,2466.7
2015-02-24,1.93,3.02,1.87,1.89,1216.89,2348.6
2015-02-25,1.8,2.88,1.75,1.92,1815.02,3267.04
2015-02-26,1.82,1.87,1.79,1.79,1428.53,2599.92
2015-02-27,1.76,1.98,1.74,1.95,6429.08,11315.18
2015-02-28,1.62,1.8,1.45,1.77,5631.67,9123.31
2015-03-01,1.68,1.71,1.09,1.64,2401.15,4033.93
2015-03-02,1.64,1.87,1.53,1.78,3264.89,5354.42
2015-03-03,1.95,2.03,1.74,1.68,5795.33,11300.89
2015-03-04,1.86,1.95,1.63,1.89,2723.41,5065.54
2015-03-05,1.71,1.98,1.35,1.89,9642.79,16489.17
2015-03-06,1.64,1.72,1.42,1.7,9447.25,15493.49
2015-03-07,1.75,1.9,1.6,1.65,3178.43,5562.25
2015-03-08,1.66,1.81,1.51,1.75,4872.71,8088.7
2015-03-09,1.71,1.84,1.63,1.76,4465.73,7636.4
2015-03-10,1.41,1.79,1.38,1.71,12694.31,17898.98
2015-03-11,1.56,1.77,1.41,1.43,7382.74,11517.07
2015-03-12,1.77,1.93,1.53,1.55,8903.1,15758.49
2015-03-13,1.73,1.88,1.61,1.73,5023.96,8691.45
2015-03-14,1.73,1.78,1.63,1.7,1727.98,2989.41
2015-03-15,1.52,1.75,1.29,1.75,8531.9,12968.49
2015-03-16,1.57,1.68,1.47,1.55,3691.26,5795.28
2015-03-17,1.69,1.69,1.51,1.54,2428.26,4103.76
2015-03-18,1.48,1.56,1.45,1.51,2121.19,3139.36
2015-03-19,1.46,1.63,1.42,1.51,3597.34,5252.12
2015-03-20,1.43,1.52,1.36,1.47,2278.16,3257.77
2015-03-21,1.44,1.45,1.43,1.42,944.8,1360.51
2015-03-22,1.43,1.5,1.35,1.49,925.53,1323.51
2015-03-23,1.41,1.52,1.38,1.42,1587.53,2238.42
2015-03-24,1.4,1.44,1.31,1.31,1094.54,1532.36
2015-03-25,1.42,1.44,1.32,1.4,1106.96,1571.88
2015-03-26,1.41,1.47,1.34,1.42,661.59,932.84
2015-03-27,1.45,1.57,1.39,1.41,1322.79,1918.05
2015-03-28,1.57,1.62,1.44,1.48,1754.46,2754.5
2015-03-29,1.5,1.62,1.39,1.5,1201.39,1802.09
2015-03-30,1.44,1.53,1.32,1.53,1611.95,2321.21
2015-03-31,1.51,1.55,1.39,1.43,4580.94,6917.22
2015-04-01,1.47,1.58,1.42,1.53,3090.61,4543.2
2015-04-02,1.55,1.56,1.46,1.51,1588.05,2461.48
2015-04-03,1.53,1.57,1.38,1.56,4961.55,7591.17
2015-04-04,1.61,1.62,1.48,1.52,4903.75,7895.04
2015-04-05,1.61,1.66,1.53,1.66,6787.95,10928.6
2015-04-06,1.57,1.66,1.53,1.58,6295.09,9883.29
2015-04-07,1.6,1.64,1.52,1.56,2486.92,3979.07
2015-04-08,1.57,1.57,1.48,1.55,758.19,1190.36
2015-04-09,1.63,1.69,1.54,1.56,1282.3,2090.15
2015-04-10,1.58,1.59,1.51,1.57,798.26,1261.25
2015-04-11,1.52,1.6,1.44,1.6,2440.27,3709.21
2015-04-12,1.53,1.58,1.49,1.52,993.49,1520.04
2015-04-13,1.54,1.59,1.43,1.45,1104.87,1701.5
2015-04-14,1.45,1.53,1.31,1.5,1692.09,2453.53
2015-04-15,1.41,1.53,1.36,1.48,1053.0,1484.73
2015-04-16,1.45,1.5,1.4,1.44,924.46,1340.47
2015-04-17,1.23,1.42,0.881,1.42,6840.85,8414.25
2015-04-18,1.25,1.26,1.11,1.24,1445.99,1807.49
2015-04-19,1.34,1.42,1.16,1.25,1524.86,2043.31
2015-04-20,1.04,1.37,0.9582,1.35,1620.3,1685.11
2015-04-21,1.32,1.36,1.07,1.09,1857.72,2452.19
2015-04-22,1.44,1.45,1.19,1.32,1355.31,1951.65
