time,close,high,low,open,volumefrom,volumeto
2017-10-25,3.61,11.47,2.41,3.04,348.6,1258.45
2017-10-26,3.65,4.53,1.88,3.71,823.7,3006.51
2017-10-27,2.59,3.57,2.08,3.57,32.9,85.21
2017-10-28,2.41,2.92,2.0,2.58,98.6,237.63
2017-10-29,2.58,2.83,1.72,2.58,238.4,615.07
2017-10-30,2.51,3.67,1.35,2.57,252.0,632.52
2017-10-31,2.77,4.0,2.65,2.65,238.5,660.65
2017-11-01,2.49,3.91,2.43,2.9,232.8,579.67
2017-11-02,1.76,5.57,0.1405,2.6,1585.99,2791.34
2017-11-03,2.45,2.87,0.9355,1.79,283.45,694.45
2017-11-04,1.27,2.52,1.27,2.52,8.0,10.16
2017-11-05,2.51,2.58,0.739,1.27,20.77,52.13
2017-11-06,3.12,3.93,1.25,2.36,53.24,166.11
2017-11-07,2.63,8.33,2.36,3.18,770.68,2026.89
2017-11-08,3.05,3.05,2.53,2.76,47.98,146.34
2017-11-09,2.07,3.92,2.07,2.92,726.68,1504.23
2017-11-10,2.04,2.1,1.9,1.9,281.9,575.08
2017-11-11,1.78,2.85,1.52,1.97,89.39,159.11
2017-11-12,2.0,2.94,0.5307,1.65,732.77,1465.54
2017-11-13,2.48,2.61,1.83,2.28,296.6,735.57
2017-11-14,2.08,3.03,1.98,2.51,228.9,476.11
2017-11-15,2.04,3.64,2.04,2.3,391.93,799.54
2017-11-16,1.18,2.98,0.5498,2.2,1286.56,1518.14
2017-11-17,2.16,2.16,0.924,1.15,2645.0,5713.2
2017-11-18,1.79,2.26,1.26,2.18,211.0,377.69
2017-11-19,1.45,2.09,1.45,1.85,356.25,516.56
2017-11-20,1.24,1.9,1.07,1.48,3380.51,4191.83
2017-11-21,1.21,1.97,0.8108,1.21,29880.2,36155.04
2017-11-22,0.8235,1.32,0.4941,1.24,16563.1,13639.71
2017-11-23,0.9392,1.11,0.8013,0.8013,637.96,599.17
2017-11-24,0.8201,1.97,0.08209,0.9611,13161.2,10793.5
2017-11-25,1.14,1.58,0.5253,0.8755,7409.85,8447.23
2017-11-26,0.6523,1.4,0.3727,1.21,9678.42,6313.23
2017-11-27,0.584,1.36,0.292,0.6813,11811.39,6897.85
2017-11-28,0.4911,0.7222,0.3962,0.5944,1094.19,537.36
2017-11-29,0.1968,0.7869,0.1968,0.4878,12551.77,2470.19
2017-11-30,0.2984,0.4542,0.1989,0.1989,4981.03,1486.34
2017-12-01,0.2172,0.5431,0.1086,0.3258,17117.07,3717.83
