time,close,high,low,open,volumefrom,volumeto
2018-06-28,0.1317,0.1632,0.1212,0.1384,21076689.14,2775799.96
2018-06-29,0.1384,0.1493,0.128,0.1349,16101853.46,2228496.52
2018-06-30,0.1474,0.1623,0.1383,0.1442,19762898.55,2913051.25
2018-07-01,0.1302,0.1473,0.1284,0.1469,10251683.46,1334769.19
2018-07-02,0.1239,0.1392,0.112,0.1387,18866467.45,2337555.32
2018-07-03,0.1238,0.133,0.1099,0.1201,15840511.64,1961055.34
2018-07-04,0.1168,0.1289,0.1145,0.1252,7039627.14,822228.45
2018-07-05,0.1145,0.13,0.1099,0.1169,16117179.41,1845417.04
2018-07-06,0.09493,0.1194,0.08976,0.1147,11152608.28,1058717.1
2018-07-07,0.09425,0.1054,0.07919,0.09813,15775890.39,1486877.67
2018-07-08,0.09189,0.09967,0.08751,0.09432,11820013.77,1086141.07
2018-07-09,0.09194,0.09807,0.08817,0.08911,6986594.78,642347.52
2018-07-10,0.0874,0.08913,0.07918,0.08437,9235073.55,807145.43
2018-07-11,0.1003,0.1029,0.08689,0.09001,186279401.45,18683823.97
2018-07-12,0.1004,0.1116,0.09221,0.09695,178032349.49,17874447.89
2018-07-13,0.1021,0.109,0.09557,0.1021,459310255.09,46895577.04
2018-07-14,0.108,0.1093,0.1002,0.1024,554595758.7,59896341.94
2018-07-15,0.1335,0.1461,0.1115,0.112,410843042.47,54847546.17
2018-07-16,0.1163,0.1599,0.1149,0.1422,493500340.93,57394089.65
2018-07-17,0.1288,0.1412,0.1108,0.1218,516054516.65,66467821.74
2018-07-18,0.1083,0.1265,0.1068,0.1236,684720610.48,74155242.11
2018-07-19,0.1111,0.112,0.1026,0.1059,641240645.35,71241835.7
2018-07-20,0.09874,0.1113,0.09111,0.1064,464054461.37,45820737.52
2018-07-21,0.09405,0.1033,0.08529,0.1014,540121611.43,50798437.55
2018-07-22,0.09473,0.1016,0.09016,0.09336,238278549.21,22572126.97
2018-07-23,0.08858,0.09847,0.08543,0.09307,272988352.55,24181308.27
2018-07-24,0.09062,0.09494,0.08007,0.09446,353341540.79,32019810.43
2018-07-25,0.08247,0.08954,0.08153,0.08907,411617805.93,33946120.46
2018-07-26,0.08086,0.08317,0.07577,0.08086,322247225.42,26056910.65
2018-07-27,0.07609,0.08314,0.07562,0.0822,237712102.68,18087513.89
2018-07-28,0.07637,0.07778,0.07591,0.07591,361750014.93,27626848.64
2018-07-29,0.0704,0.07692,0.06993,0.07599,359736630.91,25325458.82
2018-07-30,0.06483,0.07077,0.06346,0.06894,364310438.42,23618245.72
2018-07-31,0.06393,0.07171,0.06048,0.06134,145899297.26,9327342.07
2018-08-01,0.06424,0.06466,0.06088,0.06214,31165657.47,2002081.84
2018-08-02,0.07337,0.07539,0.06162,0.06286,149715291.1,10984610.91
2018-08-03,0.06715,0.07542,0.06607,0.07459,397906155.91,26719398.37
2018-08-04,0.06645,0.07121,0.06482,0.06568,406179110.19,26990601.87
2018-08-05,0.06733,0.0697,0.06263,0.06676,305881690.28,20595014.21
2018-08-06,0.06512,0.06674,0.06252,0.0667,277717195.48,18084943.77
2018-08-07,0.05771,0.06281,0.05582,0.06077,240967621.53,13906241.44
2018-08-08,0.05003,0.0549,0.04857,0.0543,7618327.61,381144.93
2018-08-09,0.05871,0.06336,0.04835,0.05115,49934179.24,2931635.66
2018-08-10,0.04871,0.05657,0.04645,0.05355,191457684.41,9325903.81
2018-08-11,0.04303,0.04799,0.04182,0.04672,348338458.96,14989003.89
2018-08-12,0.04248,0.04356,0.04003,0.04302,412666009.09,17530052.07
2018-08-13,0.02715,0.03797,0.02522,0.03792,248625254.54,6750175.66
2018-08-14,0.03426,0.03663,0.0241,0.02661,342714886.63,11741412.02
2018-08-15,0.03066,0.03479,0.02689,0.03462,368619131.85,11301862.58
2018-08-16,0.02977,0.03129,0.02931,0.03126,285493171.17,8499131.71
2018-08-17,0.03153,0.03309,0.03077,0.03296,326992077.12,10310060.19
2018-08-18,0.02719,0.02984,0.02657,0.02922,282021712.31,7668170.36
2018-08-19,0.02742,0.02792,0.02601,0.02765,404756678.97,11098428.14
2018-08-20,0.02556,0.0276,0.02464,0.02472,380100959.01,9715380.51
2018-08-21,0.02527,0.02671,0.02516,0.02654,379920427.95,9600589.21
2018-08-22,0.02358,0.02506,0.02325,0.02431,273770761.57,6455514.56
2018-08-23,0.02499,0.02507,0.02397,0.02405,343469867.31,8583311.98
2018-08-24,0.02611,0.02645,0.0249,0.02541,466564827.51,12182007.65
2018-08-25,0.02517,0.02626,0.02501,0.02576,373964499.28,9412686.45
2018-08-26,0.02546,0.02573,0.02488,0.02488,318856276.42,8118080.8
2018-08-27,0.02607,0.02696,0.02607,0.02676,351617419.37,9166666.12
2018-08-28,0.0274,0.02772,0.02675,0.02675,326649750.54,8950203.16
2018-08-29,0.02647,0.02699,0.02612,0.02676,338374492.87,8956772.83
2018-08-30,0.02608,0.02662,0.02586,0.02606,283223924.66,7386479.96
2018-08-31,0.02594,0.02619,0.02557,0.02586,293331912.1,7609029.8
2018-09-01,0.02652,0.02747,0.02602,0.0272,307876154.64,8164875.62
2018-09-02,0.02661,0.02708,0.0262,0.02649,363279846.74,9666876.72
2018-09-03,0.02569,0.0263,0.02557,0.02607,284306724.62,7303839.76
2018-09-04,0.0255,0.02593,0.02501,0.02536,238564269.65,6083388.88
2018-09-05,0.01993,0.02093,0.01956,0.02041,313337385.24,6244814.09
2018-09-06,0.01992,0.02059,0.01974,0.02004,450373596.8,8971442.05
2018-09-07,0.01837,0.01913,0.01779,0.01867,323725590.12,5946839.09
2018-09-08,0.01708,0.01759,0.01314,0.01678,219165390.63,3743344.87
2018-09-09,0.01511,0.01729,0.01505,0.01701,264218357.64,3992339.38
2018-09-10,0.01646,0.01757,0.01431,0.0152,381428013.49,6278305.1
2018-09-11,0.01774,0.01987,0.01527,0.01546,302788575.51,5371469.33
2018-09-12,0.02052,0.0227,0.01741,0.01753,255494725.45,5242751.77
2018-09-13,0.02311,0.02584,0.02187,0.02366,275456668.69,6365803.61
2018-09-14,0.02289,0.02496,0.02176,0.02285,318911225.62,7299877.95
2018-09-15,0.02467,0.02502,0.02327,0.02429,306882674.74,7570795.59
2018-09-16,0.02364,0.02747,0.02344,0.0245,257199487.64,6080195.89
2018-09-17,0.02237,0.02251,0.02062,0.02105,290093686.3,6489395.76
2018-09-18,0.02253,0.02657,0.02217,0.02378,333972977.73,7524411.19
2018-09-19,0.02201,0.02486,0.02142,0.02268,316611825.97,6968626.29
2018-09-20,0.0234,0.02558,0.02299,0.02358,164274395.95,3844020.87
2018-09-21,0.02497,0.0293,0.02442,0.02578,123248642.63,3077518.61
2018-09-22,0.02603,0.02646,0.02364,0.02427,303653051.3,7904088.93
2018-09-23,0.02651,0.02719,0.02592,0.02641,279559903.35,7411133.04
2018-09-24,0.02477,0.02521,0.02393,0.02471,231341776.41,5730335.8
2018-09-25,0.02389,0.02457,0.02319,0.02383,279007113.06,6665479.93
2018-09-26,0.02341,0.02397,0.02307,0.02335,113359071.8,2653735.87
2018-09-27,0.02435,0.0252,0.02428,0.02509,21502240.17,523579.55
2018-09-28,0.0224,0.02448,0.02233,0.02353,75121095.28,1682712.53
2018-09-29,0.02443,0.02512,0.02246,0.02339,114972747.17,2808784.21
2018-09-30,0.02482,0.02512,0.02419,0.02456,62172083.32,1543111.11
2018-10-01,0.02464,0.02507,0.02434,0.02464,175080675.4,4313987.84
2018-10-02,0.02459,0.02461,0.02401,0.02405,180327457.08,4434252.17
2018-10-03,0.02417,0.02486,0.02378,0.024,54573890.38,1319050.93
2018-10-04,0.02391,0.02486,0.0234,0.02437,1638369.68,39173.42
2018-10-05,0.02434,0.02505,0.02393,0.02457,1451684.29,35334.0
2018-10-06,0.02421,0.02471,0.02381,0.02399,2454650.39,59427.09
2018-10-07,0.02378,0.02475,0.02313,0.02433,1622598.38,38585.39
2018-10-08,0.0247,0.02502,0.02385,0.02417,9519676.84,235136.02
2018-10-09,0.02489,0.02521,0.02425,0.0245,3096286.23,77066.56
2018-10-10,0.02428,0.02478,0.02395,0.02464,3518216.6,85422.3
2018-10-11,0.02193,0.02284,0.02029,0.02046,5102903.91,111906.68
2018-10-12,0.02322,0.0244,0.02263,0.02263,2595632.03,60270.58
2018-10-13,0.02373,0.02407,0.02326,0.02363,1058686.1,25122.62
2018-10-14,0.02498,0.02605,0.02297,0.0232,2348195.46,58657.92
2018-10-15,0.02648,0.02747,0.02403,0.027,2740056.85,72556.71
2018-10-16,0.02619,0.02687,0.0259,0.0264,1446377.46,37880.63
2018-10-17,0.02545,0.02616,0.02533,0.02587,1001760.54,25494.81
2018-10-18,0.02444,0.02523,0.02341,0.02483,3071809.27,75075.02
2018-10-19,0.02485,0.02584,0.0241,0.02449,4006993.46,99573.79
2018-10-20,0.0252,0.026,0.02469,0.02512,2419409.87,60969.13
2018-10-21,0.02601,0.02623,0.0251,0.02517,890830.86,23170.51
2018-10-22,0.02574,0.0262,0.02537,0.02586,1755053.21,45175.07
2018-10-23,0.02693,0.0274,0.02546,0.02575,1012738.05,27273.04
2018-10-24,0.02835,0.02902,0.02658,0.02683,1408337.36,39926.36
2018-10-25,0.02795,0.02835,0.02646,0.02811,1590693.22,44459.88
2018-10-26,0.02872,0.02886,0.02705,0.02825,1991699.38,57201.61
2018-10-27,0.02888,0.0292,0.02796,0.02863,1030046.52,29747.74
2018-10-28,0.02883,0.02901,0.02801,0.02901,677743.8,19539.35
2018-10-29,0.02822,0.02874,0.0271,0.02769,1521964.67,42949.84
2018-10-30,0.02823,0.02902,0.02788,0.02829,862681.14,24353.49
2018-10-31,0.02887,0.0291,0.0277,0.02847,1034178.94,29856.75
2018-11-01,0.02884,0.02899,0.0281,0.02899,661979.69,19091.49
2018-11-02,0.02816,0.02919,0.02816,0.02917,467067.37,13152.62
2018-11-03,0.02797,0.02896,0.02769,0.02795,724595.32,20266.93
2018-11-04,0.02916,0.03047,0.02861,0.02962,826303.08,24095.0
2018-11-05,0.02923,0.02961,0.02839,0.02894,1302478.53,38071.45
2018-11-06,0.02824,0.03061,0.02824,0.03061,478867.01,13523.2
2018-11-07,0.02812,0.02875,0.02758,0.02803,242011.96,6805.38
2018-11-08,0.02738,0.02823,0.02557,0.02726,4719001.78,129206.27
2018-11-09,0.02701,0.02787,0.02582,0.02714,809181.63,21856.0
2018-11-10,0.02581,0.02748,0.02581,0.02734,604927.58,15613.18
2018-11-11,0.02695,0.0275,0.02562,0.02579,1207148.82,32532.66
2018-11-12,0.02595,0.02692,0.02549,0.02684,1136193.87,29484.23
2018-11-13,0.02432,0.02543,0.02275,0.02541,1533371.29,37291.59
2018-11-14,0.02083,0.02205,0.02017,0.02152,3384081.92,70490.43
2018-11-15,0.02104,0.02264,0.0198,0.02069,2379085.57,50055.96
2018-11-16,0.02124,0.02124,0.01993,0.02026,735837.81,15629.2
2018-11-17,0.02073,0.02124,0.02059,0.02117,113688.56,2356.76
2018-11-18,0.02106,0.02164,0.02072,0.02113,346288.92,7292.84
2018-11-19,0.02014,0.02034,0.01758,0.01758,1658087.41,33393.88
2018-11-20,0.01881,0.0203,0.01656,0.01777,1575108.48,29627.79
2018-11-21,0.01807,0.01964,0.01807,0.01964,415437.96,7506.96
2018-11-22,0.01769,0.01773,0.01595,0.01653,263002.45,4652.51
2018-11-23,0.01641,0.01847,0.01499,0.01743,840571.06,13793.77
2018-11-24,0.01421,0.01584,0.01394,0.015,240110.46,3411.97
2018-11-25,0.01471,0.01588,0.0142,0.01471,802355.47,11802.65
2018-11-26,0.01235,0.01372,0.01198,0.01372,920583.13,11369.2
