time,close,high,low,open,volumefrom,volumeto
2017-10-15,0.1043,0.1043,0.1043,0.1043,23.18,2.42
2017-10-16,0.1036,0.1036,0.1036,0.1036,0.0,0.0
2017-10-17,0.098,0.098,0.098,0.098,0.0,0.0
2017-10-18,0.0972,0.0972,0.0972,0.0972,0.0,0.0
2017-10-19,0.0953,0.0953,0.0953,0.0953,0.0,0.0
2017-10-20,0.09395,0.09395,0.09395,0.09395,0.0,0.0
2017-10-21,0.09286,0.09286,0.09286,0.09286,0.0,0.0
2017-10-22,0.09115,0.09115,0.09115,0.09115,0.0,0.0
2017-10-23,0.08843,0.08843,0.08843,0.08843,0.0,0.0
2017-10-24,0.09191,0.09191,0.09191,0.09191,0.0,0.0
2017-10-25,0.09187,0.09187,0.09187,0.09187,0.0,0.0
2017-10-26,0.09162,0.09162,0.09162,0.09162,0.0,0.0
2017-10-27,0.09187,0.09187,0.09187,0.09187,0.0,0.0
2017-10-28,0.09094,0.09094,0.09094,0.09094,0.0,0.0
2017-10-29,0.09425,0.09425,0.09425,0.09425,0.0,0.0
2017-10-30,0.09511,0.09511,0.09511,0.09511,0.0,0.0
2017-10-31,0.09413,0.09413,0.09413,0.09413,0.0,0.0
2017-11-01,0.08972,0.08972,0.08972,0.08972,0.0,0.0
2017-11-02,0.08833,0.08833,0.08833,0.08833,0.0,0.0
2017-11-03,0.0944,0.0944,0.0944,0.0944,0.0,0.0
2017-11-04,0.09301,0.09301,0.09301,0.09301,0.0,0.0
2017-11-05,0.09183,0.09183,0.09183,0.09183,0.0,0.0
2017-11-06,0.09201,0.09201,0.09201,0.09201,0.0,0.0
2017-11-07,0.09047,0.09047,0.09047,0.09047,0.0,0.0
2017-11-08,0.09528,0.09528,0.09528,0.09528,0.0,0.0
2017-11-09,0.09909,0.09909,0.09909,0.09909,0.0,0.0
2017-11-10,0.09203,0.09203,0.09203,0.09203,0.0,0.0
2017-11-11,0.09741,0.09741,0.09741,0.09741,0.0,0.0
2017-11-12,0.09487,0.09487,0.09487,0.09487,0.0,0.0
2017-11-13,0.09753,0.09753,0.09753,0.09753,0.0,0.0
