time,close,high,low,open,volumefrom,volumeto
2018-01-30,0.3085,4786875.0,0.2128,1.91,2585499.98,797626.74
2018-01-31,0.3481,0.4446,0.2945,0.3301,1628593.09,566913.25
2018-02-01,0.3836,0.6044,0.3079,0.3214,1809584.12,694156.47
2018-02-02,0.2559,1617499.61,0.234,0.3463,1721916.8,440638.51
2018-02-03,0.3786,0.4369,0.2717,0.2717,1493229.82,565336.81
2018-02-04,0.3476,2.23,0.269,0.331,1663948.41,578388.47
2018-02-05,0.2224,3475400.0,0.2085,0.3024,1941950.21,431889.73
2018-02-06,0.2653,3140040.0,0.0,0.2395,1169439.44,310252.28
2018-02-07,0.3086,7518100.0,0.2691,0.2849,1418422.3,437725.12
2018-02-08,0.275,0.3425,0.2563,0.3417,557375.69,153278.31
2018-02-09,0.2967,0.2967,0.2967,0.2967,0.0,0.0
2018-02-10,0.2876,0.2876,0.2876,0.2876,0.0,0.0
2018-02-11,0.2742,0.2742,0.2742,0.2742,0.0,0.0
2018-02-12,0.2925,0.2925,0.2925,0.2925,0.0,0.0
2018-02-13,0.2843,0.2843,0.2843,0.2843,0.0,0.0
2018-02-14,0.311,0.311,0.311,0.311,0.0,0.0
2018-02-15,0.3136,0.3136,0.3136,0.3136,0.0,0.0
2018-02-16,0.3171,0.3171,0.3171,0.3171,0.0,0.0
2018-02-17,0.3295,0.3295,0.3295,0.3295,0.0,0.0
2018-02-18,0.3089,0.3089,0.3089,0.3089,0.0,0.0
2018-02-19,0.3176,0.3176,0.3176,0.3176,0.0,0.0
2018-02-20,0.2993,0.2993,0.2993,0.2993,0.0,0.0
2018-02-21,0.284,0.284,0.284,0.284,0.0,0.0
2018-02-22,0.272,0.272,0.272,0.272,0.0,0.0
2018-02-23,0.2889,0.2889,0.2889,0.2889,0.0,0.0
2018-02-24,0.2817,0.2817,0.2817,0.2817,0.0,0.0
2018-02-25,0.284,0.284,0.284,0.284,0.0,0.0
2018-02-26,0.2933,0.2933,0.2933,0.2933,0.0,0.0
2018-02-27,0.2946,0.2946,0.2946,0.2946,0.0,0.0
2018-02-28,0.2878,0.2878,0.2878,0.2878,0.0,0.0
