time,close,high,low,open,volumefrom,volumeto
2019-03-02,23.79,23.83,7.69,23.75,293.22,6975.7
2019-03-03,23.6,23.6,23.6,23.6,0.0,0.0
2019-03-04,23.13,23.13,7.46,7.46,11.65,269.46
2019-03-05,23.63,24.02,23.63,24.02,63.0,1488.69
2019-03-06,23.64,23.64,23.64,23.64,0.0,0.0
2019-03-07,23.68,23.68,23.68,23.68,0.0,0.0
2019-03-08,23.59,23.59,23.59,23.59,0.0,0.0
2019-03-09,24.48,24.48,24.08,24.08,3.03,74.17
2019-03-10,24.37,24.37,24.37,24.37,0.0,0.0
2019-03-11,24.02,24.02,24.02,24.02,0.0,0.0
2019-03-12,24.11,24.11,23.72,24.11,319.88,7712.31
2019-03-13,20.06,24.04,3.88,23.66,1347.53,27031.45
2019-03-14,20.07,24.06,17.46,20.07,215.0,4315.05
2019-03-15,20.31,20.31,20.31,20.31,0.0,0.0
2019-03-16,24.96,24.96,0.2175,24.96,2877.39,71819.65
2019-03-17,24.78,24.78,2.0,24.78,758.75,18801.83
2019-03-18,24.72,24.72,23.93,24.72,216.0,5339.52
2019-03-19,24.94,24.94,24.94,24.94,0.0,0.0
2019-03-20,23.93,25.14,4.87,25.14,3613.61,86473.69
2019-03-21,21.18,23.18,5.4,23.18,820.67,17381.79
2019-03-22,9.21,24.01,4.4,21.2,4085.01,37622.94
2019-03-23,9.3,22.84,9.22,9.22,823.6,7659.48
2019-03-24,19.93,24.76,4.4,9.27,6291.92,125397.97
2019-03-25,9.43,21.19,8.24,19.58,3012.67,28409.48
2019-03-26,18.09,18.09,4.18,9.47,1196.61,21646.67
2019-03-27,2.49,18.57,0.4896,18.57,1247.65,3106.65
2019-03-28,4.04,8.07,3.63,4.44,356.25,1439.25
2019-03-29,4.11,4.11,4.11,4.11,0.0,0.0
2019-03-30,9.06,11.53,3.71,3.71,5182.8,46956.17
2019-03-31,11.5,11.52,4.92,11.52,318.95,3667.93
2019-04-01,2.49,11.61,2.49,11.61,5347.27,13314.7
2019-04-02,22.47,30.41,2.86,2.94,8823.98,198274.83
2019-04-03,5.01,22.79,3.64,22.79,4516.23,22626.31
2019-04-04,5.47,14.69,5.47,14.69,162.91,891.12
2019-04-05,5.5,9.58,5.08,5.62,494.17,2717.94
2019-04-06,5.51,5.51,5.51,5.51,0.0,0.0
2019-04-07,5.24,5.67,5.23,5.67,1276.06,6686.55
2019-04-08,5.33,5.33,5.33,5.33,0.0,0.0
2019-04-09,5.23,5.24,5.23,5.24,30.23,158.1
2019-04-10,9.03,9.03,5.35,5.35,29143.39,263164.81
2019-04-11,8.56,8.57,7.57,8.57,446.35,3820.76
2019-04-12,8.62,8.62,8.62,8.62,0.0,0.0
2019-04-13,12.59,12.6,8.63,8.63,235.85,2969.35
2019-04-14,7.75,12.81,7.28,12.81,368.49,2855.8
2019-04-15,12.44,12.44,7.1,7.1,268.15,3335.79
2019-04-16,12.77,12.88,7.35,12.87,484.16,6182.72
2019-04-17,11.07,12.99,7.38,7.38,486.49,5385.44
2019-04-18,7.67,13.12,7.67,13.12,301.68,2313.89
2019-04-19,7.68,7.68,7.68,7.68,263.94,2027.06
2019-04-20,7.51,7.72,7.51,7.72,325.5,2444.51
2019-04-21,7.48,7.48,7.48,7.48,0.0,0.0
2019-04-22,7.61,7.61,7.61,7.61,0.0,0.0
2019-04-23,12.14,12.14,7.81,7.81,173.19,2102.53
2019-04-24,7.11,11.95,7.11,11.95,83.49,593.61
2019-04-25,11.08,11.08,6.73,6.73,118.0,1307.44
2019-04-26,10.47,11.24,10.47,11.24,412.71,4321.07
2019-04-27,10.46,10.46,10.46,10.46,0.0,0.0
2019-04-28,10.54,10.54,10.54,10.54,0.0,0.0
2019-04-29,10.48,10.48,10.48,10.48,0.0,0.0
2019-04-30,10.7,10.7,10.7,10.7,0.0,0.0
2019-05-01,10.78,10.78,10.78,10.78,0.0,0.0
2019-05-02,11.0,11.0,11.0,11.0,0.0,0.0
2019-05-03,11.51,11.51,11.51,11.51,0.0,0.0
2019-05-04,11.68,11.68,11.68,11.68,0.0,0.0
2019-05-05,11.59,11.59,11.59,11.59,0.0,0.0
2019-05-06,6.39,11.5,6.39,11.5,9.78,62.49
2019-05-07,6.47,6.47,6.47,6.47,0.0,0.0
2019-05-08,6.0,11.87,4.21,6.67,782.78,4696.68
2019-05-09,2.04,6.17,2.04,6.17,1443.88,2945.52
2019-05-10,2.28,7.6,0.8011,2.1,5011.0,11425.08
2019-05-11,1.79,6.4,1.45,2.58,7486.04,13400.01
2019-05-12,0.9071,1.74,0.8234,1.74,854.24,774.88
2019-05-13,1.01,1.01,1.01,1.01,232.09,234.41
2019-05-14,1.04,1.04,1.04,1.04,0.0,0.0
2019-05-15,1.06,1.06,1.06,1.06,0.0,0.0
2019-05-16,1.02,1.02,1.02,1.02,0.0,0.0
2019-05-17,0.9584,0.9584,0.9584,0.9584,0.0,0.0
2019-05-18,1.47,4.87,0.7266,0.9446,7805.17,11473.6
2019-05-19,0.8193,1.66,0.8193,1.66,1144.0,937.28
2019-05-20,0.7998,0.7998,0.7998,0.7998,0.0,0.0
2019-05-21,0.9617,3.84,0.7948,0.7948,6751.4,6492.82
2019-05-22,0.8655,0.951,0.8655,0.951,0.0,0.0
